word,1,2,3,4,5,6,7,8
number,0.884488,-0.328175,-2.076257,0.1994,-2.093107,2.870547,0.159686,2.250148
function,2.390939,-0.397689,-0.717784,0.582612,-2.093973,3.408933,-0.060156,1.312601
one,0.380299,-0.154327,-1.835652,-0.695285,-1.512218,3.869309,0.543256,1.661684
set,1.29874,-0.086011,-0.374908,-1.163998,-0.665809,3.89401,-0.548228,2.417948
group,0.140877,-1.27629,1.021842,0.048418,-1.076875,3.522592,-0.117391,2.389992
space,0.300868,-1.102465,0.759152,-0.972683,-1.080604,4.336876,-0.299324,1.604046
two,-0.025451,-0.704577,-1.779454,-0.656545,-1.351477,3.779499,0.84712,1.749772
theory,0.312223,1.41289,0.772147,1.199933,-1.035493,4.029584,-0.409477,1.885148
point,0.113713,-1.233114,-1.44051,-1.312623,-1.551054,3.630283,0.537413,1.21903
theorem,0.583598,0.013835,0.559931,0.565258,-2.986656,3.586786,-1.242362,0.473471
example,0.977657,-0.20527,-1.109442,-0.169463,-1.246046,3.472715,0.310918,1.6479
form,0.782763,-1.140389,-0.622539,0.127768,-1.706143,3.533125,0.658618,1.515844
define,1.540602,-1.040641,-0.383705,-0.615798,-1.710251,3.759153,-0.056859,1.291971
graph,0.039361,-0.893136,0.424417,-0.976703,0.254048,3.368927,0.481694,1.995678
value,2.11804,0.010796,-2.219047,-0.390406,-1.503021,2.898717,0.22966,1.628479
problem,0.843124,1.209376,-0.68674,0.505043,-0.683702,3.27234,0.198379,1.456196
mathematic,-1.485361,2.082534,-0.349349,0.887599,-0.957764,3.272653,-0.249501,1.953223
order,0.962698,-0.748446,-0.756616,0.015644,-0.982313,2.990348,0.385813,2.305505
equation,0.966926,-0.139827,-0.436035,1.405233,-2.317663,3.238433,0.416807,0.551436
first,-0.209759,0.81838,-1.679677,0.252839,-1.790428,2.93827,-0.099534,1.607659
vector,1.251954,-1.728323,-0.327661,-0.510061,-1.444496,3.463529,0.42105,0.964916
algebra,0.442578,-0.444125,1.293109,0.839913,-1.306069,3.437617,-0.536451,2.083987
$\mathbb{N}$,1.568242,-1.729134,-1.549026,-0.950259,-1.287586,2.265656,-0.18618,2.741192
field,0.364685,-7.1e-05,0.345664,0.240193,-1.245393,3.842316,0.1436,1.231055
element,1.079122,-1.080905,-0.916946,-0.78595,-1.091834,3.015265,0.073872,2.236315
system,0.724659,0.765549,-0.823449,1.031637,-0.584597,3.267439,1.148353,1.322651
matrix,1.954933,-1.24204,-0.447447,0.72243,-1.336227,2.659132,0.85712,1.393719
mathematical,-1.412884,2.38153,-0.509495,1.702932,-0.730395,3.165296,0.330559,2.0776
method,1.410311,1.102902,-0.954109,1.699594,-1.173899,2.92318,0.85088,0.953509
finite,1.37438,-0.533108,0.352546,-0.518853,-0.808737,3.718505,-0.286947,2.078889
result,0.817331,0.745163,-1.474031,-0.028689,-1.652334,3.207112,-0.067318,1.101397
vertex,-0.861182,-2.029756,-1.584219,-1.610384,0.189167,2.584387,1.300152,2.559435
term,1.30214,-0.067287,-1.409491,0.169729,-1.611593,3.065762,0.567515,0.874237
line,-0.59356,-1.379218,-1.409437,-1.245873,-1.344004,3.070544,1.001362,0.881537
model,1.120989,1.251506,-0.513171,0.599014,0.023652,3.239566,0.647391,1.289186
real,1.285314,-0.637377,-0.37443,-0.213531,-1.626682,3.432732,-0.079526,1.410428
property,1.409101,-0.152623,-0.054013,-0.413174,-1.200834,3.78717,-0.072576,0.905348
geometry,-1.183447,0.149986,0.597486,1.343054,-1.482355,3.401207,0.502962,1.465507
complex,0.581214,-0.913653,0.44105,0.277438,-1.542245,3.742044,0.333384,1.31257
linear,1.489741,-0.181713,0.321801,0.660943,-0.755617,3.665606,0.440205,1.565498
polynomial,2.432097,-0.616249,-0.574107,1.024417,-1.931837,2.354119,-0.353716,1.535821
algorithm,1.879667,1.193531,-1.207104,1.081217,-0.363976,2.076178,0.409826,1.815838
mathematician,-3.25967,1.984234,-0.811381,1.5407,-2.425639,2.140979,-0.275787,0.617058
definition,1.287461,0.068768,-0.215698,-0.252807,-1.466643,3.589385,-0.232948,1.138808
product,1.144693,-1.381575,-0.180573,-0.069481,-1.452456,2.982726,0.322141,1.466321
state,-0.707521,0.778611,-0.639263,-0.714026,-0.995139,3.14774,-0.169511,1.000891
sequence,1.653956,-0.784021,-0.96802,-0.104188,-1.493769,2.279207,-0.162428,1.623448
distribution,2.390875,0.234696,-1.326203,0.839582,-1.377805,2.190197,0.483359,0.486998
