word,1,2,3,4,5,6,7,8
number,1.922907,1.074869,0.502581,-0.020307,-0.848913,0.284237,-0.883172,-0.698786
function,1.020853,2.005494,1.274422,-0.162012,0.85862,1.479095,-1.135752,-0.671322
one,1.794828,1.413683,-0.685714,0.34575,-1.241985,0.290279,-0.520737,0.253921
set,1.167732,1.458147,-0.061746,0.432903,-1.199312,0.210081,-0.522211,0.063501
group,1.555647,0.972495,0.548912,0.464651,-1.011496,0.704944,-0.135574,0.755972
space,0.998983,2.221127,0.926013,-0.012439,-0.364372,0.092904,-0.067097,0.016294
two,1.945832,1.279878,-0.43204,-0.003973,-1.406637,-0.248034,-0.37961,-0.248105
theory,-0.249961,1.799896,0.431963,0.645091,0.52063,2.845983,-0.256909,-0.842005
point,1.507413,0.971867,0.204838,-0.491385,-1.31864,-0.272901,-0.853834,-0.376684
theorem,-1.850659,0.843507,0.657677,-0.286004,1.389132,1.140435,-0.60337,-1.615136
example,1.268995,2.186653,0.212753,0.578871,0.37997,0.850786,-0.6099,-0.47845
form,1.788542,1.822357,-0.200063,0.237428,0.082986,0.417122,0.059572,-0.321799
define,1.125925,1.822772,0.844489,0.235836,0.859594,1.380858,-0.903628,-0.605189
graph,-0.847312,1.526948,1.590684,0.023416,1.655315,0.487096,-0.623433,-0.851754
value,1.173815,1.769263,0.964109,-0.045977,0.435377,1.324098,-1.46935,-0.465809
problem,0.682114,1.842069,0.297546,-0.323043,-0.007616,1.643242,-1.280777,0.038318
mathematic,-0.145123,0.51537,1.554585,0.382231,0.844006,2.163934,1.054464,-0.153771
order,1.992897,0.425619,-0.731632,-0.031744,-0.498564,1.077261,-0.927972,-0.104163
equation,-0.963777,1.701964,1.147958,-0.328553,1.10187,1.278255,-0.82766,-2.146986
first,1.643783,0.575102,-0.306328,0.401296,-1.828498,0.401477,0.070197,0.374157
vector,-0.312322,1.945743,1.700156,-0.062061,1.00438,0.335021,-1.080322,-1.54546
algebra,-1.183823,0.876519,1.66155,0.08467,1.496176,1.058474,-0.053617,-1.632692
