word,1,2,3,4,5,6,7,8,9
number,0.491683,0.079104,0.387258,-0.536206,0.804899,-1.43699,1.906559,0.41432,0.262437
function,-0.182802,0.592704,-1.427379,-0.706167,0.541967,-2.602516,0.990713,0.969396,0.662822
one,0.629585,-0.08067,1.499172,-1.033435,1.033304,-0.75943,1.123574,1.018126,0.33362
set,0.141985,-0.050839,0.676458,-1.081953,1.16463,-0.882599,1.072586,0.943462,-0.297335
group,-0.035516,-0.997818,0.459777,-1.247491,0.556547,-0.765468,1.029103,0.403868,0.71254
space,0.186025,0.210678,-0.247651,-1.732896,0.602334,-1.839746,0.751834,0.500685,-0.653074
two,1.007503,-0.093252,1.414749,-0.953282,0.953964,-0.724459,1.477995,0.580002,-0.074019
theory,-1.437459,1.451665,-1.512603,-1.541769,0.586094,-1.365368,0.324494,1.322831,1.422094
point,0.734504,-0.077753,0.707981,-0.341175,0.477478,-0.884107,1.884252,0.604496,-0.363635
theorem,-1.082628,2.410977,-2.098712,0.148898,0.558531,-0.908818,0.129288,0.800188,-0.480774
example,0.050913,0.634455,0.228172,-1.139767,0.839185,-2.207783,0.586289,0.807533,0.646053
form,0.760551,0.490243,0.812919,-1.157992,0.564781,-1.58344,0.622545,0.383018,0.781721
define,-0.278742,0.702467,-0.902841,-0.639229,0.586875,-2.437421,0.810905,0.699242,0.937762
graph,-0.677953,1.643998,-1.702393,-0.135654,0.26881,-2.108836,-0.023503,0.298297,-0.758488
value,-0.149919,0.165957,-0.742363,-0.589949,0.545423,-2.451889,1.129949,1.167748,0.80565
problem,-0.108065,0.25316,-0.744068,-0.749373,0.466674,-1.559099,0.73619,1.923452,0.676843
mathematic,-1.09137,0.646612,-2.012314,-1.562848,0.272823,-0.646655,-0.043081,-0.337223,1.296669
order,0.915916,0.200435,0.354368,-0.142604,1.483465,-0.751212,1.182596,0.897866,0.946164
equation,-1.012059,2.312535,-2.353859,-0.267405,0.031692,-1.830051,0.710905,0.845584,-0.321965
first,0.576095,-0.601799,1.199595,-1.263248,1.169373,0.19351,1.349635,0.439529,0.330268
