word,1,2,3,4,5,6,7,8,9
number,0.300221,0.83147,-0.822666,0.235509,4.344505,-0.94327,-0.215037,1.801183,0.219032
function,-0.415115,-0.073049,-1.237258,2.976375,3.840334,-0.907021,0.61139,0.844461,0.816107
one,0.965039,-0.326232,-1.586479,0.550154,4.643017,-0.382964,-0.461875,0.667384,0.01998
set,-0.478254,-1.614454,-1.531039,0.829591,3.823793,-1.113378,-1.083612,1.470219,0.310741
group,-1.175789,-1.339208,0.094228,0.703116,3.977231,-1.170016,-0.714502,0.767939,-1.212134
space,-0.891558,-2.291642,-0.883152,1.718333,3.927851,-1.028578,-0.731227,0.145005,-1.018112
two,0.99071,-0.254992,-1.362805,0.369682,4.505918,-0.619274,-0.641069,0.349572,-0.558922
theory,-2.130667,-1.74478,-0.42042,0.450528,4.052451,0.216779,1.04765,0.670026,0.511399
point,1.046491,-0.393748,-1.536039,1.514619,3.886295,-0.760615,-0.501732,-0.054648,-1.028896
theorem,-1.134331,-0.956314,0.506193,1.957952,3.583689,1.054736,-0.124089,1.625567,-0.165269
example,0.144403,-0.347064,-0.868909,0.894059,4.072526,-0.772386,-0.367552,0.830554,0.383962
form,-0.01231,0.026037,-0.222934,1.338514,4.29208,-0.935945,-0.489339,0.303825,-0.315285
define,-0.021693,-0.802525,-0.726332,2.333463,3.936346,-0.762194,-0.684506,0.732215,-0.007206
graph,-0.57049,-1.698931,-0.694284,-0.508834,3.124196,-1.670308,-1.207709,0.295241,-0.199529
value,0.900143,0.330414,-2.250309,1.761182,3.648148,-0.875229,0.086835,1.09219,1.094468
problem,-0.641263,-0.741335,-0.91683,-0.188367,3.591516,-0.22743,0.368347,0.656292,1.266726
mathematic,-1.17594,-1.250714,-1.208067,-1.024125,3.675889,1.100606,1.695733,0.668792,-0.477788
order,-0.190215,-0.012266,-0.758629,0.627835,3.7395,-1.54195,-0.453917,0.886372,0.104489
equation,-0.497526,0.409553,-0.326996,2.296325,3.726068,0.187312,1.455332,0.17663,0.249718
first,0.089489,0.091552,-1.284011,-0.075086,4.029801,0.46968,0.543754,1.343569,-0.073146
