word,1,2,3,4,5,6,7,8,9
number,1.244508,-0.325897,-0.079579,1.39708,-1.079381,0.854682,-0.074712,-0.644999,1.143712
function,1.169791,-0.612214,0.139152,1.659343,-1.952124,-0.589113,-1.576496,0.273882,0.587736
one,0.697146,0.48233,-0.698531,1.860724,-0.63802,1.239974,0.56986,-0.445473,0.620895
set,0.482296,-0.113382,-0.912281,1.516802,-0.83784,0.953225,0.58255,0.146586,0.883713
group,0.559912,0.242559,0.747759,1.658812,-0.733228,0.757508,0.705606,0.262036,0.600412
space,1.083742,-0.389643,-0.486885,1.556242,-0.856737,0.703573,-0.443813,1.152216,0.835594
two,1.06685,0.264749,-0.695003,1.411228,-0.515916,1.514564,0.517173,-0.473682,0.983701
theory,-0.711634,-0.815421,0.221193,1.627576,-2.472276,-0.099342,-1.736976,0.330354,-0.989036
point,0.922174,0.051679,-0.312799,0.945114,-0.409245,1.06167,0.00271,-0.65026,1.519393
theorem,-0.640367,-1.196779,-0.903801,-0.551654,-1.464747,-1.257781,-2.007138,0.573808,-0.414588
example,1.032383,-0.417414,-0.440247,2.177524,-1.20448,0.187307,-0.814393,0.049497,-0.019804
form,1.351914,0.236308,-0.33123,1.779104,-0.678922,0.882768,-0.422584,-0.071013,-0.171441
define,1.077141,-0.514764,0.125601,1.838122,-1.676296,-0.345808,-1.337566,-0.041492,-0.011978
graph,0.439529,-1.529677,-0.403903,0.42809,-0.708771,-1.391747,-1.978846,1.048831,-0.073179
value,0.894899,-0.209194,0.093171,1.99853,-1.754628,-0.523624,-1.158583,-0.161969,0.713833
problem,0.165098,0.325388,-0.295142,1.675966,-1.908616,-0.220876,-1.128322,0.047534,0.691994
mathematic,-0.146663,-0.952886,1.409088,0.32288,-1.772881,-0.041846,-0.848697,1.274178,-1.205433
order,0.892506,0.639649,-0.559098,0.977411,-1.713053,0.523891,0.603024,-1.063317,0.356517
equation,0.169954,-1.643209,-0.786308,0.004104,-1.765295,-0.59256,-2.789442,0.270804,0.181471
first,0.458591,0.294424,-0.150099,1.126513,-0.896853,1.636636,1.276464,-0.339919,0.664637
vector,0.921399,-1.707112,-0.396615,0.880921,-0.988148,-0.796049,-2.293611,0.562555,0.647313
algebra,-0.034083,-1.867676,0.115943,-0.149335,-1.3414,-1.147236,-2.176958,0.885012,-0.584971
$\mathbb{N}$,0.337702,-1.887462,0.23179,0.615018,0.522078,0.901795,-0.666572,-0.211821,0.99343
field,0.649644,0.361729,0.470334,0.599518,-1.083939,1.509932,-0.417022,0.595456,0.837843
element,1.131194,-0.759267,-0.94761,2.074759,-1.176356,0.067433,-0.676034,0.296002,-0.116632
system,1.882009,-0.190685,0.626383,1.72288,-1.826255,0.038942,-0.62245,1.021632,1.15636
matrix,0.393783,-1.558455,-0.607678,0.866239,-0.780182,-0.503369,-1.977879,0.591858,0.668629
mathematical,-0.230178,-1.393079,0.817147,0.705326,-1.950679,-0.36228,-1.297581,1.387488,-1.111619
method,0.634339,-0.379358,-0.190718,1.822687,-1.896467,-0.195529,-1.835165,0.91737,0.163248
finite,0.545759,-1.937203,-0.819228,0.983605,-1.284797,-1.391989,-2.160354,0.283959,0.131361
result,0.828207,0.665231,0.152953,1.48648,-1.414016,0.298357,0.023606,-0.669693,1.524253
vertex,1.373587,-1.551328,-1.191278,0.097359,0.353108,-1.437004,-1.766536,0.345235,0.211372
term,0.374648,0.584375,0.236261,1.802439,-1.743197,0.260003,-0.462617,-0.437103,-0.031594
line,1.940469,0.168253,-0.734058,0.659808,-0.22641,1.311441,0.440395,0.262033,0.997868
model,0.540037,-0.918452,0.205518,1.237501,-1.105286,0.237047,-0.665333,0.900448,1.070509
real,-0.522113,0.111851,-0.316938,1.868542,-0.561991,0.369857,0.643804,0.144823,0.663041
property,1.366757,0.917615,0.124919,0.650275,-1.708849,0.75625,-1.032646,0.05835,-0.011668
geometry,0.94087,-1.60111,-0.619876,0.438365,-1.033394,-0.407252,-1.860885,1.272978,-0.596803
complex,1.560967,0.104215,0.176258,1.606459,-0.400253,0.52136,-1.021359,0.622471,-0.17319
linear,1.544656,-2.152776,0.13499,1.101865,-0.229501,-0.207368,-2.196577,-0.120788,1.069224
polynomial,-0.325836,-1.793539,-1.085866,-0.47547,-1.407932,-1.789151,-2.352055,-0.024833,-0.041909
algorithm,0.096269,-1.060131,-0.433903,0.796753,-1.445258,-1.384199,-1.859113,1.362608,0.608172
mathematician,-1.669843,-1.069232,0.708085,-1.245877,-1.133704,0.020677,0.075102,0.192433,-1.897203
definition,0.596884,-0.736047,0.203697,1.887133,-1.919714,-0.729677,-1.20186,0.284673,0.070251
product,1.210746,0.254296,0.594772,1.965314,-0.729,0.037873,-0.734155,1.745317,1.183604
state,0.26614,1.084502,1.180881,1.095516,-1.575465,1.240409,0.377175,-0.763999,0.552477
sequence,0.312565,-1.431017,-0.750918,2.020945,-0.403158,0.160162,-1.611778,0.042689,0.688313
distribution,1.441648,-0.407423,0.873488,1.502376,-0.432963,0.44854,-1.390496,0.434079,0.43356
variable,1.297609,-1.457846,-0.542913,1.463269,-1.080018,-0.636495,-2.328725,0.081345,0.859252
solution,0.818328,-0.085868,0.190519,1.519028,-1.677459,-0.564531,-1.407601,1.035954,0.820209
square,1.804742,-0.098526,-0.020456,0.127914,0.501493,1.41221,0.051975,-0.272213,0.662487
map,1.844198,-0.611722,0.204026,0.421174,-0.84757,0.893643,-0.411419,0.538761,-0.491291
class,0.905122,-0.062049,0.468733,0.575494,-0.964054,0.859541,0.266437,0.089065,0.977752
integer,0.695773,-2.471365,-0.902795,0.355751,-0.82186,-1.324389,-1.738855,-0.404461,1.018719
mean,1.046087,0.188961,-0.711674,2.170846,-0.491634,0.079546,-0.461456,-0.842779,0.117366
proof,-0.17222,-0.075325,-0.931131,0.878433,-1.45959,-0.537082,-0.887568,-0.003273,0.369036
three,0.959261,0.31154,-0.543041,1.256506,-0.458006,1.571065,0.720408,-0.439393,0.829651
