word,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
un,0.481598,-0.637865,0.396029,-0.639426,0.548346,-0.023186,0.219791,0.239855,0.117672,0.151437,-0.515412,0.57005,0.077349,1.238413,0.269624,0.264676,-0.561581,-0.078074,-0.201607,-1.000768,-0.318886,-0.811236,-1.080102,-1.685391,-1.718983,0.621292,-0.783952,-0.377993,-0.018312,-0.360493,0.217099,-0.661211,0.342046,0.280839,-0.644549,1.46909,0.339895,-0.687637,0.72463,0.573466,-0.073342,-0.026696,0.481256,-0.688431,-0.341736,-0.447271,-0.140909,-0.410299,0.373656,-1.220225,0.148153,-0.864891,-0.065259,-0.828039,-0.359215,0.380558,-1.434373,0.541742,1.198788,-0.712371,0.451,0.432528,-0.09967,-0.811305,0.200232,1.093599,0.474803,0.073528,-0.513925,0.055863,-0.651184,0.120872,-0.047767,0.320189,0.451951,0.778527,-1.113698,0.368244,-0.457386,0.589535,-0.121139,0.491614,0.335764,1.202616,-1.148512,-0.157443,-0.493621,-1.684364,0.634036,0.303898,-0.271932,-0.23477,0.160409,0.471685,-0.491349,0.102373,0.215277,0.910028,0.435949,1.609302
nombre,-0.889924,-1.153442,0.593275,-0.602907,-0.051462,0.364295,1.385319,0.751186,-0.45626,-0.302429,0.296933,0.234912,-0.328675,-0.319817,1.036379,1.398204,-1.191892,-0.018058,-0.281739,-0.285028,0.705409,-0.424141,-0.330703,-0.728639,-1.094659,0.254287,0.400666,-1.086133,0.560357,0.651108,0.034808,-2.227743,-0.395569,0.087525,-0.986032,0.515109,0.245303,-0.948218,0.266853,0.623388,0.347157,-0.275656,-0.081848,0.779929,-0.362867,-1.625611,0.00156,-1.384936,-0.542235,-0.837538,-1.222053,-0.262249,-0.163775,-0.921869,-0.173438,-0.484009,-0.825841,1.16282,-0.13447,-1.497555,0.21045,0.35387,-0.545335,-0.418511,-0.176854,1.052914,-0.144512,-0.194471,-1.203103,0.211939,-0.539107,0.253589,1.16895,0.95492,-0.030859,0.817119,0.213,0.223007,-1.682,0.890002,-0.37262,0.525784,0.546605,1.352012,-1.192,0.498886,-1.077626,-0.568039,0.154543,1.038077,1.466674,0.282938,0.228248,0.096908,0.208056,-0.181794,-0.660649,0.331741,0.351622,0.823221
$\mathbb{N}$,0.20039,-0.152095,0.819499,-0.420411,0.173537,0.28451,1.681986,0.16032,0.422187,-0.542309,0.254565,0.200472,0.130577,-0.345894,0.472666,1.137055,-0.079383,0.583952,0.171817,-0.692703,-0.283619,-1.32388,-0.360994,-0.19448,-0.75127,0.808918,-0.023658,-0.534808,0.412597,0.073465,0.66673,-1.254001,-0.512449,-0.081589,-0.654822,0.355023,-0.145021,-0.121531,0.506966,0.231367,0.152835,-0.529639,-0.155493,-0.444156,-0.425138,0.072723,-0.192136,-0.502362,-0.201802,-1.296711,0.032217,0.383571,-0.52054,-0.700236,0.494023,0.109982,-1.43211,0.839903,0.056428,-0.255456,0.449353,0.253948,-0.50249,-0.228751,-0.911012,0.574442,1.188466,0.580864,-0.619399,-0.467177,-0.180762,0.192213,-0.398681,-0.169312,0.035186,0.333811,-0.824195,0.368485,-0.514779,1.486079,-0.798233,1.025109,0.407056,0.939419,-0.905629,-0.154746,-0.966551,-0.451258,0.845321,0.026543,0.065768,0.414585,-0.128182,0.570667,-0.161379,-0.107146,0.136432,0.79081,-0.036797,1.030235
deux,0.5259,-0.269193,0.242837,0.289897,-0.933974,0.47478,0.10547,0.654357,-0.258166,-0.411358,0.321349,0.124037,-0.41446,0.597447,0.684646,-0.069081,-0.133679,-0.158069,0.370171,-1.148904,-0.474137,-1.167548,-1.052079,-0.868947,-1.324794,-0.636591,-0.370468,-0.426128,0.041976,0.248194,0.033726,-1.150653,0.245842,0.284149,-0.329462,1.273952,0.015156,-0.328561,0.19023,0.019727,-0.447898,0.162451,0.121177,-0.198948,-0.224519,-0.094923,0.12024,-0.711412,-0.067475,-1.677083,-0.246437,-0.893466,-0.064808,-0.884792,-0.828726,0.033545,-0.838522,0.667161,0.838531,-0.970156,0.257581,0.499719,-0.510874,-0.074675,-0.40781,0.397879,0.580322,-0.019588,-0.984527,-0.541186,0.361096,0.082851,-0.296758,0.274552,0.032329,1.137095,-0.320494,0.403369,-0.979483,0.048865,-0.337736,1.282853,0.06737,1.100521,-0.521816,0.761334,0.561745,-0.506404,1.198321,-0.283521,0.113256,0.37943,-0.227738,0.321932,-0.813387,0.009052,-0.465629,0.73913,0.997628,0.556172
fonction,0.481165,-0.586788,-0.017894,-1.353999,-0.451403,-0.031962,-0.159868,0.566678,0.067269,0.46154,0.050876,0.582331,-0.092487,-0.043769,-0.224292,0.397831,0.301037,-0.377616,-0.169429,-0.68752,-0.220247,-0.23599,-0.328519,-0.640128,-0.490214,0.221257,0.04582,-0.801982,0.488537,1.035301,0.50262,-0.942933,0.019562,0.567935,0.138246,1.361895,-0.423483,0.395427,0.12602,0.068661,0.395753,-1.545641,0.132509,0.1848,0.311045,-0.873649,-0.452673,-0.275303,-0.545446,-2.455482,-0.436392,-0.188022,-0.461732,-0.674744,-0.007183,0.429867,-1.145317,-0.702326,1.231262,0.243834,0.760439,0.968281,-0.42607,0.702005,-0.531451,1.198547,0.038166,0.870613,0.017984,0.226429,-0.557416,-0.718635,1.189719,-0.47699,-0.184815,0.671575,-0.432578,-0.412705,-0.946605,0.711628,0.455262,0.347079,1.140576,0.59683,-1.661199,-0.170321,-0.40442,-1.364038,1.03499,-0.098537,0.596246,0.941029,0.730978,0.801904,-0.209466,-0.516651,-0.675545,0.839018,0.774298,1.718392
premier,0.034344,-1.113727,0.714272,-0.421013,-0.266787,0.233419,0.796798,0.934168,-1.468115,-0.326765,-0.155707,0.561002,0.188332,0.144106,-0.036573,1.019513,-0.265036,-0.082059,0.210518,-0.061964,0.542132,-0.924062,-0.295932,-1.075632,-0.290389,0.045349,0.208462,-0.894991,0.375441,-0.159694,0.153672,-1.031492,-0.086281,-0.012163,-1.128398,1.060349,0.374094,-0.820285,0.227922,0.7105,-0.141878,0.146683,-0.210164,0.421784,0.251562,-0.645388,-0.228386,-1.333442,-0.828821,-0.874778,-0.308686,-0.205561,0.105562,-1.387442,0.413237,0.519453,-0.624764,0.526515,0.523019,-1.38239,0.15968,0.372423,-0.865547,-1.111421,-0.036249,0.389558,0.266312,-0.386001,-0.700172,-0.028167,-0.189039,0.665241,1.119085,-0.020942,0.276999,0.959202,-0.382155,0.863273,-1.415135,1.230314,-0.132671,0.971829,0.230821,1.042094,-0.32536,-0.302599,-0.221765,-0.555984,0.796649,0.452969,0.801335,-0.187811,0.515751,-0.020356,-0.491661,0.131666,-0.232714,-0.167302,-0.122076,1.000502
ensemble,0.827416,0.006852,1.097505,-0.108317,0.309433,0.592501,1.114637,-0.054292,0.650683,0.341019,-0.105835,-0.615406,-0.735944,0.169363,0.332665,-0.303314,0.002542,0.09221,-0.412515,-1.582304,-0.445109,-0.346708,0.077071,0.237567,-0.579461,0.120502,-0.095186,-0.360567,-0.08325,-0.314218,0.093497,-0.905779,-0.64447,0.094023,-0.324299,1.19591,-0.056708,-0.468687,0.663763,0.55118,0.715833,-0.277198,0.808012,-0.451947,-0.289093,0.274068,0.494292,-0.58596,0.276134,-1.378394,-0.580092,-0.200796,0.050821,-0.481727,-0.42953,-0.197385,-0.752334,1.025033,1.104284,-0.379797,0.065686,-0.119453,-0.076557,-0.358343,-0.131217,0.814294,0.690585,0.352534,-1.151943,0.959592,0.969708,0.637469,0.22746,0.673169,0.217531,0.431613,-0.545609,-0.68652,-1.953446,0.54543,-0.14188,0.889553,1.129162,0.661675,-0.830743,-0.100887,-0.214948,-0.90138,1.259093,0.200225,0.48624,0.092293,0.571729,1.154115,-0.051394,-0.712579,-0.416561,0.435434,0.546632,0.81345
point,0.869559,0.952426,0.089253,-0.126947,-0.909279,0.945526,0.711191,-0.203096,0.363402,0.576398,0.598577,0.23769,-0.490286,0.727004,0.857865,-0.105683,0.543285,0.48392,0.31242,-0.08543,-0.680798,-1.389747,-0.015847,0.243196,-0.09448,-0.204446,-0.181582,-0.854616,-0.613553,-0.046918,-0.68087,-0.241419,0.229233,0.168942,-0.803928,0.619808,0.413985,0.04517,0.128593,-0.534961,-0.558001,-0.340153,0.137996,0.093147,0.115309,-0.337598,-0.606045,-0.550246,-0.029068,-1.698972,0.172341,-0.077298,-0.592646,-1.186807,-0.561654,0.498064,-1.672887,0.905803,0.604297,-0.873241,0.261245,0.833714,-0.64846,0.097322,-0.517635,1.228935,0.775317,0.963334,-0.632665,-0.269848,-0.795222,0.130702,-0.350831,0.2142,0.253621,0.398512,-0.626819,-0.374317,-0.948001,-0.629741,-0.151139,1.145187,0.624086,1.55643,-0.844869,-0.609991,-0.211616,-1.001506,0.865845,0.719541,-0.340764,-0.454288,0.312506,1.077625,-1.015169,-0.454617,-0.406587,0.617187,0.500127,0.40447
théorie,-0.22506,-0.770417,0.609129,0.079787,0.445643,0.213068,0.75535,-0.663243,-0.589809,-0.051074,-0.155816,-0.07309,-0.217298,0.049333,-0.069888,-0.085372,0.01063,-0.431079,-1.352387,-0.530128,1.373187,-0.462015,0.521178,-0.022311,0.078502,0.15016,0.899737,0.029011,0.211177,0.315109,-0.162216,-0.855381,0.458044,-0.069299,-0.910402,1.135536,0.173712,0.427439,0.560905,0.680796,0.268857,-1.104168,0.780522,0.86858,0.483202,-0.653289,0.359215,-0.854351,-0.236368,-0.960435,0.109762,-0.579795,-0.140532,-1.41044,0.535233,0.43533,-1.170962,1.377624,1.243825,0.069985,0.078254,-0.241759,0.138939,-0.527971,0.111001,1.631551,-0.295435,-0.17804,-0.598811,0.935953,0.835986,0.249936,-0.160853,0.265091,0.608228,1.326186,-0.888023,0.078536,0.063644,0.497988,-0.541753,0.963572,0.518218,0.660311,-0.383652,-0.226908,-0.326844,-1.260889,0.678929,-0.943542,-0.660429,0.059254,0.198032,0.458708,-0.008786,-0.173799,0.123813,0.42199,0.770047,1.164851
exemple,0.39284,-0.105439,1.244886,-0.870055,0.128937,0.32677,0.370787,0.145067,0.082237,0.053597,-0.030508,0.878493,0.54803,0.590183,0.025223,0.209675,-0.888879,-0.239376,0.144587,-0.453133,-0.040662,-0.922181,-0.219775,-0.268635,-0.422027,0.224685,-0.020105,-0.308896,0.25498,0.220982,0.106118,-0.846283,-0.111161,-0.272167,-0.569716,0.846516,-0.424255,-0.633628,0.196872,-0.058194,-0.155401,-0.715731,0.232012,-0.238167,-0.28439,-0.62898,-0.445809,-0.299206,0.251057,-1.770739,-0.577977,-0.927147,0.115442,-0.529676,-0.071113,0.169546,-0.997732,1.191028,0.509237,-0.247537,0.462202,0.131833,-0.50988,-0.116748,-0.220293,0.751498,0.386886,0.162355,-0.359494,0.194304,0.039274,0.170552,-0.146836,0.491169,0.533108,0.630376,-0.780519,-0.399957,-0.515921,0.692214,-0.102756,0.816862,0.101213,0.662643,-0.527329,0.525595,-0.247102,-0.639147,0.535151,0.056854,0.582491,0.435588,-0.286223,0.690156,-0.669992,0.595511,0.282888,0.526024,-0.020829,1.218008
