word,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
un,-0.057371,0.054548,0.203024,-0.225853,-0.237473,0.137337,0.300117,-0.348857,0.09294,0.081502,-0.193609,-0.224127,0.743825,0.161426,-0.556962,0.370272,-0.181724,-0.61472,0.104365,0.038027,0.258416,-0.103867,0.430949,-0.090789,0.094125,-1.288941,-0.579464,-0.23355,0.070989,0.113906,-0.420694,0.389178,0.025062,0.407981,0.826487,0.318829,-0.067761,0.286547,0.57665,-0.376864,0.007659,0.459672,-0.507105,0.18984,-0.391611,-0.662064,0.019389,-0.330572,-0.027146,0.053707,0.222468,0.051696,0.223815,-0.584634,0.092905,-0.355945,-0.225352,0.113335,-0.40569,-0.248778,0.32922,0.214061,0.186801,-0.056531,0.169792,0.257863,0.413955,-0.501898,-0.207094,-0.37786,-0.128517,-0.352709,-0.198849,-0.648916,0.097963,-0.110504,0.272501,0.159234,0.35542,0.029609,0.413346,-0.030881,-0.291315,-0.27527,-0.337469,0.340903,0.049336,-0.190292,0.245723,-0.17551,0.213268,0.344911,0.5767,-0.481027,-0.15021,-0.058706,0.184215,0.057315,0.347796,0.09608
nombre,-0.132841,0.606096,0.339391,0.11233,0.49477,0.270155,-0.130154,0.029256,0.406702,0.501635,0.125575,-0.466727,0.452768,0.224951,0.231842,0.659053,-0.720532,-1.098304,-0.163407,0.195605,0.055357,-0.553705,0.352041,0.293891,0.042204,-1.523302,-0.21335,-0.630741,-0.390237,0.445354,-0.528771,0.14526,0.728306,0.591814,0.42413,-0.104259,-0.436316,0.322037,0.765448,-0.065697,-0.437354,0.000349,0.386656,-0.182993,-0.445386,-0.107325,-0.188228,-0.2731,0.54278,-0.170631,0.060992,-0.805872,-0.425977,-0.107287,0.457117,-0.079284,-0.115286,0.340572,0.24085,-0.632621,-0.252251,0.066229,0.163193,-0.159436,0.489226,0.153171,0.09194,0.075809,-0.271042,-0.465517,0.163438,-0.297866,-0.265033,-0.755145,0.278452,-0.299994,0.25074,0.065656,0.533094,0.352684,0.46769,-0.408536,-0.168579,-0.369374,-0.085465,0.458576,0.459787,-0.100359,0.085937,-0.216333,1.055133,0.183817,-0.041216,-0.669905,0.100152,0.098592,0.100755,-0.361619,-0.33558,-0.157778
$\mathbb{N}$,0.010527,-0.455677,-0.129827,-0.355859,0.243295,0.053379,0.235081,-0.011755,0.179118,0.354167,-0.43719,-0.200494,0.108743,0.030198,-0.008994,-0.097478,-0.64223,-0.829607,-0.144184,0.185997,-0.335393,-0.415598,0.172679,-0.018637,0.126859,-1.247995,0.011903,-0.169227,-0.140352,0.635534,-0.322285,0.153517,0.186006,-0.03695,0.062002,0.258926,-0.082747,0.52331,0.327795,0.194172,0.008835,0.28461,0.009395,0.160764,-0.197261,-0.233279,0.117862,-0.109675,-0.004197,-0.876279,-0.173375,-0.131712,-0.056409,-0.309393,0.144892,-0.115165,-0.333003,-0.055406,0.120199,-0.771581,0.435126,0.162772,0.278119,-0.348035,-0.034731,0.003642,0.13279,-0.739724,-0.05822,-0.534629,0.132349,-0.266896,0.116081,-0.422779,0.095207,-0.242731,0.249676,0.663682,0.483025,-0.052899,0.102952,-0.399218,-0.035819,-0.054721,-0.159563,0.054138,0.468183,-0.074067,-0.125669,-0.330606,0.035759,0.240732,0.371267,0.011042,-0.225841,0.382724,0.19002,0.164075,0.15803,-0.24232
deux,0.086838,-0.136634,0.378642,-0.270706,-0.129576,-0.371649,-0.035899,-0.171105,0.104853,0.009713,-0.025107,-0.185438,1.233383,0.196351,-0.36998,0.323406,-0.279279,-0.401958,0.001383,0.767013,0.209631,-0.268945,0.224184,0.385464,-0.207385,-1.265406,-0.264151,-0.358228,-0.115422,-0.019146,-0.486269,0.152661,-0.039859,0.390459,0.795942,0.200659,-0.249621,0.168029,0.342395,-0.033752,-0.260863,0.625255,-0.292373,-0.330536,-0.524025,-0.541741,-0.239095,-0.538087,0.103362,-0.034449,-0.401783,0.177712,-0.337191,-0.102993,-0.059384,-0.303058,0.105894,0.180416,-0.358822,-0.3109,0.302881,0.129817,-0.050742,-0.269676,-0.239019,-0.099435,0.205131,-0.678146,-0.280949,-0.488659,0.655221,-0.160928,-0.199447,-0.643768,0.153437,-0.740289,-0.072898,-0.24777,-0.120526,0.01568,0.46837,-0.274827,0.084368,-0.115069,0.024387,0.367463,0.029769,-0.135693,-0.437128,-0.199377,0.228927,0.161652,0.670704,-0.398181,-0.290104,-0.142411,0.107823,-0.039475,0.167475,-0.000372
fonction,0.367657,0.526236,-0.080545,-0.828578,-0.15523,0.327319,0.250587,0.151817,0.219029,-0.38564,-0.754614,0.768281,0.315314,-0.197629,-0.326923,-0.320967,-0.476488,-0.32848,-0.27051,-0.447659,0.603997,-0.41847,0.129854,0.625501,0.462658,-1.489465,-0.62112,-0.05505,-0.096299,-0.086799,-0.284279,0.784155,0.837954,0.728078,0.292283,0.168056,-0.013035,-0.273552,0.244685,-0.017574,0.160002,0.491422,0.640547,-0.048179,-0.676242,-0.210558,-0.983933,-0.177222,-0.340943,-0.191512,-0.426884,-0.624963,0.272146,-0.629704,0.671796,0.179045,-0.542172,-0.223405,-0.028368,-0.702294,-0.096567,0.177786,0.023992,-0.447759,0.322935,0.564777,0.908894,-0.164469,0.328035,0.198522,0.310316,0.032233,-0.010573,-0.554814,0.676455,-0.223738,0.469756,0.237019,0.863784,0.589515,0.389986,-0.754239,-0.072918,-0.305594,0.258155,0.265369,0.412311,0.227311,0.568312,0.869751,-0.297322,-0.537946,0.094425,-0.167755,0.247794,0.22896,0.418139,0.070556,-0.232172,-0.181343
premier,0.096999,0.364586,0.203016,-0.300728,0.02175,-0.16564,0.157582,-0.244071,0.045445,0.143027,-0.110442,-0.370683,0.922289,-0.151075,0.342063,-0.126863,-0.044825,-0.668009,0.029312,0.5094,-0.183132,0.176261,-0.049064,0.033809,-0.408608,-0.508543,-0.096262,-0.285357,-0.038382,0.119742,-0.456804,-0.298477,0.17137,0.353434,0.759075,0.437015,0.355248,0.39475,0.164837,-0.2187,0.050654,0.315218,-0.159941,-0.484149,-0.222568,-0.441166,-0.154163,-0.162463,0.238884,0.053953,-0.387123,0.492921,0.478653,-0.058088,-0.01146,-0.682203,0.037097,0.021026,-0.472799,-0.497532,0.318339,0.239162,0.008676,-0.113792,-0.456906,0.282862,0.478274,-0.538167,-0.328783,-0.300342,0.66448,0.127529,-0.496543,-0.857125,0.083887,-0.016093,0.018966,0.153916,0.023464,0.220035,0.06632,-0.393721,0.048223,-0.073759,0.361837,0.405206,0.163458,0.082683,-0.151613,-0.072049,-0.156566,0.047706,0.6094,-0.236962,-0.206449,-0.025217,0.229237,-0.296195,0.262636,-0.051016
ensemble,-0.249691,0.358788,0.028432,-0.067666,-0.333415,0.105269,-0.149784,-0.697776,-0.325104,-0.395965,0.02314,-0.001187,0.496755,-0.159871,-0.466459,0.913321,-0.42241,-0.427739,-0.38805,0.193324,0.285258,-0.048506,-0.223604,0.157551,-0.407106,-1.596664,-0.41271,-0.32171,-0.441671,-0.013423,0.303522,0.475153,0.35889,0.424769,0.476725,0.437017,-0.428428,0.214219,-0.022311,0.161681,-0.378875,-0.120858,-0.180086,-0.460528,-0.091513,-0.299278,-0.060936,0.003908,0.074338,-0.149677,-0.417651,0.178528,-0.454527,-0.120677,0.326125,-0.134097,-0.068768,-0.093943,-0.390645,0.218515,0.189065,0.15758,0.095657,0.223704,-0.005138,0.411137,-0.244954,-0.168346,-0.000883,0.294457,0.24518,-0.429398,0.257308,-0.302801,-0.129351,-0.382195,0.053051,0.259769,0.329089,0.073434,0.272428,-0.212466,0.286098,-0.168627,0.034452,0.292216,0.147338,-0.357643,-0.445514,-0.053068,0.313691,-0.443334,0.427873,-0.327837,-0.356362,0.211091,0.245647,-0.113081,0.133169,-0.2007
point,-0.524103,0.062852,0.077953,0.488313,0.242411,0.298841,-0.266587,-0.118538,-0.007963,-0.006891,0.149793,-1.129125,0.246452,0.076627,-0.307853,-0.633192,0.015838,-0.36979,-0.092385,0.031015,0.376817,-0.600704,0.193145,-0.125866,0.267291,-0.968765,-0.237187,-0.244283,-0.446287,0.521986,-0.608963,-0.260295,0.379443,-0.325525,0.215562,-0.287743,-0.870658,0.005318,-0.288373,0.513313,-0.36779,0.636187,-0.241098,-0.158429,-0.487291,-0.683729,0.154576,0.26051,0.062819,-0.380134,0.02022,-0.434995,-0.474365,-0.037879,0.901194,-0.370621,0.264175,0.34764,0.08357,-0.526832,-0.383385,0.581144,0.314945,-0.795759,-0.186961,-0.16666,0.790195,-0.358034,-0.306309,-1.206575,0.361653,-0.131824,-0.703695,-1.032764,0.16473,0.088923,0.355762,-0.094203,0.314948,-0.253385,-0.242732,-0.485076,0.026702,0.321719,0.074788,0.121799,0.224657,-0.262189,-0.586541,-0.185096,0.416471,0.227574,0.99895,-0.00587,0.13416,-0.467361,-0.323725,-0.335925,0.194101,-0.182391
théorie,0.278498,0.353185,-0.12897,0.768851,0.600808,0.783657,1.133524,-0.351997,0.279809,-0.683678,0.668811,-0.665123,-1.223442,-0.668937,-0.014002,0.267761,0.378833,-0.456746,0.382504,0.111906,0.231688,-0.029703,0.678053,0.57635,0.269023,-1.575519,-0.2795,0.812186,-0.666178,-0.810947,-0.05236,0.481484,0.461251,0.343133,-0.03146,0.489629,-0.07141,-0.018578,-0.046653,0.699597,0.325563,0.15135,-0.414555,0.171273,-0.707562,0.805702,-0.38009,0.687137,-0.136174,-0.72882,-0.459816,-0.755107,-0.34333,-0.483555,-0.185936,-0.297666,0.440042,0.565058,-0.947796,-0.840241,0.504672,0.152774,-0.364991,0.306246,0.54311,0.78495,-0.228931,-0.255498,-0.774954,-0.22571,-0.188502,0.17892,0.505443,-0.403505,0.018738,0.488924,0.808315,0.82921,0.87638,0.106408,-0.258773,0.143209,0.089741,-0.518927,-0.337855,-0.515147,-0.176292,-0.379299,-0.151795,0.169222,-0.282464,0.564279,0.036785,0.388196,-0.360136,0.095327,0.990418,-0.30297,-0.0958,0.28568
exemple,-0.021285,-0.154789,0.123498,-0.239455,0.022675,0.288044,0.52655,-0.010414,0.278393,0.145146,-0.174548,0.016858,0.075031,-0.018696,-0.614476,0.736567,-0.306574,-0.684612,-0.418463,-0.120283,-0.078006,-0.482806,0.249387,0.027728,0.162685,-1.354279,-0.036124,-0.282993,-0.293763,0.195637,-0.356228,0.402988,0.262105,0.088197,0.009296,0.285988,-0.28704,0.304747,0.139393,0.016048,-0.036457,0.319736,-0.429026,0.290794,-0.190207,-0.087263,0.043252,0.202045,-0.101046,0.159807,-0.3693,-0.579328,0.010252,-0.47301,0.226138,0.054755,-0.811765,0.390038,-0.009151,-0.284059,0.276344,0.439189,-0.343043,-0.498956,0.224664,0.41118,0.45052,-0.046656,-0.282784,-0.019065,-0.256997,-0.345646,0.260978,0.047481,0.120781,0.264104,0.472069,0.563493,0.831406,0.27991,0.250142,-0.18326,-0.362666,-0.628218,-0.211776,-0.157458,0.268838,-0.14851,0.343558,-0.286494,0.478299,0.363795,0.418224,-0.253425,-0.532879,0.3822,0.327454,0.145914,0.136725,0.11605
