word,1,2,3,4,5,6,7,8,9,10
un,-0.796781,0.192867,-3.626898,-0.255264,1.59752,2.122068,1.449278,-1.732144,-1.016009,-0.73919
nombre,-1.067936,1.09039,-3.75614,0.607602,0.839874,0.100218,2.029919,-0.669314,-3.015091,-0.495524
$\mathbb{N}$,-1.39792,0.638126,-2.595171,-0.044816,1.340658,1.878977,1.575889,-0.023153,-2.191726,-1.619089
deux,-0.987491,0.41663,-3.207705,-0.127735,0.904776,2.015275,0.794525,-1.307636,-1.510776,-1.752267
fonction,-1.946029,0.324249,-2.988245,-2.364932,1.786877,1.337669,1.064145,-0.091892,-1.550149,-0.039355
premier,-0.231916,0.643256,-3.134792,0.114782,0.491128,0.379639,2.327649,-1.416182,-2.105635,-0.897357
ensemble,-1.792268,-0.337796,-2.333849,-0.142585,2.766099,1.479134,1.085711,-0.868953,-1.607305,-1.515676
point,-1.858723,0.883695,-2.433407,-1.140253,0.768822,2.652525,-0.16037,-0.713523,-0.670629,-2.185886
théorie,-0.273525,0.480112,-2.283756,-1.407584,2.381223,0.343126,2.232295,-2.105625,-0.032307,-0.19618
exemple,-1.488414,0.82426,-2.837873,-0.222267,1.469068,1.563575,1.467355,-0.668918,-0.982091,-0.865488
espace,-1.662785,-0.373526,-2.095825,-1.733433,3.115942,1.734379,-0.356609,-1.124754,-0.948331,-1.524531
théorème,-0.105185,1.989792,-2.061594,-1.861827,2.899595,0.240688,0.875916,-0.763458,-1.772438,-0.19533
problème,-0.620569,0.859011,-2.452716,-0.180747,1.833451,0.955332,2.118996,-0.917686,-0.260465,-0.254713
valeur,-2.163121,0.128263,-2.927673,-0.483305,0.613103,2.043171,1.610786,0.470661,-1.165353,-0.575936
groupe,-1.203539,-0.632272,-2.231163,-0.491529,2.224788,0.685409,-0.049354,-1.934093,-0.988601,-1.432851
graphe,-0.68746,-0.578761,-2.397367,1.619287,2.343829,-0.240803,0.043879,-1.8461,-1.770418,-1.15408
forme,-1.556369,1.094017,-2.946859,-0.861002,1.602153,1.168406,0.449197,-0.661706,-0.960169,-0.31015
entier,-1.776946,0.768712,-2.94471,-0.126062,1.168277,0.462463,1.354654,0.025411,-2.821941,-0.968295
système,-0.961739,0.064301,-2.831599,-0.446451,1.172435,1.384059,1.745316,-1.069697,0.299154,0.390504
équation,-1.205295,1.23002,-2.513736,-2.767865,1.090268,1.093281,0.820323,-0.41211,-0.533069,-0.070542
suite,-1.17227,0.090544,-2.449887,-1.014315,1.173729,0.587687,1.29771,-0.005006,-2.550398,-0.292117
algorithme,-1.285675,0.342351,-2.016949,0.260619,1.781156,0.402643,2.890268,0.051884,0.033005,0.466281
calcul,-0.854224,0.949087,-2.933632,-0.947706,0.823356,0.922261,2.304027,-0.627759,-0.031042,0.488349
application,-2.120548,0.102553,-1.883018,-1.589974,1.69603,0.600763,1.298255,-1.376448,0.51442,-1.360791
élément,-1.632034,0.488286,-2.483378,0.170137,1.25195,1.028281,0.554411,-0.675444,-1.463132,-1.439784
grand,0.472548,0.020755,-2.614837,-0.249381,0.097208,1.755069,1.334001,-1.282232,-1.493694,-0.51135
propriété,-1.275711,0.861863,-2.468803,-0.594475,2.32148,1.373105,0.690676,-0.53177,-1.023425,-0.775844
ordre,-1.103946,-0.506544,-2.81724,-0.241516,1.018093,0.613954,0.82062,-1.090251,-2.132358,-0.564345
variable,-2.433968,-0.332616,-2.439471,-1.151879,1.085482,1.61828,1.68546,0.328225,-0.140605,-0.070479
base,-1.538009,0.32675,-3.169433,0.04023,1.120097,0.921288,0.493999,-1.053254,-0.901818,-0.475495
géométrie,0.109255,1.27178,-2.319452,-1.866326,1.656907,0.471282,0.371553,-2.544676,0.211774,-0.418373
analyse,-0.641952,0.368682,-2.366359,-1.799568,1.221719,0.71866,1.869022,-1.713743,0.858069,0.382449
loi,-1.254771,0.070532,-2.413537,-2.118668,0.695162,1.014221,0.737023,0.098821,-1.098381,0.803888
définition,-1.252452,0.66948,-2.366083,-1.011797,2.307771,1.37253,0.81296,-0.668962,-0.714631,-0.578011
réel,-1.712739,0.475796,-2.507492,-1.674623,1.840311,1.568529,0.551288,-0.093263,-1.587025,-0.566376
dimension,-1.716693,0.666521,-2.40596,-0.579717,1.709809,0.967364,-0.166411,-1.26225,-0.919431,-1.398344
statistique,-0.522258,-1.289706,-2.307762,-1.275737,-0.127651,0.808689,2.412818,-1.72233,0.999975,0.466173
sommet,-1.179996,-0.008808,-2.469286,2.087239,0.398581,1.333466,-0.343763,-1.325019,-1.572802,-2.557119
logique,0.003586,1.990971,-1.596297,-0.272814,2.414519,-0.047706,2.159886,-1.305907,0.371941,-0.004549
terme,-1.058419,0.740055,-2.597135,-0.273848,1.118003,1.382227,1.370804,-0.137805,-0.92598,-0.153133
trois,-0.275571,0.703173,-2.551415,0.203903,0.151976,1.524802,0.790614,-1.469727,-1.29877,-1.762158
plan,-1.150331,0.977303,-2.251885,-0.917599,0.93891,2.243296,-1.185987,-1.46098,0.028734,-1.767615
formule,-1.236058,2.248163,-2.366995,-1.06329,1.760155,0.669236,1.118991,0.336391,-1.03344,-0.108523
droite,-1.425848,0.883661,-1.926156,-0.978946,-0.010443,2.494607,-1.070424,-0.687667,-0.775622,-2.54792
$\mathbb{C}$,-2.117269,0.699131,-1.54196,-0.057642,0.669413,1.210809,0.459567,-0.29272,-0.925284,-2.499383
solution,-1.764359,1.083718,-1.866544,-0.996056,1.39708,1.248916,1.689802,0.05321,-0.344528,-0.873647
modèle,-1.008253,-0.018303,-2.022033,-0.561939,1.615331,1.185298,1.845073,-0.588301,0.555314,0.49232
linéaire,-2.176017,-0.109748,-2.380991,-1.698048,2.144308,0.983719,0.951081,-0.731904,0.108483,0.01808
probabilité,-1.096817,-0.431993,-2.151413,-1.065641,0.622644,1.419608,1.958414,0.044512,-0.887726,0.095041
série,-1.159673,0.778187,-2.619428,-1.645271,0.359348,-0.106656,1.284844,-0.594845,-0.895526,0.262319
somme,-1.641399,0.819117,-3.243446,-0.132732,0.386031,0.401353,0.7035,0.022027,-2.455691,-0.126448
