word,1,2,3,4,5,6,7,8,9,10
un,1.127287,1.141266,-0.039647,0.007415,-0.301077,1.96947,-0.365443,-0.981094,-1.026923,-2.228306
nombre,0.589406,0.340986,0.391234,-0.932505,0.128124,1.915286,-1.43869,-0.770349,-0.791857,-1.031695
$\mathbb{N}$,0.443362,1.007299,-0.053529,-0.469973,-0.273126,1.808732,-0.464955,-1.185284,-1.175905,-1.064215
deux,0.086678,1.281072,-0.128133,-0.112102,0.2346,1.792159,-0.221563,-0.667596,-0.494339,-2.078772
fonction,0.423451,-0.157742,0.081734,-0.027841,-0.858267,1.288205,-1.912007,-0.576267,-1.057618,-0.88461
premier,-0.123119,1.111963,-0.295715,-0.486433,0.215888,0.636019,-0.371616,-1.379474,-0.753201,-1.963143
ensemble,0.698217,0.827365,0.684853,0.07426,-0.451627,0.962914,-0.791221,-0.398017,-0.4545,-1.559548
point,0.160814,1.229232,0.076314,-0.876075,0.905993,1.605752,-1.230541,-0.642913,0.201149,-0.783512
théorie,1.974953,0.173486,0.7593,0.256535,-0.961668,0.107924,-1.242568,-0.273221,-2.281768,0.679074
exemple,1.46358,0.674562,0.727443,-0.200186,-0.954845,1.484966,-0.768465,-0.274353,-0.874236,-0.722806
espace,1.23903,0.558739,0.910446,0.464492,-0.593933,1.049938,-1.439654,0.14887,0.086447,-1.55877
théorème,0.480838,-0.454522,-0.109943,0.396391,-0.534288,0.688871,-1.241418,1.453712,-1.171392,2.275132
problème,1.303743,0.561997,-0.369209,-0.076477,-0.582782,1.331116,-1.379785,-0.97291,-1.218161,-0.085159
valeur,1.181097,0.279896,1.128311,-0.361598,-0.677394,1.68336,-1.836496,-0.494227,-0.98606,-0.339657
groupe,1.066911,1.280294,-0.270842,-0.440529,0.254615,0.107751,-0.555872,-1.548287,0.314487,-1.07136
graphe,0.933005,-0.969815,1.481156,0.12603,-1.017591,0.885535,-0.856503,1.027917,0.87362,1.029253
forme,1.290205,0.761764,1.143657,-0.034954,-0.824,1.980926,-0.070799,0.261144,-0.55903,-1.243405
entier,0.988198,0.492495,0.7084,-0.116045,-0.434156,1.353445,-0.368613,-0.507914,-0.494507,-0.976071
système,1.790856,0.260321,-0.13725,-0.754193,-1.308134,1.510263,-1.80207,-0.205098,0.034904,-0.802179
équation,0.983713,0.247809,-0.040561,0.036113,-0.555454,1.330442,-1.855982,1.612138,-1.585342,1.979666
suite,-0.096604,0.804277,-0.644712,-0.539617,-0.121821,0.881105,-0.492148,-1.453853,-1.00842,-1.223481
algorithme,1.04614,0.122396,0.12366,-0.036403,-1.897971,0.852208,-1.337944,0.586716,0.562624,1.326921
calcul,1.00067,0.296411,0.450706,-0.30339,-1.16286,1.32869,-2.254393,0.422026,-0.539037,0.613553
application,1.246082,0.286254,-0.097268,-0.8506,-2.263878,0.534678,-2.550725,0.016428,-0.260517,-0.56581
élément,1.407636,0.618911,0.982526,-0.180429,-1.10528,1.703437,-0.535302,0.212371,-0.900122,-0.847202
grand,0.388784,0.637034,0.275032,0.121039,0.455287,1.015625,0.146358,-0.68875,-0.819546,-2.390739
propriété,0.702375,-0.481513,-0.235074,0.029643,-1.209848,0.900553,-0.866294,0.683451,-1.168549,-1.440661
ordre,-0.290598,-0.308968,0.17867,-0.502621,0.032189,0.856963,-0.099711,-0.899905,-1.808253,-1.497586
variable,1.615524,0.707816,0.914637,-0.759661,-0.286819,1.944261,-1.605518,0.806386,-0.037917,0.117284
base,1.481049,0.276703,0.221677,-0.920091,-0.64098,1.2906,-0.868494,0.331762,-0.110238,-1.517935
géométrie,1.008618,-0.306861,1.451994,0.547933,-1.054046,0.811962,-1.381074,1.444789,-0.365358,0.765965
analyse,1.806922,0.666582,0.89768,0.19352,-0.725974,0.068406,-1.746357,-0.256581,-1.617317,0.087474
loi,-0.124517,-0.194209,-0.29724,-0.882518,-0.718508,0.428573,-1.902642,-1.357713,-1.894844,-0.461153
définition,1.376452,0.147956,1.439295,-0.406928,-1.080077,0.958417,-1.849965,-0.21935,-0.801584,0.083013
réel,1.283552,1.245192,0.399827,0.120349,-1.184536,1.323843,-1.298964,-0.940562,-0.954961,0.049065
dimension,1.114654,1.09752,1.183275,-0.332346,-0.99897,1.321738,-0.961093,0.292373,-0.182775,-0.229985
statistique,0.44161,0.202601,-0.226312,-0.541032,1.449852,-0.198024,-1.923924,-1.176697,0.93436,-0.512895
sommet,0.911967,0.080675,0.420561,0.079249,0.8051,1.778616,0.641685,-0.168824,1.016694,-1.736466
logique,0.805551,0.142252,1.306256,0.178994,-1.420714,0.595575,-1.623648,-0.548879,-1.030072,0.749191
terme,1.296645,0.049391,0.700541,-0.124821,-0.53799,1.218724,-0.654926,-1.239238,-0.786067,-0.716627
trois,0.022652,1.207563,0.016816,-0.160367,0.312494,1.489758,-0.308142,-0.619683,-0.418394,-2.030156
plan,0.431239,0.297279,0.25341,-0.081509,-0.773109,1.102704,-0.938813,-0.138068,-0.462083,-1.587608
