word,1,2,3,4,5,6,7,8,9,10,11
un,-0.007676,3.190998,0.161775,-1.241377,-0.73951,0.400609,-0.1122,0.435615,-0.277411,-1.239763,0.577153
nombre,0.896219,1.260644,0.132062,-1.156215,-0.688703,-0.703963,-0.860341,0.704764,0.196432,-1.059423,1.496808
$\mathbb{N}$,0.84227,2.006164,0.216974,-1.475359,-1.002782,-0.070761,0.167704,0.52059,0.224091,-0.595192,0.731427
deux,0.450842,2.315037,0.324173,-0.580636,-1.201631,0.89523,-0.041609,0.468719,-0.425427,-0.965539,1.150416
fonction,1.29995,1.101852,0.846808,-1.195225,0.206935,-0.72471,-0.962359,0.093327,0.235605,-1.655574,0.618552
premier,0.606661,2.213142,0.983101,-0.507104,-0.566988,1.14546,-0.13932,0.564519,-0.019457,0.094448,0.797569
ensemble,0.572658,1.678615,-0.206986,-0.611402,-0.57837,0.127855,-1.019142,0.423051,0.152995,-1.066959,0.120994
point,0.411242,0.805084,0.240006,-0.673634,-1.041142,0.328488,-0.375464,1.578919,0.422295,-0.790871,1.540952
théorie,1.681183,1.288277,-1.008958,-1.292297,1.916411,-1.260722,-0.443701,-0.028899,1.220707,-1.191675,-0.198224
exemple,0.746689,1.911842,-0.755095,-1.018239,-0.265776,-0.829331,-0.616421,0.623449,0.140359,-1.277224,0.093735
espace,-0.106478,1.153789,-0.662819,-0.695038,-0.455257,0.070642,-1.739014,0.63388,0.253967,-1.842093,0.070298
théorème,2.20092,-1.124079,-0.823167,-0.921847,0.959756,-0.842283,0.054328,-0.408976,0.148406,-2.126984,0.108375
problème,0.906557,1.301078,0.255333,-1.642235,0.317788,-0.95428,0.106953,0.872014,0.565283,-1.405784,0.213582
valeur,0.983297,1.242996,-0.408255,-1.443503,-0.41377,-1.267338,-1.148504,0.718601,0.757745,-1.529153,0.566044
groupe,0.1221,1.81604,0.530745,-0.081406,-0.245029,0.621566,-0.142771,1.707366,0.792536,-0.0015,0.191754
graphe,0.600546,-1.174627,-1.545989,0.212659,-0.02443,-1.304256,-0.021408,-0.044062,-0.351875,-1.852869,0.746915
forme,0.306907,2.115906,-1.324158,-0.648247,-0.94519,-0.494992,-0.746473,0.115518,-0.301252,-1.326804,0.366133
