word,1,2,3,4,5,6,7,8,9,10,11
un,-1.849537,0.454559,1.338491,0.145546,-0.04364,0.798556,2.389828,0.282901,-3.691529,1.60505,-0.025374
nombre,-0.308484,0.23941,1.421153,-0.670585,-0.65266,-0.460946,3.435216,-1.296739,-2.603894,2.798798,-1.163492
$\mathbb{N}$,-1.481606,0.795229,-0.001392,-0.261587,0.419736,-0.9623,2.833379,0.027956,-2.94656,1.985721,-0.089559
deux,-2.118395,0.998218,1.348434,0.337192,0.468849,-0.346916,2.302173,0.20925,-2.535686,2.092605,-0.202542
fonction,-0.674671,0.347037,0.110781,0.237042,-1.270606,0.156901,3.71432,1.310215,-2.639492,1.336996,1.323244
premier,-0.396992,0.61303,1.921249,-0.320689,-0.249927,-0.438647,2.580907,-1.081053,-2.948212,1.3936,-1.056785
ensemble,-1.864408,0.230374,-0.815918,0.947736,-0.020631,0.004535,2.587208,0.669198,-3.299258,1.791968,-0.659879
point,-1.978043,2.039771,0.874014,0.646088,0.845118,-0.103759,1.958365,1.162136,-1.801184,2.34145,1.235478
théorie,0.35361,0.393091,0.878546,1.209185,-0.0945,1.650549,1.917662,0.494071,-3.799004,0.016562,-0.452763
exemple,-0.960886,0.169495,0.57745,0.068735,0.308821,-0.040557,2.383457,0.088919,-2.965619,1.903685,0.33512
espace,-2.01595,0.860338,-0.566218,1.966631,0.043409,0.971237,2.788561,1.848327,-2.262666,1.305652,0.034458
théorème,0.721212,1.550668,-0.064596,0.338968,0.285225,1.282099,3.750017,0.5727,-2.368547,0.465381,-0.696325
problème,0.205207,1.175867,0.789272,-0.456657,0.247144,1.411032,1.567976,-0.184191,-3.371699,1.479154,0.20266
valeur,-1.389783,0.238633,0.50948,-1.000574,-0.555764,-0.631568,2.59362,0.324468,-2.717978,2.266317,1.382929
groupe,-1.685043,-0.016953,0.328676,2.183743,-0.215756,0.351764,2.112851,0.684873,-2.178756,1.237745,-1.042858
graphe,-0.866403,1.398088,-0.321072,0.300433,-1.024914,1.676215,1.38665,-0.446333,-1.788773,3.107627,-2.438437
forme,-0.695775,-0.094615,0.810459,0.670726,0.454086,0.44806,3.000765,0.387628,-2.176359,1.643141,0.542542
entier,-0.594115,-0.011435,0.429719,0.019156,-0.173683,-1.20134,3.74331,-0.533378,-2.119368,2.218111,-0.379992
système,-0.749228,-0.99854,1.001583,0.22629,-0.072257,0.78776,1.474393,0.27934,-3.285756,0.83718,0.763794
équation,0.090004,0.982272,1.103208,0.494986,-0.346304,0.777277,2.987813,1.218538,-1.903913,0.613669,1.704059
suite,-0.552018,0.384488,0.206106,-0.213985,-1.110756,-0.555144,3.213636,0.014837,-2.330937,1.266473,-0.052976
algorithme,0.764108,-0.272515,-0.241745,-1.123116,-0.899186,0.698508,1.220313,-0.46763,-3.71233,1.44882,0.753036
calcul,0.135501,-0.428099,1.751788,-0.315092,0.088593,0.618945,2.069019,-0.018989,-3.215672,0.777791,1.297835
application,-0.267107,0.517774,0.328546,2.069771,-0.281766,0.050599,1.231308,1.211536,-3.135859,1.391942,1.256222
élément,-1.631487,-0.412136,0.465965,0.983571,0.412268,-0.74678,2.55911,0.011431,-2.124084,2.07807,-0.177371
grand,-1.634044,0.80179,1.95212,-0.659282,-0.302024,0.056917,1.847596,-0.25606,-2.369552,0.533317,-0.490846
propriété,-0.780913,0.637901,-0.138985,0.400421,0.332058,0.886702,2.694207,0.546079,-2.466251,1.794413,0.105705
ordre,-1.220469,-0.166354,0.757238,0.575464,-0.921568,-0.428127,2.546867,-0.148364,-2.048861,1.552447,-0.696385
variable,-0.677801,-0.228699,0.004501,-0.094628,-0.832709,-0.274339,1.920593,0.838716,-2.859679,1.615007,1.92174
