word,1,2,3,4,5,6,7,8,9,10,11
un,-0.105557,-1.233865,0.09341,-1.015997,0.988941,-1.155262,0.566179,0.912312,-2.594075,-0.681484,-0.519303
nombre,0.330637,-1.569565,0.351782,-2.052126,0.66545,-0.617704,0.313326,0.559618,-1.08711,0.046629,0.115563
$\mathbb{N}$,-0.054903,-0.963727,0.606719,-1.473209,0.925669,-0.933583,0.914748,0.902843,-1.221971,-0.527745,-0.602961
deux,-0.347065,-1.587991,-0.136079,-0.575531,1.155756,-0.958659,0.701901,1.033551,-1.699889,-0.674465,0.246973
fonction,0.468437,-1.79022,0.17603,-1.550176,-0.66493,0.111632,0.063047,0.559003,-0.966292,-0.757085,-0.806684
premier,-0.029114,-0.738637,0.581996,-0.518834,0.653174,-0.29066,0.791436,1.391695,-1.577367,-1.201915,0.65472
ensemble,-0.151652,-1.014478,-0.078387,-0.657482,0.004592,-0.054753,0.336174,0.700206,-1.958578,0.134991,-0.22043
point,0.147958,-1.409712,0.211982,-1.378581,0.731154,-0.794843,1.007976,0.114578,-0.744822,0.134622,1.070476
théorie,1.964974,-0.797558,1.124608,-0.72176,-1.105841,0.047243,0.403448,0.222791,-1.05832,0.481718,-2.197899
exemple,0.502801,-0.981395,-0.120453,-1.27989,0.185721,-0.462991,0.487617,0.507366,-1.675686,0.66906,-1.176149
espace,-0.318022,-1.420636,-0.383372,-0.896567,-0.62361,-0.370402,-0.095979,-0.045168,-2.130101,0.896135,-0.22565
théorème,1.525314,-1.229724,-0.475764,-0.351279,-1.10613,0.030144,0.451211,-0.432223,1.605255,0.566767,-1.779041
problème,0.901937,-0.916852,0.372716,-1.894572,-0.283982,-0.659001,0.960262,-0.07367,-1.109299,-0.428154,-1.034802
valeur,0.328137,-1.564973,0.484589,-1.998552,-0.114542,-0.132141,0.355248,0.316456,-1.231096,0.804432,-1.052153
groupe,0.308113,0.026525,0.326774,-0.737086,0.450753,0.070198,1.438373,0.082928,-1.87482,-0.457435,0.787163
graphe,0.434916,-1.117745,-0.998047,-0.582412,-0.20115,1.129211,-0.695822,-1.150961,0.254542,2.07318,-1.142006
forme,0.115142,-1.323379,-0.4825,-0.653558,0.804815,-0.66484,0.156707,0.646509,-1.890921,1.024087,-1.136601
entier,-0.041151,-0.894697,0.129933,-0.971645,0.499459,-0.491287,0.182849,0.206498,-1.348345,0.650701,-0.677795
système,1.333861,-1.43459,-1.170822,-2.01337,-0.173033,0.232622,0.521532,0.034146,-1.739023,0.129209,-0.546174
équation,2.097466,-2.035147,-0.410039,-0.510016,-0.731436,-0.442504,0.777097,-0.093392,1.100132,0.745158,-1.786679
suite,-0.079079,-0.49704,0.542047,-1.157713,0.606708,-0.485719,0.846677,1.152807,-0.993995,-1.254729,-0.003947
algorithme,1.083253,-0.833744,-1.354998,-1.0557,-0.572037,0.958972,1.001811,-0.478281,0.079796,0.900461,-1.543876
calcul,1.366757,-2.050142,-0.783501,-1.737275,-0.964725,0.361508,0.490675,0.02235,-0.249336,0.829325,-1.199428
application,1.126855,-0.982328,-1.223396,-2.535858,-1.270335,0.781358,0.648582,0.714838,-1.259021,0.189516,-0.740706
élément,0.71939,-1.441272,-0.283817,-0.859091,0.33343,-0.326503,0.20414,0.769051,-1.692145,0.915023,-1.393388
grand,-0.452584,-0.893983,0.447759,-0.143695,0.819542,-0.882359,-0.164149,0.988313,-2.094347,-0.579745,0.298603
propriété,0.190161,-0.788931,-0.755411,-1.026726,-0.573475,-0.699119,-1.101153,0.777041,-1.216359,-0.446013,-1.039605
ordre,0.473142,-0.959312,0.962423,-0.700463,0.691635,-0.30498,-0.577209,1.61009,-0.690462,-0.999127,-0.396043
