word,1,2,3,4,5,6,7,8,9,10,11,12
un,0.289828,-1.01819,-1.64716,0.639452,0.004986,-0.184205,-1.82842,0.972004,-0.212201,0.512364,-0.16877,2.262762
nombre,0.143061,-0.78077,-1.285992,0.295277,-0.406722,1.718722,-0.448424,0.28524,-0.024048,0.372789,-0.828442,1.842904
$\mathbb{N}$,0.152726,-1.202179,-1.225508,0.951106,-0.572075,0.524656,-0.884223,0.858406,-0.335083,-0.11998,-0.335182,1.684928
deux,0.237894,-1.279779,-2.087302,0.167146,-0.4423,-0.201398,-1.464716,0.484435,-0.024295,0.279842,-0.45215,1.371501
fonction,1.399582,-0.883141,-0.759553,0.856164,-0.087516,1.579753,-0.349271,-0.370432,0.808318,0.155909,-0.128029,2.018751
premier,-0.21241,-1.128338,-2.299556,0.790978,-0.084657,-0.211817,-0.75392,0.208383,0.274626,0.010144,0.00378,1.024728
ensemble,0.027117,-0.819247,-0.673706,0.387007,-0.260498,0.566037,-1.497471,-0.242847,0.307792,0.594512,0.014768,1.64756
point,-0.574124,-1.24106,-1.497488,-0.59813,-0.641569,1.148887,-0.489902,0.417545,0.588517,-0.006633,-0.915651,1.520866
théorie,0.699267,-0.230209,0.816295,1.570023,-0.715345,0.778646,0.646372,-0.736855,0.30509,0.880291,1.025538,3.137446
exemple,0.144734,-0.497134,-0.096491,0.824725,-0.438804,0.849604,-1.120511,0.197734,-0.173211,0.744924,-0.437031,2.239795
espace,0.035943,-0.525991,0.072813,-0.426985,0.384141,1.013113,-1.638921,-0.470607,0.222106,0.77719,-0.25489,2.070324
théorème,1.981552,-0.496696,1.157642,-0.127236,-2.036032,0.828789,1.123099,-1.306414,1.278808,0.591702,0.25154,1.807667
problème,0.608144,-0.720936,0.009697,1.205331,0.021284,0.968464,0.091652,0.756323,0.392209,-0.089179,-0.508244,2.383783
valeur,0.163587,-0.831533,-0.140737,0.737375,-0.347491,2.041676,-0.654452,0.093677,-0.128229,0.541783,-0.571714,2.363915
groupe,-1.223063,-0.864725,-1.227865,0.583262,0.194836,-0.23734,-0.432816,0.597599,1.094163,0.272709,0.044886,1.239918
graphe,1.412417,0.430718,1.049011,-1.483823,-2.346415,0.894358,0.065048,-0.694334,1.113501,1.261304,-0.319536,0.9444
forme,0.267067,-0.396798,-0.264608,0.248091,-0.836939,0.515965,-1.796296,0.249919,-0.47091,1.222296,-0.265336,2.237456
entier,-0.046654,-0.683508,-0.399333,0.298546,-0.669192,1.011289,-0.91378,0.195451,-0.347729,0.605598,-0.293557,1.58413
système,0.453165,0.362763,-0.404198,1.128223,0.217649,1.117896,-0.921893,0.357485,1.17531,0.908281,-1.080197,2.384186
équation,1.743325,-0.425794,0.794848,0.250607,-1.987885,1.062238,0.799107,-1.052917,1.203491,0.460343,-0.292204,2.702121
suite,0.12011,-1.0018,-1.597449,1.127524,-0.116595,0.119639,-0.456539,0.630401,0.101386,-0.53929,-0.15881,0.971943
algorithme,1.067969,0.103511,1.405339,0.787065,-1.026017,0.631421,0.062079,-0.549166,1.600427,0.639604,-1.007723,1.36484
calcul,0.905415,-0.419405,0.67756,1.052333,-0.632997,1.674334,-0.035201,-0.96044,0.845794,0.81731,-1.128155,2.199768
application,0.035353,0.442329,0.243501,1.764095,0.315803,1.533872,-0.86056,-0.853526,1.361283,0.209235,-1.205802,2.297518
élément,0.443163,-0.389943,-0.164565,0.701403,-0.788942,0.796486,-1.460299,-0.065606,-0.308099,1.210056,-0.425451,2.242051
grand,0.053836,-0.813769,-1.995858,-0.093286,0.170771,-0.359777,-1.540829,0.420672,-0.482089,0.358543,0.505581,1.297452
propriété,1.567429,0.413418,-0.330616,0.218744,-0.234455,0.837038,-1.183461,-0.452262,-0.003302,-0.134596,0.119162,2.043884
ordre,1.000516,-0.195139,-1.937268,1.022186,-0.468945,0.629198,-0.193947,0.103043,-0.519224,0.109507,0.58759,0.947418
variable,0.156696,-0.220029,0.534074,-0.34887,-1.110491,1.828459,-0.706951,-0.366063,0.441559,0.524803,-1.128422,2.556648
base,0.038116,0.536661,-0.928677,0.352182,-0.180268,0.813585,-1.243679,0.148876,0.202255,0.906116,-0.790957,1.9426
géométrie,1.182482,-0.333342,0.98684,0.070877,-1.013066,0.797052,0.115841,-1.95096,0.865512,1.696709,0.200475,2.017312
analyse,0.009924,-0.503971,0.571717,1.132704,0.179766,0.947842,0.222371,-0.82236,0.092344,0.538432,0.351811,2.969422
loi,0.455378,-0.452106,-0.832556,1.419604,0.192556,1.901951,0.307086,0.118156,-0.00045,-1.219876,0.510378,1.716779
définition,0.176022,-0.440776,0.616447,0.81127,-0.600446,2.05719,-0.472319,-0.548539,0.474012,0.786299,-0.037233,2.462653
réel,0.02309,-1.041959,0.467212,1.221278,-0.492601,1.061161,-0.660412,0.326803,0.341985,0.129596,-0.374183,2.263942
dimension,-0.271622,-0.561657,0.486325,0.391784,-1.076127,0.912763,-1.283911,-0.522262,0.254032,0.690315,-0.676491,2.083965
statistique,-0.690365,-0.474441,-1.392153,-0.727792,0.417264,1.44801,0.865206,-0.196058,2.203797,0.17835,0.177109,1.136214
sommet,0.13986,-0.381381,-1.009919,-1.57962,-1.009519,0.487512,-1.641789,0.846151,0.412228,0.912934,0.080866,0.850852
logique,0.54789,-0.764263,1.235387,1.592648,-0.726739,1.655181,0.192495,-0.920997,0.666401,0.860211,0.332952,1.784559
terme,0.021649,-0.580304,-0.538293,0.705264,-0.191231,1.145417,-0.726613,0.785549,0.117397,0.64885,0.387189,1.795869
trois,0.06078,-1.244839,-1.980069,0.127018,-0.225702,-0.205446,-1.31824,0.272727,-0.159937,0.270042,-0.324998,1.067825
plan,0.500165,-0.384993,-0.811379,0.352165,0.07599,0.755566,-1.416771,-0.145357,0.304845,0.005957,-0.019719,1.684719
formule,0.137143,-1.225632,-0.361321,0.412535,-1.027989,0.796142,0.46742,-0.555365,1.030652,1.208271,-0.831932,1.19054
droite,1.074935,-1.711729,-0.984737,-0.954399,-0.390759,0.799834,-0.751086,0.314655,-0.068625,0.609044,0.283158,0.868813
$\mathbb{C}$,-0.558643,-0.320231,-1.085829,0.184819,-0.516006,0.802909,-0.553549,-0.042366,-0.204681,0.069408,-0.67657,1.162541
solution,0.567363,-0.027416,0.492894,1.306913,0.016657,0.944471,-0.471581,0.256426,0.932708,0.29577,-1.18819,2.1806
modèle,0.092018,-0.024288,-0.421375,1.038137,-0.212836,0.416649,-0.611878,-0.500505,0.444483,1.060717,-1.188039,1.804273
linéaire,0.790951,-0.313198,0.77273,-0.507016,-1.47272,1.333765,-0.575352,-0.854977,1.061798,1.189676,-0.81637,2.446394
probabilité,0.996092,-0.879198,0.92176,0.284717,-1.371734,1.878846,0.659042,0.013186,0.617077,0.043466,-0.644578,2.201481
série,-2.302035,-1.441086,-0.656878,0.304631,-0.371741,-1.35919,-0.351907,0.00865,0.504705,-0.732433,-0.811226,1.152301
somme,0.993768,-0.958739,-1.00413,-0.184848,0.026239,1.687843,-0.729804,-0.462648,-0.240967,-0.843325,-0.743194,0.849345
mesure,0.296502,-0.019847,-1.049198,0.218107,-0.46034,1.328794,-0.286458,0.607092,0.019504,0.417208,-0.694398,2.242665
carré,0.556369,-0.884992,-0.51964,-1.288371,-0.76961,0.463474,-1.588524,-1.068476,-0.629661,0.718983,-0.908729,1.035305
vecteur,0.706227,0.401731,0.959378,-0.174107,-1.59646,1.617486,-0.065382,0.079238,0.84729,0.785811,-0.879781,2.411402
connexe,-1.077892,0.80445,-1.416354,-0.488062,0.593429,0.60141,-0.447231,-0.866613,-0.181685,0.439872,0.723172,1.263438
classe,-0.208373,-0.027158,-1.337035,0.646391,-0.113114,0.319158,-0.047111,-0.158258,0.512121,0.584956,-0.501094,1.023629
produit,-0.313241,-0.072091,0.003178,0.496649,0.950124,0.226523,-0.962979,0.279169,0.452123,0.670284,-1.448271,2.439532
égal,0.614869,-1.169501,-0.464771,-0.326487,-1.380196,1.917388,0.034622,0.158314,0.312415,0.323235,-1.00547,1.858799
cercle,0.462199,-0.823194,-0.351617,-0.419902,0.007068,0.318901,-0.826933,-0.330868,0.015401,1.278087,0.548701,0.578869
partie,0.127139,-0.221385,-1.83959,-0.108873,0.02949,0.217468,-1.800985,0.480967,-0.18154,0.04756,0.25447,1.278667
relation,0.066838,-0.441096,-0.352968,1.170526,0.041237,0.784479,-0.204992,0.633139,0.263897,-0.242112,1.259676,1.672719
courbe,1.70122,-0.835784,0.730234,-1.273219,-1.368282,0.812344,-0.834211,-0.829599,0.555621,0.739561,-0.920538,1.707103
différent,-0.027994,-0.653285,-0.752238,0.975888,0.070203,0.67816,-1.508247,0.5197,0.15154,1.17283,-0.188097,2.310041
complexe,0.296277,0.14434,0.132937,0.125944,-0.115126,0.636231,-1.38675,0.107686,0.394423,1.037297,-0.060168,2.190303
matrice,1.070949,0.023332,0.914268,0.193699,-1.922523,1.219145,-0.198389,-1.01962,0.913013,0.939612,-1.228185,1.787336
domaine,1.170478,0.264446,-0.701905,0.683093,0.86898,0.627636,-1.342922,-0.506396,0.120756,0.111614,0.780427,1.811255
fois,-0.027869,-1.348343,-1.77637,0.774101,-0.546157,-0.159543,-0.705303,0.863563,0.02313,-0.01151,-0.530948,1.046392
