word,1,2,3,4,5,6,7,8,9,10,11,12
un,0.437994,-1.296899,-1.61014,2.160079,1.463847,-0.400361,2.482807,2.391438,0.460626,0.537843,0.062957,-2.121747
nombre,1.396222,-1.423543,0.124607,3.435135,0.49129,-1.258185,1.446258,0.637999,0.688427,1.117882,0.839743,-3.103808
$\mathbb{N}$,1.10011,-0.961887,0.178449,2.005588,0.87606,-0.040017,2.517275,1.655027,-0.268177,1.911411,-0.229447,-2.060626
deux,1.257093,-1.470679,-0.599331,2.195422,1.441109,0.254734,2.351762,1.86558,0.457831,0.538086,-0.749786,-1.753963
fonction,1.75886,0.451887,-1.54368,0.188583,0.03377,-0.763748,2.976733,1.49491,0.143957,1.512515,0.35728,-2.868292
premier,0.779653,-1.297202,-0.383174,2.760304,0.670221,-0.299293,0.486693,1.484546,0.968109,0.966409,0.104485,-2.95192
ensemble,0.425743,-0.320798,0.336743,1.606228,0.677947,-0.835361,3.06881,2.708153,-0.835283,0.692256,-0.115777,-1.955728
point,2.370525,-0.542347,-1.133935,1.068771,1.819077,0.242828,2.886963,1.962564,0.221492,0.99852,-1.07344,-0.513063
théorie,0.048577,0.135713,-1.434447,0.737954,0.499883,-0.888187,0.46128,3.35353,0.004353,0.388528,1.275596,-2.387664
exemple,1.051709,-0.900089,-0.857523,1.972735,0.826458,-0.068306,2.264299,1.779746,-0.054862,1.096621,0.535642,-1.803176
espace,1.618449,-0.212251,-0.888573,0.041265,0.809128,-2.092001,3.013658,3.044741,-1.328422,0.310453,-0.51293,-1.335741
théorème,1.584377,0.253835,-0.077904,-0.11512,2.318644,-0.959788,0.858234,2.063024,0.384554,0.922794,1.348419,-3.264212
problème,0.234112,-0.074841,-1.367598,1.944044,1.601251,-0.812442,1.019101,2.035274,0.433029,1.326413,1.332248,-1.413912
valeur,1.090764,-0.222607,-1.233171,1.832749,0.316712,0.321896,3.173927,0.882023,0.410266,2.035131,-0.05878,-1.841594
groupe,1.234765,-0.769006,-0.232663,0.855469,-0.028475,-1.197834,2.097443,2.822629,-0.728429,-0.885405,-0.157347,-1.674092
graphe,0.46443,-0.033476,0.967223,2.700161,2.445778,-1.69727,2.081209,1.419595,0.427435,-1.299463,0.536907,-1.440866
forme,1.704244,-1.201775,-0.98594,0.824689,0.356604,-0.505624,2.181869,1.720487,-0.419478,0.671916,0.895912,-1.826222
entier,1.783608,-1.112558,0.355771,2.211221,-0.025876,-0.625714,2.107882,0.902859,-0.2068,1.478311,0.490378,-2.807279
système,-0.239394,-0.812558,-1.928843,1.424922,-0.628614,-0.12482,1.944091,1.932084,-0.079667,0.860817,0.923125,-1.662924
équation,1.973518,-0.088785,-1.91879,-0.338361,0.636438,-0.159788,1.60735,1.612123,0.563093,1.134267,0.383946,-2.234876
suite,0.86645,-0.189893,-0.162817,1.325387,0.206578,-1.061848,1.950021,1.069242,0.059826,1.247592,-0.018827,-2.88911
algorithme,-0.516216,0.85989,-0.640776,2.343403,1.189648,0.348391,1.588418,1.457106,0.821506,0.726822,1.869951,-1.513768
calcul,0.365805,-0.924679,-1.996167,1.332562,-0.093597,0.12319,1.06381,1.796934,0.298561,1.418809,1.108059,-2.121391
application,1.426887,0.69399,-1.411817,0.977222,-0.384165,-0.277528,1.760618,3.219486,-0.346207,0.560507,0.230927,-0.88207
élément,1.336434,-1.333888,0.165719,1.594673,0.157845,-0.17327,2.353733,1.773882,-0.599121,0.373363,-0.080822,-1.612973
grand,0.080766,-1.46412,-1.410699,1.645061,1.236127,-0.213593,0.846067,1.156483,0.975412,0.871475,-0.958995,-1.924711
propriété,1.096852,-0.300817,-0.51442,0.870561,1.496014,-0.407413,2.511337,1.827395,-0.326478,0.722075,0.746538,-1.871719
ordre,0.664873,-0.752625,-0.053736,1.525753,-0.156205,0.036985,2.185032,1.126216,0.548179,-0.28772,-0.246223,-2.95023
variable,0.756129,0.676498,-1.796313,1.181428,-0.473353,0.374507,3.030061,1.437199,0.333165,1.623244,0.3602,-1.398516
base,1.278399,-1.565747,-0.837806,1.805708,0.109287,-0.573889,2.048799,1.476627,-0.33655,0.255064,0.508915,-1.364279
géométrie,1.336589,-1.251163,-1.870871,-0.150342,0.819511,-0.99965,-0.015727,3.102165,-0.0838,-0.207973,0.417084,-1.599901
analyse,0.421131,-0.041543,-2.740115,0.329969,-0.381168,-0.127995,0.812909,2.609751,0.46583,0.606456,1.155487,-1.736607
loi,1.072785,0.658226,-1.682351,0.244954,0.69927,-0.394986,1.946007,0.426093,1.24952,0.731712,0.497273,-2.476169
définition,0.922176,-0.527478,-0.773392,0.554537,0.72771,-0.394049,2.15041,2.13047,-0.476463,0.931625,0.83786,-1.926956
réel,1.65484,-0.688594,-0.951545,0.275748,0.171449,-0.645685,2.782103,1.533867,-0.54737,1.460887,-0.035376,-2.144833
dimension,2.072433,-0.549711,-0.727705,1.185508,0.738998,-1.465109,1.93601,2.110504,-0.593421,0.359474,0.231261,-0.756649
statistique,-0.658514,0.353221,-2.830885,1.217803,-0.745551,0.650994,0.855948,2.078316,1.496397,-0.289748,0.009151,-1.602742
sommet,1.283724,-0.82271,0.840884,3.455778,2.258734,-0.662591,2.404259,1.156644,0.451521,-0.368666,-1.324141,-0.109725
logique,-0.584862,-0.665771,-0.021546,0.8419,-0.600918,1.081609,0.445072,3.248547,-1.046047,0.775033,2.114917,-2.081336
terme,0.589647,-1.066703,-0.918026,1.44496,0.220535,-0.065373,2.101475,1.167107,-0.187998,1.516711,0.573996,-1.808654
trois,1.071908,-1.724323,-0.53485,2.19995,1.412377,0.204889,1.15296,1.545611,0.701395,0.337258,-0.791632,-1.377756
plan,2.179514,-1.617386,-1.367997,0.387647,1.571416,-0.046483,2.175856,2.084151,-0.320435,-0.044742,-0.789991,-0.092365
formule,1.627253,-0.566627,-0.262673,0.189762,0.840784,0.978234,1.727744,1.183647,0.092582,1.327778,1.717679,-2.510222
droite,2.437667,-1.35574,-0.20231,0.171727,1.503798,1.078045,2.479894,1.559533,-0.141648,0.216685,-1.549877,-0.515979
$\mathbb{C}$,1.901111,-0.457694,0.532654,1.418537,0.30644,0.835946,2.226254,1.848173,-0.541367,0.723312,-0.746737,-0.670491
solution,1.267782,0.492632,-0.995686,1.372726,1.339698,-0.166384,1.679253,1.620184,0.266939,1.913365,0.599924,-0.989742
modèle,-0.591061,0.312634,-1.672705,1.180009,0.519125,0.130089,1.694763,1.783048,0.371158,0.448872,1.210223,-1.242848
linéaire,0.980852,0.711167,-1.651735,0.536291,-0.015568,-0.368286,2.678972,2.258087,-0.216421,0.461228,1.001712,-1.518642
probabilité,0.045199,0.437348,-1.474711,1.255745,0.476197,-0.143416,1.921306,0.977771,0.98558,1.294862,-0.108292,-2.014015
série,1.628489,-0.068122,-1.50642,0.851021,-0.474418,-0.637705,0.944014,1.132112,0.703478,1.006911,0.604213,-2.312199
somme,1.865331,-0.85791,-0.243732,2.086818,0.391492,-0.634261,1.99672,-0.095807,0.804393,0.903911,0.328524,-2.629914
mesure,0.897009,-0.589417,-2.009168,0.604754,0.525966,-0.722595,2.174507,0.848399,0.314299,0.928371,-0.220981,-1.649354
carré,2.069734,-1.573393,-0.451034,1.733947,1.34211,-0.651207,1.788876,-0.040039,0.574887,0.33754,0.430152,-1.767009
vecteur,1.795447,-0.812707,-1.245218,-0.157412,0.228599,0.691165,3.556558,1.300331,-0.15527,-0.071541,-0.645481,-1.140769
connexe,1.40258,-0.249915,-0.950976,1.376868,0.182299,-1.191206,0.823514,2.455552,0.233468,-0.886894,0.722702,-1.523993
