word,1,2,3,4,5,6,7,8,9,10,11,12
un,-0.598311,-0.144034,0.912602,-0.033494,0.495784,-2.415692,0.848712,0.206549,-0.386969,2.168085,0.89058,0.148567
nombre,-1.112038,0.137969,0.645272,0.631623,0.950502,-1.656136,1.219022,-0.28254,0.304964,0.563755,1.324081,-0.350239
$\mathbb{N}$,-0.779081,-0.004713,0.874665,0.561106,1.070476,-1.425835,0.950098,0.177091,-0.685239,1.446734,0.748185,-0.271579
deux,-0.312287,0.610746,1.25321,-0.116367,0.543472,-2.252105,0.394358,0.029043,-0.303011,1.422313,0.483514,-0.32018
fonction,-0.858785,0.602493,-0.303213,-0.447186,1.513106,-1.041606,1.734085,-0.222448,-0.020724,0.50148,1.185709,0.666318
premier,-0.30365,0.129727,1.475142,-0.423066,0.580764,-1.973105,1.038678,-0.144049,-0.901108,0.724158,-0.219443,-0.111396
ensemble,-0.382644,-0.265017,-0.147464,-0.301863,0.644455,-2.042879,0.601832,-0.39969,0.134229,1.168541,0.4183,0.089862
point,-1.307815,0.287432,1.4441,0.124962,0.835799,-1.391014,0.263762,-0.817922,0.440875,0.410839,0.700629,-0.823471
théorie,-1.325905,-0.258846,-1.23827,0.596098,0.912505,0.531722,2.307626,-0.467862,0.345366,1.9561,-0.291599,1.009749
exemple,-0.791425,-0.307948,-0.619706,0.453321,0.930005,-1.301739,1.049502,0.020372,0.470328,1.775383,0.760523,-0.212682
espace,-1.137742,-0.36905,-0.93919,0.082667,-0.028461,-2.177537,-0.046628,-0.737055,0.487596,1.036203,0.925626,0.446865
théorème,-0.463955,1.341049,-1.504133,-0.141424,1.966106,1.80634,0.750176,-0.268653,1.296799,0.625919,0.292248,0.379861
problème,-2.089833,-0.064977,-0.149249,0.20349,0.53681,-0.481513,1.268228,0.096333,-0.580187,1.332685,0.906016,0.151888
valeur,-1.153509,-0.223404,-0.655388,0.571925,1.468886,-1.098443,1.231663,-0.702455,0.492571,1.056636,1.354131,-0.045968
