word,1,2,3,4,5,6,7,8,9,10,11,12,13
un,0.771398,1.973105,-0.171352,-0.390517,-0.522541,0.375764,-0.569548,2.312442,-0.984786,0.036371,1.248615,-0.349167,-0.651407
nombre,-0.001561,1.255771,1.096445,-0.685868,0.217416,1.257282,-0.704842,1.47701,-0.539894,0.886982,0.617233,0.637176,-0.631412
$\mathbb{N}$,0.079337,1.280132,-0.193317,-1.148848,-0.316545,0.616448,-0.282956,1.758764,-0.980916,0.571627,0.836168,-0.043445,-0.770009
deux,0.862483,1.540844,0.051218,-0.860593,-0.260382,-0.220009,-1.163463,1.661083,-0.810656,0.230971,0.867412,-0.373627,-0.920116
fonction,0.055202,1.310599,0.928014,-0.378197,-0.196763,1.402483,-0.284787,2.154712,0.65341,0.811942,-0.595604,-0.236815,-0.77719
premier,0.397394,2.131879,-0.550356,-0.93458,0.089219,-0.521928,-0.883673,1.188508,-0.552206,0.166704,0.355272,0.298439,-0.585929
ensemble,0.324138,1.784973,0.532908,0.091237,-0.742104,0.631443,-0.417194,1.253364,-0.456751,0.568277,0.238103,-0.731502,-0.378229
point,0.201204,1.120296,0.528112,-0.561514,0.516687,0.766542,-1.477314,0.707211,-0.617485,1.203163,0.979351,0.093072,-1.361099
théorie,0.57385,1.631817,0.018883,-0.035712,-1.458321,2.597235,1.496671,1.078115,1.238007,0.772939,-0.097635,0.492224,-0.636094
exemple,0.417406,1.362077,0.548138,-0.205411,-0.74775,1.694775,-0.017234,1.388685,-0.888458,0.279514,0.578528,-0.206708,-0.341013
espace,0.066881,1.369196,1.187921,1.042709,-0.869199,1.107096,-0.457785,1.012775,-0.180155,0.358226,0.7386,-1.509731,-0.62367
théorème,1.560865,-0.433096,0.801273,-0.185632,-1.347261,2.058527,0.356028,0.641175,1.756839,1.612829,-1.525634,0.241237,-1.365185
problème,-0.157991,0.983556,-0.143373,-0.49055,0.138152,2.044622,0.421459,1.730003,-0.122372,0.305494,0.492815,-0.099526,-0.906517
valeur,-0.107281,1.505151,1.320614,-0.376709,-0.185686,2.032608,-0.010237,1.634764,-0.663688,0.994366,0.3005,0.099924,-0.670673
groupe,0.32455,1.945703,-1.185016,0.137155,0.603765,0.462703,-0.731133,0.451393,-0.573312,0.743079,0.361695,-0.293287,-0.274247
graphe,1.839175,-1.021931,1.239858,0.058979,-0.927975,1.751131,-0.534132,0.285636,0.84593,1.567449,-0.667058,-0.001837,-0.353487
forme,1.288449,1.284791,0.978181,-0.0742,-1.282049,1.191104,-0.447274,1.396145,-0.986495,0.348297,0.896816,-0.34802,-0.152915
entier,0.36843,0.924415,0.879543,-0.244767,-0.581568,1.066763,-0.35623,1.094519,-0.810756,0.820194,0.400119,0.049026,-0.367925
système,0.2632,1.722891,0.418965,-0.04938,0.109684,2.615326,-0.861234,1.603206,0.257588,-0.314776,0.39865,-0.80849,-0.02571
équation,1.119317,-0.036396,0.787433,-0.580123,-1.391387,2.857632,0.153563,0.783741,1.508066,1.235827,-0.741519,0.093553,-1.57475
suite,-0.40511,1.38929,-0.669344,-1.216931,0.19627,-0.048602,-0.450455,1.456976,-0.378739,0.220976,0.289886,-0.10645,-0.52739
algorithme,0.980143,-0.075829,0.441013,-0.137533,-0.553342,2.90667,0.056029,0.535915,0.476291,0.389607,-1.40922,-0.993605,-0.635154
calcul,0.505053,1.052635,1.426801,-0.400591,-0.385331,2.869151,0.015586,1.000671,0.457048,0.327512,-0.796395,-0.11491,-0.94905
application,-0.74955,1.839155,0.523709,0.00994,-0.335879,2.902682,-0.650532,1.230915,0.334576,-0.270999,-0.889039,-0.687829,-0.149642
élément,0.849884,1.36007,0.959847,-0.355414,-1.311977,1.766273,-0.067046,1.383652,-0.561109,0.087462,0.705345,-0.428868,-0.194571
grand,0.538491,1.65369,0.024127,-0.01568,-0.577268,-0.887044,-0.557059,1.553964,-0.631992,0.035401,1.290641,-0.06165,-0.348746
propriété,0.114658,0.596688,0.805093,0.190792,-1.391204,0.925378,-0.725861,2.314598,0.138745,0.288821,-0.455379,0.000535,-0.135275
ordre,0.080628,1.261199,0.313764,-1.354643,-0.573111,-0.226315,-0.074771,1.718112,0.5162,0.371605,0.409657,0.728967,-0.06069
variable,0.544931,0.286659,1.31818,0.126582,-0.646789,2.78831,-0.859233,0.716453,-0.415137,0.847738,0.293904,-0.015595,-1.053245
base,0.510292,1.402429,0.688642,0.028255,-0.59058,1.48781,-1.264466,1.278634,-0.220313,-0.277278,0.65453,-0.071467,0.219503
géométrie,1.485357,0.99147,1.565349,0.398648,-1.491546,2.05758,0.659076,0.24423,1.608122,0.522678,-0.935974,-0.385723,-0.748508
analyse,-0.283462,1.731948,0.350455,0.59734,-0.931026,2.295917,1.176013,0.807541,0.430053,0.281662,0.191741,0.145996,-0.989061
loi,-1.867376,1.370176,-0.085066,-0.853811,-0.061732,1.146281,0.099533,2.08749,0.618838,1.109882,-0.135939,0.493376,-0.383714
définition,-0.000849,1.54619,1.131769,0.132734,-0.764574,2.57667,0.274052,0.996236,0.232862,1.261788,-0.026425,-0.275533,-0.504648
réel,0.012643,1.318779,0.096619,-0.381375,-0.588136,2.159505,0.500201,1.129191,-0.648424,0.881771,0.13787,-0.806809,-1.03549
dimension,0.540094,1.188965,0.940448,0.04017,-1.14663,1.943703,-0.261113,0.38465,-0.651631,0.655019,0.462767,-0.769919,-0.610091
statistique,0.323445,1.509662,0.139612,0.86212,1.51644,0.727793,-1.132269,0.236,0.789909,1.650289,-0.320873,0.950455,-0.771112
sommet,1.408722,0.281011,0.739678,0.173567,-0.157787,-0.079748,-1.489995,0.960201,-0.251496,1.185452,1.587809,-1.03421,-0.008681
logique,0.178609,1.422737,0.899716,-0.384502,-0.737468,2.231182,1.406861,0.610288,0.67778,0.899256,-0.609923,-0.449612,-0.606774
terme,0.469203,1.519487,0.406645,-0.189171,-0.054536,1.188367,0.302506,1.525347,-0.590921,0.916325,0.605875,0.107838,0.078965
trois,0.657678,1.552424,0.176812,-0.653061,-0.072722,-0.533176,-1.063274,1.302623,-0.875596,0.042232,0.855915,-0.265745,-0.828059
plan,-0.324772,1.33763,0.49346,-0.123016,-0.783907,0.696398,-0.687905,1.493278,0.294681,0.2381,0.522288,-1.079901,-0.391233
formule,1.424857,1.252584,0.679801,-0.809588,0.498123,1.454896,-0.284904,0.287799,-0.103698,0.8839,-0.646879,0.322418,-1.243495
droite,0.731826,0.520348,1.243943,-0.565877,-0.30628,-0.314564,-0.338201,1.292101,0.358593,1.054938,1.155248,-1.289692,-1.266788
$\mathbb{C}$,-0.032084,1.104268,0.480975,-0.499126,-0.236967,0.750701,-1.012226,0.439624,-0.598032,0.280798,0.462452,0.149709,-0.468532
solution,0.02166,0.889096,-0.046518,-0.124039,-0.129691,2.690196,-0.262484,1.580654,-0.142379,-0.049688,-0.555304,-0.424809,-0.394822
modèle,0.505422,1.47106,0.647893,-0.334075,-0.289583,1.828575,-0.59359,0.58892,-0.084012,-0.779,-0.072109,-0.207685,-0.52016
linéaire,1.115085,0.435423,1.343103,0.123357,-1.004202,2.748792,-0.572658,0.727553,0.437808,1.103163,-0.044119,-0.631459,-0.932229
probabilité,0.411191,-0.274698,0.776364,-0.492152,-0.263124,2.70034,0.195992,1.03819,0.293283,1.579574,-0.22131,0.452833,-1.378757
série,-0.332554,1.419543,-1.788077,0.019923,-0.32724,0.201026,-0.887944,-0.818559,-1.50287,0.180644,0.5228,-0.484739,-1.649306
somme,-0.661581,0.33473,1.445573,-0.573917,-0.113803,0.203854,-0.86568,1.598266,-0.130776,0.670775,-0.346569,0.121967,-0.994382
mesure,0.094903,1.066829,0.595832,-0.345313,-0.174733,1.728778,-0.733573,1.522488,0.111583,0.436753,1.29592,0.442048,-0.530339
carré,0.831524,0.464138,2.02282,-0.082509,-1.197881,0.052732,-1.157565,0.630957,-0.480192,0.242525,0.613167,-0.775292,-1.198195
vecteur,0.741156,-0.428021,0.897698,-0.017655,-0.731811,3.227369,-0.283145,0.81704,0.434843,1.354231,0.183953,-0.210005,-0.59345
connexe,-0.500538,1.822062,0.497069,1.064659,-0.691325,-0.064808,-0.803605,0.030956,0.631056,0.187107,1.113257,0.634146,0.400726
classe,0.470011,1.464862,0.151833,-0.37394,0.176899,0.625263,-0.726646,0.72676,0.114409,-0.088844,-0.008482,0.541662,-0.18314
produit,0.112757,1.148668,0.092002,1.000669,0.053523,1.998045,-0.794052,1.469634,-1.127472,-0.617666,-0.124451,-0.160493,-0.471635
égal,0.510618,0.251714,1.344496,-0.79538,0.001384,1.677756,-0.956624,1.010118,-0.36415,1.582241,0.252219,0.442649,-1.328661
cercle,0.976572,1.086965,0.960995,0.319157,-0.162446,-0.245966,0.322912,0.432892,0.232023,0.394661,0.505869,-0.580474,-0.365635
partie,0.251282,1.381027,0.33192,-0.102745,-0.53764,-0.426067,-1.257165,1.760679,-0.502726,0.359084,1.005146,-0.191701,0.210029
relation,-0.291658,1.381117,-0.602333,-0.123127,-0.269403,0.825211,0.752479,1.643832,0.232708,1.169815,0.229596,-0.008877,0.11557
courbe,1.263101,-0.500671,1.71116,0.170388,-1.047341,1.481959,-0.7389,1.10488,0.374977,0.949762,0.093815,-1.305731,-1.554928
différent,0.627326,2.067215,0.5078,0.096069,-0.360957,1.366748,-0.227744,1.727055,-0.904328,0.105428,0.76551,-0.380173,-0.192571
complexe,0.694015,1.153395,0.660228,0.709098,-0.916826,1.616123,-0.310345,1.34225,0.028849,0.358272,0.484123,-0.876637,0.104415
matrice,1.028328,-0.236452,1.305115,-0.272708,-1.218077,2.851828,-0.719574,0.658052,0.23309,0.862189,-0.885228,-0.229905,-0.900035
domaine,-0.121001,1.589013,0.608382,0.599122,-0.948759,0.40935,-0.180322,2.324829,0.471972,-0.06981,-0.204349,-0.074209,0.318774
fois,0.696637,1.449921,-0.537111,-1.155064,0.367325,-0.044685,-0.723361,1.261376,-1.084966,0.365812,0.452126,0.183443,-0.791951
type,0.348553,1.116457,1.002044,0.219878,-0.477594,2.070072,-1.372855,0.79856,-0.576208,-0.519227,1.058974,0.025269,-0.163294
mot,0.445618,1.09504,0.639913,-0.425816,-0.973002,0.979824,0.855245,0.256562,-1.521883,0.74875,0.935752,-0.102745,0.097375
algébrique,1.587941,0.644048,1.466403,0.027637,-1.543878,2.4529,0.443587,0.252637,1.345689,1.463377,-1.447421,-0.14281,-0.678119
degré,0.60552,0.876341,0.925972,-0.643376,-0.828015,-0.354202,-0.613897,-0.286874,1.098619,0.328679,0.404348,1.765834,-1.601315
