word,1,2,3,4,5,6,7,8,9,10,11,12,13
un,-1.045897,-1.246501,0.6952,-1.012647,0.313071,-0.732491,-3.921174,-1.700445,0.634297,0.652228,1.329395,-0.806043,-1.531369
nombre,-0.294957,-0.261793,1.300362,-0.939508,-1.091645,-0.416546,-3.630584,-3.702633,-0.067842,0.531342,-0.533118,-0.995151,-0.583773
$\mathbb{N}$,-0.480886,-1.612759,0.308347,-1.347053,-0.235784,0.537154,-3.007971,-2.765876,0.482369,0.646665,0.996179,-0.855437,0.087925
deux,-0.818928,-1.388523,0.451856,-1.618594,-1.105585,-0.426523,-3.709456,-1.507333,0.711035,0.508497,1.328576,-0.464416,-0.593075
fonction,-1.55596,-1.337137,0.209486,-1.310351,1.5606,0.09424,-3.228927,-1.448071,-0.689288,1.369888,0.129079,-2.423761,0.26195
premier,-0.848502,-0.154175,0.723232,-0.949278,-1.147769,-0.979026,-2.778287,-3.050724,0.358982,1.232152,0.06021,-0.816024,-1.088547
ensemble,0.234455,-1.257306,0.680457,-1.95033,0.811383,0.78381,-2.88111,-2.074044,0.17923,1.469439,1.675403,-1.166229,-0.99399
point,-1.081259,-1.649872,-0.37479,-1.343977,-0.235728,0.21507,-4.015572,-0.243543,0.885917,0.557278,1.71808,-0.275886,0.776245
théorie,-0.817716,0.513546,0.114742,-0.406987,2.257138,-0.842235,-2.576559,-1.798325,0.615216,1.956309,0.811212,-0.283411,-1.574033
exemple,-0.803254,-0.724306,0.783351,-0.764737,0.294303,0.018033,-3.295472,-2.007323,0.759639,0.440446,0.734389,-0.850995,-0.308903
espace,-0.247417,-1.237848,-0.642322,-2.582731,2.125751,1.215414,-3.525449,-0.734314,0.170209,1.113739,0.737611,0.000147,-0.689328
théorème,-0.350866,0.551205,-0.033083,-1.896288,1.877131,-1.610246,-2.686651,-2.460165,-0.607707,1.586941,1.043776,-0.280839,1.118385
problème,-0.646689,-0.45738,0.825344,0.461184,1.208313,-1.005623,-3.183966,-1.918921,0.683305,0.749085,1.021951,0.055467,-0.124492
valeur,-1.109383,-1.869509,0.35927,0.011054,0.024022,0.444431,-3.215133,-1.806606,0.23493,0.309419,0.655977,-2.205704,0.34808
groupe,-0.313292,-0.556078,0.477941,-2.533634,0.904819,0.928627,-2.915137,-0.605659,0.516132,1.220938,0.064979,0.193423,-1.949058
graphe,1.73178,-0.986334,2.449922,-1.025098,0.194039,-0.501881,-3.576551,-1.294985,-1.020478,0.896396,1.097047,1.238333,-0.684444
forme,-1.270021,-0.172017,0.545081,-1.697082,0.675624,0.137161,-3.230467,-1.298003,0.325245,0.283139,0.209925,-1.130648,-0.029703
entier,-0.753863,-0.526429,0.632613,-1.873693,-0.584597,0.52136,-2.855951,-2.85711,0.010194,0.675997,-0.303254,-1.554698,0.143616
système,-1.599323,-0.588679,0.826839,-0.279511,1.011431,-0.339304,-2.420989,-1.099383,0.954729,0.325238,0.320946,-1.600653,-1.41471
équation,-2.161518,-0.557733,-0.347998,-1.037929,1.201017,-1.089485,-3.189741,-0.760115,-0.058935,1.224273,-0.266934,-0.823368,0.859805
suite,-0.398967,-1.152119,0.625501,-1.319812,0.261993,0.059073,-2.454871,-2.552743,-0.754041,1.213915,-0.22484,-1.181964,-0.298577
algorithme,-1.620016,-1.093055,2.828731,0.775387,0.949758,-1.108846,-2.488693,-1.64947,0.639148,1.144273,0.179301,0.058009,0.367743
calcul,-2.274557,-0.304305,0.716491,0.126184,0.780855,-1.028195,-2.602384,-1.855456,0.859671,0.628954,-0.102849,-1.29908,-0.545608
application,-1.231401,-0.126777,0.022193,-0.567027,1.39935,1.149828,-3.037949,-0.438284,1.252152,2.127571,0.481296,-0.617144,-0.540944
