word,1,2,3,4,5,6,7,8,9,10,11,12,13
un,0.096885,2.33552,-0.946883,0.551063,-0.528294,0.777329,-1.119024,0.559692,0.93943,0.139008,-1.650452,-0.296156,-0.82973
nombre,-0.01875,1.510356,-1.413919,0.040373,0.612966,0.877849,-0.531188,0.122979,1.22506,0.120173,-0.558144,0.425344,-1.389199
$\mathbb{N}$,0.737785,1.865441,-0.653869,-0.277336,0.041316,0.96882,-0.22854,0.346096,1.104546,0.030795,-1.18451,0.090822,-0.921991
deux,0.061007,2.167979,-0.907388,-0.003828,-0.871296,-0.06176,-0.77521,0.26467,1.108135,-0.453281,-1.092558,0.171489,-0.716452
fonction,-0.081636,1.844436,-0.624038,0.628141,0.613478,0.896206,-0.367617,0.151171,1.607599,1.202521,0.230187,0.2014,-0.293545
premier,0.658691,1.816929,-0.354489,0.457548,-0.365733,-0.006783,-0.855969,0.082488,1.02295,-0.817884,-1.054591,0.902695,-0.122381
ensemble,0.237849,1.142011,-1.20191,0.731763,-0.695159,0.257523,-0.757712,0.680681,0.747138,0.608682,-0.735698,0.288302,-0.349372
point,0.150518,1.316405,-1.374548,0.129597,-0.194442,-0.027251,0.13389,0.237262,0.971209,-0.693585,-0.063451,0.786079,-1.64659
théorie,1.229312,1.07318,-0.414522,0.931822,0.406184,2.507916,-0.19687,1.516135,0.29292,0.58427,1.200028,-0.729809,0.278991
exemple,0.419233,1.316815,-1.501788,0.375453,-0.057703,1.413078,-0.590107,0.393032,0.399357,0.935417,-0.614973,-0.584564,-0.709619
espace,-0.013245,0.351913,-1.267373,1.066102,-0.426712,-0.055034,-1.107258,1.335796,0.330098,1.180189,-0.533275,-0.205141,-1.239809
théorème,0.286954,0.619933,-0.468927,-0.49541,0.06608,1.243719,1.198724,0.326991,0.514244,1.248105,2.843737,-1.239177,0.291855
problème,0.829338,1.447976,0.145371,0.685283,0.426021,1.442076,-0.332204,0.509088,0.840158,0.441406,-0.075734,-0.309269,-1.481295
valeur,0.433551,1.34817,-1.655118,0.150466,0.722261,1.400136,-0.41904,0.670014,0.702135,1.234019,-0.152969,0.059274,-1.017277
groupe,0.695006,1.200382,-0.375466,1.423522,-0.395981,0.276391,0.031905,-0.029204,0.102794,-0.541121,-0.895516,0.943182,-0.86923
graphe,-0.994724,-0.493106,-1.362111,-0.071691,-0.300472,0.924949,0.551032,-0.058601,-0.355514,2.052011,1.395339,-0.483599,-0.353233
forme,-0.094221,1.419229,-1.994577,0.136186,-1.009707,1.167717,-0.667674,0.714346,0.320061,0.721733,-0.694999,-0.762923,-0.50635
entier,0.14843,0.979922,-1.130435,0.077627,-0.048667,0.89621,-0.558718,0.465834,0.291612,0.530235,-0.967743,-0.011439,-0.700549
système,-0.064922,1.223645,-1.214906,1.562852,-0.193968,1.489255,-1.12504,-0.666871,1.07352,1.129898,0.187338,-0.183825,-1.409287
équation,0.402175,1.347076,-1.097961,-0.280173,-0.259266,1.597248,0.845081,0.162043,1.151827,0.924021,2.828225,-1.61525,-0.16092
suite,0.83264,1.42931,0.325035,0.120469,-0.129932,0.461964,-0.657692,0.070382,1.223195,-0.462435,-0.944189,0.654861,-0.60342
algorithme,0.46969,0.469825,-0.708017,0.364845,-0.272458,1.230611,0.469003,-1.15787,-0.172375,1.988187,1.387535,-0.817856,-0.660398
calcul,0.407518,1.119553,-1.418902,0.444632,0.317733,1.36047,-0.324104,-0.260074,0.684735,1.677342,1.653952,-0.443619,-1.138919
application,0.990864,0.595015,-1.068798,1.7034,0.484105,1.281962,-0.961781,-1.016674,1.378875,1.857171,0.373707,-0.125055,-0.961571
élément,0.240475,1.341957,-1.568986,0.221803,-0.624311,1.620888,-1.012189,0.496434,0.469434,0.982001,-0.136046,-0.679866,-0.498362
grand,-0.214104,1.538557,-0.677381,0.354061,-0.472907,-0.095307,-1.093334,1.077583,0.762764,-0.481373,-1.614301,0.167987,-0.068194
propriété,-0.565308,0.794703,-0.774135,0.739362,-0.032079,0.740052,-0.253707,0.162797,1.903925,1.183527,-0.40844,-1.022401,0.38365
ordre,-0.04271,1.389188,-0.151893,-0.455725,0.268196,0.986928,-1.030606,0.466023,1.450762,-0.545976,-0.397254,0.446082,0.557852
variable,-0.003909,0.689543,-2.217,0.348437,-0.191408,1.163714,0.209939,0.223168,0.581651,0.884119,0.798983,-0.894426,-1.67488
base,-0.412852,0.85977,-1.693197,0.874377,0.004421,0.999259,-1.009287,-0.440692,0.818031,0.347185,-0.602609,-0.456497,-0.71599
géométrie,0.035729,0.892349,-1.374606,0.339997,-0.623849,1.035358,-0.607622,0.667246,-0.176981,1.483359,2.325373,-0.91112,0.14845
analyse,1.413634,0.91898,-1.141775,1.20118,0.817712,1.465841,-0.496196,1.228425,0.251117,0.812649,0.714797,-0.603425,-0.344799
loi,0.977868,0.796663,-0.161443,0.402803,1.527061,1.410375,0.083017,0.324156,2.280225,0.595825,-0.24828,0.687123,-0.297821
définition,0.749402,0.811043,-1.719162,0.74945,0.502389,1.704672,-0.281191,0.66728,0.571602,1.528552,0.557079,0.007152,-0.723564
réel,1.363109,1.338968,-0.498482,0.428716,-0.087346,1.429435,-0.272684,0.521508,0.35253,1.101844,-0.374508,-0.251658,-1.245696
dimension,0.757225,0.609662,-1.610344,0.30338,-0.986025,0.934583,-0.650846,0.515681,0.220444,0.864351,0.275482,-0.5018,-1.082019
statistique,-0.431403,0.687359,-0.979347,1.688327,0.494836,-0.106944,0.858332,0.490738,0.756826,-0.779081,0.863044,1.739056,-1.015878
sommet,-1.674118,0.574246,-0.961921,-0.055304,-1.719398,0.124305,-0.251215,1.208007,0.339205,-0.497236,-0.927936,0.368771,-1.038421
logique,1.233415,0.79992,-0.636145,0.347149,-0.119557,1.682545,-0.377748,0.935313,0.285325,1.752964,1.267513,0.148636,-0.467086
terme,0.062386,1.312698,-0.933571,0.556537,0.142068,1.634485,-0.20172,0.736501,0.352567,0.662552,-0.552212,0.409433,-0.627585
trois,0.035091,1.806238,-0.838849,-0.049503,-0.594338,-0.321719,-0.858984,0.368744,0.980376,-0.469338,-1.029719,0.363569,-0.620157
plan,0.00819,0.758993,-0.645638,0.639129,-0.600201,0.470125,-0.907446,0.650401,1.546483,0.595347,-0.386908,0.047129,-0.615543
formule,0.750917,2.064791,-1.343037,0.431245,-0.216481,0.308037,0.165417,-0.507412,-0.177131,0.043572,0.951124,0.625571,-0.525611
droite,-0.697429,1.59632,-0.502583,-0.750116,-0.765302,-0.319898,-0.26149,1.844419,0.647267,0.094474,-0.070121,0.425957,-0.641589
$\mathbb{C}$,0.453745,0.714949,-1.401207,-0.066788,0.141522,0.317524,-0.344505,-0.175846,0.735944,-0.246423,-0.343808,0.047686,-0.732731
