word,1,2,3,4,5,6,7,8,9,10,11,12,13,14
un,-0.23025,1.227288,-0.418194,-1.239119,0.886912,-0.21123,0.878838,-0.483837,0.733133,-1.94549,-0.367203,0.303418,1.96344,-0.132327
nombre,-0.115531,1.133797,0.555122,-2.199296,-0.510414,-0.298554,0.713357,0.431017,0.396262,-1.181776,-0.621195,0.490795,0.820799,0.44814
$\mathbb{N}$,0.235382,1.191794,-0.039518,-1.091178,0.067594,-0.765673,0.906704,-0.007643,0.335958,-1.941293,-0.837436,0.030341,0.96677,0.096459
deux,0.086059,0.521654,0.336933,-0.925791,0.599676,-0.014234,0.487852,-0.100802,0.523288,-1.743075,-0.946748,0.411346,1.952803,-0.453494
fonction,-0.187265,1.288658,-0.96162,-2.48196,0.028105,-0.066235,-0.455489,0.33076,0.240329,-1.180837,-1.297863,0.134522,0.23952,0.223665
premier,0.202208,0.695609,0.383981,-0.483751,0.143978,-0.81175,0.003239,-1.003647,1.108268,-1.244352,-1.02619,0.462695,1.419322,-0.493166
ensemble,-0.255866,0.522586,-0.392844,-1.50577,1.237819,-0.323386,0.542527,0.042755,0.384367,-0.768602,-1.129708,0.047707,0.992903,0.091525
point,0.039003,0.16287,1.52281,-1.852055,0.182317,-0.424989,0.468433,0.550721,0.553581,-1.410747,-0.562081,-0.037307,0.733339,-0.310598
théorie,-0.771659,2.518325,-1.175532,-2.153543,0.519958,-1.008507,-0.044968,-0.090067,-0.736547,0.225832,-0.493206,-1.326236,-0.365053,-0.621395
exemple,-0.520837,1.424836,-0.610777,-1.773503,0.754365,-0.312518,1.219151,0.184303,-0.094612,-0.94237,-0.33933,0.32232,0.545553,0.384627
espace,-0.283474,0.056173,-0.445816,-2.050242,1.914995,0.742877,0.80892,-0.091178,0.109822,-0.663926,-0.557636,-0.546143,0.522047,0.401964
théorème,-0.741408,1.146445,-1.318917,-1.940656,0.066958,-0.057444,-1.231021,2.329797,-1.074915,0.473734,-1.09158,-1.009069,-0.696249,-1.405225
problème,-0.123023,1.196857,-0.462886,-1.949424,0.137773,-0.785032,0.334821,-0.445974,-0.689383,-1.618237,-0.095135,-0.43651,-0.142991,-0.114338
valeur,-0.313546,1.184117,-0.482323,-2.623399,0.060776,-0.559412,1.090332,0.27708,0.034879,-0.787988,-0.695338,0.115407,0.231453,0.673947
groupe,0.084495,0.403399,0.602855,-0.766222,1.410508,-1.15555,-0.030108,-0.305479,1.158839,-1.123182,-0.055105,0.037517,0.237451,-0.410826
