word,1,2,3,4,5,6,7,8,9,10,11,12,13,14
un,0.68692,-0.808809,0.55731,-2.407421,-3.31161,1.248112,0.501162,0.055847,1.893567,1.118523,-0.616686,-0.722792,1.526997,-0.606703
nombre,0.712707,-2.553632,0.35145,-2.318992,-2.023983,1.056515,0.840062,0.50968,1.364101,-1.290652,-0.035705,-2.01541,2.691137,-1.023339
$\mathbb{N}$,0.430521,-1.344611,0.333083,-2.808039,-3.149567,0.257696,-0.443766,-0.052535,0.571056,-0.267377,-0.977962,-0.525249,1.940548,-0.284327
deux,0.78618,-1.025509,0.674134,-2.474317,-3.158489,1.432695,-0.573283,-0.256836,1.14698,0.357828,-0.297157,-1.006258,1.470961,0.237339
fonction,0.369992,-0.787994,1.614331,-2.663698,-1.817271,0.238776,-0.416969,0.101599,2.362436,-0.497658,-2.020633,0.439502,1.110408,-1.341919
premier,-0.05634,-2.006769,0.1589,-1.885901,-2.664799,0.874013,0.828813,0.320132,1.843293,-0.69309,0.419472,-1.824422,1.392622,-0.475252
ensemble,0.912017,-0.825148,0.46832,-2.347439,-3.438127,0.55371,0.44296,-0.09505,0.603369,0.062756,-0.610223,1.311085,2.033766,-0.647341
point,1.01212,-0.188129,2.307409,-2.694515,-2.768932,0.713759,-1.30239,-0.341942,0.633374,0.949549,-1.013911,-0.67619,0.970056,0.822859
théorie,0.055095,-0.709583,1.168787,-1.672088,-2.279495,-0.469497,1.788197,0.726039,2.837093,1.025198,0.275181,0.358433,1.118383,-0.830291
exemple,0.840052,-1.016816,0.507078,-2.368031,-2.414943,0.489866,-0.03422,0.881283,1.287307,0.341566,-0.775285,-0.381034,1.645021,-0.278566
espace,0.441953,-0.497119,2.246106,-2.557526,-2.140513,0.337443,-0.500882,-0.715642,1.544277,1.070043,-0.210938,2.311668,2.017486,-0.390094
théorème,1.153167,-1.673892,1.824554,-2.102494,-1.244422,-0.813861,1.925205,-0.895084,2.670759,-0.255344,-0.659673,0.018648,1.420583,0.487818
problème,0.514272,-1.256308,0.724572,-1.894883,-2.003404,-0.630766,0.999786,0.565807,1.579437,1.615902,-0.34914,-1.170296,1.230663,-0.575308
valeur,0.405316,-0.531779,0.567638,-2.788474,-2.181916,0.613947,-0.649282,0.717873,0.73572,-0.288964,-2.057988,-1.092264,1.350854,-0.828328
groupe,-0.239086,-1.40942,2.270025,-1.299453,-2.375561,1.312934,0.612244,0.020223,0.836432,1.062283,0.420322,0.855387,1.792735,-0.517127
graphe,2.025892,-1.200983,1.478986,-1.395508,-2.003244,0.712369,1.964812,-1.361755,-0.42873,1.027482,1.05749,-0.809228,2.550582,-1.14497
forme,0.971057,-1.149328,1.108184,-2.201977,-1.547808,0.686069,-0.655235,0.570884,1.902829,0.319517,-0.533153,0.243165,1.611304,-0.249526
entier,0.103584,-2.256538,0.766917,-2.261531,-1.990482,0.94927,-0.350719,0.486461,1.02579,-1.376948,-0.929397,-0.508901,2.267714,-0.556599
système,0.146246,-0.331942,-0.023054,-1.616323,-1.89838,0.56927,0.192587,1.476747,2.026793,1.002381,-0.845213,-0.063126,1.002315,-1.295256
équation,0.608286,-0.724183,2.217919,-2.247928,-0.947238,-0.319542,-0.60607,-0.051599,2.759996,0.330797,-1.212806,-0.790527,0.439303,-0.457074
suite,0.511332,-1.072688,0.410735,-2.30207,-1.905559,0.254768,-0.004863,-0.300236,1.558405,-1.36427,-0.919237,-0.109136,1.522602,-1.299827
algorithme,1.550018,-0.989003,0.497932,-1.14462,-2.181364,-1.109133,1.411736,0.595411,0.937573,0.950006,-1.554856,-1.699773,0.448788,-1.751953
calcul,0.295413,-1.016713,0.069335,-1.70988,-1.669022,0.111082,-0.047473,1.348311,2.682792,0.605538,-0.845255,-0.891696,0.563371,-0.7946
application,-0.074465,-0.585703,2.220495,-1.629348,-2.634886,-0.274654,-0.453229,1.380017,1.362556,0.725069,-0.147767,1.003749,0.643696,-1.02526
