word,1,2,3,4,5,6,7,8,9,10,11,12,13,14
un,-0.760584,0.684462,-0.037885,-0.839551,1.43198,-0.843352,-0.874429,0.251685,-1.431666,0.81574,0.34421,0.960781,-1.964138,0.705551
nombre,0.346909,0.274346,0.067842,-1.013844,1.057502,-0.797435,-0.192674,-0.340196,-1.380971,0.717154,-0.967977,0.289807,-2.009176,-0.375685
$\mathbb{N}$,-0.64101,1.001555,0.205337,-0.639044,1.34077,-0.378613,-0.768654,0.136187,-1.031539,0.313791,-0.113486,0.304568,-1.775962,-0.45509
deux,-0.572867,0.610006,-0.27078,0.152756,1.145925,-1.398888,-0.570424,0.543414,-0.946429,0.893925,-0.08079,0.782437,-1.758841,0.133273
fonction,0.04835,0.061864,-0.060353,-0.766329,1.933471,0.932021,0.118674,0.506836,-0.790722,0.988028,-1.178873,0.233248,-1.521569,0.205966
premier,-0.333371,0.241751,0.201718,0.019806,1.696651,-1.513417,-0.371001,0.291763,-0.093478,-0.025786,-0.099625,0.854876,-1.54435,0.221677
ensemble,-0.062859,0.474518,0.551869,-0.167986,0.983361,-0.208347,-0.162117,0.460967,-0.966485,0.973934,0.100224,0.46272,-1.367476,1.055583
point,0.80832,0.808174,-0.302251,0.072168,0.445369,-0.99168,0.106359,0.221577,-0.878506,0.512344,-0.408622,0.428984,-2.124726,-0.737526
théorie,1.146691,0.727316,0.133849,-0.668747,2.119351,1.895378,-1.065522,0.17296,-1.123066,-0.316207,0.282396,-1.07117,-0.521107,1.103037
exemple,0.12458,0.910863,0.400482,-1.037153,0.916383,0.342286,-0.661314,0.034558,-1.75592,0.59684,-0.308788,0.237164,-1.167938,0.74893
espace,0.110222,0.06628,0.5279,-0.626226,0.139304,0.331624,0.576134,0.713228,-1.58436,1.199777,0.861514,-0.021605,-1.728261,1.253538
théorème,1.353666,0.944194,-0.905174,0.465328,0.628384,2.501593,-0.474285,0.630925,-0.416672,0.571841,-1.353675,-1.087081,0.511875,0.041271
problème,0.387926,0.619714,0.088121,-1.59915,1.161995,0.598806,-0.83376,0.949164,-0.782505,-0.058028,-0.009111,-0.333857,-1.676258,-0.135269
valeur,0.708676,0.423234,0.819647,-1.034828,1.030563,0.521267,-0.494587,-0.223201,-1.729577,0.773286,-1.100177,-0.186267,-1.783442,0.228946
groupe,0.460185,0.504663,0.465303,-0.095079,0.883061,-0.435532,-0.004659,0.440825,-0.167715,-0.524381,0.566711,1.48413,-1.620444,0.236825
graphe,1.169033,-0.037119,0.361686,0.180155,-0.573588,2.102511,0.462933,-0.055142,-1.633586,1.023586,-0.805694,0.085025,0.478899,0.21752
forme,0.189372,1.080808,0.328929,-0.461003,0.790271,-0.138595,-0.916701,-0.038803,-2.115256,1.391765,-0.104419,0.402011,-0.807054,1.149837
entier,-0.001192,0.361386,0.516056,-0.770252,0.451101,-0.247085,-0.677838,-0.394197,-1.243545,0.638875,-0.166242,0.257627,-1.14497,0.309817
système,0.749892,0.55287,0.166275,-1.784325,1.380907,0.780888,0.605748,1.275346,-1.779496,0.420852,-0.524082,0.945168,-1.130624,0.482851
équation,1.53947,1.661857,-1.357738,0.245303,1.359911,2.284297,-0.534595,1.199346,-1.27157,0.750394,-1.345767,-0.888509,0.114842,-0.066297
suite,-0.620539,0.421926,0.402007,-0.533373,1.552641,-0.982249,-0.504751,0.719448,0.082715,0.009806,0.18074,0.26386,-1.343771,-0.448067
algorithme,0.822682,0.785214,0.127132,-0.498879,-0.005957,2.097982,0.21887,1.277584,-1.53711,-0.069853,-1.380691,0.345991,0.106708,0.273424
calcul,1.298643,0.434026,-0.047008,-1.107771,0.782796,1.182704,-0.1288,1.075411,-1.636021,0.489265,-1.977123,-0.59122,-0.792737,0.456527
application,0.5851,0.691192,0.788793,-1.997821,1.182563,1.196273,0.994114,1.102193,-1.00493,0.243277,-1.28865,0.306957,-0.91019,0.924832
