word,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150
un,-0.29558,-0.235859,-0.153243,0.323006,-0.211577,-0.106569,-0.267314,0.292038,0.013887,0.361078,-0.211016,0.298907,0.241507,-0.048106,-0.005002,-0.279642,-0.099617,0.186005,0.017811,-0.342929,-0.111078,-0.17424,0.23073,0.400291,-0.265973,-0.074697,-0.166391,0.237587,0.002821,-0.020367,0.159381,-0.094063,0.357594,0.252421,0.162154,0.070418,0.151473,0.241921,-0.508393,0.432534,0.00339,-0.165825,-0.279025,-0.318644,0.230219,0.148654,-0.054479,0.518032,-0.047038,-0.15731,0.283263,0.903435,0.110863,0.45318,0.365568,0.336755,0.152147,0.237145,-0.079932,-0.07348,-0.370229,-0.014755,0.030013,-0.399781,0.990252,0.224938,-0.156556,-0.301262,-0.115479,0.267165,-0.475656,0.711429,-0.211557,0.317334,0.127786,-0.891674,0.3825,0.059758,-0.14777,0.092794,-0.021432,-0.325512,0.407307,0.287152,0.237626,-0.223566,0.101423,0.195028,-0.1552,0.073795,0.014568,-0.409092,0.158125,-0.278304,0.335111,0.542381,0.143832,0.707292,0.271928,-0.237219,-0.085779,-0.015412,0.076459,0.062231,0.043514,0.14815,0.140559,0.17218,0.076831,0.274142,-0.098106,0.352149,-0.251755,0.323745,0.077487,0.510931,-0.248225,0.554368,-0.105008,-0.217185,-0.484909,0.189787,0.346793,0.031763,0.198088,-0.088767,-0.017762,-0.094449,0.675787,-0.093117,0.026873,-0.067547,0.402994,0.05724,-0.148109,-0.025088,0.229514,-0.283437,-0.149546,-0.034004,-0.233294,0.220006,-0.266954,-0.360868,0.092577,-0.313986,-0.631587,0.007106,-0.316066,0.100324
nombre,0.08793,-0.123851,0.257197,-0.019142,0.116982,0.234358,-0.429755,0.652949,-0.732084,0.305683,0.11319,0.468198,0.236319,-0.028807,-0.299945,-1.310888,0.762893,0.281369,0.608847,-0.545863,0.06063,-0.389845,0.212403,0.014426,0.442006,0.238687,0.23772,-0.466592,-0.141821,-0.200096,-0.15435,-0.042182,0.16909,0.417466,0.056492,-0.306967,0.688049,-0.147362,2.6e-05,0.272139,-0.291932,-0.105871,0.46755,0.24949,-0.218849,-0.466165,-0.171372,0.656925,-0.429189,-0.047153,0.031041,0.825855,-0.308973,-0.279098,0.001073,0.588935,0.164503,-0.024653,-1.068284,-0.709237,0.079555,0.314248,0.519471,-0.291308,0.830657,0.093697,-0.046449,-0.290757,0.137358,-0.154271,-0.513709,0.116226,0.267757,0.3991,0.314322,-1.571896,0.471349,-0.111616,-0.026544,0.102028,0.113304,-0.94627,0.112349,-0.306921,0.213471,-0.314797,0.019414,0.771173,-0.0531,0.323984,-0.401304,-0.275761,0.708974,-0.216933,-0.322402,0.245848,-0.285391,-0.33991,0.812054,-0.281107,0.477466,-0.094141,-0.10585,-0.500954,0.730698,-0.531455,0.438048,-0.046225,-0.293417,0.380785,0.269648,0.496175,-0.437697,-0.02012,-0.184786,0.305632,0.259502,0.513844,0.465963,-0.183395,0.059159,-0.231823,0.439999,-0.165431,-0.483421,-0.468937,0.313427,0.40552,0.288878,0.474022,0.051038,-0.59903,0.3962,0.158639,0.213668,0.03161,-0.124222,-0.529699,-0.09625,0.307179,0.234423,-0.16284,-0.068311,0.229199,0.428184,-0.059738,0.180208,0.167073,-0.810256,-0.366146
$\mathbb{N}$,-0.036456,-0.345231,0.044849,0.267506,-0.256198,-0.121828,-0.073247,0.043966,0.10976,0.44944,0.305606,0.560852,0.023107,-0.060964,-0.126324,-0.406826,0.155018,-0.240928,0.287756,-0.323063,0.301871,-0.029968,0.220883,-0.080922,0.118877,-0.325433,-0.04271,-0.183277,0.145319,0.065643,0.130573,0.170898,0.259206,0.614254,0.110904,0.446385,0.421629,0.060502,-0.144106,-0.146213,-0.205896,0.007182,0.08772,0.12123,-0.128442,-0.223011,-0.156172,-0.086498,-0.366481,0.095409,-0.335755,0.81131,-0.262662,-0.07668,-0.278408,-0.026733,0.183382,0.200928,-0.311999,-0.007717,-0.029647,-0.024767,0.359039,0.444792,0.635021,-0.097416,0.375767,-0.197436,-0.436936,0.09339,-0.148723,0.378768,-0.250784,0.046156,0.262364,-0.860093,0.149703,0.090587,-0.195986,-0.158012,-0.000698,-0.807949,0.060924,0.07603,0.281045,-0.090753,0.152717,0.249624,-0.395956,0.171441,-0.166016,-0.111247,0.11361,-0.433965,0.413422,0.267491,0.015921,-0.037091,0.216703,0.047483,-0.019437,0.116393,0.275804,0.049544,-0.053315,-0.290223,-0.143225,0.257401,-0.001178,-0.201572,0.302499,-0.071006,-0.451741,0.268564,0.095622,0.788513,0.584308,0.39282,-0.146972,-0.198772,-0.018547,0.273779,0.120164,0.139641,-0.328332,-0.192378,0.151338,0.115405,0.425151,-0.572266,-0.127297,-0.184539,0.33738,0.217811,0.115009,-0.189266,0.20142,-0.436039,0.048017,0.202144,-0.355727,0.130248,-0.394714,-0.293422,-0.114493,-0.130364,0.016517,-0.253705,-0.040529,-0.285934
deux,-0.395803,-0.151621,-0.2451,0.44481,-0.192495,-0.241009,-0.093896,0.189481,0.231561,0.404682,-0.270667,0.274367,0.364137,0.160293,-0.062366,-0.028517,0.04892,0.277611,0.139927,-0.768803,0.294946,0.044268,0.070555,0.303845,0.285244,-0.512485,-0.144572,-0.153995,0.035154,0.405945,0.121091,-0.102042,0.255356,0.091095,0.132132,0.202944,0.488662,-0.010322,-0.4406,0.602566,0.191921,-0.19014,0.096332,0.164735,0.362458,0.111345,-0.012751,0.351955,0.11189,-0.233064,-0.0002,0.725352,-0.305806,0.213978,0.149136,0.287536,0.113376,0.046534,0.086022,0.078736,-0.128085,-0.063911,0.281908,-0.530053,0.448755,0.176257,-0.20011,-0.414142,-0.274188,-0.157736,-0.222173,0.466978,-0.087737,0.128564,0.46357,-0.876077,0.047925,-0.075175,0.294035,-0.019,-0.268523,-0.406949,0.371555,-0.040927,0.444129,0.17009,0.563376,0.232447,-0.403375,-0.179013,-0.146069,-0.498195,0.367484,-0.219997,0.113905,0.853363,0.268251,0.333396,0.659488,-0.105406,-0.115307,-0.277035,-0.080963,0.219426,0.630268,0.207146,-0.213789,-0.077227,-0.155872,0.172082,-0.088593,0.268488,0.2055,0.222328,0.235008,0.161921,0.2377,0.888506,-0.264997,-0.33327,-0.094897,-0.008137,0.19505,-0.049714,0.040858,-0.52636,-0.243252,-0.087223,0.286924,0.236277,0.410973,-0.314015,0.41448,0.131394,0.062991,0.045834,0.221991,-0.355899,0.155173,0.094482,0.020446,0.226158,-0.514345,-0.372375,-0.030113,-0.425459,-0.319863,0.137322,-0.268437,-0.163539
fonction,-0.062582,-0.176467,-0.340634,0.245954,0.256443,-0.767557,-0.111397,0.011181,-1.104811,0.282014,0.213589,0.148251,0.120277,-0.292232,-0.482324,-0.634612,1.432461,-0.141305,0.15439,-0.373195,0.02723,-0.314325,-0.338663,0.465039,-0.071496,-0.079145,-0.028846,0.399321,0.030338,0.281389,0.340561,0.03335,0.628616,1.004778,-0.011737,0.335109,0.443703,-0.020255,-0.098543,0.649167,0.059266,0.26277,0.457383,-0.261743,-0.40395,0.19233,0.489158,0.254088,-0.199875,0.408394,0.00045,0.325267,0.196407,-0.337204,0.171658,0.313305,0.57416,-0.271193,-0.737047,0.016577,-0.506218,0.170641,0.362378,0.203324,0.941706,0.352901,0.725998,-0.117945,-0.345193,0.01494,-0.260906,0.220998,0.63556,0.156993,-0.056756,-1.426063,0.469576,0.208992,0.201638,-0.082633,-0.569329,-0.086376,0.466928,-0.293895,-0.068261,0.02211,-0.219966,-0.102847,0.010445,0.405067,0.150255,-0.277643,0.530502,-0.449061,0.234893,-0.022914,0.165682,-0.203787,-0.238348,-0.091179,0.898479,-0.362271,-0.816002,0.037954,0.907551,-0.184287,-0.134964,0.512267,-0.69825,-0.534089,0.84776,-0.130277,-0.284025,0.4256,0.045983,-0.130598,0.277893,0.095684,0.496356,0.529167,0.403864,0.215391,0.081339,0.08768,0.036636,0.138578,0.746459,-0.233248,0.497962,-0.357913,-0.23577,-0.071053,0.857369,0.289826,-0.229522,-0.505412,-0.304523,-0.350557,0.131987,0.535653,-0.25545,-0.136706,-0.584984,-0.212562,0.219046,0.298897,-1.311517,0.245223,-0.31206,0.538682
premier,-0.291032,-0.381049,0.005899,0.227937,-0.626052,-0.235292,-0.151019,0.228212,0.555912,0.186431,-0.524403,0.142733,0.293119,-0.004417,-0.347257,-0.074663,0.467423,0.359226,0.21774,-0.753651,-0.311145,-0.336699,0.049183,0.064481,-0.061828,0.0356,0.018761,-0.100776,-0.041195,0.083227,0.204821,-0.010296,0.232467,0.326231,0.109208,0.172561,0.259933,0.007087,0.251515,0.307912,-0.319147,-0.204208,0.053295,0.253434,0.26527,-0.029114,-0.003154,0.205757,0.194663,-0.175558,-0.292172,0.393634,-0.609788,0.190157,0.191257,0.478466,0.236048,0.065196,0.006422,-0.371745,0.218075,-0.036872,-0.17178,-0.402931,0.584301,-0.08424,-0.452131,-0.306443,-0.20341,-0.034709,-0.251474,0.53544,-0.213224,0.343935,0.403326,-0.397404,0.086311,0.08861,-0.097835,-0.091535,0.037201,-0.480507,0.249787,0.180375,0.07123,-0.326625,0.204654,0.184575,-0.289764,-0.144453,-0.333008,0.013023,0.094416,-0.274612,0.073542,0.502507,0.361857,0.427476,0.167798,-0.132974,-0.777261,-0.170897,-0.154439,0.035986,0.971247,-0.15086,-0.165408,0.28105,-0.383899,0.120426,-0.05001,0.156961,-0.286229,0.125662,0.492336,0.151609,0.212965,0.512366,-0.623472,0.127116,0.156051,-0.039597,0.483654,-0.172276,-0.182184,-0.291168,0.114197,0.161189,-0.101342,0.043606,0.225962,0.04989,0.530491,0.205941,0.322218,-0.102679,0.252792,-0.237935,-0.067132,-0.274524,-0.300114,0.162739,-0.388325,-0.28411,-0.221065,-0.096073,-0.292361,0.028516,-0.077772,-0.097662
ensemble,0.098061,0.285284,0.194285,0.097442,-0.060283,-0.455985,-0.302666,-0.021972,-0.712079,-0.06713,-0.25285,0.493161,0.428815,0.442049,0.42695,-0.199097,0.457426,0.268902,0.626651,0.076242,0.400128,-0.064642,0.32557,0.277649,-0.220726,-0.060059,0.198044,0.033117,-0.535866,0.359326,0.074613,0.077735,0.392806,0.210418,0.060395,0.48368,-0.039172,0.14416,-0.492466,0.226654,0.254624,-0.386704,0.630174,0.349787,-0.02311,0.100045,-0.104314,0.181228,-0.388974,-0.01316,0.205933,0.414078,-0.204728,-0.410077,0.051173,0.461436,0.269784,-0.122322,-0.324583,0.038597,-0.271826,-0.041916,0.521376,-0.038966,-0.106587,0.28597,-0.290406,0.251687,-0.183458,0.231904,-0.361301,0.567339,0.465918,-0.161453,0.383115,-1.370359,0.273046,0.108142,0.203836,-0.232463,-0.743336,-0.731145,-0.024605,-0.333827,-0.387284,-0.25336,0.18465,-0.348434,-0.104518,0.302339,0.06446,-0.124046,0.106056,-0.345513,0.310607,0.032238,0.11348,0.316573,0.435975,-0.115313,0.19513,-0.031701,-0.108683,0.027368,0.376328,-0.291582,-0.12687,0.255482,-0.064882,0.440504,-0.576461,-0.137059,0.100639,0.039158,-0.10563,0.223294,0.207152,0.213604,-0.045884,-0.546101,-0.012795,0.204374,0.016457,-0.309183,-0.152,-0.438547,-0.237582,0.346211,0.259415,-0.216258,0.1886,-0.291347,0.229981,0.606516,0.320955,-0.302506,-0.099707,-0.128538,-0.094212,0.672625,-0.243426,0.635302,0.134043,-0.261164,-0.107263,-0.116825,-0.256477,0.226279,-0.374268,0.003247
point,-0.045283,-0.821442,0.459548,0.749694,-0.321833,-0.154141,-0.336005,0.341213,0.101589,0.133846,0.015692,-0.138053,-0.124219,-0.216603,0.171799,-0.241916,0.467355,0.233425,0.254628,-0.55995,0.080721,-0.297035,-0.736612,0.03351,0.500482,-0.193792,0.171051,-0.260942,0.229884,-0.113923,-0.350803,0.203828,0.38843,0.278291,0.137479,0.109779,0.596655,-0.07556,-0.016026,-0.183336,-0.008135,0.248508,0.185725,0.293259,0.265649,-0.001401,-0.118832,-0.002512,-0.653112,-0.228917,0.285596,0.898279,-0.243204,-0.542128,0.143568,0.494814,0.09114,-0.065435,-0.202348,0.124737,-0.220874,-0.23045,0.317202,0.323306,1.316825,0.255825,-0.08328,0.159927,-0.700203,0.019964,-0.026876,0.514298,-0.06242,-0.166617,0.16605,-0.326355,-0.319716,-0.017649,-0.276246,0.310044,-0.211351,-0.565472,-0.128595,-0.262248,0.505489,-0.341627,0.164714,-0.158551,-0.576722,0.078141,-0.544733,-0.753521,-0.10727,0.113721,-0.13026,0.404581,-0.183035,-0.251051,0.939394,0.105184,0.289604,-0.239086,-0.327076,-0.003281,0.556617,-0.230172,-0.374404,-0.561403,0.539741,0.001485,-0.600881,0.51682,0.222495,0.206965,-0.092625,0.561778,0.570904,0.334765,-0.082663,-0.008895,-0.610481,-0.693642,0.37174,-0.015917,-0.156495,-0.120904,-0.136483,0.173375,0.041744,-0.312744,-0.412558,-0.825924,-0.433485,0.346958,0.163919,-0.161604,0.020111,-0.378834,0.298026,-0.719349,0.188001,0.162559,-0.239168,-0.076189,0.716444,-0.556871,-0.518482,0.2499,-0.058486,-0.38108
théorie,0.555654,-0.689159,-0.296289,0.291809,-0.581743,0.07607,-0.18787,0.619787,-0.501426,0.02094,0.152539,-0.011571,0.466298,-0.084133,-0.042359,-0.471212,1.905888,0.558732,0.521145,0.472797,-0.55772,0.105136,-0.137112,-0.11214,0.2631,0.043526,0.108221,0.157194,-0.071408,0.2915,-0.20584,0.468344,0.173469,0.829976,-0.577288,0.246069,-0.082177,-0.044664,0.314141,-0.347774,-0.528382,0.493035,0.50445,0.708248,-0.271961,-0.011821,-0.089415,0.276868,-0.797258,0.154837,-0.335111,0.001182,0.06375,-0.292583,0.611081,0.194162,0.384141,0.578414,0.115225,-0.006223,-0.379102,-0.566862,0.42713,0.483043,0.322434,-0.079804,0.065756,0.262285,0.276183,0.068427,-0.086176,0.019432,-0.04724,-0.01713,-0.125782,-2.037946,0.443734,0.276922,-0.108916,0.383369,-0.124383,0.238295,0.830633,-0.160544,-0.46009,-0.039237,0.639492,0.338954,-0.727186,0.134254,-0.653471,-0.34636,0.126568,0.738893,0.775754,0.087594,-0.470755,0.675199,0.347226,-0.058811,-0.108577,0.192914,-0.18077,0.532537,-1.117627,-0.86377,0.133548,0.137489,-0.8213,0.43759,-0.650355,-0.257737,-0.265164,0.386088,-0.156338,-0.211153,0.545745,0.068424,0.09611,0.029424,0.110923,0.178704,-0.590003,0.318034,0.8194,0.115359,-0.299887,0.718708,0.322121,-0.521945,-0.437494,-0.337835,-0.435357,-0.35259,0.407502,-0.333481,-0.680331,-0.638172,-0.723787,0.585388,0.501934,0.2255,0.496764,-0.617817,0.08081,0.152662,-0.0643,0.390496,0.226867,0.809252
exemple,0.213097,-0.001173,0.180521,-0.0047,-0.202177,0.127546,-0.062566,0.413351,-0.676449,0.031927,0.205893,0.202939,-0.468201,-0.143618,-0.047765,-0.57296,-0.006262,-0.015466,0.453163,-0.06265,0.131577,0.075774,0.290921,0.147453,-0.349402,0.012125,0.13805,0.049712,0.039361,-0.462652,0.526508,0.249952,0.164645,0.716405,0.008806,0.188918,0.289908,0.462425,-0.03548,0.192934,0.124259,0.265437,0.265268,0.076554,-0.394744,-0.056864,-0.052476,0.000156,-0.330263,0.137505,-0.123574,0.661615,0.011844,0.076942,0.011449,-0.028213,0.355001,0.271503,-0.482346,0.144926,-0.455774,-0.097642,0.368025,0.015571,0.631449,0.395084,0.286386,-0.281013,0.066011,0.149987,-0.182591,0.712805,0.282405,-0.056414,0.035663,-1.461761,0.379565,0.634637,0.087029,0.063404,-0.229527,-0.292556,0.407339,0.237125,0.104752,0.162011,0.391981,0.231953,0.042361,0.023734,-0.209568,-0.467481,0.308009,-0.081138,0.115839,0.408947,-0.183331,0.024896,0.409754,0.104869,0.028071,0.152223,-0.087263,0.233202,-0.187896,-0.444467,0.510995,0.279272,-0.262458,0.046969,0.107383,0.184116,-0.284916,-0.091967,0.078251,0.647271,0.06854,0.158501,-0.07944,-0.271109,-0.384013,-0.065508,0.013633,-0.250624,-0.135918,-0.131251,0.043756,0.030915,0.424453,-0.411393,-0.053933,-0.267302,-0.01583,0.30531,-0.064324,-0.235406,0.075892,-0.304819,-0.188024,-0.064672,-0.353394,0.303076,-0.329108,-0.580216,0.31789,0.006299,-0.300099,-0.3091,-0.162649,0.090912
