word,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150
un,0.768522,-0.272616,0.757637,0.445873,-1.314538,0.261954,0.664529,0.320805,0.621872,-0.576029,-0.312222,-0.60947,-0.387277,-1.961587,0.810395,0.643989,1.696324,-0.367783,-0.132826,-0.862013,0.478111,-0.429222,0.293596,0.365457,0.78832,0.425954,-0.557877,-1.007135,0.153584,-0.246358,-0.517748,0.44848,0.759233,-0.539073,0.748295,-0.708804,0.056943,-0.226841,-0.438887,1.141895,-0.136157,-0.467215,0.583188,0.414932,0.140755,-0.124268,0.027365,0.329556,0.304618,-1.247089,-0.278503,0.308521,-0.235275,0.237232,-0.380277,-0.119378,-0.538317,-0.841141,0.194991,-0.260139,-1.259693,0.259115,0.176164,0.146931,0.017979,0.60527,1.744427,1.187212,0.055637,-0.116257,0.007619,-0.27148,0.588282,-0.63807,-0.106656,0.113527,-0.462399,-0.971656,-0.001968,-0.065205,-0.355304,0.543719,0.149348,-0.248301,-0.114797,0.719853,0.006403,0.122744,0.113271,-0.215342,0.252579,-0.42598,0.12546,-1.259973,0.292057,-0.944469,0.348956,0.227345,-0.193109,-0.49444,0.032763,-0.130492,1.560503,-0.016089,0.254907,-0.495431,-0.305179,1.173396,1.377974,0.269655,-0.55108,0.25427,0.614705,0.054276,0.159458,0.142997,-0.374466,-0.714993,-0.114902,0.89808,-0.384733,-0.058818,-0.480121,-0.096512,0.204125,0.223998,-0.347309,-0.463217,-0.02014,0.247842,-0.080821,0.116448,0.62051,-0.759405,0.025781,0.783169,0.283872,0.305745,0.524359,-0.277683,-0.394759,0.844675,-0.17667,0.337593,-0.490418,0.451541,-0.187989,0.320356,0.482766,0.142309
nombre,0.113816,0.292101,-0.023824,-0.068933,-0.755675,-0.207847,-0.369441,-0.719831,0.631713,-0.524245,0.471745,0.06604,-0.570553,-1.437963,1.442133,-0.487621,0.703294,-0.341909,0.116892,0.235263,-0.077963,-0.460894,-0.851578,-0.507467,-0.266806,0.610626,-0.629372,-1.236382,-0.061665,-1.052163,-0.484448,-0.367864,0.755755,-0.319472,-0.503531,-0.816368,-1.327119,-0.151246,-0.610532,1.138841,0.280411,-0.46689,0.053077,0.213518,-0.379019,0.054183,0.910941,1.310016,0.61922,-1.500929,-0.233505,0.287083,0.181499,0.021048,-0.654353,-0.585501,-0.203121,-1.259454,-0.376847,-0.458143,-0.806801,0.229898,-0.236596,0.052233,0.306064,-0.486716,1.517106,0.434706,-0.093205,-0.152456,0.001975,0.084108,0.439472,-0.474673,0.822189,0.764865,0.284843,-0.254858,0.858081,-0.206456,-0.013664,0.212773,0.636238,0.737739,0.200665,0.435594,-0.562652,0.446048,-0.32077,-0.545861,0.522726,-0.730942,-0.803125,-1.308435,0.693367,0.665318,0.682279,0.63172,-0.33352,-1.268854,0.003064,-0.617961,0.542769,0.63945,-0.111755,-0.903796,1.008737,-0.269992,0.682848,0.386816,0.040131,-0.476221,0.557811,0.248451,0.050828,-0.35026,-0.744831,-0.617187,0.50002,-0.571545,-0.07379,-0.024403,0.228206,0.569083,-0.785919,0.566883,-0.704989,0.358413,-0.135555,0.413271,-0.056938,-0.700581,0.191289,-0.138213,0.450716,0.265694,1.106241,0.669544,0.25033,-0.182758,0.186934,1.131113,-0.358399,0.225882,-0.402046,-0.272902,0.70549,1.156117,0.673101,-0.09078
$\mathbb{N}$,-0.263061,0.433538,0.582024,0.097629,-0.663365,-0.440073,0.658155,-0.224411,0.520389,-0.672279,0.625297,0.059269,-0.535066,-0.70355,1.145712,0.775432,0.963816,-1.418568,0.727484,-0.64499,0.432109,-0.56556,-0.751267,-0.04982,0.189584,0.239743,-0.173656,-0.288348,-0.23753,-0.189834,-0.954281,0.302639,0.605055,-0.003693,0.148429,-1.241857,-0.657643,0.099502,-0.4055,0.660201,0.549569,-0.096511,0.526371,0.211075,0.047068,0.135934,0.773582,0.511157,0.036332,-0.830488,-0.222473,0.491528,0.503041,0.240565,-0.616625,0.089572,-0.417122,-0.672333,-0.512659,-0.017185,-0.730426,-0.831132,0.341243,-0.441817,-0.325794,-0.21976,0.730754,0.00825,-1.115091,-0.287839,0.099411,0.038808,0.936052,-0.320736,0.47213,-0.057847,0.115776,-1.150083,0.267605,-0.325449,-0.806668,-0.452862,-0.058,-0.190195,-0.777366,0.425086,0.114176,0.036445,-0.073527,-0.889318,-0.041067,-0.856409,-0.058081,-0.68322,0.532626,0.242945,0.235704,0.083226,-0.0195,-1.355507,0.13183,-0.052564,0.229589,0.238731,-0.533118,0.116583,-0.285723,0.548024,1.720511,-0.101551,0.037243,-0.185785,-0.347208,0.428544,0.080051,-0.098624,-0.131688,-0.854347,-0.575075,0.740778,-0.175452,-0.370983,-0.222581,0.277491,-0.176715,0.360434,0.364593,-0.450466,0.522091,0.316999,-0.150857,-0.217324,1.451889,-0.240988,0.211236,-0.216338,-0.031355,0.394683,-0.149082,-0.589477,-0.11654,0.52526,0.172376,0.826534,-0.629043,-0.051898,0.571114,0.58133,0.624778,-0.835742
deux,-0.139039,0.357898,-0.263195,0.67582,-0.632528,-0.557709,0.710421,-0.330475,0.362475,-1.031069,0.34843,-0.614756,-0.108902,-1.290328,0.621376,0.534377,0.419686,-0.442763,0.032964,-0.476905,-0.022169,0.148802,-0.346859,-0.055382,0.444102,0.522946,0.319358,-0.689805,0.449796,0.210759,-0.063756,0.34387,0.632424,-0.224203,-0.149617,-0.318047,-0.03753,0.007648,-0.543913,0.493648,-0.068126,0.189625,-0.205987,0.527694,-0.157786,-0.242695,0.339435,0.151288,-0.365479,-1.02772,-0.95952,0.107529,0.090519,-0.167614,-0.366123,-0.084741,0.338646,-0.780506,0.116364,0.338066,-1.120599,0.215054,0.322773,-0.484391,1.156545,0.527655,1.427291,0.148475,0.13457,-0.32807,0.235451,-0.021944,1.132148,0.116925,0.834233,0.409631,0.543847,-0.650732,-0.416834,-0.00224,-0.229269,0.076242,-0.224937,-0.080777,-0.187219,0.123361,0.161925,0.444665,-0.961195,-0.440643,0.063658,-1.147353,0.117178,-0.182816,0.396374,-0.272267,0.732565,0.115324,-0.372584,-0.883597,0.629357,-0.393025,1.226587,0.429597,0.134618,-1.059187,0.376801,0.309591,1.373383,0.504085,-0.33687,0.807465,0.350622,0.064239,0.225907,-0.401454,0.054975,0.317239,-0.312476,0.882813,-0.181175,0.269604,0.372947,-0.300821,-0.016843,0.064808,-0.836563,0.101378,0.078801,-0.411176,0.442262,-0.387359,0.008706,-0.650246,0.106503,0.594152,0.081051,0.904306,0.003407,0.120267,-0.748703,1.179666,-0.16068,0.086264,0.006422,-0.071642,-0.298878,0.629701,0.565793,-0.13547
fonction,0.578575,0.686313,0.142736,0.808404,0.213158,0.026523,0.210352,-0.034826,0.78422,-0.238328,-0.435249,-0.376289,0.467755,-0.407697,0.731758,0.460463,0.985691,-0.059177,1.189129,-0.234167,-0.277982,0.696581,-0.929428,0.294434,-0.123254,-0.217397,-0.759274,-0.769117,0.699409,-0.945092,-0.148781,-0.01685,1.195623,-0.00496,-0.143881,-0.326703,-0.206062,0.23557,0.574176,0.563444,0.729352,-0.043692,-0.081388,0.53346,0.014564,-0.422427,-0.42325,1.054621,-0.304325,-1.437044,-0.45113,0.85056,0.634931,-0.160854,-0.595382,0.752442,-0.528856,-0.851821,-0.403288,0.324669,-1.32438,-0.867402,0.203212,0.053955,-0.637237,0.415513,1.873579,1.004168,-0.695084,0.801889,0.474494,0.675683,0.485807,0.15896,0.331752,0.856786,-0.153075,-0.709162,0.546981,-0.6836,-0.270452,0.67873,-0.167799,0.240368,0.955633,0.353072,-0.298937,0.148807,-0.091469,-0.674739,0.246022,-0.821903,0.951466,-0.320019,0.30982,-0.803677,0.974865,-0.513204,0.503107,-1.065598,0.041685,-0.487151,0.309526,0.078456,-0.572905,-0.982936,-0.468609,-0.462936,0.488774,-0.169449,-0.669371,-0.541094,0.566637,0.871882,0.94931,-0.347291,-1.036611,-1.200654,-0.272179,0.825977,0.46812,0.108216,-0.299232,-0.089876,0.175559,-0.427869,-0.877817,-0.633847,-0.374779,-0.26927,0.350267,-0.197213,0.568857,-0.883335,1.007911,0.820892,0.024169,-0.133918,0.382361,0.1457,0.479052,0.968873,0.628943,0.252857,-0.681706,-0.070908,0.359413,0.165698,0.967814,0.540142
premier,0.132359,0.192765,-0.585874,-0.341509,-0.496635,-0.149104,0.475009,-0.628658,0.475121,-0.285752,-0.116234,-0.004883,-0.236922,-2.028912,1.426208,0.553683,0.125534,-0.018842,0.326552,0.676532,0.314793,-0.585201,-1.052524,0.351731,-0.329516,0.317682,-0.4996,-0.716776,0.182471,-0.09356,-0.094002,0.170033,1.010595,0.121529,0.297241,-0.592036,-0.523561,-0.27238,-0.748869,0.635929,0.298794,0.032686,0.138283,0.413434,0.349496,0.439186,0.738032,0.037587,0.357803,-1.116801,0.33448,0.438428,-0.038835,0.504519,-0.347935,-0.329395,-0.074474,-0.396962,-0.207317,-0.48429,-0.612556,0.10738,0.134067,0.171761,0.570084,0.221419,1.218085,0.058138,0.265243,0.317087,-0.154404,-0.160991,0.865059,-0.627738,0.850364,0.541026,0.250662,-0.566329,0.05632,0.309189,-0.975624,-0.428587,0.968444,0.236421,0.397147,0.349214,0.008975,0.123384,-0.599966,-0.080217,0.409839,-0.847787,0.318359,-0.982514,0.507407,0.245637,-0.158845,0.489009,0.302544,-0.524207,0.226947,-0.406238,0.818594,0.786923,-0.322136,-0.408401,0.166995,-0.453004,1.467149,-0.01304,-0.451146,-0.144071,-0.024432,0.381013,0.082684,-0.802746,-0.708744,-0.40758,0.209585,0.294589,0.141024,-0.243844,0.052246,-0.284472,0.033892,0.784537,-0.793735,0.050639,0.50372,0.464316,-0.072346,-0.057987,0.570513,0.019109,0.706013,0.838857,0.935231,0.490938,0.460943,-0.74799,-0.137878,1.379451,0.028706,0.294181,-0.372766,-0.320994,0.613908,1.28385,0.011191,0.359125
ensemble,0.437247,0.379497,0.008716,0.006889,-0.631201,-0.015458,0.63142,0.822334,-0.125045,-0.829568,0.086872,-0.578234,0.685635,-0.817767,-0.288015,-0.326986,1.174864,-0.633276,0.752468,-0.350544,1.016198,-0.397468,-0.362553,0.135183,0.399005,0.426492,0.117962,-1.326844,0.457858,-0.585432,-0.666303,0.851992,0.707692,-0.616556,0.331413,-1.018861,-0.518462,-0.705293,0.106891,1.236483,-0.378538,0.18655,0.19371,0.766466,0.109135,-0.026752,0.031777,0.434509,-0.678565,-1.536983,-0.025179,0.913462,0.754621,0.400998,-0.86004,0.206757,-0.554352,-0.643918,-0.317627,0.325561,0.077482,-1.034117,0.274583,-0.139485,-0.176904,-0.222198,1.179681,0.269541,-0.341071,-0.427446,0.667852,0.562365,0.607226,0.163115,0.499104,0.350305,0.379043,-0.419926,0.150722,-0.028897,0.084385,0.309487,-0.933512,0.562671,-0.061813,0.252691,-0.421786,0.164312,-0.327462,-0.302606,0.676988,-0.722885,0.183417,-0.179765,0.890854,-0.202941,0.142125,0.727442,-0.964271,-1.371945,0.184608,-0.495607,1.070286,0.941404,0.079263,-0.12189,0.676971,0.459108,0.881869,-0.002566,-0.595543,-0.082971,-0.206281,0.014033,0.724524,-0.454036,-0.344353,0.239197,-0.531688,0.529319,-0.038825,0.080969,0.464516,0.111814,0.256805,-0.229902,-0.322014,-0.882601,0.021166,0.052241,-0.199702,-0.293157,0.577544,0.069508,0.283318,-0.194625,0.009925,1.167547,-0.095928,0.122234,0.006164,0.906256,0.102762,-0.214468,-0.068825,0.591409,-0.021387,0.080858,0.137067,0.301063
point,-0.147706,-0.164024,-0.456483,0.816563,-0.960644,-0.355461,0.763904,0.316685,1.148262,-0.46546,0.808082,0.075812,-0.406942,-0.685754,-0.339054,0.219248,0.509805,-0.214955,-0.002862,-0.1224,0.00675,-0.343144,-0.043948,0.674946,0.129607,0.313597,0.523903,-0.956566,0.683416,-0.787162,-0.346862,0.384916,0.213751,-0.958658,-0.534816,-0.340547,0.475946,0.077469,0.139969,0.630109,0.835639,-0.130953,0.086658,-0.469691,0.113785,0.550661,0.647027,0.149758,-0.547618,-1.143484,-0.834155,0.107553,0.702227,-0.765497,-0.102904,0.620846,-0.314392,-0.567991,-0.261448,0.73315,-0.648869,-0.788347,0.447231,-0.29515,0.155491,0.481708,0.650083,0.597871,-0.652627,-0.567923,-0.040902,-0.530302,0.959522,-0.680742,0.935532,0.189864,0.171058,-0.770333,-0.46062,-0.115804,-0.25259,-0.032784,-0.776884,0.461558,-0.263339,0.041612,-0.106463,-0.124072,0.320629,-0.904297,0.776682,-0.695771,0.919823,-0.282918,-0.378536,0.517153,-0.611285,-0.187511,0.236044,-0.792728,0.925938,-0.094504,1.546091,0.25626,0.030385,-0.47585,0.486286,0.785237,1.454077,-0.059801,-0.757727,-0.5045,0.358357,0.954593,1.112069,-0.460219,-0.392663,-0.692539,-1.307132,0.923321,-0.077155,-0.11418,0.8166,0.060946,-0.309833,0.181569,-0.646029,0.247487,0.108676,0.335953,0.424424,-0.933258,0.404469,-0.707291,-0.237982,0.934695,0.061308,0.385218,-0.2089,0.495336,0.244667,0.449382,-0.328448,0.114245,-0.444443,-0.135773,-0.069666,-0.140026,0.142109,0.192209
théorie,-0.10612,0.889485,0.398807,-0.291222,-0.429763,0.241946,0.850708,0.210022,0.843648,-1.124276,-0.530972,-0.197742,0.09716,-1.408712,0.228624,0.154296,0.146091,-0.447435,0.500868,-0.46458,0.903808,-0.818581,0.753306,-0.318247,0.262562,0.117618,-0.76303,-1.770163,0.328931,-0.123865,-0.639213,-0.070247,0.447578,-0.038946,0.441782,-0.994701,-0.515577,-0.217126,-0.304622,1.482886,0.054571,-0.773295,-0.761663,0.540302,-0.134842,-0.210631,0.655492,-0.031177,0.411344,-1.340663,0.677644,0.639075,1.425347,0.429582,-0.375697,0.555145,-0.616193,-0.611959,0.301189,0.624152,-0.263994,-0.340577,0.471045,0.324298,-0.792687,0.258375,0.635358,-0.214835,0.323707,0.686267,0.02051,0.428792,1.054702,-1.084444,0.684356,0.047588,-0.34262,-0.842486,0.347807,-0.730448,-0.138142,0.094685,0.305215,-0.324849,0.371068,0.282329,-0.264235,0.065925,0.206637,-0.138683,0.159187,-0.166248,-0.351518,0.360205,0.267668,-0.619168,0.099516,0.155159,0.657437,-0.390958,0.051667,-0.286371,0.990685,0.457198,0.092742,0.236203,0.422895,0.2009,0.297368,-0.188392,0.38705,-0.376049,-0.23471,0.170325,0.569277,-0.04879,-0.304264,0.327404,0.06729,1.041514,0.049925,0.505671,-0.137565,0.582855,0.161818,-0.090771,-0.611393,-0.573575,0.430565,0.0599,-0.395469,-0.234721,-0.461711,0.223995,0.46824,0.420484,0.507199,0.672944,1.020372,0.190073,0.418437,0.703558,0.108891,0.383931,-0.016564,0.561308,0.467763,-0.055136,0.656878,0.074041
exemple,0.279084,0.412535,0.769984,-0.210391,-0.000576,-0.323632,0.295931,-0.000627,0.803048,-0.883353,0.360201,-0.244237,0.003155,-0.892097,0.702926,0.448632,0.641335,-0.052212,0.274016,-0.176236,0.394276,-0.278671,-0.156625,0.557162,0.152962,0.389196,-0.356958,-0.384534,-0.139113,-0.738202,-0.591879,0.410002,0.681283,-0.050699,0.39546,-0.495255,-0.311329,0.295967,-0.122605,1.366673,0.152098,0.260414,0.103096,-0.121403,0.1369,-0.228639,0.317471,0.519153,-0.101244,-0.865288,-0.498055,0.043173,0.156433,0.944297,-0.709401,0.17671,-0.071904,-0.5973,0.366011,-0.139406,-1.067177,-0.200683,-0.00265,-0.400763,0.409212,0.52232,1.50884,0.774474,-0.080124,-0.359524,0.034875,-0.022623,0.716054,-0.211586,0.153678,-0.083959,-0.407328,-0.822119,0.551014,-0.468113,-0.446005,-0.073099,0.03996,0.073067,0.121971,0.556996,-0.386526,0.517843,-0.218826,-0.644748,-0.40492,-0.39157,0.317421,-0.557347,0.609518,0.33082,0.141549,0.410144,-0.177559,-1.262191,0.501846,-0.385892,0.725339,0.395412,-0.180567,-0.917081,0.09947,0.442257,1.579856,0.48676,-0.012088,-0.517375,0.3636,0.166738,-0.046402,-0.042502,-0.516233,-0.272464,0.148881,0.482394,-0.27026,0.476786,-0.069644,-0.427257,0.322497,0.036784,0.024999,-0.216182,0.331108,0.539278,-0.215267,0.252027,-0.12046,-0.10037,0.285738,-0.048521,-0.320318,0.098778,0.337041,-0.146175,0.166149,0.34979,0.464238,0.123044,-0.017808,-0.153084,-0.251746,0.043577,0.024608,0.033237
