word,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150
un,0.108377,0.113996,-0.073874,-0.587495,0.444019,0.148677,-0.057482,0.902032,-0.104174,-0.123265,-0.030009,0.504232,-0.439483,-0.097898,-1.458045,0.218092,0.035016,-0.052971,-0.20789,-0.186351,0.043058,0.20885,0.081833,0.392811,-0.209082,0.047386,0.150927,-0.037085,0.130223,0.153137,0.108834,0.137807,-0.041198,0.032328,0.284374,0.035896,-0.042271,-0.206399,0.189352,-0.028078,-0.279478,-0.273706,-0.252606,0.599561,-0.0543,-0.23682,0.004105,0.464458,0.112144,-0.150691,0.147803,-0.88104,0.064644,0.049928,-0.503828,0.021384,0.23838,-0.295492,-0.147421,-0.269586,0.434199,-0.006962,-0.080677,0.273557,0.278292,-0.145492,0.353195,0.084774,-0.015366,0.00804,-0.055371,-0.372214,0.076731,0.189232,0.376183,0.108638,-0.547256,-0.099084,0.002758,-0.54591,-0.116415,0.100799,-0.257193,-0.088705,-0.171095,0.121155,0.325077,-0.465242,-0.281644,0.201608,0.291156,-0.064744,0.07204,-0.330915,0.069559,-0.134561,0.142004,0.298018,0.195072,-0.409752,0.275025,-0.337568,-0.195267,-0.062355,0.18044,0.371046,0.069866,-0.094718,-0.185714,0.14433,0.125425,-0.109401,-0.172661,-0.274996,-0.057817,-0.151085,0.401663,-0.210015,-0.262707,0.39976,-0.170959,-0.014228,-0.308967,-0.175375,-0.093002,-0.373696,0.147908,0.194995,0.02266,0.414151,-0.058842,-0.029573,0.01606,-0.343121,-0.290357,-0.22394,0.360336,0.216213,-0.019247,0.081704,0.468217,-0.066225,0.096446,0.082764,0.35115,0.303925,-0.158036,0.015409,-0.255601,-0.077046
nombre,0.137151,-0.235159,0.245278,-0.123082,0.148392,0.132638,-0.337321,0.248336,-0.355408,-0.685359,0.069996,0.106695,-0.299599,-0.069557,-1.44101,0.335378,0.228134,0.154761,0.135929,0.223402,0.002781,-0.285157,-0.102797,-0.075334,0.181277,-0.090851,0.109903,0.121264,-0.031091,-0.654269,-0.103404,0.022986,-0.017428,0.472966,0.267676,-0.345217,-0.353351,0.133419,-0.179422,0.200449,-0.581394,0.132454,-0.014425,0.495448,0.315233,-0.201053,-0.127227,0.068218,-0.378514,-0.421819,0.006885,-1.180088,0.207255,-0.059017,-0.976236,-0.41996,-0.291448,-0.714145,-0.174029,0.369025,0.102763,0.209129,0.369858,0.421208,-0.016685,-0.007706,0.287443,-0.340243,0.011171,0.35891,0.270119,0.149514,0.474689,-0.169943,0.221451,-0.001323,-0.518799,0.200412,-0.092764,-0.265891,-0.220256,-0.218361,0.164213,-0.528773,-0.176351,0.3801,0.263993,-0.358496,-0.339665,0.173524,0.706864,-0.088677,-0.334169,-0.29435,-0.539541,0.111004,0.155443,-0.4406,-0.016932,-0.343399,0.306959,0.06665,-0.072838,-0.231737,0.010218,0.485068,0.113085,-0.138773,-0.863711,-0.239422,0.073416,-0.185999,0.251826,-0.162542,-0.239646,-0.004478,0.692958,0.613632,0.500625,0.284676,0.142504,-0.535093,-0.415802,-0.523943,-0.199533,0.172425,-0.293523,0.213763,0.03848,-0.163661,0.182842,-0.213691,0.760831,0.090446,-0.312768,0.027297,0.380673,0.012294,0.42461,-0.038537,0.073708,-0.535717,-0.335882,0.521174,0.038591,0.380724,0.835605,-0.342218,0.483583,0.002229
$\mathbb{N}$,0.038273,0.01964,0.196112,-0.124697,0.310393,0.278998,0.094403,0.872749,0.213277,0.109337,0.050503,0.209929,-0.577354,0.189856,-1.10983,-0.042534,0.277702,0.166811,0.150183,0.04734,-0.0829,0.006256,-0.292013,0.146819,-0.204275,0.162307,0.614017,0.153696,0.358644,0.033802,0.238722,0.286646,-0.097461,0.080927,0.238226,-0.036465,0.121775,0.283396,-0.169878,-0.132001,-0.442708,-0.216841,-0.230202,0.57567,0.24498,0.511059,0.061761,0.441981,0.009972,0.216086,-0.029101,-0.622893,0.066047,-0.022572,-0.220478,-0.304489,-0.00214,0.103436,-0.195672,-0.134363,0.360926,0.041328,0.434617,-0.093945,0.028828,0.239338,-0.123628,-0.195312,-0.252881,0.113624,0.17795,-0.016794,0.703437,-0.050785,0.176667,0.054776,-0.282948,0.369426,-0.25091,-0.017203,0.138851,-0.002263,-0.213813,0.068248,0.125095,0.269327,-0.070581,0.06937,-0.330769,0.128233,0.500008,-0.583691,-0.17025,0.203695,-0.155243,-0.129486,0.20964,0.099731,0.226826,-0.157907,-0.014598,0.061151,0.0169,0.257481,-0.092986,0.157985,0.183769,0.012422,-0.369775,-0.082676,0.10405,-0.15904,0.091217,-0.021173,0.030856,-0.263475,0.465296,-0.128447,-0.105039,0.374387,0.11684,-0.329569,-0.297394,0.06443,0.150061,0.328227,0.06221,0.398388,-0.235895,-0.128566,0.164715,-0.243826,0.40133,0.047622,-0.129811,0.03444,0.55714,0.406282,-0.111522,0.271626,0.344876,-0.444983,0.069308,0.437693,-0.156005,-0.001362,0.280781,-0.205042,0.242253,-0.36177
deux,0.34843,0.054201,-0.378059,-0.235623,0.158267,0.402519,0.3785,0.632977,-0.357004,-0.219686,0.053233,0.257152,-0.475311,-0.39046,-1.358357,0.029905,0.009088,0.160943,-0.142283,-0.625874,-0.343102,8.8e-05,-0.079983,0.356241,0.283238,0.123975,0.162566,0.258339,-0.027806,0.271724,-0.271548,-0.10534,0.140936,-0.112729,0.211103,-0.030341,-0.111069,0.195981,-0.051807,-0.130065,0.019301,-0.404519,-0.18162,0.840314,-0.227855,-0.122006,-0.212817,0.196168,-0.119202,-0.138869,0.253471,-0.3815,0.003334,0.164404,-0.146708,0.223974,-0.119527,-0.51452,-0.285333,0.013598,0.547349,0.010434,0.004581,0.574658,0.284748,-0.096338,-0.12961,0.120692,0.017863,0.350152,0.231908,-0.082211,0.367139,-0.133477,0.409041,0.101127,-0.156627,0.22032,-0.01725,-0.194346,0.446055,-0.200574,0.16714,0.122767,-0.043625,0.248734,0.327155,-0.134491,0.012236,0.243119,0.153414,0.124768,-0.153311,-0.561231,-0.19892,0.201753,0.266279,0.205683,0.114528,-0.533656,0.431806,-0.595406,-0.092853,0.11469,0.181079,0.473698,-0.098793,0.262909,-0.542924,-0.301067,0.059826,-0.10082,0.30902,-0.214749,0.098133,-0.434981,0.428784,-0.217434,-0.003992,0.229634,-0.050649,-0.047245,-0.317306,-0.12563,-0.015625,-0.338594,0.017162,0.261021,0.000569,0.287279,0.040255,0.024063,0.146593,-0.349028,-0.399261,-0.178539,0.441417,0.229305,0.273386,-0.114999,0.023185,-0.517471,-0.199395,0.297024,0.178869,0.576897,0.216345,0.172935,-0.322991,-0.363835
fonction,-0.033203,-0.360815,-0.133314,-0.731959,0.078826,0.393079,-0.760052,-0.149139,0.522197,-0.008435,-0.086551,0.25987,-0.052432,0.108876,-1.569717,0.000923,-0.095883,0.45965,0.293782,0.084409,0.126823,-0.092084,-0.304343,0.236747,-0.268743,0.104459,0.175348,0.628634,0.391308,0.436969,-0.150082,-0.115411,-0.495634,0.067955,-0.172856,-0.009154,-0.123856,-0.002546,0.544534,-0.380181,-0.23127,-0.065642,-0.030596,0.812873,0.352013,0.542891,0.182976,0.317386,0.455234,-0.460991,-0.00662,-0.969459,0.295292,0.01781,-0.26583,0.058025,0.223189,-0.312899,-0.026782,-0.284506,0.02678,0.579983,0.334828,0.517271,-0.135905,0.382738,-0.137866,-0.115371,0.181733,0.47637,-0.295587,0.214568,0.064377,0.375377,0.298503,0.059571,-0.809179,-0.150428,-1.011449,0.147643,0.035168,0.094202,0.038649,0.355805,0.083824,0.112264,0.131376,-0.461489,0.269416,-0.210757,1.193602,-0.758729,0.085345,0.152549,0.024023,-0.014929,-0.478897,-0.082198,0.158693,-0.294593,0.440191,0.00917,0.668336,-0.768228,-0.101886,0.259951,0.423191,0.345345,-0.131801,0.381147,0.291841,0.27052,0.4642,0.072824,-0.549661,0.695756,0.877763,-0.099432,-0.388559,0.371572,-0.538182,-0.002505,-0.163305,0.023827,-0.516232,-0.574236,-0.273741,0.544331,-0.062008,-0.00366,-0.527929,-0.258929,-0.396201,-0.609196,0.241878,-0.127314,-0.21749,0.159112,0.250991,-0.603871,-0.131035,-0.417819,-0.539063,0.232242,-0.496489,0.385464,0.445468,0.058229,0.349949,0.007064
premier,0.361491,0.339799,0.086668,0.009064,-0.159501,1.018917,0.096402,0.534525,-0.349444,0.339343,-0.177049,0.110166,-0.065757,-0.008717,-0.360153,0.175372,0.011148,-0.010177,-0.011271,0.013817,-0.257053,-0.192388,-0.205849,0.409826,-0.054799,-0.03101,0.200421,0.101344,-0.077975,0.176376,-0.063657,-0.130517,-0.193521,0.114162,0.428635,-0.168942,0.089377,-0.326779,0.079837,-0.141659,-0.1409,-0.359506,-0.324675,0.728629,-0.008584,0.083491,-0.009564,0.131969,0.146354,-0.01894,0.387402,-0.638701,-0.126943,-0.015918,-0.286489,-0.075271,0.005253,0.000879,-0.246711,-0.302645,0.235241,0.074375,-0.177191,0.476283,0.354309,0.222008,-0.09456,0.089234,0.335267,0.248062,-0.104569,-0.355357,0.537827,0.111182,0.712116,0.018669,-0.076728,0.156045,0.414874,-0.044984,0.019122,-0.186479,-0.142843,0.342413,-0.164071,0.035671,0.190758,-0.147502,-0.175476,0.166171,0.295191,0.098783,-0.086549,-0.54555,-0.335759,0.264103,0.295582,-0.041476,0.221631,-0.234377,0.341217,-0.3985,0.021342,0.32868,0.314009,0.660058,-0.125215,-0.295139,-0.338914,-0.031756,0.233503,0.243064,-0.179184,-0.145397,-0.143451,-0.412448,0.576581,-0.193565,0.464421,0.351005,-0.229378,0.048949,-0.18284,-0.031111,-0.095436,-0.150145,-0.160591,0.240775,0.014517,-0.202466,-0.263936,0.147593,-0.039238,-0.248435,-0.479238,-0.032283,0.20986,0.264471,0.088448,-0.228506,0.246005,-0.568627,-0.035455,0.374652,-0.086491,0.564228,0.060333,-0.089189,-0.365354,-0.410467
ensemble,0.296667,-0.330396,-0.09712,-0.021251,0.319472,0.337994,0.000277,0.218679,-0.287311,-0.459492,-0.074856,0.230126,0.103961,0.199493,-1.147561,-0.117602,-0.300262,0.208101,-0.307106,-0.458334,-0.329233,-0.031385,-0.093813,0.018289,0.050257,0.125045,0.106241,0.254094,-0.244849,0.109427,-0.398411,0.30526,0.38865,-0.403454,-0.128704,0.356607,0.167438,-0.023079,0.314384,0.072554,-0.658324,-0.334667,0.138839,0.182309,0.099903,0.084025,-0.081284,-0.072266,-0.036569,0.041611,-0.169721,-0.640619,0.11019,-0.033108,-0.165107,0.418438,-0.372045,-0.151512,-0.192429,0.093639,-0.10746,-0.088696,0.286244,0.281227,-0.11329,-0.154589,-0.366282,-0.128587,0.366608,0.046015,-0.035749,0.287784,0.380283,0.056848,0.188754,-0.035271,-0.503438,-0.262121,0.15359,-0.507362,0.175329,-0.18126,0.021817,-0.113571,-0.045345,0.39693,-0.142348,-0.068007,-0.137043,0.19673,-0.122011,-0.354916,0.000192,-0.442898,0.198478,-0.148388,-0.182341,0.384477,-0.257864,0.032667,0.464291,0.126909,0.021132,0.035034,0.078114,0.307107,0.396338,0.390008,-0.523242,0.096372,-0.022022,-0.085436,-0.10991,-0.360358,-0.104202,-0.064318,0.105231,-0.164998,-0.252547,0.294671,-0.106197,-0.246236,-0.418152,0.019525,-0.484815,0.018726,-0.114654,-0.092462,-0.186536,0.47548,-0.230899,0.152352,0.896672,-0.052227,-0.367851,0.125626,-0.13071,0.741877,0.072524,-0.228546,-0.158786,-0.314914,-0.27936,0.318508,0.128591,0.485111,0.228828,-0.284316,0.233812,-0.645049
point,0.304771,0.308019,0.154407,0.10008,-0.274066,0.14331,0.013315,0.276378,0.301113,-0.086361,-0.020051,0.105943,-1.062364,-0.564947,-0.869178,0.562186,0.576015,0.148259,0.128642,-0.393963,-0.292008,-0.000506,-0.175296,0.129223,0.315122,-0.365669,0.156936,-0.392444,0.283765,-0.568438,-0.310177,0.271337,0.021202,-0.151952,-0.229997,-0.054446,0.053402,0.136212,0.158195,-0.454238,-0.327989,-0.136188,-0.179227,0.515803,0.071405,-0.595767,-0.116692,0.602555,-0.202993,0.591366,-0.396444,-0.412019,-0.543114,0.071242,-0.132642,-0.318704,-0.291958,-0.229543,0.141339,-0.237824,0.421007,0.642921,0.011801,0.13964,0.268354,-0.176914,0.308827,0.094477,-0.093192,0.427553,0.789382,-0.55541,0.147294,-0.397425,0.165677,-0.145986,-0.175285,0.304803,0.277306,-0.175435,-0.539544,-0.267309,0.029285,-0.11064,0.032123,0.122696,0.126819,-0.16662,-0.792682,0.085589,0.42305,-0.102095,0.089465,0.030722,-1.111888,-0.037939,-0.011687,-0.008536,0.083536,-0.548634,0.127551,-0.442363,-0.184723,0.738276,-0.250407,0.135313,0.281559,0.101898,-0.338907,0.028932,0.239976,-0.124711,0.679531,-0.260004,-0.417749,-0.583045,0.612501,0.080473,0.596619,0.403794,-0.009625,-0.330944,-0.283433,-0.038403,0.480113,0.011682,-0.138949,-0.020996,0.131712,0.128878,0.030139,-0.185983,-0.128514,-0.388064,0.073066,-0.565348,0.345135,0.527721,0.665498,-0.067018,0.114517,-0.278731,-0.485393,0.324385,-0.327283,-0.057368,0.55389,-0.498259,0.699921,-0.392784
théorie,-0.097283,-0.017927,0.129301,-0.400198,0.936438,0.38068,-0.098188,0.373954,0.063672,-0.358521,0.249708,0.084135,-0.076436,-0.287365,-1.140781,0.470675,0.230804,0.253672,-0.194752,0.207333,0.649307,-0.283135,-0.612509,0.410647,0.035552,-0.033854,-0.473231,-0.448131,0.278905,-0.655961,0.533108,0.191951,0.393362,-0.630381,-0.50274,0.210959,-0.255631,0.057509,0.788532,-0.205533,-0.293139,-1.326627,0.324982,-0.029525,0.026781,0.443113,0.696464,-0.698619,-0.095617,0.376947,-1.190953,-0.656464,0.22394,-0.221495,-0.053557,-0.273132,-1.023797,0.051568,-0.282105,-0.357,-0.029524,-0.125267,-0.077237,-0.232064,0.013947,-0.443127,-0.527004,-0.442354,-0.197842,1.018619,0.054976,0.424239,-0.208941,0.009421,0.234812,0.064617,-0.35862,0.188194,-0.14456,0.047748,-0.837678,-0.483118,0.156133,0.413579,0.108158,0.348159,0.128883,0.052811,0.077614,0.204802,0.209346,-0.866143,0.136483,-0.04281,0.532432,-0.222232,0.467851,-0.02664,0.696676,-0.218814,0.1862,-0.080376,-0.070787,-0.162605,-0.556007,0.029792,0.291073,-0.543853,-0.361604,-0.344349,-0.028477,0.881046,-0.495294,-1.047126,0.302413,0.998469,1.066401,0.01238,-0.478486,0.46874,-0.162444,-0.431539,-0.01844,0.080537,0.458772,-0.33437,-0.727184,0.393737,1.064294,0.034124,0.422595,0.616041,-0.014036,1.031962,-0.608449,-0.089248,0.134602,0.630071,-0.177648,0.025973,-0.298434,0.773092,-0.241818,0.151008,-0.555835,-0.474303,-0.472986,-0.510959,0.317028,0.199489
exemple,0.062394,-0.312274,0.096063,-0.16846,0.802548,-0.1231,0.061136,0.614383,0.190726,-0.531641,0.165405,0.292137,-0.145521,0.066994,-1.290282,0.342414,-0.28034,-0.182396,-0.107982,-0.152186,0.146844,0.312,-0.040668,-0.038199,-0.319908,0.225275,0.451381,-0.00619,0.181616,0.117176,-0.086722,0.237916,0.01763,0.107301,0.113389,-0.169982,-0.146051,0.207376,-0.067938,-0.184108,-0.486221,-0.044015,0.17039,0.389095,0.180034,0.119491,0.446537,-0.246809,0.268006,-0.00811,-0.18922,-1.039624,0.172971,-0.098413,-0.461438,-0.3103,-0.166221,-0.033367,0.379281,0.098578,0.147936,0.314814,0.229735,-0.002057,-0.034459,-0.082383,0.146607,0.028512,-0.099593,0.308316,0.172624,-0.232094,0.507058,0.078863,0.039199,0.048571,-0.581829,-0.158584,-0.14904,-0.163437,0.097372,0.138715,0.096717,0.059301,0.455351,0.36408,0.04405,-0.084753,-0.103471,0.223625,0.345073,-0.708206,-0.131325,0.110291,0.072195,-0.570674,0.415023,-0.124067,0.143213,-0.516123,0.002347,0.262522,-0.215773,-0.239514,0.109017,0.341757,0.014709,-0.218668,-0.423437,0.437827,0.278007,-0.011968,0.302234,-0.219528,0.046849,0.158414,0.560284,0.024934,-0.247767,0.588456,0.158027,-0.569685,-0.023024,-0.073133,-0.178224,-0.365536,-0.323826,0.158315,-0.131614,0.479712,0.215728,-0.122078,0.24093,-0.073257,0.079819,0.030326,0.096795,0.183797,-0.048901,0.112752,0.154704,0.126759,-0.250622,0.200588,-0.09769,-0.220265,-0.112424,-0.527502,0.252088,-0.14095
