word,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
un,-0.899604,0.519721,0.494049,2.801633,-0.221437,0.462332,0.798232,0.216143,-0.002554,-0.372933,-0.446249,-0.250224,-0.38248,0.421038,-0.556816
nombre,-0.685735,0.265544,-0.028411,2.276292,-0.599418,-0.075636,0.371167,-0.339143,1.075348,-0.534929,0.05426,0.929904,0.359111,1.111854,-1.180172
$\mathbb{N}$,-0.849444,0.033992,0.018957,2.089171,-0.447345,0.614957,0.971058,-0.55759,0.791711,-0.480136,-0.512815,0.03564,-0.682156,0.698214,-0.468917
deux,-0.548518,0.350042,0.641959,2.411461,-0.851021,0.251723,1.156982,-0.059157,0.355389,-0.148464,-0.723276,-0.394686,0.314425,0.231226,-0.238214
fonction,-1.118503,-0.445046,-0.876868,2.149601,-0.094988,-0.113378,0.558603,-0.126955,0.466974,0.552615,0.50734,-0.158413,-0.077004,2.219336,-0.407919
premier,-1.084271,0.164924,0.28657,1.916512,-1.142887,0.256193,0.558689,-0.84539,-0.352941,-0.341429,-0.829179,-0.342698,0.506646,-0.122821,-0.281955
ensemble,-0.915156,0.412482,0.506121,1.742818,-0.49698,-0.228266,1.143401,0.391061,-0.148679,0.165048,0.052583,-0.197735,-0.464294,1.306223,-0.439131
point,-0.366752,0.028804,0.749346,1.831824,-0.407466,-0.429478,1.293421,-0.948384,0.858253,-0.262606,-0.605416,0.919416,0.692076,0.823739,-0.615156
théorie,-0.485066,-0.948069,-0.552077,1.067105,0.623195,1.051772,0.706942,-0.439669,-1.354105,-0.022986,1.600396,0.225165,-0.861369,2.383532,-1.585953
exemple,-0.533277,0.299041,0.295173,1.905019,0.131267,0.065977,0.607782,0.33784,0.334897,-0.68035,0.332564,0.103854,-1.009206,1.494794,-1.049053
espace,-1.076883,0.292192,1.416594,1.523287,0.435581,-0.362069,1.118968,1.058957,0.022819,0.426146,0.650458,0.039983,-0.579999,1.621972,-0.0891
théorème,1.276407,-1.250046,-1.285993,0.488044,0.156656,-0.150738,1.379306,-0.109331,-0.532072,1.581581,1.156591,-0.072309,0.178577,3.20651,-0.969885
problème,-0.816014,-0.842933,-0.511319,2.029613,0.702702,0.44969,0.675389,-0.152815,-0.152504,-0.608735,0.221604,0.749181,-0.482207,1.30371,-0.503288
valeur,-0.882095,0.294161,-0.191998,2.074356,-0.312066,0.009708,0.358722,0.084938,0.616925,-0.442382,0.419758,0.946785,-0.611598,2.237063,-0.986315
groupe,-1.033985,0.393253,0.515869,1.488914,0.355588,-0.642623,0.902534,-1.126998,-0.706481,-0.186841,-0.954516,-0.158542,-0.231567,0.355931,-0.124528
graphe,2.210905,0.320831,-0.784735,0.231232,0.013486,-1.170807,0.989431,0.458157,0.315622,0.991058,0.973393,0.481677,0.479728,2.096797,-1.375226
forme,-0.116362,0.876757,0.538275,1.872856,-0.395175,0.117035,1.194237,0.915343,0.287738,-0.398817,0.534248,-0.11327,-0.822789,1.255745,-1.160182
entier,-0.474585,0.522869,0.028848,1.594683,-0.480734,0.028597,0.749323,0.118017,0.595842,-0.198319,0.121142,0.528199,-0.511278,1.191638,-0.95446
système,-1.216379,-0.258473,-0.130031,2.470174,1.060164,-1.079159,0.74191,0.2025,0.106225,-1.101225,0.980507,-0.389472,-0.253188,1.549242,-0.648055
équation,1.096852,-1.685303,-0.711716,1.030432,0.565454,-0.207305,1.627407,-0.371498,0.056632,0.538763,1.556549,-0.164256,0.028767,3.211144,-1.320077
suite,-1.277639,-0.34351,-0.335862,1.602857,-0.52614,0.545512,0.876797,-0.562374,0.071738,-0.425756,-0.71674,-0.117852,0.029521,0.010029,0.064371
