word,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
un,-1.374882,0.763426,1.086597,-1.049296,-0.121075,0.131732,1.238134,0.521868,0.154737,0.607754,3.212709,-3.266407,0.018036,-0.903655,0.219664
nombre,-0.811925,0.703086,0.830904,0.458483,-1.668739,-1.377315,1.19166,0.985157,-0.748568,-0.281163,3.390205,-2.163863,0.526246,-2.533999,1.264563
$\mathbb{N}$,0.328603,0.798056,0.356096,-0.399232,-1.499805,0.492726,1.532202,-0.096094,-0.017243,0.397778,3.269429,-2.391529,0.331377,-1.596294,-0.175493
deux,-0.613075,-0.107299,0.842047,-0.419182,-0.301527,0.303115,1.837662,0.202073,-0.434339,-0.145689,2.979258,-3.157775,-0.147674,-1.318334,-0.074411
fonction,0.066393,1.228112,0.315299,0.266317,-0.715731,-0.220942,1.124085,-0.133905,-1.268119,2.053949,3.47004,-2.499447,0.562204,0.794221,0.630263
premier,-1.666869,0.225235,0.187775,0.430672,-1.359081,-0.968484,1.047151,0.883663,0.007924,-0.064336,2.876627,-2.276173,0.261357,-1.858344,0.640236
ensemble,0.132801,1.516822,1.447694,-1.094895,-0.806327,-0.311767,1.276751,-0.863278,-0.116174,1.216234,3.010627,-2.266545,0.066398,-1.153858,-1.13045
point,0.193812,-0.029711,0.969454,0.26111,0.297012,1.504967,2.211376,0.037091,-0.642155,0.046782,2.562802,-3.148261,0.674509,0.045089,-0.781615
théorie,-1.929006,1.824883,0.937541,0.197026,0.040326,-1.017604,0.292509,0.903959,0.637282,1.578825,2.584772,-1.763575,0.135604,-0.015552,-0.878751
exemple,-0.458326,1.564946,0.616515,-0.155246,-0.370453,0.336573,1.248103,0.152189,-0.39694,0.233949,2.922878,-2.338093,0.37392,-0.943082,0.288209
espace,0.66378,1.214536,1.563531,-0.677703,0.168806,-1.028922,2.154724,-0.237764,-0.266068,1.429387,2.742871,-2.42978,0.876906,0.929153,-1.578076
théorème,-0.104933,1.195224,1.005489,1.712038,-0.368294,-0.429966,0.73327,1.76453,0.132468,1.639956,3.633908,-1.228218,-1.060784,-0.034225,-0.65654
problème,-1.484288,1.107544,1.000139,-0.1417,-0.108243,0.296806,0.225824,1.624908,-0.145136,0.496687,3.032838,-1.549333,0.906282,-0.634193,-0.14013
valeur,0.317123,1.146383,0.134912,-0.298883,-1.002319,1.038673,1.240489,-0.166825,-0.558103,0.717089,2.900768,-2.900106,0.732509,-0.503205,1.398798
groupe,-0.229682,-0.035049,1.338081,-0.50385,0.216021,-1.603771,1.958397,0.067515,0.762013,1.354025,2.253353,-2.03971,1.059462,-0.850024,-0.822417
graphe,0.556547,0.241505,3.173215,-0.407853,0.397576,-1.013486,-0.448414,1.480779,-0.605957,-0.113683,2.229067,-2.309177,-0.419519,-2.588022,-0.893242
forme,-0.492269,1.035559,0.135084,-0.290168,0.580072,-0.495616,1.77978,0.199651,-0.904629,0.889722,3.010184,-1.646302,0.524645,-0.472675,0.110112
entier,0.16033,0.811305,0.233585,0.381527,-1.402115,-0.904745,1.925922,-0.18157,-0.934857,0.446349,3.377161,-1.697599,0.662433,-1.677229,0.673194
système,-1.579834,1.690794,-0.076964,-1.245558,0.295216,0.11626,0.361328,0.071676,-0.18557,0.911339,2.288276,-2.002703,0.604924,-0.013061,0.76568
équation,-0.750934,0.014033,-0.370925,0.749337,0.368744,0.275236,1.222709,0.63351,-1.206566,1.729942,3.271168,-1.837911,0.644787,0.914717,0.234642
suite,0.145313,1.047836,0.414046,0.07336,-1.791564,-1.090956,0.735416,-0.253945,-1.175944,0.813059,2.78013,-2.083655,-0.204527,-0.545985,0.484064
algorithme,-1.810468,1.499307,1.114653,-0.268248,-0.374907,1.219548,-1.209301,0.689498,-2.143734,0.367286,2.823379,-1.503566,0.658443,-0.736905,0.153081
calcul,-2.167389,1.492535,-0.752532,-0.279767,-0.101438,0.200861,0.657929,0.504139,-0.84374,0.694579,2.862437,-1.675194,0.510784,-0.017885,0.680952
application,-0.983675,1.308177,0.484558,0.314013,0.223546,-0.089363,1.184419,-0.413054,-0.1426,1.488336,1.862385,-2.207761,2.066148,0.186176,-0.999402
élément,-0.09946,0.753937,0.613961,-0.477134,-0.025169,-0.179999,1.939238,-0.992822,-0.607441,0.440875,2.605145,-2.080598,0.29981,-1.515991,-0.233041
grand,-0.899387,0.382066,0.516395,0.021664,-1.045623,-0.192064,1.18611,0.82829,1.221479,-0.121128,1.907908,-2.972662,-0.683326,-0.513854,0.630221
propriété,0.314334,1.515137,1.034176,0.073903,-0.006397,0.041176,1.409411,0.604179,0.227669,0.979824,2.976497,-1.861405,0.088458,-0.554527,-0.160585
ordre,0.217738,0.262633,0.198855,0.151907,-0.575677,-0.958222,1.066936,-0.262601,0.423441,1.450585,2.215999,-2.561313,-0.312978,-1.477604,1.142448
variable,-0.233083,1.631619,-0.030167,-0.47773,-0.551987,1.320899,0.543525,-0.885175,-0.798063,1.579116,2.366641,-2.400912,0.922121,0.089633,0.892809
base,-0.673851,1.179833,0.300023,-0.581244,0.401006,-0.669639,1.486829,-0.146268,-1.015506,0.061527,2.333088,-2.120384,0.668831,-0.875222,0.049998
géométrie,-2.004357,1.000766,0.425237,0.518127,1.170772,-1.653376,1.669943,1.45052,0.01806,0.421594,2.243013,-1.764969,0.100685,1.05549,-1.334343
