word,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
un,0.745509,-0.574156,0.664838,-1.860924,0.93807,0.265097,0.245533,-0.915415,-1.46538,-0.282784,0.513458,0.110136,0.470123,2.033573,-0.176709
nombre,0.631836,0.101838,0.13547,-0.586585,0.382728,0.063361,0.07244,0.046738,-1.345494,-0.669337,-0.071209,-0.207311,-0.186427,2.503656,-0.944774
$\mathbb{N}$,0.029066,-0.317285,0.768934,-0.874961,0.976669,-0.051292,-0.013895,-0.472143,-1.691686,-0.503997,0.295331,0.206554,0.162465,1.636751,-0.823807
deux,0.391858,-0.332989,-0.115756,-1.982674,1.157546,0.291081,0.35493,-0.644668,-0.941016,-0.56854,0.454132,0.577222,0.38954,1.453938,-0.706297
fonction,-0.490708,0.329589,0.078206,-0.692605,0.110312,0.017024,0.414894,-0.551875,-1.395942,-0.774221,1.533385,-0.865112,-0.876685,2.069223,-0.13545
premier,0.028393,-0.160085,-0.508057,-1.614944,0.688523,0.46052,0.440892,0.098064,-1.586061,-0.504709,0.290464,0.358359,1.055083,0.973654,-0.332569
ensemble,0.578178,0.310298,0.323474,-0.965352,0.758432,0.541076,0.333746,-1.153985,-0.882627,-0.555664,0.775585,-0.150567,0.298677,1.283537,0.205654
point,0.527258,0.308825,-0.952668,-0.361736,0.474805,0.4712,-0.19053,-0.656722,-1.036242,-0.294654,-0.312608,0.902329,-0.116245,1.880585,-1.371359
théorie,-0.911361,0.918417,2.02099,0.404916,-1.670673,0.216593,0.556713,-1.135786,-1.276573,0.065244,1.116065,0.240493,0.102686,1.774861,0.341521
exemple,0.718486,-0.193232,1.249915,-0.140223,0.44927,0.164576,0.104023,-0.794042,-0.827902,-0.856659,0.781983,-0.147536,-0.069841,1.980424,-0.086537
espace,1.12634,0.71125,0.238759,-0.63922,0.417085,0.223512,-0.186417,-1.993822,-0.545993,-0.372635,0.218708,-0.193734,-0.455157,1.379785,0.857564
théorème,-1.656706,0.513368,1.029414,1.272579,-1.596547,0.774866,0.183547,-0.788816,0.950661,-0.30323,1.587276,-0.332479,-1.449519,0.768321,-1.010545
problème,-0.057503,-0.21433,0.935025,-0.277972,-0.511393,0.264189,0.270352,-0.739761,-2.080877,0.024902,0.028245,0.470955,-0.900315,1.585333,-0.175493
valeur,0.466069,0.39505,0.807566,0.14412,-0.08454,0.369018,0.245907,-0.860352,-1.206387,-0.843679,0.126494,-0.785889,-0.443208,2.629938,-0.455879
groupe,0.621849,-0.643341,-0.736907,-0.018407,0.757702,0.19281,0.558205,-0.512224,-1.746411,-0.088046,1.070351,0.676819,0.815781,0.716565,0.098529
graphe,0.755627,0.676191,0.406372,1.227075,-0.622948,-0.053064,0.090905,-1.573917,1.082118,-0.428304,0.950762,-1.12496,-1.04612,0.628845,-0.710021
forme,1.200941,0.030062,1.37163,-0.796087,0.853222,0.433932,0.495687,-1.167075,0.004833,-0.753196,0.955613,-0.124777,0.281114,1.964122,-0.444323
entier,0.813509,-0.142072,0.795143,-0.385927,0.808258,0.093087,0.534842,-0.387586,-0.508236,-0.414282,0.035672,-0.180354,0.145952,1.654285,-0.128711
système,1.451659,-0.067175,0.406715,-0.289767,-0.619815,0.178843,-0.152451,-0.996549,-1.753252,-0.909177,1.75165,-0.124568,-1.118639,1.593891,-0.019379
équation,-1.452453,0.508699,1.183368,0.578064,-1.756754,0.760795,-0.215277,-1.366623,0.341796,-0.591207,1.927381,0.348547,-1.421502,1.392844,-1.799582
suite,-0.222339,-0.059743,0.119643,-1.301238,0.647556,0.086819,0.318985,0.06435,-2.066384,-0.131613,-0.043886,0.390369,0.036827,0.595743,-0.402789
algorithme,0.460436,-0.187911,0.938341,1.07467,-1.382823,0.537067,-0.131813,-1.28256,-0.319649,-1.409409,1.159303,-0.598185,-1.261311,0.388801,-0.605329
calcul,0.210459,0.437861,0.609146,0.22689,-1.522969,0.97204,-0.090655,-0.834203,-0.824709,-1.38442,0.561537,-0.650427,-1.387118,1.828115,-0.771638
