word,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
un,0.067288,-0.404645,1.429583,-1.014582,0.388905,0.62084,-0.776395,-0.315594,0.696357,0.156726,0.191768,0.770794,2.137651,0.598119,0.230378,0.010405
nombre,0.930851,-0.54716,0.842073,-0.944826,-0.256285,1.104246,-0.60639,-0.123079,0.553759,0.425327,0.210788,0.807377,1.71509,-0.31331,0.688314,1.603795
$\mathbb{N}$,0.514162,-0.320066,1.349807,-1.281087,-0.067256,0.301458,-0.702369,-0.391222,0.318436,-0.242336,0.644766,0.277105,1.776995,0.126371,0.056584,0.805588
deux,-0.031267,-0.71555,1.949587,-0.719973,-0.006174,0.829298,-0.318363,-0.490866,0.953881,-0.069524,-0.367703,0.588751,1.721504,0.164195,0.016697,0.300839
fonction,1.04875,0.924964,0.06009,-1.062697,-1.323226,1.015464,-0.608741,-0.122678,1.46608,0.157649,0.398854,0.653544,1.831274,0.412955,0.822143,0.694322
premier,0.34994,-0.735835,1.493349,-0.684367,0.531204,0.346306,0.280175,-1.278711,1.130454,-0.214893,-0.020266,0.107071,1.140702,0.293176,0.227418,0.321173
ensemble,-0.196326,-0.008065,0.928792,-0.772821,-0.276391,0.568732,-0.354275,0.137013,1.03378,-0.440721,0.420124,0.950933,1.266997,0.716865,0.812455,0.277987
point,0.418301,-0.614992,1.82301,-0.226815,-0.554938,0.745541,0.543933,0.246018,0.506568,0.095594,0.348702,0.515256,1.668068,-0.561791,0.724889,1.151852
théorie,0.629907,0.577181,0.163145,-0.916231,-1.600739,1.044313,-1.20819,-0.62733,-0.206815,0.789917,1.706177,-0.450597,0.59981,1.093556,2.26816,-0.104218
exemple,0.087838,-0.214911,0.515778,-0.897078,-0.165095,0.565598,-1.374346,0.30911,0.440523,0.043804,1.1652,0.905513,1.538203,0.662764,0.844805,0.610393
espace,-0.004348,0.333841,1.123488,-0.568208,-0.646405,0.497641,-0.468376,1.541058,0.899231,0.202402,0.411044,1.438757,1.289901,0.951853,1.144548,-0.530456
théorème,-0.359656,1.519961,-0.469457,0.354654,-3.471436,1.603046,-1.000237,-0.40467,0.283548,-0.257433,0.778853,-0.391477,0.39557,0.268422,1.595416,0.535737
problème,1.138406,0.364576,0.595892,-0.67895,-0.599619,0.807114,-0.527409,-0.153482,-0.08124,0.243997,1.616006,0.193555,1.74533,0.405878,0.421121,-0.018574
valeur,0.745929,0.080078,0.319346,-0.918964,-0.439937,0.974361,-1.015673,0.178809,0.621349,-0.055723,1.254702,1.238469,1.488784,0.008818,1.228684,1.172729
groupe,-0.429032,-0.281945,0.81676,-0.143488,0.600192,-0.341398,0.784156,-0.528542,0.830065,-0.238217,0.885446,-0.087292,1.958584,0.438197,0.631119,0.11424
