word,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
un,0.751403,0.521273,-0.464838,-2.510034,1.21064,0.183024,-2.457823,-0.545871,0.982665,2.264768,-1.166059,0.053492,0.205119,-0.462842,2.048372,-1.56557
nombre,0.285134,1.4767,0.158194,-3.022161,0.720742,1.70113,-2.564023,0.120976,1.79134,0.489537,-0.857962,2.341512,-0.193218,0.468278,0.872844,-1.328441
$\mathbb{N}$,1.000677,-0.414891,0.825027,-2.910138,1.421054,0.042129,-1.922486,-0.250191,1.059503,0.302501,-1.096811,0.918127,0.38591,-0.375121,1.51575,-1.542291
deux,0.276289,0.136883,0.117262,-2.172121,1.871547,0.690261,-2.227964,-0.869738,1.191066,1.261046,-0.850277,0.446534,0.265101,-0.734677,2.022409,-1.219031
fonction,1.036631,-1.859081,-0.838956,-2.638552,-0.338238,0.051792,-2.052434,-0.514257,1.354845,0.858553,-0.640638,1.084889,-1.570532,0.353255,1.59379,-1.97576
premier,0.027544,1.426399,0.225845,-2.363867,0.939392,1.32293,-2.213074,-0.136956,1.083853,0.900287,-1.152776,1.594283,0.020822,1.220511,1.763264,-0.947139
ensemble,1.275542,-0.297692,0.195217,-3.160695,0.949979,-1.159806,-1.834065,0.251498,0.175691,1.504217,-0.088531,1.209871,-0.195481,-1.091431,1.572309,-1.425062
point,0.276701,-1.504159,-0.129967,-2.072811,0.771441,0.439268,-2.390557,-2.048981,1.108001,0.745363,-0.130634,0.096251,0.717532,-1.556683,2.5028,-0.645877
théorie,1.38092,0.290785,-1.11155,-1.326123,-0.194858,-0.354756,-2.259925,0.709581,-0.189224,2.26231,-0.547035,0.462554,0.319534,1.385346,2.238643,-1.325585
exemple,1.024552,-0.065999,0.166033,-1.892601,0.338561,0.148289,-1.919394,0.051925,1.324197,1.140795,-1.067952,0.652921,0.460605,-0.454399,1.521625,-1.659818
espace,2.98079,-1.284549,-0.69817,-1.683493,0.863051,-0.567278,-2.745193,-0.313657,-0.566066,1.172968,0.32728,0.535485,-0.53874,-1.292797,1.853108,-1.024319
théorème,0.848846,-0.833837,-0.30895,-2.107815,0.275483,-0.182837,-3.53375,0.462434,0.387279,0.748218,1.220908,0.347355,0.262663,1.815411,1.29793,-1.656425
problème,0.975887,0.843078,-0.85108,-1.722438,-0.125773,-0.094189,-2.579128,0.27243,1.134261,0.957567,-0.933924,0.041043,1.078978,0.522755,1.579454,-0.964867
valeur,0.576249,-0.87135,-0.013726,-2.806483,0.039744,0.688837,-1.206635,-0.596143,1.769309,0.218509,-1.65318,0.582646,-0.331149,-0.814812,1.519782,-1.976212
groupe,1.304477,-0.042466,-1.770009,-1.40381,1.944792,-0.304679,-1.605216,-0.589696,-0.33131,1.595,-0.105764,1.786697,0.400901,-0.219725,1.7331,-0.82726
graphe,0.082151,1.024067,-1.62964,-2.792752,1.790433,0.25173,-2.958039,1.820452,0.142084,1.374895,0.596414,0.353772,0.761851,-0.990483,0.326049,-0.195221
forme,1.39058,-0.508824,-0.372625,-1.058976,0.609262,0.156053,-2.305711,-0.137451,1.390462,1.173291,-0.633984,1.21151,-0.374767,-0.454465,1.420109,-1.832087
entier,0.853947,0.017334,0.18217,-2.524441,0.842608,0.413638,-2.009281,-0.616737,1.497567,-0.04317,-0.609132,2.762299,-0.411877,0.332837,1.305187,-1.528576
système,1.197185,0.289248,-0.9003,-1.005608,0.173669,-0.139682,-1.035939,0.457057,1.051713,1.900532,-2.102224,0.152351,-0.207164,-0.224999,1.573739,-1.804961
