word,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
un,0.77091,-1.055412,0.854264,-0.906164,0.036545,-0.065755,1.484551,-0.004581,0.424319,-0.011699,0.069846,0.488774,0.468692,0.236491,-1.761176,-1.068248
nombre,0.640435,-0.898818,0.472406,-0.008526,0.649602,-0.87345,0.668028,-0.326205,-0.68837,-0.401732,0.174213,0.221016,0.408391,0.517942,-2.149294,-1.433625
$\mathbb{N}$,0.478544,-0.988358,0.708483,-0.277531,0.451349,-0.863866,0.88774,-0.472894,0.605919,-0.270441,-0.446933,0.59275,0.407912,0.36916,-1.629398,-0.909207
deux,0.639057,-0.233332,0.575905,-0.648221,-0.646998,-0.003797,1.0125,-0.522305,0.553517,0.034098,-0.235336,0.588462,0.629736,0.327928,-1.750144,-1.362291
fonction,1.374505,-1.591756,0.723355,-0.58706,0.304911,-0.630399,-0.695137,-0.174744,0.491426,-0.901788,0.318221,-0.103601,0.120876,-0.227184,-1.352327,-1.319913
premier,1.145308,-0.174208,0.359321,-0.491383,-0.361071,-0.027162,0.93713,-0.687471,0.067715,-0.119604,-0.146092,1.170407,1.328881,0.181252,-1.044083,-0.763568
ensemble,0.889421,-0.902328,0.109915,-1.42885,-0.249322,-0.122954,0.555372,0.0791,0.307957,-0.098837,-0.245203,-0.095673,0.380992,-0.117352,-1.389456,-0.794251
point,0.139361,-0.168449,0.413022,-0.065103,-0.169825,-0.355175,0.343087,-0.679321,-0.504544,-0.23232,-0.192793,-0.235156,1.04277,0.91662,-2.319018,-0.848488
théorie,-0.189059,-2.140386,1.429501,-1.13907,1.013024,-0.115928,-0.216597,-0.722691,-0.342402,-1.658983,-0.124842,-0.730753,0.082628,-1.421149,-1.092873,0.723235
exemple,0.131036,-1.397857,0.445739,-1.192247,0.909115,-0.723916,0.679643,0.215684,0.366391,-0.102211,0.145454,-0.449651,0.086706,-0.26943,-1.346979,-0.957809
espace,1.199517,-0.502385,0.391973,-1.275299,-0.094951,-0.038708,0.91199,1.190672,0.066356,-0.14627,-0.204316,-1.011568,-0.211475,-0.312944,-1.911843,-0.100644
théorème,-1.056813,-1.292771,-0.057541,-0.256447,0.305813,0.40838,-2.28644,-1.086144,0.648319,-1.67579,0.278604,-1.676118,-0.547935,-0.734615,-0.727183,0.307856
problème,0.413996,-1.574246,1.068263,0.232019,0.516851,-1.045322,0.527416,-0.322913,0.336248,-0.480481,0.564742,-0.254954,0.518599,-0.352867,-1.642049,0.05931
valeur,0.547879,-1.702077,0.34203,-0.874204,0.870177,-1.179512,0.270518,-0.340078,-0.31068,-0.7039,0.433116,-0.585945,-0.132338,0.056185,-1.948563,-0.871866
groupe,0.761688,-1.01276,0.665565,-0.746221,-0.482751,-0.42393,0.701893,0.148887,0.301814,0.166699,-0.571741,-0.04287,1.951658,0.60675,-0.360752,-0.486171
graphe,-0.513244,-1.002762,-0.655508,-0.325879,0.316629,0.297817,-0.745256,0.51431,-0.560664,-1.056354,-0.561272,-2.475918,-1.143788,-0.324164,-0.640554,-0.70872
forme,-0.139303,-1.278776,0.113795,-1.83556,0.177935,-0.327865,0.907309,-0.087065,0.356293,0.133274,-0.122086,-0.373406,-0.379854,-0.277701,-1.57654,-1.432553
entier,0.189657,-0.865936,0.205727,-0.873115,0.345392,-0.65449,0.795732,0.020213,-0.009762,0.151039,-0.099341,-0.013833,-0.216885,0.255272,-1.233521,-0.88737
système,0.579968,-1.787998,0.663041,-0.286145,0.477613,-0.330652,0.408312,0.904765,0.205709,-0.650162,0.116415,-1.224549,1.05499,-1.064836,-1.680205,-1.524999
équation,-1.368656,-1.447769,0.381322,-0.219193,0.559883,0.536628,-1.934107,-1.131777,0.618645,-1.910577,0.119058,-1.919313,-0.046069,-1.193358,-1.934439,-0.351439
suite,0.945377,-0.594533,0.547391,0.203123,-0.340432,-0.698416,0.784433,-0.559582,0.558348,-0.018101,-0.009721,1.156666,0.948959,-0.097225,-1.024079,-0.377567
algorithme,-0.433585,-1.329018,-0.482857,0.270255,1.079134,0.032106,-0.32482,0.217878,0.723391,-1.095578,0.448711,-2.473757,0.253209,-0.91029,-0.565581,-0.511243
calcul,0.282131,-1.305987,-0.303101,-0.051096,1.028549,-0.079302,-0.363973,-0.31333,-0.116092,-1.498784,0.88946,-1.569993,0.208928,-0.86974,-2.069264,-0.595017
application,1.299465,-1.745723,-0.11095,-0.397588,1.142735,-1.009078,-0.367826,1.014148,0.635336,-0.464558,0.602446,-1.071313,1.24722,-1.354842,-1.248106,-0.866214
élément,0.016918,-1.334469,0.359636,-1.45858,0.575741,-0.477206,0.852473,0.090288,0.291194,-0.458085,0.056855,-0.489417,-0.184059,-1.070077,-1.747178,-1.205054
grand,0.872718,-0.274251,0.59075,-1.022641,-0.46666,0.3867,1.332185,-0.187515,-0.223546,0.174357,-0.137862,1.193235,0.120593,0.298918,-1.301068,-0.665226
propriété,0.550787,-1.81637,0.085737,-0.8065,0.254053,0.283889,-0.647946,0.702669,0.55507,-0.136934,0.405749,0.778803,-0.652399,-0.387112,-1.33253,-1.042327
ordre,0.658023,-0.642671,0.887212,-0.469541,0.014469,-0.515454,-0.0498,-0.804438,0.014164,-0.678852,-0.514891,1.562536,-0.123145,-0.827686,-0.842958,-1.070613
variable,-0.731677,-1.275354,-0.032992,-0.6756,0.540484,-0.398987,-0.405077,0.233629,-0.2883,-0.05455,0.551988,-1.623787,0.141916,0.070929,-2.447212,-0.933422
base,0.238452,-1.130167,0.271667,-0.846376,0.500179,-0.246102,0.381058,0.882658,-0.185634,0.08697,0.162622,-0.180655,0.655376,-0.600887,-1.461829,-1.707647
géométrie,-0.337403,-0.796645,-0.028408,-1.4026,0.233847,0.534334,-0.517792,-0.712788,-0.060073,-1.354207,0.608482,-2.039213,-0.554027,-1.626932,-0.936093,-0.410668
analyse,0.413356,-1.399534,0.894504,-1.386015,1.403982,-0.628925,-0.20634,-0.189786,-0.18801,-0.954632,0.514422,-0.757908,0.418001,-0.773007,-1.258707,0.569805
loi,1.159264,-1.569557,0.962446,0.00858,0.794306,-1.777663,-1.178164,0.117376,0.432075,-0.499924,-0.628347,1.013806,0.33683,-0.2578,-1.074326,-0.183203
