word,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
un,0.046193,-0.060899,0.173595,-2.216292,0.159553,-0.682163,-0.056101,-0.105475,-0.791092,-2.000746,0.144089,-0.234648,0.224235,0.315262,-0.970631,0.217222,-0.193163
nombre,-0.123574,-0.521595,0.332475,-1.377905,0.370823,-0.736891,-1.482337,-0.420809,0.295188,-1.517583,-0.290023,-0.424827,0.07578,0.925095,-1.455224,0.688377,0.432119
$\mathbb{N}$,-0.126271,-0.13636,-0.093353,-1.460257,0.23386,-0.446679,-0.761849,-0.094596,-0.039992,-1.986273,-0.318701,-0.346171,0.15457,-0.058447,-0.91006,0.77274,-0.7381
deux,0.007501,0.24462,-0.225047,-2.442986,0.337121,-0.461247,-0.499176,0.373739,-0.527399,-1.195469,0.585187,-0.02017,0.02275,0.349253,-0.844962,0.905936,-0.21469
fonction,0.685441,-0.411726,-0.138932,-0.59761,-0.438238,-0.449891,-0.905661,-0.851173,0.458147,-2.263011,0.812099,0.919799,0.612707,0.758307,-1.596858,0.65633,0.016127
premier,0.27116,1.064537,-0.484638,-1.441702,0.489227,-1.119608,-0.386868,0.575887,-0.503445,-1.15415,0.038091,-0.126312,-0.394399,0.670743,-0.613904,0.703939,-0.305452
ensemble,-0.018111,-0.385107,-0.464721,-1.358854,-0.425213,-0.596578,-0.034472,0.323953,-0.187827,-1.568263,0.658736,0.029052,0.945036,0.440536,-1.164242,-0.075157,-0.047545
point,0.483465,-0.395396,-0.444339,-1.544562,-0.178795,-0.51088,-1.419169,0.189475,-0.097776,-0.80646,0.19216,-1.20722,-0.057217,0.307774,-1.402366,1.425555,0.342493
théorie,1.275036,-1.731636,-0.749541,1.162598,1.203606,-0.473556,0.239993,-1.008218,-0.596809,-2.52691,0.247361,0.03625,1.063961,0.558134,-1.118241,0.160847,0.138852
exemple,-0.275256,-0.907137,0.160776,-1.059468,0.157975,-0.307399,-0.006324,-0.294459,0.166039,-1.969207,-0.173767,-0.221001,0.920405,0.286962,-1.57322,0.081172,0.052133
espace,0.611613,-1.475035,-0.447323,-1.437329,-1.232438,-0.566536,0.539911,-0.218443,-0.543572,-1.145065,0.54409,-0.130646,1.146651,0.142192,-1.012739,0.16437,0.565821
théorème,1.537339,-1.541323,-0.785963,1.499942,0.76983,0.803021,-0.9809,-0.672465,0.40162,-1.029741,2.38074,0.499497,1.450377,0.532847,-1.349071,0.127478,-0.279374
problème,0.794826,-0.779725,-0.180496,-0.3742,0.327939,0.046915,-0.172953,-0.823828,0.084529,-2.37575,-0.16954,-0.589311,-0.269012,-0.120144,-1.200794,0.187193,0.21673
valeur,0.017286,-1.055086,-0.007598,-0.843279,-0.245807,-0.373545,-0.76602,-0.503027,0.938374,-2.266193,-0.269486,-0.475842,0.82882,0.819606,-1.633389,-0.00963,0.185466
groupe,-0.349737,1.428784,-0.355382,-0.711231,-0.208206,-0.700787,0.633225,0.154793,-0.503833,-1.294076,0.476306,-0.76734,0.552016,-0.092727,-1.295309,0.868382,-0.18144
graphe,-0.415697,-2.057266,0.321202,0.498677,0.357974,0.855842,-1.758161,-1.128672,-0.264149,0.609665,1.859082,0.136287,0.716688,0.679155,-1.790926,0.291887,0.496861
forme,-0.806732,-1.131973,-0.030364,-1.761091,0.366749,-0.07492,-0.038063,0.161265,-0.149917,-1.708377,0.466864,-0.06293,1.33408,0.446763,-1.3527,-0.199043,0.149236
entier,-0.712459,-0.633788,-0.198566,-1.141007,0.091792,-0.326125,-0.842646,-0.320195,0.325832,-1.294059,-0.067657,-0.164843,0.658231,0.476359,-1.310053,0.108702,-0.067576
système,0.55855,-0.656994,0.768485,-0.752268,-0.59859,-0.036345,0.516371,-0.157952,-0.244104,-2.337544,0.117502,0.319854,0.199929,0.296882,-2.29138,0.66284,1.101067
équation,2.036887,-1.982027,-0.122874,0.982975,0.837024,1.128167,-1.042118,-0.213268,0.642013,-1.535633,1.696317,0.112743,1.343143,0.212142,-1.789259,0.580339,0.119098
suite,0.329522,0.653631,-0.74109,-1.095223,0.141519,-0.343041,-0.372898,0.275626,-0.03935,-1.755211,-0.220733,0.041441,-0.583863,-0.079843,-0.460303,0.616609,-0.428985
algorithme,1.050862,-1.880649,0.538705,0.901989,-0.182328,0.735055,-0.205689,-0.022133,0.014532,-0.975607,1.013834,-0.043557,0.035797,0.51472,-2.495264,0.077815,-0.265347
calcul,1.580133,-1.853945,0.183744,0.177122,-0.004275,-0.026062,-0.632301,-0.244826,0.944616,-1.715004,0.475475,0.028206,0.041165,1.135527,-2.357161,-0.08079,0.399352
application,0.750123,-0.722097,-0.064176,0.096879,-0.7872,-0.316515,0.467744,-0.199616,0.587886,-2.166731,-0.109183,0.96564,0.37363,0.036063,-2.806068,0.057168,1.020863
élément,-0.257895,-1.495825,-0.134775,-1.350297,0.436566,-0.049071,0.167556,0.042075,-0.115713,-1.97934,0.16123,0.315128,0.94954,0.722595,-1.4474,0.323968,0.342322
grand,0.212235,0.353447,-0.095421,-2.134029,0.134766,-0.8724,-0.204576,0.473464,-0.978885,-1.258558,0.193756,-0.303797,0.316988,0.48315,0.248976,0.00478,-0.059192
propriété,0.318749,-0.337142,0.295116,-0.862088,-0.30909,0.035907,-0.881108,-0.346003,0.143185,-1.91696,0.668106,1.117248,1.090733,0.115853,-1.105264,-0.976166,0.400318
ordre,-0.189444,0.195693,-0.337238,-0.870741,0.935739,-0.551107,-1.091311,-0.027086,-0.271244,-1.816637,-0.079124,1.258284,0.343378,0.746669,0.130202,1.040881,-0.088911
variable,0.226877,-1.656413,0.014201,-0.554676,-0.021655,0.315227,-0.95839,-0.351044,0.697903,-1.337096,0.415519,-0.802463,0.877464,-0.00754,-2.332269,-0.080294,0.872905
base,-0.399316,-0.396634,0.537724,-1.305956,-0.021042,-0.169211,-0.154781,0.136083,-0.625409,-1.44446,0.125459,0.501979,0.552418,0.313538,-1.723074,0.334297,1.056691
géométrie,1.46947,-2.559014,-0.715508,0.66354,0.731034,-0.009974,0.101322,-0.475361,-0.135529,-0.831188,1.588563,0.714261,1.2007,1.382082,-1.400657,0.072454,0.708148
analyse,1.28407,-1.416889,-0.227298,0.34168,0.353495,-1.053363,0.354335,-1.101783,0.021471,-1.90791,-0.310946,-0.425431,1.029232,0.307041,-1.51693,-0.227914,0.439999
loi,0.274735,0.334473,-0.6866,0.094155,-0.453926,-0.916339,-1.149155,-1.089529,0.377793,-2.521087,-0.739297,1.027098,0.39256,-0.475116,-0.852851,0.750473,0.027061
définition,0.287052,-1.732125,-0.26404,0.239173,-0.342489,-0.484501,-0.418493,-0.636731,0.302701,-2.086358,0.097941,-0.023839,1.306471,0.641795,-2.002175,0.381229,0.31836
réel,0.553745,-1.368628,-0.225389,-0.384228,-0.242449,-0.379483,0.140298,-0.174623,0.114455,-2.128484,-0.087888,-0.701192,0.294633,0.04645,-1.73841,0.354109,-0.634323
dimension,0.262711,-1.960017,-0.894956,-0.683016,0.132103,-0.13533,0.039249,0.333622,-0.258999,-1.09368,0.365826,-0.453018,0.615609,0.266912,-1.96439,0.107982,0.385407
statistique,0.973557,0.517844,-0.635269,0.42006,-0.738579,-0.989179,-1.450849,-0.811347,-0.550627,-0.234382,0.884225,-1.324704,-0.322184,1.165224,-1.148342,0.689453,1.328741
sommet,-0.606271,-0.685702,-0.352811,-1.730563,-0.562613,0.562672,-0.9763,0.437166,-1.215292,-0.598913,1.237,-0.754862,0.679012,0.220777,-0.139955,0.721199,0.649988
logique,0.75814,-2.096948,-1.28751,1.009824,0.139848,-0.261693,0.432602,-0.732957,0.450743,-1.900197,0.313871,0.282803,0.467204,0.930326,-1.41042,0.662459,0.015189
terme,-0.430155,-0.376706,-0.276899,-0.596372,0.049296,-0.312408,-0.350032,-0.450132,-0.02547,-2.311177,0.000465,-0.570155,0.546384,0.678678,-0.816265,0.234454,0.102931
trois,0.036954,0.327673,-0.414781,-2.391675,0.314231,-0.768401,-0.488943,0.268018,-0.471787,-0.813354,0.396378,-0.191965,-0.140198,0.483355,-0.603137,0.733594,-0.139098
plan,0.564224,-0.646205,-0.683674,-1.21906,-0.727221,-0.182019,-0.225975,0.246662,-0.615216,-1.778152,0.337664,0.684571,0.36306,-0.230672,-0.726936,0.278331,0.514188
formule,0.647145,-0.272127,-0.358719,-0.163408,0.563194,-0.037685,-0.031903,0.140461,1.108482,-1.060795,1.005553,-0.84104,0.325477,1.189559,-1.707988,0.863071,-0.134563
droite,-0.034995,-0.888064,-1.19327,-1.919755,-0.36553,0.119452,-0.359883,-0.401688,0.052608,-0.901097,1.278248,0.258333,1.258464,0.218657,0.170158,1.93937,-0.321189
$\mathbb{C}$,0.015334,-0.154401,-0.042596,-0.978518,0.088159,-0.400914,-0.575369,0.56383,0.30169,-0.785721,-0.399,-0.256157,0.48968,0.016159,-1.047918,0.597483,0.375611
solution,0.656196,-0.40053,0.411482,-0.066655,-0.411394,0.585545,0.586846,-0.202841,0.637124,-2.485639,0.168092,0.183319,0.277732,-0.33184,-1.973571,-0.176333,0.297835
modèle,0.641097,-0.72994,0.569677,-0.823931,0.418348,-0.153708,0.695781,0.434653,0.182591,-1.255184,0.132665,0.112851,0.016596,0.908962,-1.898507,0.111208,0.559907
linéaire,0.799957,-1.925423,0.083974,-0.167626,-0.058271,0.64549,-0.50107,-0.223704,0.555662,-1.140142,1.329512,-0.156241,1.346496,0.414745,-2.227724,0.506292,0.719995
probabilité,1.366816,-1.894797,0.287517,0.606104,0.243497,0.513104,-1.685198,-1.0309,0.796549,-1.513979,0.40026,-0.881022,0.133198,0.254441,-1.562696,0.183524,-0.042477
série,0.562658,0.543034,-0.518954,-1.058669,0.466436,-1.187905,0.697436,0.817111,-0.736942,0.351306,-0.424188,-1.302853,-0.232468,-1.044469,-1.727771,0.478044,-1.032655
somme,0.247151,-0.284608,-0.155922,-1.391301,-0.533727,-0.290271,-1.679284,-0.340779,1.121814,-1.004687,0.26504,0.708549,0.066833,0.112594,-0.727325,0.151292,-0.081871
mesure,0.560475,-0.67314,0.250708,-1.015805,0.325613,0.119627,-0.966412,-0.311435,-0.073139,-2.045132,-0.17485,-0.478993,0.352173,0.096278,-1.003008,0.554828,1.211931
carré,0.00925,-1.634464,-0.379759,-2.38697,0.12106,-0.299409,-0.871598,0.226991,-0.053185,0.261046,0.976411,0.426129,0.844539,0.578282,-0.979491,0.191757,0.324829
vecteur,0.412657,-2.207571,0.652565,0.500395,-0.137556,0.86913,-0.671551,-1.000354,0.202076,-1.122758,0.643695,-0.165146,1.454953,-0.357955,-2.18935,1.439319,0.458349
connexe,0.348771,0.191084,-0.048624,-0.247188,-0.305789,-1.439793,-0.082904,0.328162,-0.98901,-0.067507,-0.474343,0.148799,1.287249,0.261415,-0.218449,0.336572,1.655082
classe,0.038368,0.270163,-0.018145,-0.619117,0.643488,-0.496039,-0.285982,-0.055667,-0.063598,-0.78376,0.099592,0.159854,-0.146297,0.784357,-1.028628,0.774998,0.721378
produit,0.072431,0.642659,1.488237,-1.266149,-0.309325,-0.253199,0.758329,-0.335145,0.753398,-1.839308,-0.062488,-0.432718,0.984537,-0.313719,-2.202847,-0.850556,0.449419
égal,0.059149,-0.874434,-0.079856,-0.826815,0.159318,0.329641,-1.896033,-0.235485,1.26415,-1.264091,0.656403,-0.757978,0.710968,0.600028,-1.591595,0.914127,0.062328
cercle,-0.424167,-0.753111,-1.139432,-1.057032,0.160758,-0.548334,0.371788,-0.566373,-0.547369,-0.383921,0.955881,0.254083,0.506183,0.934794,0.117776,0.679573,0.274244
partie,-0.329241,0.346983,-0.250745,-1.981704,-0.397403,-0.436022,-0.565101,0.521765,-0.891011,-1.544425,0.345661,0.173396,0.510119,0.15807,-0.148305,0.137875,0.362893
relation,0.117187,-0.056083,-0.412295,0.269366,-0.276774,-0.691731,-0.231493,-0.620197,-0.598878,-2.322205,-0.17744,-0.013162,0.491506,0.042182,-0.321196,0.195604,-0.430715
courbe,1.064099,-2.295552,-0.437053,-1.275347,-0.002661,1.088844,-0.840063,-0.235358,0.35671,-0.605793,1.950514,-0.154389,1.049764,0.140326,-1.222401,0.050716,0.489383
différent,-0.37812,-0.455271,0.174889,-1.558882,-0.112097,-0.850327,0.266314,-0.251287,-0.408671,-2.054819,0.005788,-0.348485,0.584477,0.859731,-1.62349,0.241533,0.272324
complexe,0.071553,-1.301142,-0.053245,-0.958393,-0.221637,0.06745,0.296614,-0.255573,-0.622569,-1.74881,0.657706,-0.080951,0.835889,0.33457,-1.195893,-0.198966,0.790371
matrice,0.248205,-1.790383,0.260414,0.248522,0.46728,0.911354,-0.816232,-0.330927,0.911991,-0.772497,1.338482,0.378408,1.351665,0.233337,-2.429009,0.384843,0.335168
domaine,0.399244,-0.021125,0.506894,-0.768363,-0.748146,-0.984534,-0.145207,-0.389109,-0.537918,-2.090437,0.196631,1.110907,0.82047,0.877784,-0.609962,-0.974838,0.303756
fois,-0.004493,0.515235,-0.198979,-1.6557,0.646154,-0.45595,-0.561063,0.373706,-0.221669,-1.369357,0.040853,-0.719845,-0.600257,0.486306,-0.644233,0.528869,-0.657999
type,-0.095865,-0.783717,0.642218,-1.557975,0.220496,-0.085698,0.094379,0.011664,-0.044486,-1.016005,-0.148325,-0.149367,0.667955,-0.018564,-2.05286,0.282842,1.558136
