word,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
un,1.435496,-1.328775,2.118098,-0.044696,-0.578481,0.276015,-0.744465,1.454013,2.328772,1.730385,0.363648,-0.327879,0.344779,-2.799461,-0.078067,-0.335897,-0.322044
nombre,0.42606,-0.662436,1.305595,1.509965,-0.707227,-0.58964,-1.799621,1.365963,2.295471,0.58592,-1.30765,0.803372,1.273095,-3.541609,1.822525,0.389055,-0.388729
$\mathbb{N}$,1.766207,0.613878,1.918813,-0.11282,-0.956786,0.037228,-1.4654,1.26708,2.13109,1.11195,-0.257501,0.671959,-0.23065,-2.39728,0.315128,-0.440998,-0.327945
deux,0.892873,-0.072924,1.651471,0.011261,-0.47477,0.350699,-0.37603,1.618165,2.411672,1.426681,-0.415887,0.002624,-0.197006,-3.328937,-0.367714,-0.080168,-0.047471
fonction,3.022826,-0.473161,1.765232,1.038042,-0.193487,0.15719,-1.291009,2.329824,1.142629,0.178868,-0.232331,0.937655,1.045496,-1.711227,-1.113142,-0.338798,-0.6618
premier,0.110501,-0.589378,1.642504,0.767153,-0.349382,0.15785,-0.949135,1.257722,2.917942,0.841502,-0.84017,0.571856,1.030288,-2.280032,0.860494,0.671778,-0.279896
ensemble,2.381634,-0.295383,2.713518,-0.565327,-1.146425,-0.4718,-0.395754,0.809659,1.528199,0.304862,-0.111629,0.057767,-0.133037,-2.878315,0.44801,-0.204905,-1.304851
point,1.346809,0.362551,2.259246,0.277302,0.175363,0.31178,-0.24837,1.973072,0.998365,0.745658,-0.004464,0.011085,-1.29458,-3.28667,-1.324719,0.513668,0.694131
théorie,1.543124,-1.526838,2.611696,0.43223,-0.155852,0.696985,-0.393496,0.661365,1.69869,0.346162,2.07566,-0.17429,1.242388,-1.229925,0.67274,1.084861,-0.930317
exemple,1.727135,-0.535764,1.811614,0.046929,-0.62776,0.382374,-1.069026,1.511965,1.462316,1.074723,0.046524,0.438918,0.324709,-2.186587,0.65351,-0.308125,0.220484
espace,2.825545,-0.130954,1.71868,-0.891169,-0.501871,0.622001,-0.141958,3.219021,0.242316,0.511658,1.265062,-0.304272,-0.426425,-2.320774,0.072775,-0.121494,-1.487891
théorème,2.310359,0.175404,2.157961,0.752566,1.018357,1.203536,-1.288725,0.55994,1.08607,-0.221649,0.737464,-0.357504,1.605714,-2.532762,0.541148,1.443907,-0.837077
problème,1.137868,-1.127888,1.793532,0.621218,-0.187254,-0.053987,-1.485865,0.647547,1.657876,0.819426,1.423565,-0.032957,0.530967,-1.883376,0.295408,1.52267,0.628821
valeur,2.1188,-0.428308,1.776728,0.93032,-0.775774,-0.378428,-1.409706,1.5414,1.4055,1.224921,-0.750567,1.37445,-0.143267,-2.011127,-0.534199,-0.844218,0.61978
groupe,0.906487,-0.54043,1.31231,-0.881077,-0.970712,-0.10946,0.560295,2.057398,1.747726,-0.479155,0.942727,-0.468342,0.42007,-2.701874,0.023593,0.252821,-1.457095
graphe,0.015301,-0.728967,1.285837,0.603189,-1.394789,0.38671,-1.957875,-0.096633,0.250917,0.655741,1.363097,-1.676697,0.013731,-4.193384,0.908165,0.412598,-1.496489
forme,2.03598,-0.464206,0.988547,0.246361,-0.675395,0.636156,-0.550787,1.941298,1.646681,0.292661,0.493251,0.136565,0.527705,-2.303493,0.222601,-0.359614,0.327433
entier,1.370336,0.27553,1.60564,0.780745,-0.619582,-0.644247,-1.355075,1.734343,2.050702,-0.488432,-1.239678,1.044342,0.6479,-2.781455,0.89575,-0.276784,-0.18962
système,1.580893,-1.681963,1.39266,0.486678,-1.126025,-0.008472,-0.586236,1.044774,1.879211,1.179615,1.428931,0.402531,0.601586,-0.954821,-0.006407,-0.61306,0.163235
équation,2.078984,-0.177747,1.200291,1.729136,0.228423,0.740685,-0.716147,1.718575,1.7165,-0.241861,1.194332,0.593354,0.980926,-1.571678,-1.303664,0.748522,0.419664
