word,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
un,0.27214,-1.594404,0.182688,1.962583,0.27545,-1.144531,0.195899,-0.560849,-0.175713,-0.630517,-0.170596,0.798611,0.523461,-0.799179,0.355532,0.521842,0.354302
nombre,0.894254,-1.140595,-0.460843,2.450829,0.243408,-0.154233,0.822785,0.575305,-0.327458,-0.41903,0.279293,0.73341,0.409364,-0.748965,0.438272,0.006498,0.897018
$\mathbb{N}$,0.373194,-0.60775,0.210013,2.112423,0.269534,-0.980512,0.091755,0.089624,0.19027,-0.620054,0.573017,0.663874,0.463967,-0.876981,0.393874,0.422968,0.429641
deux,0.511467,-1.150693,0.313797,2.058566,0.476673,-0.450161,0.171697,-0.661965,0.108482,-0.398676,-0.376611,-0.062805,0.289429,-1.467617,-0.13604,0.850573,0.420749
fonction,0.415041,-0.82758,0.673917,2.051318,1.126201,-0.348061,-0.084988,0.949564,-0.014672,0.445799,-0.526496,0.784735,0.618129,0.169283,1.055682,0.222469,1.129821
premier,0.411295,-0.679262,0.077022,1.630076,0.105158,-1.289026,0.158559,-0.020938,-0.019859,-0.194103,-0.664899,-0.595881,0.707204,-1.283816,-0.592728,0.269882,0.294854
ensemble,0.534216,-1.453216,-0.136263,1.483451,0.340982,-0.838575,-0.549613,-0.607599,0.233582,0.21148,-0.292924,0.397726,0.445226,-0.271757,0.570428,0.164666,0.087073
point,0.471389,-0.68605,-0.721408,2.356927,0.151661,-0.015542,0.766061,0.060556,0.625562,0.148783,0.060928,-0.116447,-0.648565,-1.059706,0.106896,0.141971,0.472751
théorie,-0.604252,0.675539,-0.159399,1.935984,-0.028057,-1.291112,-0.248149,0.02093,-0.587416,0.853403,-0.423905,1.652645,0.682524,0.586113,2.21762,-0.675903,-0.453151
exemple,0.598883,-1.078416,-0.482961,1.697759,0.406785,-0.770131,-0.286885,-0.153152,-0.565883,-0.184441,0.363121,1.189109,0.266257,0.231037,1.206081,0.457162,0.199511
espace,-0.22599,-2.269196,-0.086681,1.620127,0.129812,-0.377105,-0.363081,-1.250519,0.368368,0.047529,-0.086124,0.459044,0.145918,0.799368,0.705583,-0.199364,-0.075602
théorème,-0.240243,1.638748,0.255587,1.001636,0.626919,0.917781,-0.780551,0.4815,0.145979,1.893006,-0.366299,1.726113,-0.864253,0.574538,1.594506,-0.171133,-0.045653
problème,-0.009813,-0.121078,0.596184,2.153368,-0.186208,-1.41477,0.651566,-0.029475,-0.226414,0.087632,0.352509,1.330001,-0.34078,0.457122,0.796576,-0.237095,0.652156
valeur,1.331089,-0.965271,-0.288254,2.053135,0.299763,-0.594825,0.051174,0.621506,-0.399222,0.167622,0.220191,1.286276,0.144752,0.307026,1.418756,-0.116472,0.360275
groupe,0.053255,-0.879123,-0.70758,1.047962,0.373159,-1.904375,0.368943,0.026563,0.751423,0.081121,-0.412212,-0.551076,0.048156,-0.220036,0.0924,1.109292,0.106968
graphe,-0.020816,-0.069569,-1.008224,0.582507,0.699671,1.672745,-0.19256,-0.14446,0.576936,1.023431,-0.176641,1.754737,0.009222,1.441683,0.794249,-0.06155,-0.362355
forme,1.223438,-1.338802,-0.618701,1.516272,0.72139,-0.244918,-0.436818,-1.036779,-0.498164,0.09892,0.014411,1.113407,0.484147,-0.366796,1.311123,0.726199,-0.070374
entier,0.628251,-1.073919,-0.23255,1.216419,0.371959,-0.380307,0.434343,-0.216364,-0.415284,-0.197962,0.592451,0.600523,0.604463,-0.326588,0.554703,0.373665,0.078142
système,-0.210194,-0.97917,-0.741219,2.363521,0.720638,-0.799231,-0.278248,-0.355902,-0.34312,0.275831,-0.524038,1.3098,0.126425,1.204203,0.583108,0.668413,1.528395
équation,-0.289358,1.597476,-0.068919,2.17925,0.575207,0.692025,-1.359357,0.001193,-0.067589,1.483174,-0.676202,2.257299,-1.177187,0.234854,1.76882,-0.052853,0.208607
suite,0.33209,-0.165044,0.680061,1.520376,-0.13732,-1.543211,0.16457,-0.103743,0.122308,-0.257316,0.260486,-0.220911,0.49816,-0.7107,-0.357078,0.005786,0.808595
algorithme,-0.046307,0.169007,-0.837238,1.26255,0.867605,0.261787,-0.633907,0.28587,-0.372735,1.080624,0.137466,1.91784,-0.837599,1.825197,-0.058178,0.720643,0.018767
calcul,0.392693,-0.189412,-0.338616,2.526332,0.357398,0.300387,-0.326507,0.486887,-0.684454,1.152215,-0.365674,1.958498,-0.703646,0.957014,0.341373,-0.611042,0.493662
