word,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
un,-0.346581,1.654937,-1.175338,0.75187,0.556074,0.579045,-1.380578,-0.800678,-0.167423,0.041219,-0.49172,0.084267,0.937233,0.222236,0.432092,-0.758865,-0.522264,0.499692
nombre,-0.079455,1.740448,-0.167349,0.482996,0.179699,-0.876949,-0.502066,-0.701778,-0.30088,0.263083,-0.840739,-0.589715,0.649745,1.018768,0.964262,-1.534049,-0.797906,0.655514
$\mathbb{N}$,0.673598,1.451894,-1.162057,0.671423,0.192737,0.074881,-1.05498,-0.289384,-0.02161,0.253932,-0.337271,-0.291668,0.625039,0.408349,0.859116,-1.204525,-0.174217,0.620699
deux,-0.40668,1.456518,-1.260829,1.058964,0.555752,0.689515,-0.752789,0.1145,0.106097,0.231629,-0.852281,-0.44763,0.828024,0.887219,0.249717,-0.833436,-0.568346,0.124898
fonction,-0.139322,1.683718,-0.019604,-0.355334,-0.475925,-0.270204,-1.258633,0.266259,0.415228,-1.125648,-0.558188,-1.101927,1.233645,0.384359,0.940545,-1.156645,-0.48574,1.297641
premier,-0.748718,1.045764,-1.555043,1.175321,0.644433,0.018196,-0.693376,-0.08064,0.902657,0.166794,-0.780558,-0.336338,0.216086,0.379751,0.074819,-0.661907,-0.217454,0.301505
ensemble,-0.440354,1.660206,-0.652611,-0.247947,-0.098355,0.520044,-1.340779,0.061066,0.180223,-0.230373,-0.066292,0.045345,0.803239,-0.022776,0.095087,-1.119563,-0.571641,-0.022629
point,-0.270965,1.886499,-1.044227,-0.088938,0.02448,-0.088993,-0.0844,0.354807,-0.167432,0.91376,-1.252476,-0.151559,-0.248796,0.892662,0.834135,-0.920695,-1.108945,0.191435
théorie,0.45811,1.174957,-0.504686,-2.253713,-0.992282,-0.548526,-2.602977,-1.223274,-0.039409,-0.62452,-0.213548,-1.065582,-0.116747,0.676129,0.077235,-0.163492,0.009655,1.133758
exemple,0.248074,1.405542,0.077771,-0.278948,0.226749,0.2011,-1.579383,-0.644287,-0.374574,-0.199361,-0.039447,0.212785,0.767206,0.457314,0.285028,-1.58636,-0.403515,0.826727
espace,-0.793049,1.934534,-0.332589,-0.968561,-0.686185,1.411968,-1.062654,-0.466211,-0.445354,-0.163713,0.392201,0.225164,0.436228,-0.119479,0.323042,-0.844205,-1.34219,0.076396
théorème,0.589906,1.16856,0.363559,-2.568481,-1.180569,-0.457346,-1.624532,1.325914,-0.857582,-1.243031,-1.449017,-1.507634,0.141853,0.501073,-0.451486,-0.140985,0.01255,0.313561
problème,0.679775,1.320301,-0.627426,-0.889479,-0.296291,-0.27094,-1.134424,-0.768296,0.088559,0.101537,-0.743427,-0.033769,0.612427,0.08763,0.788871,-0.347479,-0.502942,1.605516
valeur,0.276202,1.804482,-0.01963,-0.675266,-0.371431,-0.979646,-1.247164,-0.583879,-0.341944,-0.151457,-0.435727,0.173173,1.09506,0.465785,0.747268,-1.852632,-0.718353,0.523241
groupe,-0.665804,0.882029,-1.012692,0.374031,1.043657,0.499333,-1.239901,0.456692,0.872415,-0.323235,-0.240901,0.88613,-0.463892,0.442323,0.935638,-0.780498,0.0436,0.698665
graphe,0.384904,1.533959,1.91942,-1.602842,0.227314,-0.606115,-0.704894,0.94784,-1.959057,-0.63478,-0.713627,-1.2278,-0.15739,1.38302,0.120938,0.024906,-0.943194,-0.378378
forme,-0.207274,1.474336,-0.151288,-0.242486,0.521826,0.746548,-1.74691,-0.338221,-0.731122,0.002538,-0.177818,0.058793,1.179297,0.825704,-0.109889,-1.708822,-0.398957,-0.098572
entier,0.070255,1.347802,0.057507,0.165999,0.263635,-0.024278,-1.036419,-0.344937,-0.282326,0.09728,-0.208124,-0.046816,0.747665,0.723489,0.521763,-1.317419,-0.202291,-0.027531
système,-0.417045,1.620452,-0.040992,-0.977936,0.786444,0.405507,-1.139907,-0.566641,-0.082648,-0.385553,-0.009969,-0.2428,0.711872,0.174025,0.457602,-1.131116,-1.26362,2.335792
équation,0.799378,1.256528,0.443003,-2.405034,-1.165048,-0.150734,-1.689804,1.022018,-1.108823,-0.834132,-1.469074,-1.589672,0.042843,0.605764,-0.628855,-1.04732,-0.356057,1.654953
suite,0.212975,0.966529,-1.299181,0.603663,0.233701,0.165421,-0.422004,-0.027256,1.007282,0.490114,-0.500828,-0.384411,0.677306,-0.126134,0.620353,-0.522354,0.275655,0.834441
algorithme,1.015839,1.63005,0.827726,-1.857531,0.265512,-0.456143,-0.776053,0.357918,-0.901788,-0.855087,-0.431523,-0.445191,-0.105748,0.086714,-0.569693,-0.233942,-1.309302,1.19726
calcul,0.362507,1.967182,0.538293,-1.660719,-0.598793,-0.893643,-0.706241,-0.546581,-0.42676,-0.593654,-1.094355,-0.929751,0.37673,0.223011,-0.768942,-1.248495,-1.126149,1.571391
application,-0.190075,1.527212,0.892752,-1.141412,0.005121,-0.124032,-1.356034,-0.085288,0.898936,-0.375627,0.493919,-0.267134,0.667696,-0.156926,0.210752,-1.252936,-1.32483,2.251544
élément,0.12092,1.338528,-0.303708,-0.701782,0.217435,0.444528,-1.708045,-0.686108,-0.510205,-0.069267,0.231355,-0.281739,1.232058,0.946682,-0.262904,-1.434027,-0.70984,0.554832
grand,-1.094452,0.993358,-1.660439,0.992796,0.077046,0.562215,-0.901921,-0.645876,-0.135523,0.285871,-0.475632,-0.105,0.610735,-0.022375,0.173225,-0.53574,-0.256797,-0.357807
propriété,-0.438782,1.035915,0.501311,0.121614,-0.463439,-0.053022,-1.804932,0.273513,-0.618113,-0.388398,-0.238435,-0.822542,1.629059,-0.763073,0.216151,-1.027072,-0.184707,0.70327
ordre,-0.287484,0.372357,-0.928819,0.764979,0.000544,-0.435588,-1.04092,-0.245724,0.377146,-0.076556,0.074414,-1.751906,1.167317,1.100744,0.556042,-0.933486,0.355385,0.312143
variable,0.23036,1.80138,1.07535,-1.276601,-0.217464,-0.174306,-1.338335,0.19504,-0.911718,0.322882,-1.037136,0.060026,0.466043,0.633924,0.40696,-1.596221,-0.971069,0.919241
base,-0.874918,1.096343,0.094089,0.028615,0.76175,0.081966,-1.242559,-0.293077,-0.456589,0.159054,0.295705,-0.210737,0.834275,0.62705,0.31249,-1.240085,-1.175445,1.016811
géométrie,-0.337712,1.254654,0.430907,-2.650568,-1.025781,-0.174214,-1.501599,-0.117692,-0.601147,-1.119556,-0.58424,-1.368906,0.304861,0.982586,-1.271473,-0.266585,-1.017753,0.348847
analyse,0.129449,1.219962,-0.053015,-1.250803,-1.296062,-0.4698,-1.864671,-1.36481,0.11104,-0.411166,-0.150222,-0.064523,-0.236749,0.295527,0.097726,-0.625126,-0.665375,1.144808
loi,0.315862,0.821849,-0.176878,0.102671,-0.859429,-1.126158,-1.219331,0.093847,0.98299,-0.044369,0.583738,-0.851347,0.954983,0.249111,1.901794,-0.878458,-0.196573,1.178641
définition,0.224436,1.888256,0.34437,-1.595984,-0.613451,-0.390936,-1.582502,-0.501725,-0.173616,-0.747257,0.108245,-0.400069,0.157898,0.513304,0.585379,-1.512925,-0.727123,0.855297
réel,1.217605,1.960285,-0.630909,-0.982346,-0.302,0.080992,-1.272954,-0.5083,0.109511,-0.049112,-0.187132,0.122082,0.352587,0.110632,0.434222,-1.060586,-0.70225,0.878565
dimension,0.28037,1.879697,-0.191515,-1.53299,0.024004,0.380117,-1.339814,-0.146257,-0.280993,0.606908,0.072483,-0.098905,0.410609,0.743111,-0.423878,-0.886873,-1.274802,0.028155
