word,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
un,0.765851,-1.713677,0.42528,3.601171,1.368714,0.17658,-0.485901,-0.197168,0.945264,-1.323765,0.969359,-0.400007,1.294066,0.502988,-1.887751,0.90152,0.157761,0.791598
nombre,0.222166,-1.322969,0.175387,4.00692,0.674755,0.371678,-1.673678,-0.574159,0.425776,-2.234884,-0.498335,0.255425,0.227219,0.534639,-0.871782,1.675855,-1.926889,-0.755084
$\mathbb{N}$,-0.082956,-1.761026,0.505582,3.424492,0.730468,0.696382,-0.468062,0.137772,1.441919,-1.038212,1.112116,-0.076169,0.258957,1.047734,-0.354943,1.310557,0.265413,-1.093201
deux,0.437062,-1.289213,0.630228,3.589051,1.584575,0.623288,-0.834316,0.320894,1.230893,-1.3762,0.134002,-0.342857,1.12884,0.739105,-0.573969,0.876157,0.634022,0.502184
fonction,2.079132,-1.457746,0.949021,3.331155,-0.718924,-0.779725,-0.398573,-0.75572,1.977305,-1.126127,0.762513,-0.688935,-0.211054,1.359056,-0.852484,0.081529,0.30161,-0.449578
premier,-0.431279,-0.96365,-0.198414,3.469359,0.628573,-0.217659,-1.733558,-0.033094,0.506719,-1.750945,-0.384174,0.055784,0.624873,0.699649,-1.5089,1.610993,-0.551129,-0.234662
ensemble,0.536398,-1.698111,1.22981,2.89156,0.595044,1.59215,-0.543136,-1.415379,1.643139,-0.761752,1.807997,-0.422821,0.196353,0.540708,-1.029848,1.115621,0.299919,0.213187
point,1.613046,-0.992304,0.729464,3.219549,2.042459,1.022274,-0.196979,0.820928,1.276397,-1.290853,0.020961,-0.935462,0.061026,1.151307,-0.082271,-0.41968,1.696924,0.165469
théorie,0.906736,-0.295337,-0.047515,2.077698,0.130261,-0.40079,-0.22155,-1.578937,0.488132,-1.411459,1.11097,-0.793699,0.336486,0.607199,-3.242315,1.461998,0.882632,0.532343
exemple,0.717111,-1.568158,0.600992,3.138659,1.070425,0.22066,-0.273616,-0.636546,0.521184,-1.503184,0.753507,-0.387562,0.485669,0.790385,-0.742683,0.865587,0.553094,-0.545717
espace,1.927674,-0.77641,1.797849,2.129167,0.084296,1.798471,0.450767,-0.909248,2.050886,-1.024615,0.91054,-1.299457,0.20931,1.297384,-1.367749,0.948523,1.262386,1.022548
théorème,1.974019,0.735313,-0.268115,3.229236,-0.43156,-0.07568,-0.701524,-0.724456,1.119434,-1.101991,0.92662,-0.453075,-0.549744,-0.455515,-1.657287,1.743069,1.181487,-0.760847
problème,1.0883,-0.60082,0.477686,2.684725,1.31106,-0.422781,-0.095481,-0.516238,-0.186913,-1.095429,0.219942,-1.320347,0.543007,0.059911,-2.072653,0.896449,0.348773,-0.9564
