word,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
un,0.551889,0.052233,0.542892,-0.46622,-0.906961,0.163921,0.252168,-0.106755,-0.432755,-0.438474,2.301344,-0.805901,-0.416499,0.506542,0.336654,1.373909,-0.154448,0.355245
nombre,0.358604,0.844499,0.684981,-0.972175,-0.606809,-0.538337,-0.466324,-0.789522,-0.471289,-0.319121,1.431345,-0.511597,-0.747864,1.222406,-0.072709,1.542777,-0.256327,0.138148
$\mathbb{N}$,0.614816,0.250091,0.235063,-0.674431,-1.199597,-0.159666,-0.347789,-0.491708,-0.698073,0.057788,1.947899,-0.407704,-0.052907,0.453919,-0.107768,1.111566,-0.424398,0.061739
deux,0.228392,0.043133,1.271635,-0.291929,-0.36393,0.019124,0.356513,-0.202419,-0.769216,-0.52272,1.978493,-0.478339,0.463253,0.650484,0.245446,1.165442,-0.605044,0.47019
fonction,0.580342,0.837384,0.345852,-0.380016,-0.687334,-0.958066,-0.091941,-0.484751,0.379532,-0.384628,1.816874,-0.426648,0.070888,1.773403,0.243444,0.553597,0.575456,-1.121815
premier,-0.517026,0.234693,0.61951,-0.262426,-0.616761,0.064694,0.924749,-0.553507,-1.201932,-0.120542,1.38217,-0.891718,0.1496,0.626491,0.347331,0.801527,-0.540483,0.156463
ensemble,0.226405,0.310933,0.662167,-0.573015,-0.83202,-0.061294,0.442286,0.422877,-0.293387,-0.718243,1.607616,-0.649813,-0.089885,0.39851,0.219813,0.676277,0.758114,0.153074
point,0.872575,0.836506,1.571306,-0.755813,-0.477083,-0.611501,-0.196549,-0.243337,-1.111958,0.297752,0.645358,-0.536509,-0.049354,0.40757,0.7321,1.396277,-0.284691,0.413769
théorie,0.520055,-0.135711,-0.448693,-0.487746,-1.739241,-0.373607,-0.199697,1.458048,-0.225007,1.279269,1.190562,0.786959,-1.357389,1.440943,0.927889,0.335571,1.509944,-1.345132
exemple,0.843109,0.179879,-0.041295,-1.16642,-0.849024,-0.034824,-0.163479,0.311585,-0.111142,-0.692662,1.699645,0.09009,-0.642213,0.778869,-0.383981,1.048372,0.660692,-0.187101
espace,1.297177,0.193257,1.109587,0.026126,-0.698129,0.176969,-0.355353,1.008404,-0.018502,-0.931359,1.148894,-1.14896,-0.815384,0.30312,0.149552,0.723149,1.475056,0.33303
théorème,1.075013,0.617999,0.120278,-0.076705,-0.047646,-1.72782,-0.401825,1.132762,0.196403,0.757213,0.180618,2.284827,-0.014124,0.940536,0.388331,-0.730016,1.214613,-1.346605
problème,1.22875,0.916522,-0.605008,-0.155403,-1.1651,-0.356267,-0.164981,0.538953,-0.112815,0.903254,1.530989,-0.691114,-0.763531,0.654653,0.279969,0.939248,0.076676,-0.405459
valeur,0.384113,1.29737,-0.101733,-1.392631,-0.713429,-0.519082,-0.726748,0.192265,0.039508,-0.4884,1.514787,-0.039197,-0.653198,1.102209,0.018361,1.33684,0.808168,-0.492596
groupe,0.591984,-0.533127,-0.181099,-0.860848,-0.91389,-0.311291,1.570272,-0.386023,-0.861096,-0.711704,0.556743,-1.03232,0.305619,0.292159,0.312259,1.068246,-0.134737,-0.183765
graphe,1.448611,0.223589,0.234882,-0.393975,0.508444,-1.066638,-1.015811,0.109793,0.44264,-0.757089,-0.404991,1.278161,-0.599701,0.618356,0.428719,-0.302925,2.030986,0.141238
forme,0.568631,-0.071036,0.641728,-1.124243,-0.606993,0.097633,-0.047395,0.704715,-0.166659,-1.1481,1.9779,0.589648,-0.205636,0.927271,-0.243159,1.209675,0.767349,0.594286
entier,0.271703,0.202432,0.132867,-0.677888,-0.716172,0.21386,-0.238939,-0.1653,0.004431,-1.028974,1.172004,-0.068206,-0.357815,0.61197,-0.104429,1.359592,-0.090079,0.207233
système,2.005416,0.504247,0.040118,-0.6432,-0.516274,-0.494235,0.804723,0.001385,0.068672,-0.013449,1.600986,-0.71302,-0.676071,1.960049,-0.166254,0.940461,1.331579,0.060143
équation,1.703105,0.516634,0.526108,-0.716069,-0.245378,-2.174543,0.051249,1.544035,-0.061178,1.059346,1.157291,2.111348,-0.484045,1.339486,-0.108775,-0.517002,1.170869,-1.143566
suite,-0.051935,0.573933,-0.101386,0.20742,-1.133891,0.115292,0.431285,-0.324078,-0.816122,0.486787,1.381982,-0.929052,0.384377,0.384705,-0.193505,0.65879,-0.530197,0.107206
algorithme,2.46359,1.428179,-0.262993,-0.674912,0.761744,-0.167773,-0.062238,0.299799,-0.060314,0.459254,0.502444,1.023827,-0.553708,0.734209,0.652627,-0.424994,1.681547,-0.418141
calcul,1.296326,1.821617,0.288018,-0.713002,-0.033757,-1.013896,-0.257257,0.381561,-0.241597,0.404225,1.237518,0.55271,-1.439399,1.364858,0.054273,0.077641,1.285286,-0.514311
application,1.872156,1.413193,-0.3332,-0.918066,-0.516836,0.007049,0.952555,-0.211433,0.408026,-0.103373,0.913455,-0.601979,-0.578561,1.852425,-0.876239,0.254587,1.634493,-0.736375
