word,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
un,0.899263,-1.410759,0.447186,-0.392783,0.134154,-0.144959,1.324393,1.5613,-0.5734,0.985108,-0.042764,0.009729,-0.584976,0.248299,0.044191,1.048962,-0.365522,0.265717,0.050104
nombre,1.17762,-1.138039,0.87646,-0.396985,1.060317,0.391899,0.865073,1.160676,-0.511466,1.532476,0.062831,-0.285359,1.392183,0.591642,-0.332392,0.402092,-0.106935,0.572273,0.087234
$\mathbb{N}$,0.231668,-0.791273,0.484853,-0.575915,0.200715,0.67841,1.154456,1.553805,-0.429791,1.150005,0.199883,-0.136319,0.090804,0.572193,-0.134232,0.969635,-0.20072,0.614689,0.623878
deux,0.637604,-1.180596,0.335769,-0.111745,0.677697,-0.245453,1.715315,1.186906,-0.117789,0.865444,-0.26188,-0.105949,-0.667862,0.098085,-0.491243,0.506066,-0.45659,1.010352,0.371342
fonction,0.902837,-0.831404,-0.866079,0.574098,-0.248584,0.113471,1.553234,1.751645,-0.871567,1.085259,0.642989,-0.521393,1.18325,0.739128,-0.281172,-0.100554,-0.614296,-0.209756,0.851575
premier,0.275229,-1.518747,0.497992,-0.047787,0.307812,0.191775,1.6038,0.586223,0.852401,0.748619,-0.076613,0.568094,-0.362132,0.340513,-0.473897,0.626834,-0.518505,0.314305,0.316922
ensemble,0.771555,-1.036337,0.050047,0.231663,0.026675,-0.047798,1.181104,0.818681,-1.39817,0.417464,0.377574,0.366164,0.012759,0.252935,-0.351608,0.841428,-0.907157,0.478943,0.555145
point,0.135919,-1.606874,-0.145443,-0.368556,1.294592,0.225302,0.910438,0.476507,-0.631094,1.393248,-0.547736,0.017052,0.834458,-0.053905,-0.583826,0.603399,-0.069903,1.322776,0.43424
théorie,0.692824,-0.955468,-1.088582,-0.429702,-0.967738,0.421986,-0.626199,1.49139,-1.131494,0.757456,1.109842,-0.28764,1.515,-0.331408,-1.518543,1.210474,-1.644595,-0.599184,-0.396947
exemple,0.839015,-1.028782,0.039762,-0.260169,0.225836,-0.164968,0.361161,1.69767,-1.186874,0.729046,1.0279,-0.282614,0.335082,0.796902,0.295764,0.70978,-0.663591,0.289078,0.256191
espace,1.163527,-1.309826,-0.524595,-0.002176,0.000177,-0.368806,0.962413,0.660771,-2.30112,0.04063,0.255941,-0.027807,0.447239,-1.053575,0.221429,1.094295,-0.557873,0.730137,0.297034
théorème,0.349225,0.164245,-1.770942,0.459754,-0.364093,-0.238741,-0.428942,0.360662,-1.967701,1.094225,0.773349,-0.872805,1.745069,-0.070445,-2.509056,-0.748495,-1.515304,-0.188693,0.74509
problème,-0.112171,-1.324143,-0.619491,-0.267222,-0.217705,0.757535,0.303942,1.833797,-1.023929,1.086505,0.500239,-0.076579,0.859949,0.181758,-0.31168,0.793401,0.243356,-0.186362,-0.324735
valeur,1.127025,-0.990781,0.3596,0.099679,0.698727,0.718114,0.466288,1.649824,-1.568869,0.86131,0.872715,-0.29345,1.425675,0.81212,-0.199715,0.769103,-0.570432,0.040167,0.222493
groupe,-0.201324,-1.563491,-0.030942,-0.06215,0.823734,-0.092112,0.637994,0.804685,-0.053193,0.044745,-0.552314,0.866475,-0.30199,0.320228,0.257527,1.062383,-0.905731,-0.2461,1.404025
graphe,1.082613,-0.168343,-0.637529,0.35292,0.607659,-0.890647,-1.160466,0.231756,-1.86917,1.098761,-0.352485,-1.838999,1.584583,-0.18444,-1.219198,-1.123545,-1.133495,0.569116,0.583017
forme,1.12112,-0.778426,0.186708,-0.117946,0.459091,-0.749921,0.624362,1.59156,-1.484889,0.610633,0.813686,-0.34654,-0.334289,0.641871,0.058711,0.584094,-1.311138,0.773426,0.034094
entier,0.869264,-0.581795,0.623899,0.052782,0.661721,0.028847,0.519483,1.137027,-0.977523,0.570245,0.189759,-0.539024,0.622273,0.868344,-0.145319,0.586426,-0.725928,0.52723,0.301552
système,0.60833,-2.089587,-0.427913,-0.131065,-0.250074,-0.626099,0.38707,2.336408,-1.028928,0.880948,0.699799,0.328505,1.024516,-0.27751,0.775459,-0.163083,-0.437769,-0.090996,0.36066
