word,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
un,-1.657131,-2.387417,0.654842,1.867843,0.364792,0.518347,-0.840283,0.187386,1.087998,-0.881,1.018309,1.041228,-0.419026,0.574633,-2.342213,-0.818437,-1.734626,-0.419017,-1.141701
nombre,-0.216883,-2.49006,1.775928,3.521109,-0.215486,0.105181,0.376623,0.582021,1.340028,-0.073423,0.153955,-0.898423,1.040978,0.909784,-1.986771,-0.117383,-1.314836,0.23373,-1.83652
$\mathbb{N}$,-1.026321,-2.535655,1.240719,2.550242,-0.191359,0.152859,-0.951718,-0.266808,-0.379573,-0.901509,1.436138,0.135976,0.166161,-0.500968,-1.548424,-0.182322,-1.255462,0.528735,-1.254687
deux,-0.562782,-2.13047,1.248494,2.307311,0.343703,0.537071,-0.607404,0.163463,-0.44185,-0.862257,0.99363,0.758793,-0.654803,0.453029,-2.266619,-0.653992,-1.538318,-0.397919,-1.221251
fonction,-1.618182,-2.006708,0.860668,2.189627,1.043858,1.153716,-1.041689,-0.072865,1.309936,-1.001702,1.63215,-0.565521,0.41935,-0.465236,-0.235556,0.611193,-2.564467,-1.120337,-0.059409
premier,0.095364,-1.886619,0.908064,2.405929,-0.129225,-0.125809,0.188914,-0.150295,0.772689,-0.188042,0.544104,-0.736162,0.809701,1.458766,-2.18253,-0.52321,-1.7678,-0.264332,-1.847381
ensemble,-2.224028,-1.870853,0.348573,2.846068,0.292442,0.224085,-0.705887,0.524137,-0.084196,-0.696692,1.444622,0.67919,-1.221442,0.158367,-0.10364,-0.007491,-1.686276,0.502213,-1.526141
point,-0.270191,-2.637418,1.137725,1.397238,1.132833,1.790268,-1.752419,0.832606,-1.090284,-1.685197,0.420669,0.407296,-0.997979,-0.089662,-1.33096,-0.240037,-1.825041,-0.638717,-0.646785
théorie,-1.708361,-1.900606,-0.886359,1.004808,-0.519643,-0.044658,-0.313096,0.65564,0.989222,-0.617498,1.457387,1.193113,0.923406,1.61081,-0.519571,-0.512224,-2.082766,-0.694985,-1.439742
exemple,-1.238112,-2.098796,0.616373,2.62425,-0.101894,0.770071,-1.156781,0.124081,0.41961,-0.868218,0.935887,0.544978,0.557214,0.32327,-1.305988,-0.07465,-0.887182,-0.063922,-0.861402
