word,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
un,0.047949,-0.627519,0.237583,1.729905,0.392913,0.132974,0.726135,0.82674,-0.212896,-0.966724,0.657637,0.063202,-0.110095,-1.109797,0.000369,-0.673361,0.66513,-1.159379,0.84683
nombre,0.539094,-0.605879,0.313419,1.595194,-0.38732,0.007891,-0.120622,0.748339,-0.13359,-0.6792,0.820096,0.093683,0.024617,-0.653886,-0.70383,0.279875,1.827113,-1.291886,0.19742
$\mathbb{N}$,0.578702,-0.189312,0.624674,1.775256,0.461065,-0.053783,0.119527,0.220188,-0.310382,-0.308285,0.648751,0.627911,-0.06263,-0.627156,-0.099601,-0.22326,0.698062,-1.326465,0.822972
deux,0.418781,-0.564155,0.739157,1.292911,0.252994,0.416782,0.966671,0.849391,0.01939,-0.89525,0.974546,0.210397,0.452427,-0.891533,0.360049,-0.290579,0.333405,-1.176647,0.109048
fonction,0.640016,0.656643,0.119536,0.950802,-0.678868,-0.151555,0.505843,0.630528,-1.300433,-0.110737,1.71826,0.010025,-0.218022,-0.24659,-0.963214,-0.620682,0.662988,-1.218385,0.914534
premier,0.029754,-0.949476,1.023153,0.773439,0.576156,0.027223,0.732727,0.927848,-0.008208,-0.567803,0.66728,0.267639,0.142396,-0.109828,0.066832,-0.807681,0.177184,-1.503541,-0.143796
ensemble,-0.025867,-0.334849,-0.183305,0.805104,0.062229,0.316806,0.700269,0.347403,0.106008,-0.9412,1.090447,-0.245566,-0.308078,-0.155118,0.284863,-0.408809,0.53803,-1.137731,1.205905
point,0.518555,-0.509889,1.064902,1.388266,-0.292523,0.748627,-0.356621,1.189705,-0.289378,-0.926672,0.307226,-0.151107,0.642598,0.134212,0.517112,0.459108,1.166024,-1.433898,-0.155501
théorie,-0.278864,0.276527,-0.442939,1.311669,0.451055,1.620071,-0.951346,0.129194,-2.093034,-0.063295,0.463825,-0.120921,-1.708735,0.632151,-1.395168,0.331152,-0.107022,-0.877768,1.536483
exemple,0.700432,0.325401,-0.645968,1.588512,0.404071,0.126199,0.176113,-0.063479,-0.404678,-0.894155,0.694481,-0.331207,-0.458401,-0.464549,-0.416322,-0.551699,1.05898,-1.015591,1.091631
espace,-0.269793,-0.529371,-0.434864,0.668428,-0.79247,0.614938,0.485742,0.20824,-0.406739,-1.150057,0.241987,-1.099855,-0.719568,-0.76604,0.814049,-0.267706,0.687208,-0.953914,1.774888
théorème,0.493278,1.864813,-0.679997,0.777664,-1.024477,1.33246,-0.370586,-0.210863,-1.825594,-0.269676,0.706973,0.158929,-0.390102,1.68036,-0.912068,1.360487,-0.100533,0.228738,0.595394
problème,0.344105,-0.081586,0.264504,1.574724,-0.101489,-0.014936,-0.442983,0.713349,-1.281106,-0.339967,-0.415261,0.359755,-0.166928,-0.277365,-0.932787,-0.463855,0.282027,-1.084923,1.628669
valeur,0.885463,-0.285269,-0.435242,1.51081,-0.422939,0.066268,-0.241291,0.115428,-0.699397,-1.023125,0.922007,0.222934,-0.804105,-0.022403,-0.808259,0.044483,1.491722,-1.21071,1.036772
groupe,0.368144,-0.601298,0.518316,1.308162,0.441473,-0.377305,-0.297098,0.987337,0.32234,-0.712617,0.735494,-0.648217,-0.322009,0.531827,0.684969,-1.228903,-0.385807,-0.867783,0.362061
graphe,-0.038056,1.37608,-0.759622,0.360875,-0.850452,0.375687,-0.230058,-0.53323,-0.979273,-0.411107,0.608894,-1.534902,-0.487336,0.699387,-0.012485,1.447014,1.167605,0.768071,0.816341
forme,0.543124,0.053794,-0.889663,1.439741,0.609383,0.496766,0.614314,-0.257456,-0.506945,-1.657672,1.283365,-0.475931,-0.325506,-0.70925,0.090709,0.056591,0.736143,-0.920909,0.882605
entier,0.517995,-0.515797,-0.257386,1.054245,0.092024,0.056624,-0.117699,-0.093784,-0.055276,-0.903278,0.814977,-0.028103,-0.138675,-0.775012,0.036075,-0.189745,1.138319,-0.550007,0.560788
système,0.17998,0.663034,0.198776,1.998592,-0.755561,-0.248434,0.257398,0.204817,-1.012395,-1.018899,0.522134,-1.63344,-0.314622,-0.131579,-0.984089,-0.615133,0.479044,-1.514417,1.201658
équation,0.56839,2.25762,-0.588139,1.776768,-0.973393,1.91594,0.017316,0.044007,-1.615595,-0.456183,0.332102,-0.053536,-0.282695,1.5636,-0.996574,1.738388,-0.438385,-0.767144,0.968512
suite,0.050877,-0.721585,1.048725,0.767188,0.401561,-0.290534,0.394201,0.392238,-0.107497,-0.184466,0.263521,0.714614,0.476222,-0.31076,-0.19832,-0.753529,-0.173053,-1.484282,0.756408
algorithme,0.205627,1.823467,0.114499,0.851585,-0.52203,0.593618,0.43463,-0.363936,-0.966056,-0.555556,-0.303931,-1.320787,0.05978,1.032022,-0.957266,0.049122,1.036219,0.417573,1.161819
calcul,0.199227,0.985436,-0.2356,1.366205,-1.185603,0.458506,0.404798,0.289732,-1.572542,-0.769652,-0.206864,-0.382857,-0.365326,0.970974,-1.459342,0.570702,1.65154,-0.773015,0.880291
application,0.373382,1.137994,-0.324666,1.03898,-1.066415,-0.33766,0.105456,-0.196365,-1.04003,-0.527325,0.413608,-1.231301,-0.22673,0.368952,-1.434842,-1.634621,0.817603,-1.603421,1.338775
élément,0.438068,0.10801,-0.564529,1.447183,0.264918,0.709199,0.75754,-0.559167,-0.660813,-1.266973,1.023121,-0.742389,-0.58431,-0.541409,-0.722425,0.153189,0.566772,-1.138947,1.164979
grand,-0.367392,-1.085339,-0.021522,0.739819,0.540546,0.049058,0.877486,0.751737,-0.210395,-0.787477,0.731394,0.333512,-0.296396,-1.129543,0.782873,-0.293594,0.110477,-1.292151,0.096453
propriété,-0.571166,0.8331,-1.373934,0.978094,-0.686272,-0.465899,0.660673,0.102685,-0.681415,-0.571597,1.261152,0.618212,-0.211881,-0.706697,-0.502107,-0.415668,0.112,-1.165761,0.675004
ordre,0.287298,-0.40265,0.588195,0.576175,0.466954,0.179748,0.210811,-0.146576,-0.950633,0.179482,1.543342,0.617067,-0.248624,-1.105223,-1.020194,-0.10522,-0.117072,-1.517373,-0.467749
variable,0.901177,0.943123,-0.975931,1.598837,-0.922014,0.774862,-0.507178,0.173792,-0.602693,-1.603495,0.464544,-0.620116,0.347627,0.041684,-0.497996,0.373311,1.29045,-0.763573,0.736993
base,-0.072606,0.283284,-0.297519,1.43258,-0.31142,0.190565,0.16993,0.048879,-0.144881,-0.955687,0.934911,-1.335691,-0.096537,-0.961988,-0.735958,-0.488871,0.748111,-1.211214,0.166825
géométrie,0.342489,1.093704,-0.951802,0.259102,-0.488854,1.592676,0.800382,-0.30748,-2.17703,-1.166541,0.368993,-1.333584,-0.883504,0.690042,-0.99131,0.966704,0.146604,0.026985,0.58081
analyse,0.117615,0.399357,-0.705144,0.769481,0.184545,1.420978,-0.523338,0.464207,-1.224325,-0.14364,0.117064,-0.353869,-1.189177,0.339669,-0.936675,-0.597612,1.082461,-1.097268,1.735436
loi,0.617465,0.101699,0.456756,0.645577,-0.822751,-0.058841,-1.211152,0.049365,-0.118405,0.748526,1.727931,0.901259,-0.309089,-0.412814,-1.264788,-0.857505,0.532796,-1.574327,1.184397
définition,0.550497,0.503679,-0.549254,1.218326,-0.341577,0.48844,-0.677199,-0.068646,-1.040661,-0.638021,0.928304,-0.761747,-1.049795,0.351761,-0.724319,0.021107,1.482411,-0.940405,1.400589
réel,0.390377,-0.075338,0.48871,1.880547,-0.09126,0.307963,-0.223288,-0.143369,-0.846612,-0.773776,-0.229785,0.160959,-0.898699,0.126165,-0.239809,-0.336838,0.917455,-0.805109,1.790588
dimension,-0.164348,-0.261614,-0.033645,1.265119,-0.28733,1.475361,0.138042,-0.662403,-0.652488,-1.757129,0.247196,-0.598223,-0.405252,0.270501,0.024981,0.187411,0.941665,-0.758684,1.061062
statistique,-0.111657,-0.304537,0.608436,-0.038412,-0.499586,0.182436,-1.120873,2.513642,-1.368876,-0.528376,0.640767,-0.570732,0.692889,1.073202,0.118564,-0.153627,1.04575,-0.662926,-0.614543
sommet,-0.425668,-0.708,0.084676,0.428849,0.54844,0.239536,0.138055,1.078093,0.671577,-1.239716,1.258602,-0.915923,0.972973,-1.283396,1.027186,1.298975,-0.188491,-0.532941,0.893043
