word,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200
un,-0.105685,-0.129701,0.199305,0.3057,-0.057294,0.636208,0.707253,0.109867,-0.034306,0.373337,-0.225593,-0.060853,-0.095046,0.144936,-0.045706,0.485677,0.16148,0.319212,0.21707,-0.041932,-0.353912,-0.136523,0.021475,0.314942,-0.069168,0.044489,0.248922,0.444545,0.107325,0.055362,-0.083883,0.032241,0.095237,0.185733,-0.093791,-0.15846,0.09126,0.270112,-0.154401,-0.040688,0.009813,-0.014625,-0.455053,0.723889,0.340101,-0.053206,-0.055722,0.027857,0.08912,0.386483,-0.212214,-0.310674,0.042895,-0.550937,-0.067806,-0.171811,0.523062,0.141907,-0.076594,-0.380085,0.008233,0.238444,-0.050359,-0.183181,-0.246429,-0.30252,0.24133,0.133505,-0.209716,0.149768,-0.81661,0.026032,0.065448,0.163042,-0.006217,-0.015022,0.256776,-0.154552,0.14357,0.292556,0.089494,-0.166024,0.356337,0.127765,0.11665,-0.122887,-0.515557,0.197174,0.213003,0.126429,-0.197702,0.02696,0.376095,-0.171811,-0.025629,0.278434,0.022666,-0.113076,0.318396,0.475445,0.263284,-0.393742,0.101441,-0.110767,0.066227,0.097748,-0.108767,0.1717,-0.619708,-0.290414,0.509098,-0.038955,-0.221565,-0.423007,-0.515019,-0.050607,-0.12537,-0.029539,0.034066,0.032982,0.210135,0.209473,-0.13436,-0.054298,-0.148464,0.073166,0.343095,-0.202735,-0.024994,0.114022,0.251329,-0.113528,-0.308848,-0.346067,0.201492,0.233277,-0.419823,0.245233,-0.110944,0.250935,0.322917,0.090164,-0.102011,0.748942,0.129134,0.235126,-0.083846,-0.229408,-0.084233,0.160961,0.304527,-0.031793,-0.286672,0.041236,-0.091156,0.301771,-0.155389,-0.411304,0.003272,-0.096331,-0.327623,0.082887,0.276118,-0.104486,0.08915,-0.251184,-0.139705,0.139431,-0.27389,0.324533,-0.163783,-0.11845,-0.227966,-0.032569,-0.038808,-0.221093,-0.147954,-0.23687,-0.325329,0.083604,-0.093418,-0.592134,-0.183381,-0.422333,-0.257588,0.300177,-0.223646,-0.01829,0.125603,0.387782,-0.126173,-0.137001,-0.182516,-0.154836,0.931526,-0.207668,-0.143646,-0.14148,0.081051,-0.028665
nombre,0.034253,-0.202982,-0.508808,0.184925,-0.36703,0.773858,0.462482,0.075843,-0.306421,0.094723,-0.370127,0.035894,-0.242283,0.461362,0.032089,-0.19668,0.089388,0.185445,0.440771,0.065736,0.162381,-0.035701,-0.094055,1.010332,0.554405,0.216487,0.101039,-0.467176,0.759382,0.512321,0.341355,-0.156319,0.277951,-0.126849,-0.293451,-0.187069,-0.182906,0.410398,0.185485,-0.38578,0.280711,-0.007646,-0.384095,0.578885,0.548549,-0.284878,-0.220992,0.226721,0.068411,0.275751,-0.685609,-0.002911,0.565952,0.415191,0.084383,0.28765,-0.094336,0.225308,-0.082856,-0.909158,-0.431094,0.300101,0.307378,0.337898,0.043183,0.014944,0.016925,0.242729,0.467348,-0.527112,-0.593961,0.365301,0.359013,0.066261,0.010027,-0.095303,-0.259644,0.070381,-0.2421,0.173393,-0.213213,-0.142366,-0.207033,0.470802,0.440567,0.357222,-0.395169,0.268435,0.147501,-0.477519,-0.465809,0.108842,0.28682,0.459008,-0.218949,-0.26336,0.436626,-0.364526,-0.128178,0.22364,0.06732,-0.273259,-0.806033,-0.270306,0.429397,0.01156,0.335167,0.358766,0.089166,-0.444101,0.86165,-0.53421,-0.186742,-0.551741,-0.267761,-0.151572,-0.227809,0.115483,-0.322524,-0.169681,-0.025458,0.418186,-0.505243,0.115884,0.337334,-0.069555,0.028798,0.061171,-0.359964,0.254109,-0.358257,-0.522517,-0.357846,-0.32986,0.805566,-0.346408,-0.004188,0.09626,-0.33432,0.64848,-0.203393,0.189349,-0.027787,0.714325,0.349573,0.339249,-0.212433,0.54242,-0.30036,0.197112,0.154222,0.303532,0.173436,0.049531,-0.45744,-0.241316,-0.106379,0.385144,-0.044059,-0.485621,0.161129,0.17887,0.03379,0.597236,-0.112847,0.296015,0.27111,-0.31962,-0.436831,-0.184854,-0.720063,-0.192461,-0.064488,0.005334,-0.007074,0.148693,-0.077404,-0.116455,-0.444953,-0.526695,-0.343351,-0.413777,-0.291172,-0.666351,-0.11252,-0.241616,-0.018181,-0.223876,-0.143561,0.462835,-0.277381,-0.253822,-0.156697,-0.485364,1.430736,0.137101,0.77512,-0.469601,-0.066511,0.298797
$\mathbb{N}$,0.110918,0.00391,0.175698,-0.039882,-0.202738,0.503792,0.464893,-0.072967,-0.242587,0.100803,0.062167,0.0037,0.175437,0.384475,0.339505,-0.0304,-0.096448,-0.074514,0.206974,-0.279084,0.217443,0.323916,-0.030603,0.231469,0.068563,0.315304,-0.305963,-0.288959,0.655731,0.111305,0.021477,0.331477,0.284821,0.051848,0.022293,-0.150403,-0.252176,0.409745,0.058331,-0.322794,0.115757,0.223441,-0.650853,0.209449,-0.131658,-0.259746,-0.222848,-0.091778,-0.039813,0.188156,-0.069773,-0.124692,-0.061738,-0.11221,-0.181777,0.00376,0.15596,0.076603,-0.332383,-0.699992,-0.372814,0.041472,0.071627,0.09885,-0.091789,-0.046447,-0.117742,0.098494,-0.162614,0.046705,-0.392334,0.152582,0.086201,0.273006,0.321548,0.154332,0.307467,0.071402,0.158171,-0.168329,0.091989,-0.316924,-0.026458,0.293006,0.035258,-0.047427,-0.153994,-0.070573,-0.287687,-0.333149,-0.553886,0.258413,0.210396,0.05067,0.029102,0.056021,-0.011266,-0.068977,0.001065,0.211281,-0.014481,-0.159033,-0.038805,0.241408,0.041073,-0.276979,-0.074005,0.373283,0.059242,-0.017475,0.272586,0.297176,0.035295,-0.344075,-0.139066,0.420732,-0.147838,-0.052333,-0.217918,0.117383,0.046728,0.56135,0.207443,0.190179,0.092894,-0.002671,0.251525,0.081438,0.181359,0.15039,-0.167267,-0.317392,0.127795,-0.29753,-0.115437,-0.276121,-0.619306,-0.020758,-0.184653,-0.003335,0.183188,-0.069811,-0.02228,0.410722,0.181213,0.54777,0.478157,-0.037201,0.01632,-0.025277,-0.008846,0.090466,-0.184783,0.273096,-0.204441,-0.082499,-0.013359,0.087766,0.159668,-0.518059,0.210437,0.022573,-0.221828,-0.164076,-0.157281,-0.369494,0.287105,0.12768,-0.319289,-0.195666,-0.018459,0.21392,-0.020513,-0.293562,-0.131498,-0.30266,-0.181122,-0.134245,-0.370952,0.037275,-0.09343,-0.501599,0.094299,-0.602485,-0.532544,0.408262,-0.344431,-0.116148,-0.262263,0.014464,-0.265151,-0.431051,-0.1074,-0.136941,0.803039,0.04616,0.486789,-0.121121,0.107168,0.126016
deux,0.077594,-0.22425,-0.229481,0.240083,-0.282162,0.753421,0.34809,0.355608,-0.174904,0.012887,-0.105198,-0.055049,0.095614,0.65546,0.054322,0.268152,0.162846,0.604172,0.231188,0.052548,-0.2601,-0.057188,0.014993,0.374448,-0.105628,0.269458,0.288839,0.049683,0.248211,0.108146,-0.002431,0.298049,-0.038042,0.065883,0.13143,-0.13743,0.230725,0.351614,-0.3059,-0.263168,-0.11384,0.114443,-0.39484,0.401191,-0.126493,-0.248806,-0.121166,-0.052021,-0.112685,-0.007529,-0.023982,-0.069477,-0.043751,-0.284101,-0.167398,-0.139813,0.441048,0.24098,0.110583,-0.545732,0.157798,0.759775,-0.064791,-0.232863,-0.317704,0.137675,0.045965,0.007937,-0.154072,0.146663,-0.470764,-0.089029,0.078603,0.006922,0.165353,-0.138082,0.225543,0.227992,0.237584,0.026991,0.033381,-0.25617,0.307073,0.100832,-0.337474,0.028938,-0.250241,0.074871,0.151449,-0.081946,0.044707,0.067267,0.335695,-0.485126,-0.036447,0.145161,-0.028793,-0.008382,0.197374,0.494317,0.461074,-0.238105,-0.470814,0.340429,0.124683,0.305491,0.039756,0.25268,-0.413259,-0.587629,0.788055,-0.202982,-0.002936,-0.337771,-0.28055,0.156051,0.299593,0.2523,-0.051165,0.087645,0.228928,0.014531,0.119826,0.306946,-0.273598,-0.120474,0.243106,-0.321952,0.094418,-0.092051,-0.049883,-0.287212,0.079941,-0.306309,0.539277,0.301259,-0.408853,-0.019769,-0.150756,0.496729,0.195943,0.2546,-0.152433,0.522311,0.395862,0.226277,-0.161208,-0.197504,-0.341201,-0.017974,0.016056,0.02114,0.153291,-0.156916,-0.289177,0.004471,0.137303,-0.225277,0.188744,0.289984,-0.350055,0.177888,0.172335,0.167856,-0.051812,-0.114693,-0.150523,-0.151391,-0.277175,-0.183781,-0.089084,-0.29172,0.007068,0.089238,0.500475,0.198798,-0.342701,-0.13139,-0.413279,-0.218715,-0.211647,-0.422888,-0.00966,-0.165334,-0.529587,0.329408,-0.039737,-0.005857,-0.027358,0.435743,-0.364695,-0.333602,0.199393,-0.251617,0.96095,-0.100493,-0.354762,-0.265246,0.212785,-0.181518
fonction,0.275055,0.416531,0.497065,-0.194027,0.187534,0.273528,0.612443,0.419699,0.614076,-0.31799,-0.355412,0.376136,-0.227948,0.478523,-0.179355,0.142257,-0.11158,-0.426667,-0.254566,0.349486,-0.119481,0.104284,-0.114329,0.623075,0.526262,0.378591,-0.38284,-0.032383,0.736068,0.347879,0.144848,-0.64851,0.212016,0.135548,0.377629,-0.532565,-0.469441,-0.363068,0.143489,-0.45921,-0.083274,-0.391394,-0.766567,0.169682,-0.182087,-0.172553,-0.628109,0.339304,-0.812783,0.43157,-0.478185,0.364953,0.421429,-0.162225,-0.053531,0.50202,0.113422,0.15962,-0.588798,-0.379515,-0.161285,-0.100501,-0.326399,-0.30267,-0.111422,0.478078,0.320814,0.090936,0.450176,-0.359717,-0.569978,-0.257756,-0.159008,0.089635,0.057662,-0.311394,0.488693,0.280108,-0.132996,-0.721105,-0.490706,-0.273858,-0.018644,0.197455,0.057454,0.410819,-0.212696,0.23492,-0.399553,-0.201288,-0.596409,0.351326,0.161357,0.783337,-0.272136,0.361701,-0.516676,0.363915,-0.235572,-0.242525,-0.064154,-0.047825,-0.478755,-0.135698,0.106528,0.131724,0.33895,-0.059747,-0.095692,0.087321,-0.01657,0.057161,-0.205434,-0.375104,-1.01577,-0.054108,-0.271339,-0.123116,0.305487,-0.3914,-0.29723,0.882453,-0.315254,0.207351,0.287741,-0.39854,0.292776,-0.109481,0.433814,0.0134,0.010109,-0.266108,0.007562,-0.484605,0.479309,0.222925,-0.867787,0.571011,0.180368,0.36676,-0.383788,0.095554,-1.003482,0.682756,0.140536,-0.222608,0.107294,-0.100516,-0.297249,0.217811,0.576413,0.894542,-0.544112,-0.418404,0.163805,-0.111803,0.087912,0.094571,-0.121003,-0.138116,0.105841,0.42361,0.176481,0.248896,-0.43741,0.641789,-0.653056,-0.221283,-0.350644,0.389344,-0.405086,-0.260426,0.418715,-0.339558,-0.235988,-0.443517,0.001232,-0.679803,-0.421472,-0.046337,-0.289149,-0.46168,-0.061893,-0.196657,-0.219295,0.238271,0.086328,-0.014065,-0.171916,0.897347,0.57387,0.277729,0.822016,-0.107056,1.077013,-0.247252,0.399583,0.117634,0.117757,0.230776
premier,0.014789,-0.149243,0.217547,-0.073466,-0.164601,0.498997,0.082214,-0.081499,0.063166,0.15731,-0.17839,0.119244,0.234519,0.274761,-0.046351,0.467574,0.141942,0.603242,0.485489,0.104581,-0.395934,0.137927,-0.081125,0.335765,0.022153,-0.005269,0.219573,-0.061035,0.385933,-0.186146,0.045752,-0.194305,0.283054,0.065343,0.113447,0.19384,-0.103827,0.317639,0.226841,-0.661677,-0.222885,0.125764,0.097762,0.186963,-0.383068,-0.209277,-0.027121,-0.510305,0.127378,-0.035613,-0.126833,0.025647,-0.426199,-0.330111,0.23511,0.132571,0.049973,0.490882,-0.096899,-0.40485,-0.15927,0.505394,-0.00615,-0.145139,-0.2694,-0.15404,0.236157,0.151076,-0.048511,-0.082279,-0.227087,-0.052348,0.141936,0.394046,0.26197,-0.390881,-0.057704,-0.026437,0.325405,0.344123,0.038155,-0.168874,0.06985,0.151037,-0.205262,-0.114786,-0.379982,0.017928,-0.110954,-0.132251,-0.196927,0.431393,0.34935,-0.252658,-0.254527,0.037778,-0.025312,0.040248,0.210252,0.30925,-0.173446,-0.145035,-0.11822,-0.059701,0.300563,0.167208,-0.005267,0.360773,-0.314707,-0.242416,0.084454,-0.027003,0.326086,-0.438417,0.11162,-0.05391,0.355482,0.165739,-0.02131,-0.13525,0.028926,-0.4597,0.036013,0.241948,0.028773,0.147193,0.13905,-0.184277,0.082144,0.014686,-0.114504,-0.204624,0.022216,-0.443876,0.602681,7.6e-05,-0.139537,0.02665,0.010586,0.282554,0.129874,0.070198,0.057587,0.375412,0.100591,0.450572,-0.076122,-0.464135,0.09268,-0.003012,-0.10481,0.094443,0.088925,-0.197967,-0.008073,0.470406,-0.326499,-0.255764,0.11121,0.078527,-0.09984,-0.187514,0.345639,-0.115914,-0.135916,-0.241819,-0.040265,0.360273,-0.052307,-0.072902,-0.016613,0.307739,0.211958,0.115045,0.33432,0.206464,-0.090512,-0.412148,-0.359114,0.013042,-0.308781,-0.292971,0.017047,-0.321398,-0.194801,-0.074073,-0.188587,0.083559,-0.110189,0.525914,0.033681,-0.331846,0.133428,-0.209279,1.325993,-0.215619,-0.034135,-0.161964,0.17667,0.065139
ensemble,0.228182,0.267258,0.051366,0.741357,0.427372,0.405358,0.545802,0.215606,0.110955,-0.073695,-0.086564,0.093488,-0.195719,0.004502,0.192151,0.066588,-0.169045,-0.22729,0.000996,-0.133124,-0.17637,0.25252,-0.169469,0.509692,0.296713,0.444619,0.171983,0.02765,0.381564,0.483043,0.555528,-0.329834,-0.267858,-0.169392,0.320754,-0.379429,0.27855,0.443958,-0.207848,-0.205826,0.196032,0.236988,0.120754,0.351597,-0.164209,-0.227894,0.097404,-0.226536,-0.079483,0.31737,0.151285,-0.137417,0.174148,0.095855,-0.2258,-0.031333,0.251296,-0.046639,0.000353,0.022067,0.260223,0.076871,-0.135804,0.213253,0.269402,-0.193588,-0.250891,-0.237489,-0.141549,-0.202394,-0.335807,0.391212,0.477621,-0.419228,0.125984,-0.179284,0.416325,0.025336,0.148879,-0.20102,-0.501573,-0.433932,-0.648195,-0.034406,0.030058,-0.02416,-0.764065,0.066032,0.082799,0.178799,-0.117901,0.538161,0.48238,-0.155793,0.072756,0.10923,0.035572,-0.103241,0.020958,0.140107,-0.209483,0.121602,-0.49841,0.272367,0.280141,0.232676,-0.041195,0.161384,-0.659325,-0.058817,0.860999,-0.207947,-0.44081,-0.360972,-0.389686,0.468888,-0.408396,0.138923,0.144372,-0.170508,0.133193,0.275028,-0.418473,0.497742,-0.113305,0.116534,0.036805,-0.092623,0.289564,-0.394829,0.000392,-0.185709,-0.272816,-0.198198,0.207542,-0.137989,-0.39361,0.038069,0.074028,0.579332,-0.156621,0.160831,-0.432499,0.427453,0.365758,-0.002822,0.378595,-0.278512,-0.237148,0.20775,-0.296231,-0.145152,-0.19254,-0.277379,-0.268698,-0.050268,0.19693,0.408924,0.30733,-0.064539,0.205347,0.110461,0.326515,0.364023,-0.089766,-0.18077,-0.008877,-0.091733,-0.157825,0.271314,0.05646,-0.281242,0.140037,-0.274846,0.023311,0.147513,-0.307843,0.069507,-0.103395,-0.191213,-0.274763,0.163528,-0.189205,-0.183475,-0.439845,0.601088,0.031439,-0.153762,-0.282221,0.058075,-0.186671,-0.172227,0.168386,-0.290701,0.682771,-0.183673,0.319998,-0.594134,0.092457,-0.288652
point,-0.032783,-0.567324,0.012112,0.351427,-0.017622,0.268196,-0.257294,-0.129877,-0.46005,0.022666,-0.120656,-0.557401,0.212657,0.857216,0.322861,0.464125,-0.479067,-0.023186,0.373246,-0.301056,0.190923,-0.25369,0.258756,0.328727,0.117334,0.355594,-0.480792,-0.152331,-0.077866,0.416526,0.017585,0.135043,-0.07159,0.030729,0.127916,-0.500124,0.243574,0.449307,0.144985,0.304072,0.11411,0.733513,-0.202169,-0.198141,-0.083025,0.044338,-0.346157,-0.422223,-0.560746,-0.041134,0.18846,-0.094421,0.340605,-0.209147,-0.040297,0.125924,0.437661,0.433729,-0.315105,-0.835143,-0.270355,0.647239,0.186399,0.297295,0.162217,0.217239,-0.123023,-0.508439,0.731487,-0.284605,-0.916734,-0.100287,0.158783,0.200998,0.630247,0.085484,-0.312571,-0.185771,-0.374161,0.120721,-0.170601,-0.045148,-0.199986,-0.156146,0.380908,0.148052,-0.168181,-0.051738,-0.539668,-0.817312,-0.503913,0.152118,-0.042773,0.43027,0.026006,0.17133,0.007248,0.023948,0.248261,0.210142,0.410391,-0.160087,-0.816957,-0.539516,0.077746,0.448522,-0.073385,0.066297,0.182498,-0.241037,0.490958,-0.116159,0.297983,-0.465885,-0.074829,-0.425528,0.240588,0.573347,-0.455381,-0.179225,0.231119,-0.079008,-0.127412,0.304532,-0.045721,0.175203,0.681228,-0.535942,0.076321,-0.068078,-0.356068,-0.153735,0.130443,-0.209805,0.105898,0.540297,-0.030147,-0.160905,-0.187989,0.563042,0.437663,0.257224,-0.501236,0.17576,0.492555,0.675502,-0.052987,-0.21927,0.164352,-0.238413,0.374873,0.151516,0.116795,-0.130968,-0.50785,-0.344957,0.268737,-0.233227,0.256628,-0.033863,0.052843,0.124009,-0.181557,-0.230335,-0.206218,-0.240051,-0.094818,-0.185777,-0.124372,-0.307846,-0.194867,-0.148842,-0.522367,0.039271,-0.124365,-0.216308,0.168182,-0.409468,0.215664,-0.240757,-0.058586,0.188177,-0.076525,0.113002,-0.597386,0.222522,-0.317603,-0.422057,0.047255,-0.095529,-0.224194,-0.307474,-0.090523,0.260495,1.517652,-0.058302,-0.047522,-0.4099,0.013763,0.079925
théorie,0.095749,0.026829,0.62708,0.203478,0.35275,-0.479562,-0.290471,0.072054,0.707102,0.428709,-0.309262,0.039115,-0.212079,0.323952,0.0074,0.883426,0.282446,0.129931,-0.009364,-0.139014,0.170937,-0.029668,0.152491,0.873631,0.161246,0.993541,-0.029688,-0.660788,-0.131021,0.301042,0.223218,0.243008,0.40676,0.273586,-0.1,-0.408638,-0.530721,-0.121739,-0.87181,-0.114289,-0.052535,0.086121,-0.35559,1.018968,0.026813,-0.300349,0.075011,0.081609,0.097576,0.414016,0.018718,-0.234479,0.909346,0.425461,-0.37974,0.417887,0.134422,-0.418599,-0.398077,-0.040196,-0.752344,0.860928,-0.405667,0.536358,0.085402,0.04001,0.347736,-0.003716,0.258406,0.184695,0.004663,0.330728,0.167441,0.014264,0.425927,0.338017,0.176026,-0.960324,0.534873,-0.854838,-0.319869,0.470756,-0.231294,-0.10797,0.466622,0.339936,-0.849331,-0.172193,0.606973,-0.364948,-0.30944,0.423876,0.036451,0.748538,0.0353,-0.374999,0.409523,-0.072197,-0.571659,-0.985388,-0.460435,-0.57826,-0.227062,0.49553,0.403456,0.302291,0.019838,0.040423,-0.596001,0.501615,-0.038268,-0.133849,0.414858,-0.977343,-0.358982,0.048287,-0.184409,-0.15026,-0.194697,-0.47945,0.13165,0.594024,-0.684052,-0.102251,0.350834,-0.068235,0.261937,-0.14182,-0.285,0.011462,-0.057774,-0.872956,-0.27197,-0.045953,0.110625,0.392702,-0.487248,-0.477485,0.014777,-0.23397,-0.120389,-0.00742,-0.593936,1.067767,-0.449208,0.810143,1.249745,-0.222051,-0.006414,0.222385,-0.119801,0.53031,-0.762904,-0.514554,0.309677,-0.596863,-0.013428,0.076547,-0.628982,-0.156426,0.043054,0.53084,0.271057,0.056823,-0.01277,-0.25889,0.577638,-0.410925,0.190975,-0.671028,0.497217,0.115451,0.765889,-0.217607,-0.156218,-0.13542,-0.634104,-0.178983,-0.180088,-0.30468,0.322375,0.61649,-0.388268,-0.656136,-0.16968,0.125749,-0.571916,-0.755923,0.45356,-0.091661,0.005021,-0.485528,0.487905,0.010544,-0.24579,0.201529,-0.28039,-0.425818,0.292511,-0.147339
exemple,-0.021866,-0.031819,-0.043426,0.52473,0.032984,0.257538,0.654551,-0.02217,0.063149,0.028589,-0.324887,0.277193,-0.3235,0.337225,0.184911,0.060972,-0.217852,-0.282902,-0.011714,-0.163214,-0.001094,0.036348,0.084146,0.57802,0.02742,0.438354,0.244492,-0.181043,0.258377,0.17254,0.231078,0.212796,0.365816,0.454965,0.041289,-0.265947,0.088623,0.177316,0.060097,-0.084819,0.062514,0.049507,-0.350339,0.525079,0.355609,-0.315504,-0.3322,0.03053,0.045656,0.448928,-0.361053,-0.250224,0.361551,-0.016181,-0.048352,0.089587,0.105249,-0.191936,-0.412917,-0.564156,-0.05445,0.105481,0.421426,-0.234745,-0.109202,-0.022165,-0.075625,-0.115557,0.225089,-0.089293,-0.469551,0.337542,-0.12542,-0.056055,0.218569,0.22646,0.122887,-0.171291,-0.191414,-0.526103,0.037602,0.02416,0.232636,0.534254,0.30611,-0.01287,-0.439142,0.061847,-0.090241,-0.106982,-0.65408,0.396864,0.086017,0.171929,-0.293811,0.394624,-0.037609,-0.29557,0.030052,0.309928,-0.198637,-0.187549,0.019713,-0.103443,0.245426,-0.072004,-0.343175,0.174583,-0.213448,-0.006876,0.589838,0.163072,-0.679108,-0.571984,-0.640941,0.24785,0.125668,0.187182,-0.237593,0.166941,-0.104237,0.401496,-0.196641,0.239877,0.123049,0.047127,0.009252,-0.043505,0.203399,0.155467,0.024013,-0.039232,-0.258165,-0.327256,0.331618,0.149326,-0.370043,0.197186,-0.233257,-0.01755,0.082137,0.146066,-0.156521,0.665507,-0.048236,0.325313,0.516715,0.097913,-0.088781,0.403892,0.194866,-0.058388,-0.47793,0.03486,-0.033711,-0.2476,0.219143,0.095511,0.229889,-0.070876,-0.099319,-0.100817,0.078365,0.308319,-0.207001,-0.228361,0.106201,-0.209203,-0.243373,0.393569,-0.301279,0.175381,0.417086,0.117804,-0.264289,-0.082887,0.024057,-0.127056,-0.548995,0.3717,0.044419,0.096137,-0.14814,-0.64864,-0.080114,0.251355,-0.323696,-0.212023,-0.264839,-0.044149,0.17719,-0.119649,-0.231094,-0.1234,0.356066,-0.098623,0.195431,-0.272355,0.077915,0.075311
