word,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200
un,-0.129941,-0.169562,0.628761,-0.231897,0.022015,-0.609503,-0.245144,0.878128,0.105034,0.414671,-0.075313,-0.451038,0.170436,-0.3247,-0.14463,1.056756,0.077974,0.704992,-0.239064,0.954507,0.61481,-0.17825,-0.238879,0.214875,0.253319,0.232071,-0.378924,0.511683,-0.394249,0.818284,-0.462892,-0.387415,0.869402,0.469411,-0.175736,0.173019,0.069566,0.126669,0.637046,-0.305852,-0.342849,-0.576296,-0.279931,-1.516707,-0.377622,-0.111841,-0.438791,0.716483,-0.351537,-0.427448,-0.113324,0.187145,-0.270342,-0.252955,0.311878,1.842753,0.143809,0.283182,-0.812825,0.507645,-0.655637,0.096846,0.574531,-0.271829,0.423675,-0.231972,0.147193,-0.208324,-1.046269,0.789441,0.723668,-0.055155,0.818696,0.368353,-0.561464,-1.850119,-0.560476,-0.481189,0.684951,-0.069696,0.146968,0.446164,-0.456407,-0.90948,-0.481999,0.88415,-0.350964,-0.383379,-0.100945,-0.316572,-0.001771,-0.332082,-0.557833,0.069402,-0.673692,-0.347912,0.104557,-0.271389,0.214083,0.181784,-0.317819,-0.077131,-0.054765,-0.314382,0.431572,-0.058217,0.392742,-0.093048,-0.005655,-0.468497,0.385578,-0.275439,0.665047,-0.384622,-0.111115,0.623677,-0.113548,-0.341153,0.66065,0.100838,-0.163249,0.291147,-0.321772,1.236207,0.09367,0.218478,-0.081145,-0.546406,-0.503036,-0.192127,-0.092201,-0.514417,0.710068,-0.240729,-1.511237,-0.157449,-0.363849,0.449081,0.025539,0.129622,0.438004,-0.836141,-1.009977,-0.042029,-0.300884,-0.21799,0.385642,0.04462,0.282426,0.565543,-0.585026,-0.149176,0.327352,0.066749,1.166987,0.47019,0.527571,1.117252,0.321509,0.337123,-0.814803,-0.219976,0.175343,0.432284,0.411778,0.549392,0.235608,-0.736131,-1.442119,0.085187,0.1597,-0.071962,-0.009165,0.111543,0.38841,-0.432076,0.810244,0.398644,0.077837,0.598638,0.034003,-0.457089,-0.21503,0.694598,0.103833,-0.372787,0.230281,0.147312,-0.11559,-0.367833,-0.479988,0.067181,-0.460347,-0.418313,-0.135576,-0.608156,0.158561,0.269003,-0.413427,-0.059275
nombre,-0.267812,-0.122478,0.667312,0.40915,-0.374019,-0.16677,-1.064102,0.206842,-0.077829,0.361667,-0.551527,-0.590701,-0.509057,0.819381,-0.334205,0.614932,-0.397313,0.742048,-0.066908,0.753665,0.012447,0.758977,0.439478,1.06133,0.772245,0.189137,0.242594,-0.080577,-0.61107,0.892649,-0.662434,0.324322,0.835178,0.221039,1.25608,0.152632,0.103988,0.245797,0.819552,0.416751,-0.399784,-0.626947,-0.078782,-1.441278,-0.053634,0.363581,-0.400154,0.016952,-0.393346,0.376612,-0.521952,0.25818,-0.118545,0.908195,-0.479021,1.046244,0.354126,0.013332,-0.184732,-0.466187,-0.068806,0.238129,0.232525,0.147284,-0.047535,-1.320482,-0.665671,0.382587,-0.804156,0.294326,0.626495,-0.367412,-0.243189,0.306321,-0.397973,-1.946979,-0.211292,-0.34231,-0.166269,-0.109599,0.250473,0.218937,-0.607442,-0.916296,-0.220648,0.296795,0.064512,-0.53386,-0.013913,0.052407,-0.442807,-1.257269,0.271121,-0.001695,-0.236204,0.435615,-0.691166,-0.786788,-0.253372,0.433174,-0.005891,-0.152548,0.583205,-0.280378,-0.15489,-0.327054,-0.507787,0.802844,0.766209,-0.049166,-0.013881,0.167077,-0.806543,-0.128816,-0.32205,0.049894,0.396938,-0.39317,0.841667,0.369117,0.046315,0.216423,0.507954,1.082489,0.586848,0.159166,-0.350449,-0.681808,0.020347,-0.694286,-0.093242,-0.057475,0.287948,0.615622,-1.170876,0.144827,-0.518719,0.872793,-0.183304,-0.067447,-0.717327,-0.358898,-1.374434,-0.626926,-0.80188,0.136804,-0.34006,0.674078,0.53868,-0.345481,0.132074,-0.034722,-1.084229,0.230487,0.444837,0.036858,-0.134376,0.473226,1.164119,0.793686,-0.365977,0.169375,0.719282,0.439147,-0.947671,0.580319,-0.332945,-0.445178,-0.101323,-0.560266,0.306683,0.023691,0.600498,0.13957,0.353088,0.144943,0.572957,0.059164,0.530071,-0.603476,-0.800411,-0.326815,-0.271817,0.437684,0.196639,-1.15127,0.134672,-0.218251,-0.288287,-0.512473,-0.093517,0.285227,-0.274157,0.537352,-0.780352,-0.837654,-0.934982,0.502616,-1.019761,0.182583
$\mathbb{N}$,0.374679,-0.408218,0.258019,0.338182,-0.039872,-0.64096,0.455242,-0.135747,-0.036773,0.483593,-0.188032,-0.493334,-0.027865,-0.694996,-1.545585,0.570874,-0.574005,1.630788,-0.655342,0.610676,-0.233094,0.740299,0.200486,0.502105,0.263905,-0.844569,0.508993,0.735995,-0.238753,0.621626,0.384003,0.138127,0.227597,0.148677,0.263208,0.282692,0.069546,-0.068853,0.459732,0.010048,-0.731166,-0.753384,0.285795,-1.819055,-0.370662,-0.104983,-0.747347,-0.236169,0.70809,0.25858,0.467857,-0.055255,0.04204,-0.006472,0.000867,1.222662,0.516705,0.00296,0.84523,0.535748,-0.631557,-0.367246,0.356258,-0.971702,0.399358,-0.354293,-0.416485,0.25674,0.059786,0.548432,0.340524,-0.735146,0.918259,0.479807,-0.192875,-1.026203,-0.278899,-0.367731,0.150135,0.028526,0.173592,0.108401,0.300798,-0.609392,-0.893844,0.139322,-0.1986,-0.449798,0.063467,0.024293,-0.345876,-1.057444,-0.57765,-0.327248,-0.946411,0.027219,0.22109,-0.461647,-0.847605,-0.13376,-0.144907,-0.27803,-0.115543,0.072187,0.96532,-0.206516,-0.348925,0.265636,0.341025,-0.704464,-0.390127,-0.39495,-0.603283,-0.009786,0.264658,0.419168,0.303938,0.341221,0.764692,0.544745,0.070021,0.804223,-0.020364,0.683096,0.098781,-0.29697,0.390862,-0.490227,-0.442344,0.039257,-0.033401,-0.539557,0.829262,0.085973,-0.200943,0.452232,-0.175542,0.090825,0.208269,-0.540886,-0.730989,-0.466836,-0.903625,-0.468639,-0.732127,-0.067276,-0.042457,0.644748,0.082924,0.287418,-0.2387,0.11437,-0.098348,0.118271,0.373161,0.018544,0.326633,0.07789,0.390334,0.244485,-0.649309,-0.236638,0.04683,0.01352,0.058592,0.103403,-0.641294,-0.901734,-0.458557,0.215175,-0.341748,0.086558,0.943878,0.190935,0.489771,-0.01309,0.437922,0.206238,0.319796,-0.001469,-0.523677,-0.700463,-0.288965,0.195399,0.496453,-0.069478,0.188124,-0.083888,0.315108,-0.166388,-0.362915,0.28774,-0.328631,0.280398,-0.502289,-0.370306,0.58752,0.281311,-0.359685,0.635536
deux,-0.140241,-0.129771,-0.30031,0.549148,0.111919,-0.070705,0.501076,0.599942,0.272022,0.209364,-0.058033,-0.63081,0.039284,-0.218123,-0.265097,0.377691,0.318823,0.143291,-0.316399,0.136994,0.132708,0.742445,0.639703,0.639461,0.059335,-0.359132,0.532373,0.85203,-0.342223,0.690243,-0.021237,0.040657,0.228391,0.207632,-0.053537,0.076853,-0.741342,-0.706337,0.187687,-0.227159,0.175359,0.015686,-0.011761,-1.245863,-0.239427,-0.570919,0.005391,0.358281,0.027803,0.329414,0.778557,0.111446,-0.164798,-0.156758,0.004546,1.000036,-0.403754,0.231113,-0.138124,-0.258056,-0.1671,0.605618,0.497832,-0.442019,0.304004,-0.7914,0.079566,-0.313696,-0.499259,-0.111675,-0.099704,-0.284152,-0.09228,0.535654,0.023196,-2.238505,-0.718565,0.284235,0.382088,0.409905,-0.156174,0.171914,-0.218238,-0.799756,0.411325,0.387998,-0.14514,-0.430078,-0.567628,-0.881824,-0.020641,-1.089112,-0.446582,-0.255178,-0.323468,0.256055,0.144288,0.087659,0.054678,0.056251,0.360168,0.118556,0.193847,-0.120669,0.587688,0.02253,0.150394,0.10557,0.293075,-0.598323,-0.538767,0.085983,0.443931,-0.367019,0.102836,0.17235,0.225265,-0.359452,0.819259,-0.492384,0.18706,-0.014881,-0.289867,0.833088,0.065336,0.08167,0.177204,-0.847935,-0.25143,0.128228,0.911967,-0.730155,0.546992,-0.498524,-0.461715,0.187356,-0.009383,0.663967,-0.049139,-0.505014,-0.608813,-0.303604,-1.147105,0.36784,-0.743519,-0.445863,0.379888,0.296271,0.238206,0.247342,-0.054807,-0.673467,-0.241955,0.524382,1.289163,-0.13384,0.093198,0.032538,0.888998,-0.099577,-0.852877,-0.542304,0.290721,0.143386,-0.079426,0.374823,0.204308,-0.328255,-0.499901,0.025795,-0.08875,-0.600455,0.984337,-0.413452,-0.217801,-0.335251,0.541079,0.181774,0.406954,0.162704,-0.901088,-0.493698,-0.509845,0.462204,-0.154337,-0.360279,0.059915,-0.126112,0.284731,-0.063745,-0.333776,-0.278,-0.566216,0.038028,0.375653,-0.85197,-0.26243,0.498386,-0.558414,-0.603868
fonction,0.548556,0.109676,-0.15425,0.559615,-0.291104,-0.069237,0.553396,0.075962,0.537246,0.005431,-0.857524,-1.00556,-0.612171,-0.009996,-0.510575,0.006046,-0.565899,0.255913,-0.090044,0.28723,-0.74659,1.797682,0.312365,0.136707,0.439226,0.274829,0.327037,0.578892,-0.58196,0.406991,0.033313,0.108792,0.844494,0.197893,0.36457,0.448257,0.463356,-0.344535,0.640413,-1.001442,-0.653546,-0.659707,-0.08751,-0.951659,-0.43675,-0.185699,0.28934,-0.241582,-1.508539,-0.243507,-0.009518,-0.06264,-0.04052,-0.179911,0.175197,0.859256,-0.038696,0.709513,-0.174738,-0.149163,0.084481,0.327857,0.543483,-0.824964,-0.383055,-0.895577,-0.916679,-0.867443,-0.493366,0.860656,0.459065,-0.011971,1.071174,-0.548658,-0.655189,-1.468369,0.015395,0.099358,-0.04839,0.130934,-0.480628,-0.246544,0.895562,-0.045768,-0.620553,0.220207,0.479023,-0.526852,-0.322013,-0.001107,0.317719,-0.85349,-0.136283,-0.120455,-0.405916,-0.458746,-0.168194,0.263335,0.124094,-0.219673,-0.140391,0.095139,0.199831,-0.098692,0.299609,-0.031675,0.777712,0.26583,0.172271,-0.263652,0.00829,0.143135,0.099595,-0.501278,0.783591,0.598497,0.531639,-0.155798,0.995124,0.446811,0.329059,0.418862,-0.374635,1.168424,-0.069985,-0.293554,-0.322962,-0.145157,-0.000953,-0.058562,0.008159,0.159165,0.785224,0.035246,-1.541139,0.374244,0.047325,0.139516,-0.415698,0.038267,-0.093345,-0.478601,-0.637091,-0.852683,-0.338253,-0.169128,0.808144,0.412013,-0.204989,0.710188,-0.10962,0.241778,-0.42279,0.798724,-0.594542,0.087523,-0.080645,0.373899,1.028604,-0.307994,-0.549937,0.531446,-0.311777,0.16331,0.260876,0.389743,0.189057,-0.932439,-0.291066,0.145829,0.10342,-0.094262,0.730274,-0.691358,0.077619,0.564422,0.256129,-0.536041,0.365778,-0.504697,-0.138582,-0.631207,0.03379,1.134594,-0.096781,-0.627531,0.700696,0.591004,-0.270842,-0.91422,-0.840231,-0.823668,-0.535501,-0.399438,-1.264855,-0.240924,0.220889,-0.608531,-0.940203,0.131297
premier,-0.842563,-0.161609,0.827569,0.170969,-0.155145,-0.071562,-0.46713,0.635261,0.198356,0.76352,-0.454913,-0.687382,-0.081289,-0.273474,-0.074902,0.58871,-0.649781,1.132212,-0.373449,-0.045354,-0.33049,0.275503,-0.032611,0.663509,0.410677,-0.794405,0.474287,0.383495,-0.238524,0.72997,-0.097909,0.358256,0.025378,0.603207,0.467636,-0.159588,-0.129331,0.160743,0.977903,-0.303761,-0.190084,-0.364213,-0.698781,-1.023799,0.077357,0.050629,0.085514,-0.353931,-0.15829,0.392175,-0.100318,0.00766,-0.132996,0.297399,0.285848,1.040199,0.380961,-0.505988,-0.82402,-0.704695,0.339638,0.490276,-0.006524,-0.05756,-0.050985,-0.511137,0.250829,-0.358742,-0.692058,0.266251,0.555415,-0.205495,0.370449,0.663364,-0.365241,-1.712705,-0.807139,-0.731014,-0.024456,0.26615,-0.140982,0.728099,0.248472,-0.693476,0.002782,0.803614,0.114434,0.171672,-0.276642,0.311332,-0.411519,-0.531601,0.510604,-0.222935,-0.076631,0.010605,-0.114913,-0.476381,-0.265269,-0.036229,0.247026,0.052665,0.488821,-0.162232,0.793739,-0.067872,-0.468522,0.726654,0.745257,-0.876489,-0.895108,0.018754,-0.05984,-0.046802,0.286808,0.138453,0.336613,-0.272785,0.104648,-0.425631,0.062246,0.237787,0.648439,0.878315,0.445006,0.529317,-0.233385,-0.296831,0.389776,0.031993,0.186527,0.400756,-0.1024,0.407212,-1.061539,0.034499,-0.047462,0.642686,-0.3881,-0.287297,-0.453072,-0.353158,-1.808531,-0.033245,-0.698005,0.124727,-0.313539,0.479259,0.853245,-0.184323,0.381666,-0.101823,-0.734751,0.034803,0.313674,0.483062,-0.193802,1.174276,0.439268,-0.08115,-0.512362,-0.525725,0.343669,0.362357,-0.28947,0.574883,-0.468601,-0.411179,-0.9417,-0.158515,-0.282488,0.338925,0.466053,-0.466286,0.43416,-0.738285,0.397569,0.034082,0.259096,0.209664,-0.676442,-0.117986,0.412857,0.014679,0.014147,-1.290962,0.33702,-0.038353,-0.702415,-0.621569,-0.435065,0.196025,-0.111188,0.371049,-0.512161,-0.662939,0.047082,0.472855,-0.977561,-0.317547
ensemble,0.715035,-0.404906,0.340525,0.251926,-0.263799,-0.329342,0.061044,0.09622,0.537575,-0.121597,0.13809,-0.528839,-0.183187,-0.7557,-0.688813,0.039021,-0.625154,0.214025,-0.473681,-0.112879,0.3636,0.701805,0.678699,0.173728,0.176302,-0.441741,0.508811,0.37846,-0.423597,0.505809,-0.764899,0.515498,0.233597,0.771171,0.329535,0.404906,-0.173747,-0.521817,0.76936,-0.717286,0.144088,-0.588102,-0.452301,-1.971594,-0.073369,0.174419,0.162392,-0.302093,-0.198847,0.145909,0.035863,-0.23467,-0.257005,0.534902,-0.089693,0.432204,0.126415,-0.010418,-0.138834,0.287428,-0.278229,0.292509,0.444313,-1.013531,0.373432,0.057137,-0.312503,0.303574,-0.521632,-0.177373,-0.173396,-0.683538,0.833543,0.262999,0.207747,-1.272797,-0.783756,-0.363174,-0.154639,0.440949,0.254036,0.001092,-0.10576,-0.126871,-0.56107,0.448288,0.44072,-0.587759,-0.610221,-0.093619,0.127251,-0.642673,-0.67987,-0.491734,0.474939,-0.166509,0.444993,-0.72858,0.214663,0.459582,0.029324,-0.218107,-0.351547,-0.45695,-0.356679,-0.750089,0.480998,0.52337,0.351438,-0.511517,-0.078229,0.02772,0.363494,-0.537418,0.100489,0.206218,0.211606,-0.345251,1.519104,0.756772,0.175231,0.444967,-0.783832,0.896471,0.422056,0.300856,0.116144,-1.045747,-0.901025,-0.557417,0.462966,-0.975691,0.086637,-0.407271,-1.516037,0.650077,-0.159226,-0.08335,-0.226935,0.097291,-0.064416,-0.231961,-0.84728,-0.38695,-0.219004,-0.965198,0.414795,-0.423525,0.082135,0.668655,0.206452,0.309535,-0.398867,0.095237,0.562121,-0.265393,0.245737,0.683292,0.836448,-0.019734,-0.19387,-0.075925,-0.01333,0.803453,-0.462982,-0.178521,-0.661538,-0.783496,-0.081061,-0.462651,0.722148,-0.297863,0.595802,-0.241299,-0.067213,-0.992824,0.322514,0.424245,0.606189,-0.549459,-0.237874,-0.618913,-0.146301,-0.483598,-0.198792,-0.169154,-0.181085,0.08744,0.638443,-0.5793,-0.233359,-0.132702,-0.893852,-0.243882,-0.169064,0.08694,-0.116429,-0.516557,0.638549,0.050883
point,0.249419,0.608529,-0.281972,0.190386,0.160732,-0.2215,0.563815,0.473328,0.422205,0.618701,-0.037518,-0.304957,0.185598,-0.180318,-0.854095,0.419213,-0.576449,-0.282376,-0.405543,0.266728,0.34379,1.120329,-0.012842,0.055394,-0.396811,0.380537,0.428074,0.27087,0.120881,0.725791,-0.567683,0.910092,-0.494677,0.281878,0.011978,0.440487,0.120301,-0.134154,0.021587,-0.010704,0.617981,-1.106987,-0.058618,-1.875905,0.291855,0.066681,0.118298,0.296399,0.168885,0.317191,0.73332,-0.022021,-0.433452,-0.126546,0.498662,0.751278,0.154517,0.346521,-0.223355,-0.045424,-0.564267,0.175882,0.403763,-0.992411,0.617855,0.201366,-0.076163,0.222265,-0.645644,0.298004,1.117693,-0.597678,0.355559,0.673288,-0.308256,-1.292007,-0.557864,-0.036002,-0.024305,0.651335,-0.309258,-0.478797,0.046632,0.076194,0.317233,0.198762,-0.183798,-0.302945,0.036307,-0.869717,-0.697601,-1.148663,-0.373938,0.060538,0.171954,-0.04741,0.009376,0.020419,-0.15755,0.157882,-0.446148,0.711988,-0.631944,0.333085,1.085919,0.249853,1.238775,0.417917,0.352124,-0.276858,0.556335,0.594292,0.559728,-0.30569,0.796572,0.457885,0.311734,-0.305781,0.690889,-0.279546,-0.559641,0.258797,-0.274227,1.109664,0.392201,0.227057,0.099446,-0.092855,-0.111348,-0.541432,0.04291,-0.554464,0.249026,0.083301,-0.077334,0.108682,-0.291572,-0.221002,0.169655,-0.763225,0.260782,-0.060283,-0.565737,-0.197574,-0.341751,0.188232,0.097804,0.138275,0.522739,0.347488,-0.464729,-0.272868,-0.205031,0.256049,0.470588,0.238303,0.782897,0.402607,0.387865,0.000317,-0.45309,-0.143727,-0.144512,-0.366474,-0.531649,0.5072,0.73643,0.005157,-0.536111,-0.195212,0.515384,-0.602172,1.257221,-0.755079,-0.41559,-0.417528,0.758973,-0.099642,0.898072,0.00533,-0.45407,-0.561002,-0.198391,0.172905,-0.366587,0.017268,0.429756,-0.211857,-0.05717,-0.190136,-0.445617,-0.22816,-0.47956,0.347909,-1.188292,-0.631381,0.371538,0.428129,0.332315,-0.071133
théorie,0.168889,-0.018985,0.383021,0.104464,-0.49921,0.402238,-0.431379,0.774918,0.229443,0.490889,-0.356665,-0.801143,-0.375729,-0.173041,-1.094316,-0.438823,0.054295,0.302073,-0.750064,-0.667775,0.301743,0.970634,-0.03618,-0.086404,0.673534,-0.483524,0.981144,0.801574,-0.42141,0.331431,-0.294735,0.271165,0.864152,0.851612,-0.111964,0.254522,0.047271,-0.396601,0.117468,-0.048601,-0.081806,0.247133,0.528549,-1.005955,0.784371,-0.558998,-0.006655,-0.180748,-0.032894,-0.179547,-0.458228,-0.414993,0.447398,0.862882,0.850691,1.068268,0.700899,-0.186125,-0.364705,-0.024336,-0.335468,-0.426623,-0.039254,-0.200671,-0.387458,-0.756288,0.10299,0.304293,-0.170182,0.100126,0.386343,-0.693761,0.805121,0.309306,-0.090938,-0.721486,-0.842257,-1.194775,-0.202926,-0.011944,0.121268,-0.25058,-0.695932,-0.198492,-0.864798,0.065317,0.377998,-0.445616,0.267348,-0.17504,0.626078,-0.389343,0.031413,-0.450719,-0.115832,-0.101767,-0.379377,-0.087621,0.298708,-0.12158,-0.047292,-0.293319,0.188271,0.03399,-0.533058,-0.388231,0.474261,0.429347,0.664697,1.084746,-0.091141,-0.364574,0.323637,-0.231863,0.362241,0.133408,0.394985,-0.655092,0.413307,0.05807,-0.637475,0.450248,-0.252307,0.767637,-0.06474,0.425163,-0.632693,-0.394254,0.067585,0.094559,-0.222216,-0.126387,0.109401,-0.138837,-1.539092,-0.088624,-0.315422,0.474152,0.407612,0.027383,-0.672069,-0.395075,-0.585613,-0.352571,-0.317051,-0.411799,-0.050881,-0.621676,0.162679,0.886131,-0.132503,0.163673,0.052671,0.275317,1.022721,-0.266479,0.714295,1.332534,0.276238,-0.165584,-0.012748,0.147234,-0.386226,0.280125,-0.577372,0.823444,0.216417,-0.987104,-0.554175,-0.083895,0.797892,-0.122103,0.281358,0.284082,0.393367,0.326089,0.756629,-0.287578,0.287442,0.550644,-0.283707,-0.664086,0.063354,-0.163207,-0.216986,-0.899843,-0.036014,0.170168,0.140746,-0.122911,-0.08789,-0.033,-0.539542,-0.704527,0.252059,0.030625,0.788675,-0.979521,-0.546848,0.682177
exemple,-0.435218,-0.116885,0.269219,0.081408,0.459036,-0.544911,-0.119229,-0.033741,0.131807,0.617567,-0.416703,-0.462449,-0.70743,-0.311673,-0.497457,0.214318,-0.13996,0.822511,-0.634873,0.064672,0.341094,0.651519,-0.025724,0.099968,0.31297,-0.516911,0.093473,0.358214,-0.507077,0.611311,0.341191,0.162647,0.401744,0.687222,0.468982,-0.083615,0.376078,-0.370429,0.355046,-0.114873,-0.399861,-0.267372,-0.047922,-1.39124,-0.176033,-0.031403,0.240377,-0.379662,-0.085558,0.131922,0.147468,0.062473,0.015124,0.224114,0.293859,0.708182,0.055828,0.325096,-0.455003,0.230829,-0.669073,0.314923,0.653508,-0.445241,-0.012875,-0.250236,-0.384558,-0.326471,-0.229853,0.230731,0.379522,-0.325814,0.426925,0.568023,-0.507381,-1.499736,0.229321,0.004744,0.003223,0.348429,0.613647,0.090376,-0.424729,-0.475767,-1.090556,0.675054,-0.093712,-0.570494,-0.378503,-0.026028,0.226852,-1.006635,-0.797956,0.278273,0.324585,-0.263233,-0.310579,-0.235567,-0.43017,0.325435,-0.250007,0.112989,-0.512496,0.607428,0.172458,-0.064712,0.488416,-0.139243,0.04608,-0.126538,-0.29301,0.326995,0.197073,-0.213958,-0.106997,0.574372,0.073522,-0.066962,0.353955,0.084865,0.031421,-0.218823,-0.366904,0.492376,-0.286604,0.268337,0.136812,-0.170343,-0.163653,-0.064851,0.046518,-0.412839,0.297244,-0.056848,-0.899155,0.093234,-0.548445,0.13255,-0.225287,-0.951117,0.424429,-0.044679,-0.943194,0.158265,-0.35425,-0.169779,0.143848,-0.008822,-0.249942,0.613356,0.115181,-0.29706,-0.205443,-0.46998,0.691625,0.535453,0.149338,0.225285,0.03624,0.360625,-0.357074,0.480628,0.042068,0.255902,-0.02372,-0.139696,0.152835,-0.734862,0.031709,0.345012,0.232195,0.01266,0.579668,-0.372375,0.526395,0.010083,0.120595,-0.124399,0.236437,-0.015202,-0.482191,-0.514475,-0.454757,0.297729,0.350308,-0.57477,0.167987,-0.033162,-0.140576,-0.439678,-0.69505,0.220558,-0.395248,-0.048473,-0.305011,-1.055622,0.199126,-0.018691,-0.680109,-0.364995
