word,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200
un,-0.309178,-0.064039,0.093622,0.023919,-0.133601,-0.166808,0.59815,0.144998,-0.188395,-0.083481,0.067336,-0.080084,0.061848,0.295574,-0.181886,0.035399,-0.232679,0.237195,0.128637,0.077635,-0.063552,-0.322716,-0.40634,-0.270365,0.19916,0.045976,0.039086,-0.40998,0.197107,0.297256,0.377564,0.45963,0.121137,-0.046725,-0.078655,-0.487595,0.022662,0.147195,0.32877,-0.304982,0.011287,0.0252,0.212573,0.059818,-0.217784,0.642201,0.214979,0.207819,0.246362,0.142762,-0.359415,-0.227701,-0.02448,-0.162929,0.067186,0.081389,-0.2969,-0.138972,0.136689,0.389115,-0.547771,-0.16593,0.129817,0.320187,0.141676,0.279879,0.029573,-0.109374,-0.0557,-0.152007,-0.285275,0.171864,-0.822143,-0.163065,-0.024151,0.124919,0.251881,-0.306033,0.164298,0.125222,0.02309,0.147526,0.245738,0.123647,-0.430648,-0.535422,-0.324664,0.394003,-0.211501,0.04967,-0.139843,0.000536,0.286514,-0.232498,-0.099876,0.0884,-0.149596,-0.03998,0.064083,0.137028,0.209124,0.008278,0.223286,0.006793,-0.198104,0.235676,0.386384,-0.113805,0.239411,0.144469,-0.38057,0.16147,0.040984,0.144872,0.303561,0.489186,-0.235504,-0.059303,-0.149365,0.004802,0.281218,0.053405,0.147929,0.565285,-0.18426,0.018766,-0.092711,3.9e-05,0.25651,0.123443,-0.252133,-0.114393,0.203957,0.015537,-0.018091,-0.543025,0.394707,0.12205,-0.248253,-0.743901,-0.046198,0.042693,0.072765,-0.128338,-0.236367,0.091691,-0.223282,0.094697,-0.062186,0.090242,0.190083,-0.070028,-0.025732,0.231042,0.061686,-0.190858,-0.153908,0.497453,0.301594,-0.045457,-0.039953,0.164285,0.098775,0.234293,-0.216489,0.019641,0.011644,0.348402,-0.084058,-0.007706,0.109675,0.155103,-0.556032,-0.234266,-0.315931,0.064375,0.266931,-0.164225,0.036614,-0.15045,0.082777,-0.319537,0.226425,-1.567869,0.035086,-0.188994,-0.043223,0.073124,0.066143,-0.247671,-0.240772,-0.06124,-0.079717,-0.206298,-0.103708,-0.356535,-0.233609,0.149518,-0.068081,0.192024
nombre,0.254311,0.029026,-0.014247,-0.810379,-0.3482,-0.304859,0.093762,-0.025939,-0.229307,0.090595,0.441911,-0.230709,-0.248757,-0.018362,-0.766484,-0.096417,-0.53243,0.047481,0.064056,0.256555,0.207507,-0.366292,-0.530064,-0.436179,0.139267,0.057863,-0.215941,-0.1545,-0.442615,-0.172632,-0.437654,0.048676,-0.103919,-0.282953,0.209483,-0.207801,-0.525722,0.328105,0.360048,-0.074933,-0.294223,-0.016595,0.076303,-0.271542,0.057117,0.579226,-0.034605,0.080743,0.249142,-0.088223,-0.27012,-0.282464,-0.141337,-0.413057,-0.142071,-0.192217,-0.206421,0.354379,0.214633,0.698515,-0.465102,-0.240729,-0.003907,-0.244616,-0.156505,0.727563,-0.215903,0.020218,0.088332,0.228441,0.034592,0.05971,0.196231,0.421578,-0.52002,0.163841,-0.074084,-0.091474,-0.57546,-0.333358,-0.172651,-0.002307,0.56336,0.401038,0.094935,-0.816992,-0.052567,-0.022268,-0.190926,0.437607,-0.290987,-0.061804,0.304763,-0.292564,0.107171,0.068617,0.193297,-0.225776,0.063546,0.350046,0.491327,0.427543,0.223057,0.389546,-0.261476,-0.186532,-0.345563,0.421636,0.345307,-0.400294,-0.032653,0.22463,0.239771,-0.379859,-0.209114,0.842879,-0.023952,-0.104843,0.169395,0.00683,-0.295752,0.530475,0.317229,0.055593,-0.259415,-0.095592,0.064317,-0.247043,0.4328,-0.038688,-0.230313,-0.089897,-0.330177,0.899413,-0.151132,-0.811963,0.649292,0.142982,-0.326402,-0.884485,-0.098742,-0.45009,-0.528082,-0.387887,-0.023224,-0.327202,-0.06655,0.002472,-0.649629,0.167137,0.012738,-0.055712,0.389638,0.337229,-0.160072,0.198125,0.083032,-0.432599,-0.028099,0.278206,0.031011,0.090656,0.137469,0.426176,-0.273237,0.290362,0.123534,0.018463,0.082483,-0.437803,-0.135314,-0.416699,-0.470295,-0.517906,0.177998,-0.245455,0.053788,0.058033,0.422823,-0.193068,-0.001902,-0.484786,-0.08345,-1.257473,0.317402,0.189591,0.523423,0.049537,0.049093,0.195084,0.285422,-0.488349,0.317279,-0.376805,0.057324,-0.356685,0.101267,0.480448,0.091437,-0.128813
$\mathbb{N}$,-0.016139,0.099043,-0.131265,-0.201437,-0.212084,-0.170165,0.046885,0.129852,-0.201768,0.034765,0.145903,-0.155236,0.060623,0.24853,-0.406622,0.212002,0.255798,-0.148845,0.302219,0.096665,0.307706,-0.116348,-0.567139,-0.498397,-0.099864,-0.238212,0.039193,-0.528264,-0.235458,0.048643,-0.097992,0.110324,0.032357,0.339326,0.116931,-0.308779,-0.182377,0.577557,-0.022879,-0.472337,-0.328649,0.167317,0.319811,-0.41744,0.1283,0.226442,-0.127101,-0.067415,0.108264,0.181702,-0.009038,-0.098361,-0.444596,-0.149534,0.016944,0.017593,-0.321502,0.142638,-0.216184,0.379305,-0.319934,0.128035,-0.270443,-0.293721,0.149363,-0.062311,0.03057,0.067105,0.225894,0.097238,-0.057385,0.104787,-0.151856,0.164697,-0.255141,0.41221,0.100638,-0.04338,-0.266855,0.04484,-0.022055,-0.151315,0.379114,0.160424,-0.265567,-0.263914,0.012502,0.161107,-0.275142,0.104224,-0.009402,-0.03878,0.341475,-0.282161,0.218944,-0.202387,-0.370756,0.056517,0.195749,-0.189113,-0.238954,-0.133664,0.010795,0.002744,-0.244942,-0.069193,-0.184224,-0.416009,0.373456,0.142676,-0.2133,-0.099522,0.289018,0.210437,-0.174217,0.14128,0.180593,0.011119,0.066212,0.312371,0.189939,-0.046443,-0.199697,0.229837,-0.08293,-0.109806,-0.287631,0.158672,0.130867,-0.392724,-0.06103,0.156799,-0.063593,0.112081,-0.018069,-0.937814,0.432886,-0.056067,-0.307379,-0.568481,0.17518,0.030324,0.173977,-0.279879,-0.280977,0.070955,-0.300784,0.058439,-0.199201,0.192063,0.088641,-0.242687,-0.106721,-0.020038,-0.15631,0.003416,-0.206286,-0.055403,-0.099781,0.177553,0.385142,0.328013,-0.020576,-0.094924,0.08719,0.059699,0.073383,-0.138413,0.445553,0.033513,-0.020904,-0.418426,-0.530507,-0.468709,0.354474,0.312599,-0.031836,-0.438978,0.423099,0.223086,0.074533,-0.03148,-0.036122,-1.081867,0.081016,-0.132122,0.218628,0.064337,0.088908,-0.01299,-0.019267,-0.033032,-0.242219,-0.117379,-0.057368,-0.191812,-0.370419,-0.056089,0.054082,-0.022356
deux,0.011952,-0.402596,-0.036071,0.081738,-0.275264,-0.281791,0.216062,-0.124447,-0.007691,-0.482004,-0.253762,-0.117114,0.106386,-0.092315,-0.243664,-0.081183,-0.163583,0.070366,0.116393,0.2649,-0.105467,-0.073874,-0.367933,-0.22106,0.143778,-0.260278,0.084304,-0.344906,-0.130538,0.15003,-0.094694,0.36949,-0.224155,-0.045163,-0.004679,-0.508542,-0.300011,-0.184788,0.087551,0.289355,-0.249924,-0.236409,-0.158489,0.314957,-0.42856,0.517063,0.127057,0.536323,0.301879,0.127277,-0.007997,-0.482861,-0.006172,0.135207,-0.132874,0.105665,-0.303306,-0.241101,-0.020544,0.710887,-0.220254,-0.134809,-0.115241,0.334112,0.110327,0.460732,-0.152638,-0.302749,-0.191403,-0.20545,-0.077148,0.209812,-0.472278,-0.190994,-0.165612,0.218178,0.039391,-0.128788,0.10162,0.028443,-0.096743,0.080854,0.515975,-0.029421,-0.253565,-0.072881,0.418584,0.398174,-0.01144,-0.079371,-0.052421,0.226672,0.220903,-0.226016,0.307405,0.006203,-0.150169,0.022727,0.077203,0.028287,-0.082465,0.344513,0.111356,0.268347,-0.324988,0.114036,0.137613,-0.326364,0.063908,0.158987,0.204372,-0.126831,0.259414,0.123055,0.128617,0.793493,-0.246202,-0.163447,-0.037572,0.306382,-0.17349,-0.065279,0.179423,0.19412,-0.454891,-0.186401,-0.12625,-0.055949,0.346438,0.199579,-0.116844,0.270507,-0.050343,0.290954,-0.403983,-0.572313,0.053637,-0.003963,-0.279971,-0.666778,0.254337,0.117663,-0.088845,-0.54641,-0.068188,-0.409668,-0.180302,-0.071491,-0.432217,-0.239439,0.015938,-0.156138,-0.153437,0.201566,-0.227367,0.01097,-0.42278,0.496186,0.031643,0.164785,-0.265044,0.021994,0.219202,0.134064,-0.062981,0.195862,0.15902,0.106812,0.264242,0.02844,0.105577,-0.087665,-0.44711,-0.1962,0.131098,0.185246,-0.043324,0.059613,-0.115316,0.052618,0.307051,-0.178987,0.084252,-1.460762,0.269849,0.002647,-0.020158,0.01648,0.104247,-0.255873,-0.069674,-0.278335,-0.030526,-0.020606,0.192644,-0.524135,0.010505,0.106518,0.263135,0.221058
fonction,0.427508,0.350554,0.042976,0.31795,-0.689459,-0.485679,0.106603,0.13108,0.418631,0.125651,0.153947,-0.317321,-0.020685,0.645761,-0.249293,0.233081,0.160046,0.341219,-0.037626,-0.021871,-0.33358,0.0812,-0.501604,-0.889663,0.449194,0.663209,0.029521,0.01839,-0.321986,-0.150687,0.522241,-0.488324,-0.003643,-0.019657,-0.324038,0.369557,-0.181389,-0.437701,0.059239,-0.984669,-0.592506,-0.386864,0.77474,-0.043005,-0.049946,0.175425,-0.696284,0.102228,0.213585,0.189422,-0.446344,0.386333,0.309364,-0.12619,-0.445727,-0.155729,-0.330155,-0.405106,0.475327,0.613845,-0.631281,0.193045,-0.203375,0.322719,-0.146745,0.536882,-0.500299,-0.29299,-0.050698,0.345573,-0.010806,-0.008272,0.293902,-0.085072,0.098177,0.200259,0.161689,0.583572,-0.157646,0.212275,-0.069541,0.131151,0.109343,-0.16903,0.28789,-0.13095,-0.282782,-0.226736,-0.367216,-0.059227,-0.214513,0.228269,0.48402,-0.223456,0.251591,0.034037,-0.110034,-0.047094,-0.328682,0.083868,-0.073399,0.085531,0.627973,0.222618,-0.005113,-0.277695,-0.150562,0.250984,-0.351264,-0.464274,-0.465336,-0.307723,-0.026659,0.153182,0.423226,0.134822,-0.360538,-0.199772,0.526958,-0.190207,0.389504,0.300197,-0.145903,-0.353664,-0.358102,-0.185594,-0.20277,0.07273,0.274425,0.044168,0.152217,0.013302,0.368719,0.281347,-0.692017,-1.332945,0.495029,-0.04171,-0.097991,-0.561364,0.104956,-0.326018,-0.813321,-0.020542,-0.177558,0.031954,-0.361617,-0.148245,-0.35451,0.458744,-0.307716,0.365422,-0.086956,0.115621,-0.442105,0.208738,-6.1e-05,-0.233315,-0.06269,-0.179188,-0.172314,-0.001949,-0.133156,0.04166,0.171815,-0.648906,-0.438773,0.103531,0.48366,0.069993,0.135443,-0.372076,-0.480903,-0.341095,0.075862,-0.017316,0.054187,-0.761488,0.048954,0.022783,0.658718,-0.824038,0.221702,-1.064855,0.06038,0.162168,0.082866,0.132058,0.053035,0.524103,-0.07067,0.046094,0.137611,0.037039,-0.007931,-0.143791,-0.132381,-0.078044,-0.209893,0.790078
premier,-0.171729,0.155134,0.205319,0.289509,-0.260587,-0.422572,0.121351,0.168626,0.265724,-0.134668,-0.12736,-0.302355,0.20638,0.244605,0.177026,-0.254351,-0.089965,0.132377,0.2176,0.221177,-0.261727,-0.045044,-0.010294,-0.226764,0.055043,-0.493578,-0.244697,-0.119781,-0.067117,-0.099102,0.046076,0.29831,-0.028263,-0.000528,0.227429,-0.597984,-0.021488,0.08475,-0.25929,0.359896,-0.052785,-0.376462,-0.108651,-0.03189,0.01168,0.197985,0.059738,0.270869,-0.177879,-0.023598,-0.150115,-0.209956,0.157217,0.537531,-0.061552,0.075822,-0.364836,0.237417,-0.059302,0.265535,-0.2034,-0.079744,-0.065322,0.081392,-0.323524,0.050663,-0.222401,-0.089397,0.115827,0.170453,0.016044,0.373025,-0.107527,0.001333,-0.064121,0.303329,-0.031568,0.127149,0.008934,0.132365,0.036966,0.274967,0.513574,-0.305564,-0.25225,0.034551,-0.208118,0.604257,0.010845,0.291951,-0.151552,0.089964,0.222578,-0.059251,0.107654,-0.018369,0.218351,0.343455,-0.028051,-0.0151,0.029756,0.262239,0.572647,0.376644,-0.500368,0.381019,0.22465,-0.108038,-0.05579,0.22578,0.152905,0.106352,-0.181414,-0.06623,0.05789,0.118328,-0.193811,0.157248,-0.236759,0.282311,-0.222543,-0.040518,0.036588,0.524633,0.255759,-0.312965,0.085849,-0.069932,0.259724,-0.198588,-0.005441,0.325071,-0.209193,0.004159,-0.046563,-0.818547,0.068189,0.1644,-0.406739,-0.720961,0.052408,0.048798,-0.109077,-0.454442,-0.222911,0.061848,-0.48138,0.25493,-0.562099,-0.013314,-0.240914,-0.287734,-0.144801,0.463903,-0.093747,-0.222573,-0.523821,0.566242,0.369343,-0.24388,0.077299,0.036223,-0.321357,0.467008,-0.075405,0.148067,-0.050628,0.061593,0.02975,0.118683,0.094827,-0.171699,-0.134995,0.243123,-0.333605,-0.171651,-0.129541,-0.169761,-0.113814,0.107289,0.199276,-0.187726,0.165064,-1.244423,0.380515,0.224511,0.17979,0.231552,0.22478,-0.240859,0.181736,-0.183033,0.096169,0.115489,0.13344,-0.26202,-0.243904,-0.121652,0.016574,0.088498
ensemble,0.041348,-0.080816,0.018376,-0.128506,0.22944,0.023941,-0.1655,-0.08652,-0.011063,-0.061554,0.192831,-0.295369,-0.202627,-0.267292,-0.185831,0.2544,0.002158,0.205457,-0.154509,0.327145,0.098049,0.116633,-0.1309,-0.044154,0.314928,0.015674,-0.150327,-0.668686,-0.177356,0.10582,0.066792,0.092749,-0.076086,0.035949,0.100226,-0.257265,-0.488216,-0.084118,0.200003,-0.073055,-0.00041,0.029415,0.001074,0.462808,-0.32707,0.241328,0.199206,0.116849,0.357839,0.441208,-0.064355,-0.266306,0.215582,-0.138377,0.150112,0.145311,-0.146591,-0.428439,0.150128,0.761968,-0.236639,0.020891,0.087227,0.029452,-0.051576,0.443263,0.056586,-0.330812,0.186613,0.098233,0.163589,0.05093,-0.244387,-0.361132,-0.061549,0.221943,0.210653,-0.184709,0.171262,-0.03912,-0.190622,0.125468,0.060702,0.245128,-0.193102,0.273111,-0.141005,-0.147171,-0.125479,-0.115188,-0.04483,0.150605,-0.015293,-0.38636,0.121795,0.153165,0.222218,-0.130635,0.16315,-0.039864,-0.361333,0.056215,0.054351,-0.314295,-0.121034,-0.07528,0.269694,0.177938,0.109178,-0.242459,-0.191979,0.020209,0.067005,0.04875,-0.028417,0.027401,-0.297322,-0.084941,0.280853,-0.105309,0.246944,0.506475,-0.172311,-0.374098,-0.01998,0.115646,-0.066117,-0.108494,0.315668,0.176244,-0.134825,-0.047539,-0.063308,0.366399,-0.224189,-0.890171,-0.084197,0.02477,-0.077472,-0.48515,0.322147,-0.516667,0.006099,-0.526287,-0.495012,-0.37934,-0.337036,0.209004,-0.174826,-0.099971,0.280898,-0.216701,-0.068736,0.299221,-0.14731,0.07483,-0.360993,-0.026259,-0.273307,-0.22969,0.18651,-0.219873,0.019124,-0.13302,-0.112521,0.281775,0.311596,-0.238568,-0.378754,-0.414988,0.0113,-0.109872,-0.122763,-0.04887,0.338523,-0.0492,0.182588,0.089731,0.065598,-0.238154,-0.026212,-0.350725,-0.076701,-1.435976,-0.070513,-0.215874,-0.484054,-0.301268,-0.130468,0.009162,-0.015307,0.081263,0.332443,-0.545863,-0.330594,-0.415623,0.295025,-0.038131,-0.095562,0.497515
point,0.317324,-0.028276,0.078706,-0.448633,0.084533,-0.385967,-0.130327,-0.181013,0.078615,-0.028181,0.270992,0.020798,0.102259,0.187564,-0.830925,-0.149759,0.001464,-0.150708,-0.002434,0.037104,0.395715,-0.050648,-0.108233,-0.209482,-0.25582,0.272201,0.322738,0.005161,-0.688179,-0.245281,-0.914337,0.192442,0.16702,-0.264425,-0.247353,-0.596792,-0.216838,0.133253,-0.250387,0.182829,0.343489,-0.094792,0.162482,-0.263933,-0.399134,0.148444,-0.596822,0.401542,0.477408,0.064383,-0.01328,-0.142562,0.000491,-0.185688,0.06627,-0.037902,-0.047486,0.045305,0.390436,0.910206,-0.410209,-0.554759,-0.404164,-0.097553,0.443099,-0.150561,0.048773,-0.106492,0.24852,-0.140467,-0.239393,0.444462,-0.140685,0.009245,-0.101834,0.617125,0.025786,0.027408,-0.23682,-0.178942,0.205506,-0.107853,0.614135,-0.364313,-0.05128,0.13409,0.1553,0.363318,-0.55443,0.513798,-0.137171,-0.256791,0.677304,-0.023062,-0.002338,0.262406,0.00663,-0.123472,0.41423,-0.131996,-0.149468,0.199608,0.089938,0.109266,-0.267125,0.08196,-0.105098,0.047949,-0.131463,0.250694,0.543427,0.044323,0.192968,-0.388544,0.148978,0.229336,-0.485254,-0.671097,-0.112852,0.02321,1.039134,0.035893,0.099616,0.474138,-0.124898,-0.151861,-0.578765,0.081844,0.194296,-0.143559,-0.21912,0.497767,0.052236,0.140734,-0.436122,-0.019712,0.467446,0.098285,-0.420231,-0.915451,0.376124,-0.207993,-0.063114,-0.401868,0.155323,0.125438,0.260053,0.139702,-0.149878,0.138268,0.126754,-0.309494,-0.297045,-0.167112,0.512589,0.091893,0.438515,-0.315968,-0.092866,0.496168,-0.520299,0.504058,-0.287855,0.195804,0.231869,0.507323,0.27543,-0.081987,-0.336393,0.314295,0.656895,-0.799069,-0.285325,-0.133891,0.285589,-0.356413,-0.541658,0.304864,0.420174,-0.066155,0.14123,0.048175,-0.281439,-0.889949,-0.238896,-0.154731,0.725418,0.36733,0.34009,-0.366108,-0.037507,-0.419615,-0.184703,0.031944,-0.334035,-0.364466,-0.429841,0.374441,-0.314175,-0.343466
théorie,0.113879,0.475988,-0.165666,-0.232941,0.227291,-0.034744,0.026002,0.047836,0.432153,0.105622,0.607929,0.088473,0.13357,-0.02445,-0.617763,0.525775,0.696797,-0.392463,-0.198934,-0.089909,0.575044,-0.676361,-0.392418,0.133265,0.092554,-0.019563,-0.341585,-0.155531,-0.016332,-0.206809,-0.165447,0.531462,0.222377,-0.503137,0.075517,-0.138176,-0.296907,0.346338,0.130722,-1.200708,0.185259,-0.352716,-0.41361,-0.107877,-0.43189,-0.501494,0.147606,-0.618909,-0.244247,0.059663,0.038285,-0.872137,0.235351,-0.098771,-0.09077,0.055851,0.071145,-0.033158,0.488876,0.116551,-0.615013,0.854544,-0.422993,0.318009,-0.221791,-0.152814,0.153126,-0.134398,0.136747,0.736824,-0.168689,-0.449625,0.46347,0.118027,-0.097752,-0.113323,-0.684308,0.417206,-0.818737,-0.176448,0.080056,-0.242385,-0.607175,-0.1902,0.042062,-0.494488,0.4907,0.739892,-0.416877,-0.087329,-0.480771,-0.452347,-0.196652,0.230356,-0.288435,0.121451,0.265074,-0.207725,0.251269,-0.450235,-0.488801,0.157313,0.355263,0.050365,-0.293436,-1.073792,-0.254896,0.2167,0.050978,-0.190368,-0.181875,-0.250213,0.416732,-0.01489,0.452929,-0.566793,0.163053,0.153328,-0.135792,0.035124,0.203178,0.66547,-0.642664,0.070358,-0.283469,0.105094,0.160901,0.408545,0.060249,0.948475,-0.029142,-0.40708,0.259208,-0.031898,-0.06695,-1.556681,0.648532,0.124387,-0.778339,-0.75398,0.36299,-0.715392,0.55385,-0.696803,0.348856,0.493656,-0.976065,0.772148,-0.519279,0.096514,-0.11892,-0.217454,-0.24326,-0.349112,-0.5174,0.555065,-0.140139,-0.012175,-0.209535,0.445996,-0.139303,0.148826,0.197874,-0.65403,0.592499,0.253306,-0.273571,0.303026,0.238065,0.321426,-0.278252,0.488655,0.140151,-0.027675,-0.304019,-0.53369,-0.363859,0.193473,-0.342334,0.818031,-0.341886,-0.793745,-0.0587,-0.396719,-0.684109,0.055652,-0.081201,-0.015431,-0.146094,-0.836355,0.182792,0.160316,0.020154,-0.17962,-0.186184,-0.048801,-0.463821,0.4171,0.059089,0.356584
exemple,-0.287155,0.044724,-0.189423,-0.327578,-0.190676,-0.319401,0.257996,-0.013276,-0.416468,0.184517,0.316768,-0.008109,-0.188796,0.143937,-0.217202,0.330857,0.082259,-0.054761,0.171575,-0.010541,0.607777,-0.168428,-0.5188,-0.472619,0.426895,0.214076,0.12965,-0.574069,-0.169941,0.36297,-0.192652,-0.092989,0.186884,0.144449,0.146217,-0.028568,-0.173823,0.536993,0.199774,-0.756606,-0.128599,0.033964,0.494148,-0.125178,0.371375,0.209422,-0.013789,0.160577,-0.173419,0.324872,-0.044319,0.170126,0.171378,-0.344454,-0.433326,0.053893,-0.393981,-0.065507,-0.091408,0.341446,-0.393453,0.040087,-0.09468,0.28888,-0.158538,0.313172,0.15628,-0.157014,-0.085053,0.121881,-0.326753,-0.146659,-0.114584,0.17435,-0.086153,0.253819,0.024311,0.457905,-0.244395,0.046536,-0.000603,0.144701,0.239123,0.531013,-0.161143,-0.096974,0.430088,0.009112,-0.19668,0.022681,-0.112019,-0.102378,0.194477,-0.215642,-0.088021,-0.218079,-0.280873,-0.098676,0.306112,0.229092,-0.166624,-0.094936,0.225044,0.097763,0.070119,-0.141674,-0.141833,-0.002451,0.064124,0.148246,-0.326873,0.225828,-0.126936,-0.199924,0.232977,0.238121,-0.059899,-0.163088,-0.251665,-0.179457,0.222792,0.084053,0.06956,0.036271,-0.758058,0.170813,-0.22493,0.419741,0.227201,0.268539,-0.166339,-0.146767,0.125315,0.401693,0.084595,-1.027018,0.349929,0.056359,-0.177326,-0.899519,0.045589,-0.323185,0.316266,-0.247298,-0.339455,0.208668,-0.035368,0.166807,-0.029793,0.022025,-0.044438,-0.105336,0.091346,-0.011854,-0.050676,0.014124,-0.069934,0.04269,-0.087156,0.003446,0.458479,-0.083655,-0.106923,-0.03911,-0.283351,0.093255,0.182815,0.352005,-0.255773,-0.112495,0.012076,0.166147,-0.303325,-0.216251,-0.075835,0.054807,-0.08313,-0.151526,0.449973,-0.189411,-0.231877,-0.389268,-0.060647,-0.765509,-0.318849,-0.022874,-0.010311,-0.109257,0.270254,0.188577,0.158368,-0.215858,0.058792,-0.275865,-0.14132,0.031147,0.079598,0.196838,0.123064,0.343673
