word,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
un,-0.4151,-2.044944,-0.739008,-0.477704,-0.25455,-0.030052,0.289031,-0.286215,0.502674,-0.237349,1.090946,-0.232854,0.157219,0.710923,-0.657604,-0.031136,-0.570675,-1.125619,0.802605,-0.747724
nombre,-0.814271,-1.516977,-1.083564,-0.695799,0.832879,-0.135923,0.839877,0.844671,0.57944,-0.906364,0.997741,0.264183,1.266733,0.424253,0.398021,0.245012,0.462242,-1.148306,0.427025,-0.870891
$\mathbb{N}$,-0.013208,-1.313829,-0.66727,-0.323293,0.460617,-0.373204,0.41476,-0.319002,0.372394,-0.51117,0.853232,-0.418421,0.430144,1.082971,-0.257838,0.361932,0.057964,-1.553321,0.548455,-0.952379
deux,-0.51014,-1.932121,-0.137795,-0.186316,0.024031,0.561159,-0.238991,-0.346413,0.706676,-0.84739,0.656475,-0.157564,0.622149,0.698264,-0.472458,0.565838,-0.580402,-0.94746,0.816873,-0.790888
fonction,0.102232,-1.607154,-1.098218,-1.064033,0.994042,0.139253,0.272201,-0.385645,-0.051895,-1.377838,1.341593,-1.425883,0.380976,-0.059784,0.545946,-0.59777,0.380043,-0.052129,0.070068,-1.589989
premier,-0.104214,-1.452548,-0.008524,-0.412301,0.202231,0.025604,-0.155672,-0.175615,0.650775,-0.747663,0.041811,0.245219,0.761835,0.307358,-1.477511,0.096263,-0.489075,-1.074072,0.163862,-1.001736
ensemble,-0.658289,-1.581872,-1.16223,-0.902046,0.053183,0.196753,-0.204506,-0.526306,-0.039409,-0.307222,0.457384,-0.686158,0.368979,-0.253818,0.15072,0.358807,-0.777369,-0.817103,0.417059,-1.012862
point,-0.327539,-1.343126,-0.678852,0.150651,0.271721,0.153875,0.343253,-0.128958,1.268797,-0.398136,0.140521,0.205236,1.861519,0.607182,0.57937,0.269975,0.007146,-0.981764,0.340129,-1.21854
théorie,-0.28436,0.305646,-0.948001,-1.335249,0.718402,-0.335039,0.942816,-1.179086,-0.165699,0.713431,2.267668,-0.213492,0.671143,-0.8512,0.823411,-1.515273,-0.228419,-1.074061,-0.478178,-1.769564
exemple,-0.707539,-1.752996,-0.919953,-0.85033,0.540179,-0.697088,0.840271,-0.515792,-0.207883,-0.129202,0.965005,-0.673283,0.022366,0.286142,0.538527,-0.217858,-0.246764,-1.036385,0.373421,-0.420898
espace,-0.897439,-1.650637,-1.385549,-0.562333,-0.100515,0.523898,0.088,-0.720322,0.631629,0.738524,0.542029,-0.222341,-0.348722,-0.524104,1.253896,0.108317,-0.621531,-0.289439,0.948375,-1.349194
théorème,0.494907,0.446073,-0.713278,-1.104793,1.223068,0.843054,-0.473641,-1.223734,-0.058831,-0.976038,1.487359,-0.534044,1.403843,-1.312218,2.638442,-1.426853,-0.205861,-0.653022,-0.587415,-0.597535
problème,0.566905,-1.033303,-1.102145,-0.33832,-0.12147,-0.642167,1.084913,-0.691127,-0.094692,0.16828,1.568501,-0.061809,0.565548,0.43455,0.288151,-0.362906,0.360984,-0.579641,-0.206387,-1.346146
valeur,-0.47091,-1.63125,-1.239063,-0.988302,0.853433,-0.874087,0.895053,0.109402,-0.428193,-0.460735,1.000787,0.002834,0.719581,-0.085141,0.965858,-0.058326,0.31292,-1.275764,0.311508,-0.996561
groupe,0.469948,-1.167115,-0.154848,-0.832698,0.477342,0.135594,0.777698,-0.379309,-0.016633,0.063444,-0.735454,-0.435359,0.791009,0.313337,-0.762013,0.12842,-1.293127,-0.496774,0.961842,-1.019362
graphe,-0.877879,0.402139,-0.65094,-0.899264,0.321169,0.622685,0.274081,0.516659,0.69502,-1.065299,1.440811,-0.620156,1.327419,-0.44234,3.188075,-0.937911,-0.424656,0.171697,0.378093,0.63782
forme,-1.337686,-1.999317,-0.600112,-0.616493,0.102981,-0.258058,0.227567,-0.519435,-0.214749,-0.333062,1.046513,-0.781971,0.056306,-0.038975,0.741461,-0.088508,-0.840832,-1.388384,0.524272,-0.186917
entier,-0.504243,-1.231747,-0.600919,-0.869323,0.574382,-0.522843,0.400382,0.38872,-0.033533,-0.491666,0.68135,-0.2738,0.240456,0.291538,0.806787,0.344131,-0.294552,-1.145511,0.431267,-0.48772
système,-0.107824,-2.407988,-0.969977,-0.827913,0.031413,0.177581,2.128097,-0.626249,0.57893,-0.102653,0.790871,-0.952724,0.072294,-0.6317,0.570012,-0.850528,0.23913,-0.444963,0.001451,-0.929984
équation,0.190827,-0.352702,-0.928127,-0.712719,1.247582,0.872739,0.362937,-1.944339,0.083963,-0.742217,1.748502,-0.702285,1.431608,-0.829486,2.667765,-1.466611,0.493237,-0.889985,-1.058628,-0.598159
