word,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
un,-0.118032,1.816856,-1.360608,-3.46655,0.738983,1.207446,1.748267,-1.463737,0.151782,-0.228756,-0.114575,0.428508,-0.257361,-1.231861,-0.124112,-0.037108,-0.400634,-0.100583,-0.33665,1.281847
nombre,-0.016965,1.632627,-0.026975,-1.721817,0.52376,2.260228,1.710507,-2.355188,0.960028,0.283456,-0.431265,1.127628,0.442201,-1.08015,-1.003686,-2.257569,0.587317,0.699478,0.450455,2.212922
$\mathbb{N}$,-0.724869,0.488331,-0.833496,-3.194732,0.308936,0.805573,1.143887,-1.891798,0.964156,0.331773,0.125056,0.254773,0.72508,-1.755506,-0.484859,-1.520106,-0.880352,0.625896,-0.19942,0.835354
deux,0.440844,1.851258,-1.370439,-3.190336,0.7686,0.911775,1.522106,-0.644959,0.246236,-0.042803,-0.248079,1.020613,0.325949,-1.547932,-0.34133,-0.897788,-0.243788,1.059386,0.018172,0.740917
fonction,-0.293899,1.784501,0.153779,-2.736094,0.593532,0.29852,1.266889,-1.805886,1.521395,1.606672,-0.129735,1.277491,0.440672,-1.552116,-0.31953,-0.330172,-0.757461,-1.759934,-1.094638,0.452531
premier,0.033155,1.483243,-0.615007,-1.83807,0.817995,1.92507,0.851155,-1.956619,0.248205,-0.155542,-0.878722,1.366548,-0.227995,-0.442723,-0.886478,-1.701682,-0.31362,0.41221,-0.16231,1.793708
ensemble,-1.155864,1.02535,-0.600637,-3.103718,1.026081,0.764945,2.617964,-1.43433,0.721187,-0.692592,0.582054,0.319166,0.593936,-1.23227,-0.907441,-0.553063,-1.410493,-0.467516,0.350759,-0.021244
point,-0.14456,2.277427,-1.367121,-2.737918,-0.207204,-0.135476,0.951745,-1.152209,0.480459,0.36957,-0.29751,0.732284,1.005179,-2.749601,-1.180271,0.378151,-0.115397,0.950368,-0.379473,-0.470529
théorie,-0.206015,0.832512,-2.218825,-1.664014,1.238968,1.576927,0.857402,-2.44343,0.932323,-1.001942,0.168807,0.076932,-0.791775,-0.295319,-1.031156,0.429243,-0.182793,-1.72584,-0.274176,0.41753
exemple,-0.156191,1.193632,-0.571739,-2.748246,0.870189,1.186615,0.948106,-1.751304,0.649887,-0.03604,0.060565,-0.144628,0.493108,-1.702631,-0.238263,-0.604443,0.022807,-0.182434,-0.166134,0.848275
espace,-0.79596,2.084844,-1.158753,-3.175448,1.042901,1.264459,0.984001,-1.412372,2.19035,0.155703,1.504227,-0.492485,-0.189902,-1.189274,0.368166,0.65888,-1.378052,-0.444085,0.045338,-1.374694
théorème,-1.5791,1.603142,-1.949982,-1.680037,0.752646,1.306902,-0.128309,-1.514221,1.897743,0.117311,0.339225,0.521153,-0.652049,-1.22613,-1.867786,-0.38164,-0.378194,-1.56123,1.024725,1.083558
problème,-0.336713,0.863336,-1.879577,-1.266602,-0.134538,1.442875,1.317186,-1.921598,1.471026,-1.18312,-1.26163,0.433881,0.375703,-1.556155,-0.346168,-0.104946,0.535195,-0.536746,-0.582839,1.098505
valeur,0.172989,0.968777,-0.134186,-3.42184,0.226966,0.474862,1.073059,-1.499769,0.408614,1.139525,-0.639063,-0.042508,1.424915,-1.544371,-0.30371,-1.02607,0.021916,-0.403438,-0.402117,1.06473
groupe,0.231389,2.182051,-1.117939,-2.38946,1.660751,0.882288,1.263004,-1.197865,1.307965,-1.368523,1.400074,0.653699,0.245364,0.297082,-0.401433,-0.631893,-0.002315,0.243247,0.175938,-0.422332
graphe,-1.178379,1.146603,-1.920343,-1.642484,-0.255952,2.466309,2.003152,-0.628333,1.466008,-1.822823,1.373223,1.207307,1.269744,-0.756784,0.504085,0.254512,0.587707,0.389279,1.937957,1.163446
forme,-0.207634,1.22962,-0.665629,-2.278028,1.014096,1.083904,0.771504,-1.632284,1.311388,0.183201,0.231803,0.872187,-0.051851,-2.023529,0.35197,-0.752348,0.373472,-0.421323,-0.609713,0.015594
entier,-0.333122,1.491777,0.689723,-1.949382,1.047116,0.952111,1.418813,-2.046641,1.283248,0.489318,0.038541,0.870176,0.713364,-1.237248,-1.524262,-2.212876,-0.190389,0.410483,-0.423222,0.903871
