word,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
un,-0.637226,-0.435398,0.442711,-0.229446,-0.901058,-0.117091,1.294173,-0.023489,-0.40874,1.557262,0.062269,1.209459,0.726941,0.444423,1.051588,-0.457499,-1.024509,0.259609,-0.022713,0.304966
nombre,-0.242291,-0.667902,-0.553925,-0.516311,-1.321231,-0.93894,0.809245,-0.259807,0.779449,1.379405,-0.339532,1.374283,0.041049,0.874066,0.767823,-0.51856,-0.685548,0.573523,-0.195321,0.276681
$\mathbb{N}$,0.071792,-0.634173,0.015539,0.301155,-1.055534,-0.36699,1.090052,0.096986,0.005871,1.284695,-0.300548,1.244283,0.621525,0.810118,0.456261,-0.308234,-0.808841,0.086275,0.069906,-0.320191
deux,-0.763628,-0.257766,0.092167,-0.349066,-1.004018,-0.20304,0.726961,0.092528,-0.288551,1.008392,-0.198248,1.463739,1.404747,0.206183,1.003046,-0.087701,-0.660686,0.242968,0.601007,0.078257
fonction,-0.474649,0.092669,-0.471129,-0.259592,-1.021345,-0.435331,0.676717,-0.143478,-1.070499,0.991167,-1.075634,1.808533,-0.444,0.628843,-0.065661,0.296529,-1.149218,0.359007,-0.948977,0.191464
premier,-0.534664,0.085802,0.354083,-0.307847,-1.90875,0.153558,0.729181,0.336835,-0.113007,0.656285,-0.327994,0.674519,1.051827,0.038737,1.152092,-0.145181,-0.166289,-0.038205,-0.034957,-0.334378
ensemble,-0.522941,-0.693055,0.366668,-0.246265,-0.50545,-0.052218,0.609379,-0.494657,-0.708725,1.291661,0.20181,1.197805,0.687161,0.08854,0.6621,0.367426,-0.529561,0.033462,-0.701578,0.30651
point,-0.271151,0.133028,-0.28331,-0.12673,-0.998645,-1.363589,0.888021,-0.353574,1.15443,0.643516,0.007581,1.582774,1.299247,0.675869,0.877251,0.341775,-0.118327,-0.47064,-0.185685,0.279165
théorie,-0.437235,-0.014163,-0.688593,1.259459,-0.110863,-0.055753,0.911486,-1.398525,-0.032682,0.473501,-0.473344,-0.063079,-0.722743,1.125669,0.575718,-0.055065,-2.152882,-1.041196,-2.251085,0.046277
exemple,-0.481898,-0.747159,-0.387316,-0.347463,-0.134578,0.030244,1.494416,-0.520338,-0.384192,1.544274,0.122804,0.999877,-0.127449,0.625495,0.079875,-0.351449,-0.837498,0.19857,-0.689798,-0.118244
espace,-0.027097,-0.365388,0.987441,-0.44505,0.260875,-0.63016,0.66965,-1.38377,-0.483072,1.422223,0.610123,1.196573,0.476282,-0.142104,0.716642,-0.030343,-0.514675,-0.579651,-0.943641,0.950013
théorème,-0.221613,0.174879,-2.22753,0.586295,0.888991,-0.934563,-0.023456,-0.740821,-0.423589,-0.564547,-0.246576,0.29652,-0.837239,0.662963,-0.410859,1.522182,-1.47136,-1.199406,-1.076657,-0.156994
problème,0.031717,-0.235795,0.720748,0.229682,-0.562302,-0.676142,1.713163,-0.120339,0.20232,0.377782,-0.332907,1.048698,-0.609577,1.360535,0.540185,-0.199288,-1.467603,-0.480123,-0.846116,-0.202569
valeur,0.036627,-0.86601,-0.775985,0.043155,-0.691251,-0.400249,1.000781,-1.130779,0.528581,1.767539,-0.402104,1.411983,-0.612219,0.909015,0.503099,0.572118,-0.719257,0.255178,-1.011376,0.08901
groupe,-0.047967,-0.271847,0.011209,0.085419,-1.691944,0.856252,1.528119,0.085494,-0.375952,-0.026195,0.846318,1.090914,0.869848,-0.011873,0.21968,-0.17771,0.122857,0.160776,-0.586627,0.503067
graphe,-0.237547,0.308634,-1.654417,-0.015299,1.111569,-1.419171,-0.45185,-1.270475,-0.362062,0.87712,1.183092,0.402449,-0.723957,0.079923,-0.915428,0.57602,-0.524191,-0.06827,-0.9074,0.519167
forme,-1.249457,-0.741034,-0.640225,-0.418715,0.238061,0.344575,1.013615,-0.704566,-0.520898,2.052108,0.667139,1.231387,0.394881,0.397632,0.366697,-0.058932,-0.9046,-0.033953,-0.232021,0.057504
entier,-0.436993,-0.937679,-0.31614,-0.077193,-0.404143,0.045975,0.777126,-0.211013,0.214116,1.533927,0.104667,1.12944,-0.072692,0.295358,0.522179,-0.420875,-0.3355,0.628282,0.085468,0.228093
système,-0.369517,0.26358,-0.579265,-1.095834,-0.852071,-0.646774,1.73312,-1.275919,-1.215731,0.834263,0.539613,1.307894,-0.520789,1.274142,0.210201,-0.42585,-0.861762,-0.279504,-0.984495,0.375949
équation,-0.263461,-0.255737,-2.722321,-0.147702,0.451043,-0.829578,0.704014,-0.790374,-0.741664,-0.410859,-0.322986,0.504211,-0.404032,1.048586,-0.102048,1.294286,-2.234654,-1.798185,-0.895509,-0.120946
suite,-0.175915,-0.155261,0.796716,0.010184,-1.560215,0.123496,0.742498,0.509251,-0.318914,0.310688,-0.424497,1.032358,0.354995,0.509485,0.667267,-0.469924,-0.373333,-0.463006,0.20106,-0.683002
algorithme,-0.369231,0.961734,-1.37147,-0.435174,0.929258,-1.696356,1.413282,-1.010694,-0.965077,0.071773,0.530263,0.514816,-1.053566,0.42665,-0.264556,0.241914,-0.495724,-0.181574,-1.080636,-0.848006
calcul,-0.439621,-0.018253,-1.421748,-0.966962,-0.08168,-1.864466,1.162604,-1.078722,-0.086863,0.517501,-0.380837,0.705159,-1.246763,0.709916,0.59204,0.568996,-1.37453,-0.437133,-1.339229,-0.196982
application,-0.283581,-0.04789,-0.590924,-1.267999,-0.589891,-0.564438,1.761084,-0.846959,-1.588064,0.609293,-0.492138,1.221095,-1.331989,0.85906,-0.011009,-0.391721,0.071765,-0.160156,-1.728624,-0.251182
élément,-1.058116,-0.485399,-0.427274,-0.306394,0.107363,0.052006,0.929804,-1.358112,-0.70846,1.616272,0.094136,1.07516,0.240685,0.95521,0.356224,-0.150659,-1.230599,0.011408,-0.739132,-0.115176
grand,-0.533584,-0.127656,0.87248,-0.262376,-0.879665,0.303788,0.203658,0.209435,0.004876,1.633826,-0.082928,0.510949,1.168039,0.097445,1.151139,0.162383,-0.436897,-0.22079,0.173044,0.528461
propriété,-0.446619,-0.721227,-0.095784,-0.800832,-0.078364,-0.037098,0.204431,0.650035,-1.361601,1.456613,-0.742666,0.674302,-0.635727,0.775136,0.238596,0.654392,-0.832295,-0.187907,-0.447382,0.798865
ordre,-0.756021,0.197643,-0.564321,0.335206,-1.324551,0.614433,-0.455636,0.009899,-0.180877,1.156134,-1.529174,0.80281,0.270899,0.821163,0.378598,-0.519927,-0.758508,0.122834,0.215282,-0.234509
variable,-0.535462,-0.857424,-1.665241,-0.886234,0.515918,-0.715456,1.500101,-0.53805,0.458034,0.792013,0.219982,1.444089,-0.603355,0.511634,0.297044,0.219184,-0.702024,-0.500121,-0.485246,0.721061
base,-0.750283,-0.159206,-0.769296,-1.115125,-0.316083,-0.019083,0.990034,-0.685706,-0.710164,1.333387,-0.067988,1.015993,0.055893,1.03462,0.358211,-0.683658,-0.175476,0.310987,-0.371715,0.915343
géométrie,-1.396322,0.47726,-1.176569,-0.475224,1.121722,-0.747608,0.201098,-1.925024,-0.468034,0.102048,0.186348,0.427695,-0.334862,0.098622,-0.017548,0.706915,-1.871356,-0.230332,-1.443498,-0.129152
analyse,-0.176391,-0.262436,-0.340787,0.223111,0.043918,-0.416707,1.508613,-0.847614,0.111284,0.845783,-0.760331,0.274956,-0.574852,0.302741,0.49608,-0.233462,-1.16952,-0.739255,-2.29978,0.107059
loi,0.659466,-0.584339,-0.276334,0.909004,-1.173514,0.066425,0.306005,-0.033885,-0.525822,0.585468,-1.727953,1.659371,-0.720216,1.389079,-0.05859,-0.370574,-0.078398,-0.228343,-1.06271,0.080978
définition,-0.040686,-0.393239,-1.284122,0.104944,-0.281089,-0.594503,1.160402,-1.233798,-0.039036,1.445541,-0.094111,1.017965,-0.876881,0.423089,0.024112,-0.126637,-0.802125,-0.35007,-1.853042,0.167535
réel,0.368145,-0.31351,0.084215,0.562435,-0.474932,-0.674864,1.678546,-0.918559,-0.088717,1.085275,0.172324,0.821623,-0.309508,0.720456,0.946951,-0.123612,-0.97621,-0.532904,-0.902389,-0.584343
dimension,-0.723145,-0.767039,-0.325527,0.216777,0.438884,-0.569378,0.774966,-1.786143,-0.030963,0.839307,0.547296,0.949103,0.327426,0.705516,1.247031,0.251036,-0.446111,-0.294375,-0.993508,-0.035915
statistique,-0.768326,1.398632,-0.577488,-0.309028,-1.485171,-1.16835,0.588595,0.680621,1.735119,-0.089689,-0.084367,0.982557,0.145042,-0.238919,0.488642,0.440532,0.499151,-0.302024,-1.579534,0.999358
sommet,-0.898867,0.599926,0.308638,0.080436,0.102905,0.237768,-0.313764,0.074608,0.516019,1.440242,1.216289,1.415898,1.156275,0.571685,0.492719,0.208964,-0.260594,-0.891959,0.715641,1.250242
