word,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
un,-0.016024,0.460069,0.247763,0.242908,3.028391,0.245644,0.070471,0.254019,0.445374,0.597898,0.214441,0.250478,-0.557591,0.189515,0.737274,0.001585,-0.345537,0.561822,-0.099419,-0.136474,-0.347664
nombre,0.033634,0.236436,0.038265,-0.680543,2.625454,0.404122,-0.551126,1.292577,-0.14583,0.729127,-0.577036,0.386142,-0.197368,-0.34562,-0.433257,0.562122,-0.908319,0.953373,0.463394,0.39812,0.010663
$\mathbb{N}$,0.929269,0.144313,0.349267,-0.123055,2.687857,0.060401,-0.54389,0.452416,-0.168723,0.411464,0.492954,0.437674,-0.549613,0.112193,0.142031,0.014193,-0.344667,0.449085,0.048858,-0.048526,0.077389
deux,0.107684,0.418683,0.114147,-0.149265,2.540071,0.419855,0.131569,0.625615,-0.263644,0.672751,0.41462,0.522576,-0.740505,-0.3152,1.011676,0.047158,0.498547,0.887058,0.04518,0.021037,-0.202977
fonction,0.077304,-1.14233,0.044959,-0.587208,2.003348,0.260857,-0.635127,1.439155,0.831729,1.572668,1.266543,0.702717,0.014255,0.27254,-0.228387,0.443329,-0.861457,0.234868,-0.650658,0.061886,-0.494814
premier,-0.059035,0.873882,-0.112777,0.049505,2.346768,0.597475,-0.176473,0.548492,-0.268072,-0.032433,0.158762,0.714279,-0.110836,0.010526,0.299114,0.244422,1.135023,0.036632,0.012627,-0.426398,-0.472528
ensemble,-0.415335,-0.069046,-0.070415,0.00679,2.099737,0.006891,-0.456215,0.824416,0.810912,0.923922,0.525214,0.221125,-0.446903,0.31386,0.912722,-0.422867,-0.052617,0.10379,0.002826,0.669649,-0.163578
point,-0.327052,0.466119,-0.588285,-0.202558,2.171057,0.235869,-0.820954,1.297767,-0.235063,0.270298,0.046848,0.476908,-0.868517,-0.378412,-0.161276,0.325136,0.345136,1.271307,-0.186651,0.233718,1.112704
théorie,0.522171,0.096322,0.254249,0.191354,0.934513,0.074147,-1.189833,1.711724,2.475397,-0.008681,0.838369,-0.416332,-1.282467,1.626608,-0.730567,1.326001,-1.126026,-0.09153,-0.607915,0.214629,-0.328482
exemple,0.167298,-0.210269,0.222938,-0.173247,2.312817,0.17038,-0.833959,0.149011,0.680327,0.716794,0.260393,-0.348648,-0.923658,0.02683,-0.005276,0.061747,-1.132379,-0.086821,-0.223867,0.656286,-0.522054
espace,-0.842663,-0.338081,-0.753415,0.257127,1.722903,-0.209821,-0.592846,0.380318,1.341221,0.969734,0.429888,-0.444733,-0.850763,0.735508,0.68378,-1.022375,-0.463541,1.192262,-0.476109,0.440444,0.082809
théorème,0.175036,-1.099572,0.044194,-0.12756,-0.674597,-0.498273,-1.025621,2.700804,1.729218,0.46293,1.740898,0.548571,-1.084277,-0.03724,-0.409381,1.191304,-0.719043,0.437154,-1.134469,1.636685,-0.282912
problème,0.178683,-0.245231,0.042763,0.373796,2.05066,0.565057,-0.808128,0.419927,0.533219,0.049926,0.753862,0.014365,-0.729365,0.99392,-0.615481,0.78303,-1.246834,0.384651,-0.73662,-0.174789,0.681147
valeur,-0.122007,-0.39276,0.321924,-0.453,2.347719,0.313228,-1.350919,0.63869,0.779975,1.14218,0.144862,0.482266,-0.653522,0.195495,-0.834197,0.423289,-1.071014,0.332171,0.145327,1.046277,0.108458
groupe,-0.025481,0.355935,-0.664059,-0.254311,2.155811,0.142451,-0.7179,0.1872,0.696222,-0.398207,0.443692,0.700786,-0.212324,-0.50344,1.116093,-0.246936,0.129439,-0.969114,-0.064759,-0.531253,0.47923
graphe,0.077035,-1.170245,-0.604037,0.035312,-0.516399,-0.884203,-0.014126,2.327133,1.137406,0.985575,-0.326792,-0.177149,-1.056694,-1.520411,-0.064948,0.830486,-1.2282,0.880997,-0.404493,1.298872,-0.200822
forme,0.125056,0.481439,0.339783,-0.028057,2.245171,0.160716,-0.528053,0.300092,0.936439,1.308025,0.429992,-0.375677,-1.295586,-0.436956,0.643411,-0.192267,-0.761667,0.255463,-0.01475,1.13895,-0.835378
entier,0.352621,-0.09298,0.171378,-0.340224,1.883712,0.147975,-0.736286,0.560973,0.445517,0.84951,-0.275026,-0.053077,-0.437144,-0.427336,-0.030054,0.02026,-0.623854,0.312517,0.11646,0.776871,-0.216168
système,-0.451579,0.227116,-1.38927,-0.188336,2.423853,0.457967,-0.291784,0.452848,0.871546,0.832259,0.858172,-0.15948,-0.990971,-0.009827,-0.593798,0.00417,-1.637204,-0.198496,-0.956468,-0.257158,-0.343035
équation,-0.023965,-0.703112,-0.307789,-0.605956,0.180389,-0.844754,-0.999816,2.316961,0.747391,0.290773,2.264293,0.082002,-1.762095,0.312372,-0.712557,1.521098,-1.403183,0.212543,-1.30018,1.434263,-0.345651
suite,0.462771,0.474615,0.31308,0.090751,1.960723,0.782935,-0.23984,0.4465,-0.533563,-0.069202,0.477294,0.696506,-0.019693,0.522157,0.272292,-0.066328,0.28256,-0.144068,-0.48012,-0.406983,0.155826
algorithme,0.089488,-0.803413,-1.405067,0.539366,0.385189,-0.261026,-0.573293,1.257283,0.761645,-0.064129,0.784394,0.276949,-1.467741,-0.391612,-1.277303,0.441199,-1.441509,0.145158,-1.207684,1.324956,-0.759852
calcul,-0.578992,-0.745688,-0.875663,0.065468,1.466258,0.237007,-0.964603,1.630876,0.46166,0.580051,0.605792,0.006057,-0.881166,0.598988,-1.723921,1.112749,-1.484501,0.613134,-0.832268,1.131379,-0.821032
application,-0.289484,-0.9997,-1.658901,-0.395429,2.117899,0.646947,-0.601241,0.467632,0.710145,1.163375,0.868756,-0.321431,-0.56054,0.622558,-1.114449,-0.167306,-1.230419,-0.956494,-0.971566,0.375999,-0.305325
élément,0.178246,0.141119,0.13738,-0.130149,2.055471,0.221851,-0.419603,0.527765,1.044681,1.308385,0.512743,-0.199265,-1.584686,0.380834,0.097697,-0.113618,-0.975522,0.301095,-0.00588,0.746546,-0.681317
grand,-0.315597,1.148934,0.670055,0.276405,2.226235,0.045902,0.074387,-0.039293,0.470125,0.464375,0.298823,0.126998,-0.116551,0.067235,0.464122,-0.095249,0.809585,0.764441,0.115226,-0.132544,-0.278257
propriété,-0.147162,-0.518004,0.566228,-0.049405,1.725096,-0.252868,0.41728,0.670414,0.848858,1.571872,1.487045,-0.060807,0.355466,0.247237,-0.221144,0.23346,-0.712839,0.008942,-0.472382,0.910462,-0.47167
ordre,1.241602,0.45139,0.820451,-0.901582,1.539781,0.471392,-0.118389,0.890945,0.25091,1.494294,0.744562,0.373522,-0.255985,0.124679,-0.272854,0.518856,0.437688,0.112214,-0.042681,-0.658604,-0.616346
variable,-0.151507,-0.43367,-0.512453,-0.688651,1.782139,0.207678,-0.834375,1.01535,0.590966,0.63011,0.108573,-0.465877,-1.074473,-0.619181,-0.558146,0.659094,-1.671008,0.351359,-1.000348,1.739335,0.086858
base,-0.145819,0.387691,-0.707192,-0.497346,2.179475,0.104917,0.385307,0.443854,0.611745,1.254468,0.010355,-0.200839,-0.926745,-0.435807,-0.244986,-0.112733,-0.721758,-0.035162,-0.128724,0.212881,-0.251241
géométrie,-0.552401,-0.798996,-0.571406,0.041124,-0.111001,-0.12721,-0.796505,1.923876,1.982687,1.048382,0.957748,-0.562851,-2.012577,0.900498,-0.320562,1.051888,-0.472859,0.638542,-0.261106,1.114275,-0.91833
analyse,-0.157687,-0.450482,0.008038,-0.272663,1.735963,-0.098981,-1.114134,0.595477,1.733185,-0.027581,-0.080993,-0.61517,-0.932535,1.472354,-0.865755,0.884707,-0.757316,-0.034076,-0.863187,0.436886,-0.225263
loi,1.190976,-0.645308,0.421192,-1.392668,1.926679,0.47144,-0.271919,0.995656,0.699891,1.035587,0.297048,0.948159,0.550916,1.185895,-0.742822,-0.057908,-0.614105,-0.565121,-0.441742,-0.228526,0.859006
définition,-0.001194,-0.478498,-0.44662,-0.617036,1.635643,-0.055501,-1.522026,1.089441,1.551929,0.760612,0.159346,-0.16191,-0.898666,0.473742,-0.809314,0.066328,-1.404233,0.052028,-0.518322,0.790186,-0.15366
réel,0.348665,-0.279482,-0.051162,0.337128,2.162423,0.079306,-1.268501,0.633224,0.86853,-0.101712,0.400417,0.202261,-1.080665,0.822851,-0.51248,-0.007689,-1.06827,0.371715,-0.396544,0.641696,0.103546
dimension,-0.1146,-0.210019,-0.770515,0.527294,1.417768,0.353892,-0.733054,1.0362,1.044645,0.677767,0.20551,-0.439905,-1.770692,0.470689,0.154516,-0.110861,-0.482193,0.573115,0.13174,1.438314,0.379788
statistique,-1.052969,-0.34588,-0.603127,0.028029,1.18163,0.179119,-1.283705,1.383555,0.817157,0.427096,-0.394008,0.405359,0.521421,-1.093554,-1.094339,1.449099,0.961718,0.565391,-1.052467,-0.691172,1.140985
sommet,-0.692785,1.153612,0.382971,0.268651,0.885739,-0.211883,0.159492,1.206542,0.567451,1.085837,-0.143953,0.343049,-1.051273,-0.924605,1.106535,-0.776942,-0.093893,1.167601,-0.536907,0.483932,0.888839
logique,0.812969,-0.373694,-0.647093,0.074209,0.435547,0.833829,-1.890225,1.366649,1.695951,0.342456,0.979134,-0.203102,-1.096953,1.176031,-0.960237,0.232054,-0.952238,0.458002,-0.618708,0.622942,-0.588176
terme,0.186143,0.4821,0.52983,-0.046674,1.995643,0.351455,-1.231243,0.370869,1.001816,0.710747,0.338488,0.209675,-0.395348,-0.189588,-0.176768,0.15567,-0.847831,-0.123027,-0.252623,0.008089,-0.111839
trois,0.05162,0.432525,0.105533,-0.154236,2.432058,0.434979,0.200306,0.512338,-0.200939,0.619328,0.097844,0.482187,-0.470568,-0.329726,0.895159,0.106509,0.876628,0.844123,0.081415,-0.14267,-0.198012
