word,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
un,0.659699,0.639469,2.574911,0.98337,-2.464394,0.739916,0.38464,0.322254,0.596588,-0.228415,-1.08306,-0.781374,0.886554,-0.411533,1.896117,-0.055724,1.214182,0.452405,-0.797186,0.600863,2.189509
nombre,-0.001947,0.447164,2.369139,2.270582,-2.589647,0.915257,0.289578,0.112534,0.326007,0.648893,-2.213335,0.577428,0.042362,0.033008,1.656957,-2.440533,-0.247185,-0.965449,-0.198414,0.805375,0.995649
$\mathbb{N}$,-0.630539,0.735374,2.536233,1.166707,-1.505279,1.635165,0.844032,0.400411,0.24259,0.362633,-1.481276,-0.734645,0.148402,-0.191264,2.425359,0.048952,0.050256,0.002597,-0.510949,0.61405,0.433949
deux,0.770021,0.925646,2.136849,2.159629,-1.698447,1.418677,-0.009116,0.282918,0.348142,0.226057,-0.751087,-0.673517,1.30399,-0.370786,2.062468,-0.017044,0.539383,0.103893,0.514796,0.69955,1.622216
fonction,-1.098649,1.06665,1.789972,1.625937,-2.444053,0.460799,2.15589,-0.076161,0.026834,1.136622,-0.301574,-1.253958,0.508158,1.405277,1.397006,0.227786,1.321304,-0.010481,-0.851512,1.380701,1.410291
premier,-0.101831,1.065278,1.503934,1.767458,-2.552586,0.896431,-0.247353,0.079438,1.11743,0.138585,-1.604108,0.31414,0.097082,0.473034,1.619794,-1.675108,0.35636,0.268795,0.155716,0.735647,1.232668
ensemble,-0.368052,1.294757,2.793198,1.407345,-1.483367,0.235803,1.0863,0.671061,-0.505321,-0.536564,-2.107464,-1.877951,0.593373,-0.411711,1.375314,0.087456,0.787329,0.361805,-0.227841,0.364395,0.87221
point,0.002542,1.028938,2.796993,1.168769,-0.999274,2.044393,0.634947,0.289573,0.01769,1.253273,0.001795,-1.623149,0.324074,-0.805289,0.895535,0.998942,1.117309,-0.287612,1.238175,1.072281,1.728222
théorie,-0.457304,-0.334296,1.550515,0.048911,-2.562727,0.324307,0.297954,0.255494,-0.099449,-0.418946,-1.872182,-1.008853,0.372484,0.235994,0.871131,-0.789657,2.937141,0.411791,-0.539019,-1.024908,1.36269
exemple,-0.517657,0.310417,1.990249,1.403932,-1.743561,1.338816,0.708433,0.454482,0.311719,0.352993,-1.105496,-0.802287,0.487117,-0.53123,1.365496,-0.037983,0.55471,-0.084045,-0.995889,0.152071,1.433717
espace,0.066302,0.522857,1.587817,1.134978,-0.235615,1.247759,2.291688,0.018101,-1.014878,-0.445298,-1.412957,-1.301601,0.44333,-0.586618,1.734866,1.023101,2.751474,-0.225296,-0.93936,0.27492,1.953066
théorème,-0.555974,-0.42903,1.849005,1.203069,-1.712256,0.928751,1.218975,0.77316,0.58574,1.028341,-2.878006,-0.121726,-0.127257,1.690189,0.380163,0.424185,2.439529,-0.023207,0.396399,-0.290177,1.054966
problème,-0.218772,0.229616,2.456602,-0.6587,-2.393151,1.139888,-0.199634,0.537824,-0.174569,1.692836,-1.452248,-0.643445,-0.105316,-0.165318,0.635345,-1.094231,1.368576,0.496725,-0.106159,-0.136012,1.395217
valeur,-1.133555,0.81961,2.534547,1.569155,-2.07337,0.947884,0.388918,0.101207,0.097976,1.105964,-0.139481,-0.884644,0.548686,-0.350907,1.615325,0.306237,0.219941,-0.565659,-1.237144,1.065006,0.595634
groupe,0.576201,0.364109,1.824705,0.901964,-1.234739,0.809536,1.775505,-1.655412,-0.783854,-1.16397,-1.790025,-0.51762,1.242994,-0.601477,1.464061,-0.634837,1.381643,-0.221433,0.640138,-0.278771,1.004972
graphe,2.283919,-0.12021,2.603348,0.753279,-1.534437,1.146238,0.176513,1.286066,-1.764223,-0.347204,-2.783454,0.128311,1.316785,-0.219381,0.352954,-0.685837,1.098089,-1.178192,-0.330801,-0.202002,0.560859
forme,-0.42046,0.071783,1.652553,1.259297,-1.176446,1.403974,1.524449,0.190261,0.135731,0.797449,-0.327985,-0.753085,0.97705,0.03454,1.528618,-0.681725,0.969771,0.313,-0.682124,0.14525,1.565368
entier,-1.218504,0.915537,2.261775,2.100099,-1.503381,0.998323,1.399495,-0.749269,0.273257,0.578551,-1.860797,-0.336272,0.095881,0.422764,1.646285,-1.326219,-0.3956,-0.296076,0.056155,0.77758,0.760635
système,-0.619007,0.351889,2.079531,-0.091938,-1.931208,0.872851,0.415544,-0.155338,0.258288,0.423374,-0.034356,-1.084153,0.943225,-0.207756,0.866485,-0.632136,0.832148,1.110039,-1.7794,-0.247729,1.378596
équation,-0.755653,-0.206349,1.677507,0.186514,-1.534583,1.330368,0.512491,-0.289926,-0.34006,2.102797,0.064714,-1.628288,0.807883,1.329111,1.20928,-1.365216,1.809882,0.174901,0.439127,0.852189,1.43193
suite,-0.714961,0.907978,1.196997,2.145606,-1.605335,0.349575,1.062604,0.197862,0.298801,0.044403,-1.642499,-0.992177,-0.080753,0.968713,1.468818,-0.343655,0.435131,-0.318611,-0.868387,1.391091,1.473838
algorithme,-0.65676,-0.012972,1.695062,-0.579674,-2.961667,1.252676,0.234206,0.568774,0.165767,1.057201,-2.125633,-1.154935,0.522032,-0.306273,-1.07421,-0.210364,-0.431084,-0.371031,-1.40523,1.23081,1.573893
calcul,-1.262425,-0.152324,1.427554,0.328266,-2.174185,1.041889,0.016659,-0.427466,0.87574,1.205907,-0.530775,-1.132006,0.752597,0.377484,0.671696,-1.110432,0.570537,0.804088,-1.560487,0.16263,1.782548
application,-0.961078,1.14199,0.988571,0.654669,-2.205479,1.6245,1.534023,-0.656995,-0.470231,-0.57536,-0.009655,-1.354979,0.181747,-0.165865,0.601503,0.057456,1.652106,0.122953,-0.252845,-0.335315,1.399372
élément,-0.465977,0.420182,2.342211,1.838617,-0.744069,0.669281,0.625616,-0.101726,-0.150002,-0.451445,-1.341035,-1.599332,0.66111,-0.502417,1.387718,-0.449402,-0.299329,-0.345108,0.033587,0.279115,1.327778
grand,-0.009808,-0.110538,2.44463,0.776685,-1.631678,0.102663,-0.72752,-0.355431,1.51465,-0.208535,-1.049948,0.060645,0.045693,-0.464474,1.863193,-0.200973,1.199052,-0.200972,-0.351015,1.006461,0.703138
propriété,-0.27897,0.345442,2.141167,1.8873,-1.551725,0.749665,0.852413,0.215253,-0.475792,0.705985,-1.562537,-0.457102,0.93145,0.038779,1.199429,0.624379,1.474737,-0.305785,-0.2872,-0.630854,0.891806
ordre,-0.175453,0.584786,2.529078,2.026184,-1.432065,0.604646,-0.066795,-0.342338,-0.292149,-0.320329,-0.878897,-0.263245,1.45402,1.004925,1.597554,-0.392154,0.790153,-0.04932,-1.096681,-0.06938,-0.292778
variable,-0.994912,0.68451,0.352856,1.648162,-2.769249,0.282613,0.869612,0.874267,-0.311645,1.11373,0.424311,-1.58003,1.853696,-0.567382,1.7416,-0.320576,0.682646,-0.361911,-0.293862,0.86944,0.659659
base,0.048499,0.310871,1.72539,1.266649,-1.043348,1.705972,1.670622,-0.448253,0.645691,-0.116915,-0.792574,-0.112386,0.858561,-0.812927,0.951511,-0.420802,0.30857,0.124293,-1.172129,0.20667,1.475755
géométrie,0.266483,-0.30552,0.988097,0.389407,-0.803174,1.424909,0.747049,-0.675418,0.798045,0.203898,-1.136545,-0.489318,0.614308,-0.230348,0.340916,-0.94777,3.304576,0.776748,0.669052,-0.486654,2.29005
analyse,-1.396517,0.495561,0.580549,0.385373,-2.463576,0.310265,0.602828,-0.651691,0.747816,0.352462,-0.450318,-0.998106,0.59579,-0.362656,-0.201364,-0.743702,2.443161,0.309779,-0.755304,0.294964,1.741519
loi,-0.444854,-0.408381,0.725089,1.679187,-2.160139,-0.014415,1.284803,1.660633,0.93031,0.801253,0.454271,-0.39409,1.099952,0.707163,1.437643,0.353058,1.918056,-0.663072,-0.766823,1.191984,0.298474
définition,-0.675912,0.421985,1.46598,1.452527,-1.28277,0.740005,1.096077,0.316841,-0.090563,0.571249,-1.40775,-1.016365,0.986872,-0.043728,1.226241,0.268739,1.299752,0.206607,-0.56192,-0.225232,1.222234
réel,-1.09512,0.545767,1.811599,1.409798,-1.06847,0.364919,1.965025,-0.433824,-0.100601,0.944197,-0.691483,-1.16056,0.143592,-0.034937,1.981729,0.009562,1.11149,-0.258278,-0.443012,0.778548,1.033726
dimension,0.38225,0.125234,1.647831,0.939559,-0.800751,2.218966,1.17953,-0.277901,-0.729789,0.376101,-0.771901,-0.433067,0.318253,-0.926263,1.287967,-0.164769,1.458265,-0.763044,-0.238712,-0.244432,1.552162
statistique,-0.693861,1.372058,0.74063,0.415696,-2.808676,0.374706,0.091721,-0.087141,1.690323,-0.551521,0.747258,0.044747,1.098805,-0.723505,-0.42541,0.118903,2.475532,0.560548,-1.400572,1.247368,0.075728
sommet,2.152917,0.62598,2.948019,1.311412,-0.73283,2.369504,-0.906575,1.334288,-1.121685,0.00963,-1.432838,-0.241844,1.201339,-1.123002,1.141699,-0.04279,-0.124974,-1.334243,0.372716,0.610409,0.85042
logique,-1.578577,0.108481,1.004244,0.852773,-1.210342,1.049266,-0.42955,1.298039,0.694532,-0.229479,-1.512454,-1.559421,1.509018,-0.098517,0.727331,-0.822843,1.640375,2.004023,-1.078672,-2.180636,0.239296
terme,-0.735738,0.130707,1.433263,1.519176,-1.540885,0.512453,0.582144,0.121745,0.348047,0.963634,-0.56595,-0.915526,1.164456,-0.356469,1.914889,-0.705158,0.203611,0.279881,-0.775763,0.221653,0.737432
trois,0.914755,0.5214,1.837641,1.545881,-1.393139,1.275647,-0.487506,0.047051,0.952196,0.118712,-0.801558,-0.210181,1.159327,-0.449581,1.649872,-0.752598,0.258073,0.238557,0.868081,0.481407,1.40638
