word,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
un,-0.231089,-0.320715,-0.906391,-0.57581,0.046017,-0.668379,-0.79916,-0.151572,-0.271499,0.050184,-0.34356,-0.349865,-0.630011,-2.093071,-1.068301,0.053138,0.650309,0.923527,0.720123,-0.15384,-0.544103,0.293903
nombre,0.013728,0.08099,-0.45792,-0.987872,0.175454,-0.579392,-0.368295,-0.641587,-0.431263,0.259543,0.307247,-0.010228,-1.695439,-1.522784,-1.002863,0.305557,1.192809,0.154455,0.231315,-1.668486,0.214757,0.104518
$\mathbb{N}$,0.076927,-0.187598,-1.000007,-0.017202,0.110807,-0.595698,-0.47893,0.215634,-0.388044,0.320704,-0.019074,-0.51626,-0.907334,-1.503275,-0.872267,0.313462,1.09926,1.143278,-0.132364,-0.590255,-0.123582,0.283928
deux,-0.61193,-0.631322,-1.258056,-0.727485,-0.246718,-1.390151,-0.603842,-0.167142,-0.013759,-0.064297,0.137679,-0.14792,-0.71875,-1.473262,-1.040721,0.34692,0.650377,0.622027,0.21761,-0.085557,-0.547485,0.238941
fonction,-0.08844,-0.079411,0.657544,-0.967798,0.051229,-0.300087,0.293501,-0.39908,0.279529,0.342206,0.891913,-0.90987,-0.91866,-1.102322,-0.455248,0.125858,1.129039,1.958431,0.303219,-1.278244,-1.10764,0.216139
premier,0.236636,-0.094108,-1.063815,-1.234053,-0.141791,-1.110853,-0.514942,0.04271,0.160278,-0.154838,-0.359263,0.055686,-0.538006,-0.957666,-1.049526,-0.065503,0.503009,0.337611,-0.656265,0.091144,-0.674331,0.62696
ensemble,-0.74751,-0.301811,-0.565185,-0.685062,-0.655709,-0.092409,-0.198431,-0.510048,0.02763,-0.310046,-0.443895,-0.796859,-0.300143,-1.084692,-0.856387,0.603488,0.511076,0.891792,0.663794,-0.624946,-0.568815,0.649212
point,-1.030694,-0.004948,-1.395213,-1.110426,0.014119,-0.653381,-0.252859,-0.074796,0.699965,-0.330991,0.168793,-0.150444,-1.300727,-1.100279,-0.442299,0.798619,1.135836,0.284793,-0.259176,-1.035522,0.660527,-0.115787
théorie,0.61386,0.07954,1.398112,-0.704605,-0.4868,0.325192,-0.277562,-0.002115,0.772691,-0.227999,-1.575455,-1.510515,-0.566179,-0.678885,-0.3555,-0.38448,1.372918,2.040915,0.156137,-1.413973,0.347385,-1.440868
exemple,-0.16774,0.211114,-0.213804,-0.165449,0.229079,-0.093779,0.399127,-0.299622,-0.610513,0.009951,-0.610614,-0.90229,-0.839912,-1.618093,-0.622288,-0.085906,0.52974,1.275179,0.858938,-1.040536,-0.406802,0.143285
espace,-1.370447,0.339937,-0.737933,-0.778839,-0.614621,0.538536,-0.916839,-0.371922,0.33388,-0.30483,-0.231555,-1.19303,0.063054,-1.372771,-0.467366,0.893524,0.086934,1.136995,1.156415,-1.068146,-0.093036,-0.64952
théorème,-0.595392,0.011836,2.509534,-0.468103,-0.495796,-0.709584,0.478411,-0.431558,1.257321,-0.604573,-0.691369,-1.240061,-1.16365,1.110849,0.035445,1.324077,1.043459,2.142462,0.486487,-1.225541,0.573962,-1.050453
problème,0.435759,0.178746,-0.119194,-0.237736,0.417905,0.170429,-0.414872,0.851567,0.689493,-0.078427,-0.233409,-0.824363,-0.752673,-1.606383,-0.040811,-0.242214,1.265148,1.27035,0.2442,-1.157816,0.026117,-0.286543
valeur,0.171017,0.704911,-0.062529,-0.621052,-0.132426,-0.205135,0.062009,-0.34759,-0.082206,0.508807,-0.32189,-1.116716,-1.366403,-1.28894,-0.589887,0.550493,1.000477,0.823964,0.829568,-2.141649,0.27145,0.442813
groupe,-0.424018,-0.057904,-1.100727,-1.456655,0.575468,-0.125376,0.12699,0.250572,-0.597755,0.015834,-0.666854,-0.254286,0.474095,-0.522141,-1.102102,0.195122,1.427209,0.876133,0.029652,0.388866,-0.355259,0.645898
graphe,-1.385641,-0.436006,2.147168,-0.606712,0.228801,-0.364221,0.921855,-1.393411,0.593165,-0.139539,0.055059,0.395334,-1.488665,0.248792,-0.424055,0.826537,0.388855,1.033904,1.159307,-1.029993,1.344039,-1.183688
forme,-0.811129,-0.116765,-0.513714,-0.058707,-0.185516,-0.684805,0.331013,-0.936571,-0.373373,0.007803,-0.967033,-0.95371,-0.876039,-1.525856,-0.935626,0.030664,0.273101,1.267622,1.285772,-0.688481,-0.442758,0.078305
entier,-0.240437,0.038765,-0.521264,-0.387192,0.022882,-0.292218,-0.098516,-0.665816,-0.638273,0.267127,-0.379718,-0.467412,-1.181382,-0.78014,-0.813332,0.125741,0.594524,0.66533,0.763426,-1.11386,0.088983,0.382177
système,-0.484372,1.533774,0.068883,-0.932688,0.640594,0.12052,0.533756,0.074378,0.208081,-0.32053,-0.161626,-0.174171,-0.381164,-2.034235,-0.558721,0.012221,0.840129,1.777194,0.959642,-1.072593,-0.935737,-0.37542
équation,-0.281461,0.190445,1.908253,-0.407692,0.42601,-1.048126,0.718492,-0.145528,0.50913,-1.371136,-0.524182,-1.17948,-1.385396,0.095935,0.483377,0.689631,1.509819,2.366329,0.317658,-1.580847,-0.025797,-1.758607
suite,0.364441,-0.007286,-1.061746,-0.26104,0.041609,-0.58344,-0.594365,0.572828,0.197057,-0.34714,0.11364,-0.16229,-0.40198,-0.874453,-0.630273,-0.44097,0.834162,0.838119,-0.582352,-0.124268,-0.652008,0.769439
algorithme,-0.52481,0.923325,1.809389,-0.394199,0.877642,-0.122367,1.095358,0.206247,1.025881,-0.800344,-0.473754,-0.046096,-1.055291,-0.688295,0.066184,0.603059,-0.126279,2.096416,0.616141,-1.297444,0.500727,-0.599212
calcul,0.110451,0.871526,1.130364,-0.8065,0.419577,-0.089419,0.392196,0.031031,0.735393,-0.671654,-0.457429,-0.641758,-1.709995,-1.185999,-0.169951,0.500063,0.226628,1.356228,0.418971,-2.429356,-0.38941,-0.678557
application,0.082473,1.60258,0.278097,-1.121695,0.05282,0.712049,1.043813,0.456846,-0.07419,-0.349763,0.22853,-0.448207,-0.768072,-1.364644,-0.070961,-0.184406,0.396041,2.153693,0.877546,-1.456852,-1.270364,-0.094732
élément,-0.438404,0.22577,-0.166828,-0.048036,-0.695252,-0.555027,0.309673,-0.463678,-0.081493,0.037805,-0.8336,-0.979003,-0.67495,-1.774313,-0.792169,0.028192,0.43355,1.391239,1.121639,-1.096801,-0.426761,-0.355738
grand,-0.25049,-0.107572,-1.249044,-0.574756,-0.512882,-0.802953,-1.171009,-0.552462,0.177064,0.165303,-0.498418,-0.65772,-0.303287,-1.323979,-0.754829,0.306341,0.296371,-0.000899,0.209399,0.496912,-0.608203,0.224872
propriété,0.066967,0.408327,0.50075,-0.158901,-0.420873,-0.127557,-0.350603,-0.675435,0.023543,0.367566,0.224043,-0.945259,-1.420091,-0.648282,0.075743,0.707615,0.611429,1.471209,1.286404,-0.254815,-1.442031,0.081871
ordre,0.515194,0.020177,-0.162719,-0.230524,-0.663544,-1.368158,-0.301749,-0.732079,-0.212816,1.01082,0.413009,-0.556495,-0.968208,-0.542064,-0.928515,-0.985549,0.927723,1.082763,-0.716794,-0.24112,-0.929649,-0.320742
variable,-0.734315,0.616866,0.200423,-0.770856,0.825542,-0.451872,0.783915,-0.502552,-0.425813,-0.637422,-0.218586,-0.68335,-1.810868,-0.802665,0.255554,0.104204,0.677516,1.133213,1.519703,-1.823257,0.394577,-0.476577
base,-0.41786,0.882795,-0.356419,-0.945748,-0.30515,-0.306072,0.459758,-0.742809,-0.368134,0.070363,0.080854,0.066757,-0.742341,-1.695837,-0.622325,-0.269488,0.55344,0.998368,0.922366,-0.435469,-0.506194,-0.355894
géométrie,-0.928829,-0.270156,1.82638,-0.935301,-0.757505,-0.213277,0.584931,-0.451314,1.216349,-0.516211,-1.01028,-1.057997,-0.624004,-0.142195,-0.286405,0.282502,-0.024797,1.597443,0.65862,-1.75251,-0.217007,-1.904538
analyse,0.644888,0.155921,0.49316,-1.105421,-0.246938,0.82174,0.131797,-0.113629,0.353185,-0.546989,-0.867468,-1.59961,-0.588974,-1.529682,0.233293,-0.205752,0.365266,1.449057,0.226594,-1.314178,0.258013,-0.555296
loi,1.213594,0.375386,-0.031545,-0.603264,-0.89895,0.454391,-0.333078,-0.061375,-0.296393,0.371574,1.386055,-0.814444,-0.762902,-0.497786,-0.115025,-0.486412,1.79262,1.623368,-0.147918,-0.937822,0.036556,0.896048
définition,-0.121123,0.75937,0.621276,-0.755171,0.154748,0.556055,0.522051,-0.691798,-0.014188,-0.225115,-0.449116,-1.169287,-0.808539,-1.096935,-0.464344,0.223272,0.74667,1.834649,0.410005,-2.069687,0.332805,-0.282217
réel,0.134585,0.552528,-0.276007,-0.258669,0.275323,0.136786,-0.417288,0.602222,0.058536,-0.303183,-0.699451,-0.920914,-0.748014,-1.194702,-0.624933,0.597214,0.725179,1.705769,0.445489,-1.590632,0.524409,-0.017017
dimension,-1.140677,0.252957,-0.428754,-0.451465,-1.063016,0.044592,0.194833,0.076642,0.320563,-0.372493,-1.142812,-0.505146,-0.76592,-0.838346,-0.696242,0.582826,0.419354,1.194013,1.173255,-1.625604,0.601468,-0.883843
statistique,-0.398481,0.053306,-0.381823,-2.830455,1.036061,0.253094,0.069796,-0.596518,1.816191,0.351771,0.237174,-0.211974,-1.286269,-0.30204,0.403499,0.08455,0.962252,0.096493,-0.913938,-0.61359,0.394662,-0.006828
