word,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
un,1.060648,0.775251,-0.098313,-1.807244,1.512214,0.466871,1.468302,-0.985626,0.890159,-1.19257,1.216863,-0.369843,1.120227,-0.633847,-0.611364,-0.007711,-2.624758,-0.670806,-1.566763,-1.640229,-0.551012,0.65864
nombre,-0.251905,0.240385,-1.378331,-2.905072,1.109345,0.299858,0.676611,-0.211823,-0.062303,-1.072812,1.388857,-1.770394,1.18792,-0.561281,-0.734643,0.656072,-0.953132,-0.789763,-0.545013,-2.975675,-2.398996,-0.365645
$\mathbb{N}$,0.058119,-0.499096,-0.446392,-2.77651,0.696816,0.868922,0.664877,-0.566259,0.633882,-0.92053,1.428666,-0.411221,1.581762,-0.196326,-0.241911,0.802466,-2.33726,-0.694652,-0.866611,-1.056962,-0.321842,-0.735345
deux,1.030706,0.534502,-0.032475,-2.053775,1.374346,0.116421,1.379953,-0.76407,-0.181838,-0.766761,0.767326,-0.139052,1.592424,-0.463507,0.097401,-0.360517,-2.835396,-0.040665,-0.602485,-1.9776,-0.786887,-0.431803
fonction,-1.472436,-0.030386,-1.815021,-1.432442,1.281462,0.619146,0.225072,-0.17025,0.747428,-0.580504,0.640674,0.03724,0.546416,-1.071171,-0.026979,-0.255515,-3.273756,0.535074,-2.087311,-1.719016,-0.570049,0.071326
premier,1.031813,0.162807,-1.207282,-1.859061,0.412906,0.031955,0.820925,0.324718,0.221004,-1.285211,1.311286,-1.477733,0.86948,0.088484,-0.627731,-0.028663,-1.551997,-0.404993,-0.898963,-2.315891,-1.629479,0.03711
ensemble,-0.012286,0.169807,0.353663,-1.976635,1.427345,0.140051,0.483821,-0.728307,-0.102399,-1.230858,0.985158,-0.47842,1.726223,-1.462072,-1.035809,0.860999,-2.838116,-1.281424,-1.677473,-0.608786,0.19327,-0.375562
point,-0.062501,1.041801,-0.228361,-2.117127,1.231917,0.389117,1.081456,-1.167212,0.929356,-1.407546,1.484833,0.485552,1.233308,-0.648508,0.581671,-1.242329,-2.90912,0.354219,-0.103756,-0.33325,-0.576869,-1.098437
théorie,0.436529,1.130173,0.065624,-0.399973,1.577835,0.643838,0.501293,0.853359,0.930754,-1.860511,1.556866,-0.524442,0.311446,-0.113418,-2.416068,0.943711,-2.143988,0.197578,-1.26156,-0.907628,-0.970886,0.639881
exemple,0.249769,0.334918,-0.309633,-2.235139,1.369937,1.108024,1.053094,-0.20164,0.133879,-0.665704,1.295054,-0.186774,0.557788,-0.610016,-0.223391,0.46416,-2.232947,-0.353056,-0.921773,-0.879939,-0.975938,-0.053215
espace,-0.142346,0.703052,0.073768,-1.907661,2.522622,0.145341,-0.400973,-0.503395,1.537146,-0.640559,-0.241755,0.5427,1.744456,-1.406911,-0.715784,1.187571,-3.254905,0.12777,-0.478663,0.794134,-0.284599,0.741663
théorème,-0.755418,0.252589,0.038274,-0.524874,1.263159,1.788982,-0.257993,0.543364,1.306252,-1.535675,1.512393,-1.994323,0.732661,-1.498253,-1.001026,0.587044,-2.618951,0.666689,0.218331,-1.419912,-0.478868,0.28934
problème,-0.094465,0.683091,0.127371,-0.977947,1.150951,1.006831,1.121539,-0.256181,1.443813,-2.19891,2.16011,-0.067202,0.775577,0.274511,-1.163148,0.009914,-0.928235,-0.327613,-0.776279,-1.100077,-1.612803,-0.088584
valeur,-0.802293,-0.218784,-1.26463,-2.787406,0.952542,1.319001,1.598245,-0.883925,0.182455,-0.316451,0.672874,0.109532,0.55038,-0.431349,-0.154219,-0.374058,-2.017814,-0.47314,-1.190236,-1.054425,-0.415482,-0.361522
groupe,0.141476,1.635215,0.646612,-1.726838,1.47595,-0.532568,-0.984839,0.061338,0.502851,-1.592944,0.130937,-0.790424,1.709765,-0.605716,-0.672796,-0.207021,-2.166308,-0.44439,-1.486188,-0.598964,-0.770775,0.558095
