word,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
un,-1.081177,-0.380052,0.39521,0.617445,-2.551833,0.01938,0.993954,-0.148506,-0.030886,-0.2318,0.183866,-0.074542,-0.19332,0.38472,-0.273159,-0.069824,0.696672,-0.687025,0.115054,-0.087589,-0.130144,0.705841
nombre,-0.996237,-0.426339,-0.436786,-0.402492,-2.527745,0.096046,0.512083,-0.496606,-0.300229,0.595333,0.219177,0.370599,-0.186729,0.215938,-0.385985,-0.403402,0.037027,-1.106305,-0.649465,-0.065747,-0.824692,0.090624
$\mathbb{N}$,-0.98333,-0.115885,-0.099706,0.248029,-2.279361,-0.160543,0.428061,-0.116043,-0.180224,0.212957,0.222053,-0.323986,-0.764031,0.33581,-0.505269,0.015848,0.564154,-0.503183,0.016376,0.703601,-0.359331,0.107152
deux,-0.714782,-0.875754,0.322743,0.966061,-2.2626,0.579683,0.763388,-0.148158,0.102642,0.839014,0.157453,0.106343,-0.266325,0.221996,-0.173403,0.112403,0.54002,-0.606735,0.175261,0.111503,0.167547,0.425137
fonction,-1.78496,0.314781,0.540832,0.787284,-1.455006,-0.137131,0.390704,-0.01205,0.19707,0.284599,0.509375,0.969648,-0.450142,-0.001559,-1.146062,-1.131872,0.538115,-0.400607,-0.258869,0.119598,-0.905774,-0.076994
premier,-0.720489,-0.486737,0.39341,0.53934,-1.949093,0.364009,1.043103,-0.301139,-0.489123,0.987365,0.498128,0.098107,-0.152322,0.990157,0.125773,0.24815,0.062118,0.426827,0.339035,0.091257,0.027277,0.092008
ensemble,-0.96932,-0.727464,0.270336,0.721667,-1.703795,-0.471745,1.06331,0.068615,0.175933,-0.482703,-0.234274,0.847026,-0.534856,0.17765,-0.190571,-0.248603,0.032497,-0.352244,-0.017897,-0.165913,0.171606,0.559789
point,-1.069069,-0.564501,-0.274288,0.204603,-1.700133,0.453684,0.828781,0.100295,-0.744639,1.142714,-0.298778,0.329561,-0.844943,0.149371,-0.056803,0.468835,-0.388527,-1.399616,-0.47508,0.002179,0.376856,-0.373187
théorie,-1.371797,2.112579,-0.650718,0.433127,-1.163676,-0.555773,1.084949,0.312606,-1.510387,-1.212592,-1.38093,0.269699,-0.602907,-0.638363,-0.786265,-0.63607,0.092931,0.061389,0.271528,0.054337,-0.844898,-0.442536
exemple,-0.911398,0.209143,0.267436,-0.05771,-2.054707,-0.474561,0.317191,-0.124091,-0.352762,-0.754074,0.306909,0.434616,-0.228561,-0.210029,-1.168018,-0.384152,0.20262,-0.947845,0.315442,0.453206,-0.291891,0.517779
