word,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
un,0.100812,0.17292,0.15092,0.053846,0.715183,-2.221006,0.467159,0.302706,0.826053,-0.830536,0.906846,0.135924,0.135076,0.321471,-0.147224,1.101752,0.378648,-0.045564,-0.530115,0.025497,0.907741,-0.138329,-0.041605
nombre,-1.25035,-0.010011,0.002126,0.381678,0.268856,-2.255718,-0.289417,1.207036,0.729692,-0.191881,0.907999,-0.418154,-0.437096,0.598506,0.394567,0.715999,-0.610437,-0.142355,-0.782229,-0.292715,0.39424,-0.592075,0.479462
$\mathbb{N}$,-0.113795,0.584511,0.100041,0.415568,1.018317,-2.013207,0.254354,0.521693,0.58453,-0.316809,0.729436,-0.358084,0.481382,-0.124817,-0.12881,0.92626,-0.310118,-0.071248,-0.893344,-0.389082,0.37238,-0.29379,0.003562
deux,0.4182,0.039795,0.301521,0.689788,0.09412,-2.149482,0.513696,0.222786,0.692523,-0.803823,1.186351,-0.118848,0.4964,0.266494,0.389502,1.004647,0.474208,0.254726,-0.423258,-0.409759,0.424486,0.043898,0.232439
fonction,-0.626415,-0.117769,-0.235823,0.192508,0.809393,-2.373547,0.855038,0.989839,0.029166,-1.180488,-0.203113,-0.653156,-0.700055,0.256282,-0.142085,-0.316768,-0.184665,0.215036,-1.223871,-0.938782,0.090254,0.842968,-0.339948
premier,0.013756,0.347913,-0.498973,0.642535,-0.421595,-1.399279,0.080487,0.501376,0.971284,-0.686912,1.117826,-0.185245,0.958482,0.195157,0.034765,0.434137,0.750167,0.035844,-0.444515,-0.644251,0.749829,-0.327415,-0.169404
ensemble,0.102082,-0.130536,-0.17114,-0.306931,0.798506,-1.819823,0.531088,0.208599,-0.131641,-1.080606,0.969974,-0.679599,-0.153987,0.638408,0.005995,0.314754,0.07831,1.008399,-0.340723,-0.10538,0.641522,-0.226808,-0.165579
point,-0.559794,0.097856,-0.081868,0.521105,-0.069859,-1.887964,0.280747,0.498925,0.573741,0.446753,0.926441,-1.56801,-0.124643,0.057614,0.563441,1.266912,-0.101993,0.709539,0.108248,-0.813556,0.570085,-0.583241,0.381579
théorie,-1.368737,0.454163,-0.096216,-1.392762,0.778837,-0.419152,0.564353,0.41349,0.235459,-1.186119,-0.757883,-1.541287,-0.442997,-0.221555,-0.301934,0.418861,-1.590609,0.626629,-1.109627,-0.774051,2.140974,0.739783,-0.416674
exemple,-0.28623,0.229851,0.45783,0.05083,1.344217,-1.737425,0.133557,0.754171,0.225461,-1.121658,0.055758,-0.230345,-0.731056,0.26623,-0.391295,0.841122,-0.224618,0.317631,-0.680889,-0.102188,0.775507,-0.295345,-0.384642
espace,-0.087496,-0.744631,0.326904,-1.312397,1.069548,-1.974537,0.455169,-0.118207,-0.400963,-0.680294,0.964397,-1.002509,-0.931799,-0.165806,0.546818,0.688141,0.203843,0.956725,0.339114,0.168752,0.885468,0.154634,-0.412358
théorème,-0.907261,-0.149767,-0.322671,-0.852629,0.447229,0.158513,1.334197,0.507376,0.013896,-1.029973,-1.551773,-2.021069,-0.99941,0.528333,0.694323,0.264724,-1.409319,2.279713,-0.955008,-1.506954,-0.216614,1.505069,0.44487
problème,-0.802962,0.552135,-0.026964,-0.339422,1.08741,-1.642134,0.635125,0.087552,0.472625,0.057142,-0.396314,-0.900275,-0.532679,-0.332685,-0.638127,0.548194,-0.35463,-0.043619,-0.696683,-0.712683,1.337138,-0.059598,0.07238
valeur,-0.978688,-0.323088,-0.025177,-0.118616,1.438582,-1.747107,-0.154149,0.885433,0.63341,-0.360898,0.743403,-0.647724,-1.093256,0.298465,-0.055201,0.197163,-0.874542,0.82231,-1.379661,-0.359018,0.656755,-0.507133,-0.134037
groupe,-0.128532,0.608913,0.358146,0.263935,0.050903,-1.262615,0.772985,0.643644,0.165591,0.143331,0.904844,-0.150907,0.72532,0.846056,-0.536809,0.275338,0.869498,0.285545,-0.115809,-0.306391,0.80003,-0.361512,-1.63742
graphe,-1.051017,-1.042132,0.555081,-0.069981,0.224553,-0.071744,1.404283,0.635479,-0.251286,-0.815949,-1.053411,-1.334344,-1.328563,1.389819,1.440872,1.142093,-1.338497,1.08634,-0.23053,-0.007849,-0.896609,0.551833,0.801666
forme,0.503158,0.009464,0.476329,0.29175,1.077761,-1.614324,0.157874,0.380095,0.193132,-1.469532,0.400631,0.079094,-0.854296,0.476276,-0.128592,1.276869,-0.42732,0.908106,-0.597934,-0.046641,0.882694,-0.101764,-0.356827
entier,-0.506171,-0.237772,0.199701,0.264297,0.806074,-1.53349,-0.048178,0.734922,0.403638,-0.668612,0.527249,0.014424,-0.412475,0.529796,0.350077,0.576631,-0.745389,0.572578,-0.627023,-0.207751,0.271833,-0.436815,-0.314457
système,-1.053396,0.553915,0.357327,-0.055907,0.989983,-1.773858,0.174597,0.521605,0.258334,-0.855223,0.062109,-0.964946,-1.823144,0.46497,-0.366047,0.810747,0.976103,-0.45435,-0.588312,-0.662087,0.998965,0.384733,-0.868593
équation,-1.28936,0.89817,0.784173,-0.695129,0.845341,-0.616862,0.847386,0.912902,0.352886,-1.319025,-1.675287,-1.866418,-1.357008,0.019504,0.347444,0.46672,-1.002289,1.550986,-0.688885,-1.907086,0.092771,1.050413,0.429094
suite,-0.086483,0.652232,-0.319784,0.471114,0.298923,-1.606203,0.380147,-0.386311,0.664003,-0.386396,0.675174,-0.221556,0.805868,-0.118777,-0.567416,0.11934,0.323778,-0.490425,-0.408663,-0.923852,0.344701,-0.311579,-0.175914
algorithme,-1.120961,0.542887,-0.130012,-0.398257,0.946886,-0.101836,0.628294,0.595744,-0.242413,-0.894083,-1.834765,-1.864119,-1.762324,0.258291,0.282829,1.305736,0.366117,0.618616,-0.767791,-0.832315,-0.041006,0.046926,0.306403
calcul,-1.736739,0.150735,-0.17442,-0.685975,1.057509,-1.06818,-0.043171,1.065211,0.220637,-1.10835,-0.772135,-1.526031,-1.803091,-0.163258,0.545209,0.42758,-0.01235,0.459306,-1.020559,-1.056597,0.790977,-0.11783,0.747638
application,-1.028089,0.019631,-0.170004,0.038376,1.856578,-1.516787,-0.28895,0.498101,-0.339743,-0.903614,-0.593228,-1.250858,-1.483581,0.438708,-0.440776,-0.335854,1.06033,-0.240566,-0.502478,-0.840005,0.881061,0.267173,-0.659922
élément,0.042979,0.165541,0.484933,0.064485,1.335963,-1.498771,0.150576,0.349918,0.079512,-1.446992,0.573792,-0.680568,-1.052169,0.201515,-0.068217,0.856991,-0.444069,0.540593,-0.862628,-0.092165,1.176361,0.084126,-0.093539
grand,0.5547,-0.125206,-0.500642,0.009587,0.10889,-1.476365,0.177148,0.048755,1.010045,-0.551218,1.543198,0.362706,0.582683,-0.131911,-0.072944,0.883275,0.301928,0.523094,0.028476,0.162498,0.899886,0.256512,-0.07011
propriété,-0.216013,-0.025466,-0.583384,-0.372007,1.718066,-1.637088,0.033182,0.468456,0.344776,-0.982037,0.15589,0.173716,-0.62701,0.554771,-0.009271,-0.302021,-0.217307,0.900124,-0.585598,-0.442192,0.078282,1.458075,0.238703
ordre,0.104131,-0.159049,-0.377472,1.13146,0.103467,-1.378482,0.031779,0.345306,1.012777,-1.480886,0.673848,-0.219486,0.471272,-0.317499,0.084487,0.028982,-0.972823,-0.635048,-0.892743,-0.65847,0.10496,1.145368,-0.630542
variable,-1.150548,-0.347207,0.774945,-0.031132,1.243819,-1.656506,-0.17356,0.765304,0.603975,-0.520711,-0.827638,-0.74292,-1.656658,0.926057,0.191111,0.816059,-0.517954,0.936029,-0.278563,-1.157744,0.188449,-0.439144,-0.055691
base,-0.207611,-0.183239,0.301275,0.621255,0.723939,-1.566641,-0.398596,0.693085,0.332199,-0.899541,0.427934,-0.60409,-1.144062,0.964386,-0.075183,1.077591,0.349272,-0.174826,-0.297651,0.186078,0.703704,0.597931,-0.361827
géométrie,-0.681595,-0.505141,0.519521,-0.895525,0.052516,-0.099573,0.892438,0.634967,-0.758355,-1.930391,-1.02205,-1.794534,-1.474827,-0.022883,0.923223,0.397332,-0.754566,1.366638,-0.628474,-0.664781,1.579261,1.068792,0.513658
analyse,-0.929356,-0.392537,0.07139,-1.350002,0.871271,-1.127345,0.1189,0.685859,0.269284,-1.050997,-0.836153,-1.444056,-0.523215,-0.23512,-0.876817,0.244562,-0.522782,0.129096,-0.448136,-0.328771,1.6301,-0.291081,-0.105692
loi,-0.807765,-0.058504,-0.605883,0.036628,0.985483,-2.216168,-0.469195,0.022105,0.431967,0.00762,0.124796,-1.353291,0.30943,0.550734,-1.078565,-0.886296,-1.040463,-0.538443,-1.231659,-0.547742,-0.250566,0.486022,-0.714147
définition,-1.1265,-0.090909,-0.01388,-0.619541,1.056157,-1.425046,0.046337,0.947548,-0.042089,-0.960996,-0.40852,-1.536347,-1.257687,0.18503,-0.252436,0.466768,-0.880887,0.638119,-0.786742,-0.422018,0.658268,-0.306746,-0.661597
réel,-0.842486,0.345961,0.277967,-0.819298,1.529833,-1.480929,0.321668,0.286198,0.338176,-0.445986,0.158922,-1.094617,-0.313473,-0.108645,0.023576,0.738994,-0.368909,0.435938,-0.918802,-0.642523,0.80437,-0.743782,-0.399877
dimension,-0.474369,-0.325702,0.603932,-0.336858,1.206879,-0.89095,0.169238,-0.312403,-0.051587,-0.773862,0.657401,-1.457735,-0.771421,0.667532,0.873626,0.936464,-0.497013,1.090587,-0.506706,-0.477115,1.248352,-0.405694,-0.077576
