word,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
un,1.205874,0.11361,-0.109224,-0.037435,-0.522061,-0.097504,0.097875,1.79163,-1.611996,-2.467036,-0.684308,0.656572,1.410972,0.091541,-1.246251,1.189589,0.012457,0.078082,0.571258,0.362229,-0.695246,3.310259,-0.303138
nombre,0.88739,-0.103703,-0.485167,0.350421,-1.702234,-0.192887,0.509107,2.341313,0.353118,-2.79067,-0.543069,-1.044019,-0.422468,0.38289,-1.261939,2.596811,-1.356948,0.956691,-0.392525,0.524608,-1.570152,2.091459,-0.567882
$\mathbb{N}$,0.963304,-0.286274,0.408832,-1.217722,-1.613951,0.049431,-0.192639,1.353998,-0.33382,-2.0328,-0.77421,-0.301288,0.010863,-0.037031,-0.196614,1.149642,-0.322588,-0.3521,-0.119081,0.66778,-0.841652,3.210832,-0.573036
deux,1.591574,-0.030986,0.460066,-0.978836,-0.658181,-0.193149,0.46299,2.457672,-1.048183,-2.434929,-1.199062,-0.377055,0.241184,0.155316,-0.86734,0.986503,0.349572,-0.286699,0.396079,0.22573,-0.116265,2.385826,0.0583
fonction,0.96841,0.374214,-0.070197,0.041924,0.213914,0.532631,-1.140913,2.755803,-1.107491,-0.429287,-0.096795,-1.358639,-0.139307,0.237945,-0.063569,0.172666,-1.035993,0.133626,0.508348,1.258258,-0.856821,3.726925,-0.518733
premier,1.562363,0.520595,-0.647019,-0.356926,-0.894776,0.401724,0.836273,1.784149,-0.261161,-2.389145,-0.125454,-0.69875,0.378515,0.432225,-1.701998,1.631296,-0.568795,1.113697,-0.458315,0.131497,-0.86665,2.042718,-0.689601
ensemble,-0.141653,-0.595116,0.526704,-1.161259,-0.649961,-0.754625,-0.33483,1.702569,-1.639016,-1.861184,-0.398667,-1.210338,0.479768,-0.814334,-0.184199,1.407847,-0.884983,-0.360446,0.477541,1.75145,0.300719,2.996548,-0.478643
point,1.276784,-0.400859,1.184752,-0.510885,-0.552243,-0.372996,0.48743,3.177864,-0.995019,-1.268727,-0.567206,0.522716,-0.324909,0.27395,-0.130152,-0.271274,1.192809,-0.702831,0.275565,0.739105,0.157172,2.987963,-0.845956
théorie,-0.000998,0.313522,-0.736284,0.35655,-0.685797,-0.06224,-1.088184,1.7847,-1.283143,-2.143834,0.058517,-0.295833,2.25335,-0.257858,-1.640204,-0.166661,-1.128784,0.261402,-0.875325,0.948325,0.686752,1.940024,-0.823356
exemple,0.826086,-0.223177,-0.02826,-0.164237,-1.537058,-0.529774,-0.743721,1.869274,-0.974684,-1.956503,-0.457502,-0.032175,0.491463,0.468384,-0.296645,0.854638,-0.2409,0.023139,0.152266,0.711364,-0.537654,2.568871,-0.419754
