word,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
un,0.395679,-0.790976,1.509066,0.65702,-0.518399,-0.966038,-1.559297,-0.731405,-0.517492,-0.206528,0.391173,-0.883191,0.748151,-0.200086,0.31074,0.06053,0.003397,0.534026,0.39977,-0.620644,-0.288208,-0.210287,-0.570996
nombre,1.175905,-1.658757,0.80026,0.434337,0.091766,-0.562986,-1.008575,-0.556908,-1.373361,0.39164,0.101555,-0.173443,0.929992,-0.299604,0.415955,-0.137567,0.671624,0.661977,0.179057,-0.33594,-0.677186,0.170447,-0.390178
$\mathbb{N}$,0.450303,-1.120733,1.146589,0.790782,-0.723085,-1.002067,-1.2036,-0.144218,-0.621675,-0.067674,-0.11671,-0.548347,0.357965,-0.424546,-0.105609,-0.198653,0.553852,0.846036,0.256142,-0.272692,-0.196041,0.351153,-0.306619
deux,0.428436,-0.741738,0.666632,0.452077,0.054183,-0.894897,-1.920035,-0.659635,-0.501539,-0.42317,0.15977,-0.868454,0.399306,-0.265004,-0.078757,0.027305,-0.2045,1.189745,-0.125387,-0.396513,-0.317257,-0.28837,-0.892901
fonction,-0.161888,-1.485577,1.184687,0.954015,-0.891594,0.030261,-1.016052,-1.025034,-0.605414,0.226045,-0.252684,0.244448,0.271473,-0.460624,0.945114,0.264233,-0.276596,1.043236,0.700869,0.924596,-0.568542,-0.006029,-0.678813
premier,0.75216,-0.39694,0.427998,-0.235191,-0.382848,-0.104081,-2.095351,-0.496769,-0.780534,-0.956475,0.246668,-0.372504,0.094759,0.177817,-0.287087,-0.392112,0.241915,0.629487,-0.146972,-0.083163,-0.254713,-0.233366,-0.645535
ensemble,0.1299,-0.615813,1.111028,-0.152862,-0.617064,-0.550709,-0.909832,-0.685195,-0.344365,-0.436536,-0.030003,-1.130761,0.303279,-0.017196,1.096364,0.466706,-0.310223,0.902811,0.123466,-0.333045,-0.234152,0.081441,-0.080913
point,0.765991,-1.816946,0.106204,-0.684862,0.176644,-0.654922,-0.90635,-0.253753,-0.642587,-0.307897,-0.371915,-0.41751,0.558853,-0.196016,-0.333004,-0.380513,-0.294366,1.485873,0.152255,-1.003845,-0.585998,0.152163,-0.104464
théorie,-0.431833,-1.372519,1.974534,-0.581157,-1.699239,-0.057834,0.751478,-0.258243,-0.1237,0.00045,-0.457347,1.022634,-0.311626,0.655379,0.553626,0.371246,0.411101,0.473597,1.876708,-0.945414,-0.149265,0.59091,-1.104031
exemple,0.279408,-0.719823,1.655086,1.11581,-0.84125,-0.397426,-0.331567,-0.461503,-0.140914,-0.00651,-0.074446,-0.455265,0.650681,-0.244544,0.887039,0.276005,0.386227,0.538408,0.550172,-0.478283,-1.049607,-0.008883,-0.255032
espace,-0.088448,-0.928794,1.23057,-0.411161,-0.836309,-0.636994,-0.518695,-0.782735,0.22581,0.089108,-0.396285,-1.169646,0.983727,0.467608,0.908952,0.652377,-1.317583,0.087973,0.039119,-0.917365,-0.515022,0.375558,0.142428
