word,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
un,1.550898,0.537908,0.414691,-0.788062,1.032924,-0.972849,0.191971,0.444626,-0.468349,0.147604,-0.177073,0.103378,0.466938,-0.784978,0.455497,0.558707,0.71875,-0.092628,-0.238379,-0.66287,-0.252333,-0.195935,1.127156,-0.821317
nombre,1.116156,0.686748,-0.496097,-0.550482,-0.369457,-0.914415,0.363681,0.960915,-0.259704,0.289526,0.373051,0.064781,0.282601,-1.516227,-0.102154,0.89714,0.300119,0.095628,-0.275484,-0.820912,-0.555216,-0.640209,1.227247,-0.964958
$\mathbb{N}$,1.048622,0.726893,-0.053268,-0.360856,0.507288,-1.080024,0.34124,0.533345,-0.552042,-0.085198,-0.10345,-0.264309,0.508472,-0.993389,0.501182,1.220516,-0.064318,0.232741,-0.365423,-0.466596,-0.411477,0.475094,0.904155,-0.487664
deux,1.412512,0.674005,0.335185,-1.060531,0.969217,-0.446793,0.535807,0.479818,-0.352638,0.132092,0.06488,0.296039,1.244515,-1.32646,0.285986,0.489855,0.202106,-0.283167,0.022393,-0.087137,0.053793,-0.04362,0.865941,-0.431806
fonction,0.846917,1.207115,-0.000333,-0.848113,0.133147,-0.643859,1.218526,0.006746,-0.396577,-0.272662,0.277083,-0.08692,0.113868,-0.05241,0.836109,0.208232,-0.10009,0.019869,0.190135,0.088377,-1.471058,-0.543037,1.814988,-1.135257
premier,1.457571,0.342024,0.040611,-1.271698,0.285761,-1.112281,0.538156,0.263765,-0.04416,0.0996,0.16804,0.7803,0.653162,-0.849123,0.62921,0.547835,-0.183298,-0.624495,-0.277626,-0.124361,0.467909,0.376717,0.152457,-0.368824
ensemble,1.142236,0.53704,0.433588,-0.522734,0.393102,-0.622616,0.297365,0.529945,-1.099229,-0.183439,-0.749182,0.285176,0.632184,-0.662463,0.374493,-0.48547,0.449332,-0.166128,-0.357383,0.05968,-0.352923,-0.293369,0.815225,-0.94983
point,0.800097,0.924761,-0.385747,0.040214,0.009962,-0.674128,0.064464,0.673909,0.153678,0.286683,0.123093,1.027467,1.143855,-1.514582,-0.372279,0.489654,-0.687088,0.318164,-0.732383,-0.273392,-0.011911,-0.457164,1.278811,-0.334789
théorie,1.327943,1.285705,-0.996569,1.264692,0.321932,-1.361819,1.023258,-0.260168,0.287743,-0.945741,-0.9444,-0.05306,0.024111,1.385137,-0.157425,0.190337,0.381408,0.423119,-1.595203,-0.222024,-1.563816,-0.444735,0.771292,-0.510611
exemple,0.440975,0.609253,-0.082658,-0.222429,0.562789,-1.204954,0.684341,0.140604,-0.450435,-0.042725,-1.004354,-0.630645,0.211577,-0.542981,0.044587,0.387366,0.75434,0.242446,-0.249391,-0.553626,-0.755437,-0.185626,1.125029,-1.376808
espace,0.744155,0.888819,-0.10429,-0.123826,0.808258,-0.176547,-0.742863,0.862063,-0.461228,0.039861,-0.9813,0.527714,0.5013,-0.115247,0.273742,-1.051142,1.053452,0.531313,-0.832096,0.011511,-0.120365,-0.356095,1.390043,-1.3167
théorème,-0.405519,1.246497,-0.669078,1.377346,-0.721441,0.276768,1.692133,-0.183561,0.147097,-1.568869,-0.283676,-0.782693,0.44004,1.396234,-0.995128,0.20797,-0.05733,0.432354,-1.08513,1.484042,-0.612926,-0.636457,1.231916,0.063756
