word,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
un,-2.012872,-0.434611,0.079796,-0.103394,0.254732,-0.577125,-0.527332,0.493897,0.737675,0.008844,0.224125,-0.836796,-0.489993,0.477678,0.112396,-0.196059,-1.111346,-0.097885,0.421542,-0.242461,0.421757,1.546332,0.307098,0.105608,0.321749
nombre,-1.736879,-0.639228,0.153443,0.288461,-0.334663,0.19809,0.612636,-0.145305,0.176845,-0.161361,-1.166283,-0.470746,-1.259548,0.248705,0.610388,-0.827989,-1.059656,-0.960031,0.563403,-0.860215,0.707448,1.148858,0.434114,-0.167371,0.165501
$\mathbb{N}$,-1.78715,-0.513379,0.121271,-0.823281,0.112708,-0.220315,-0.039645,0.072437,0.173299,-0.347526,-0.199981,-0.368856,-1.203093,-0.138516,0.575329,-0.140164,-0.848916,-0.09285,0.17121,-0.178683,0.636266,1.378987,-0.187428,0.182603,0.741496
deux,-2.463442,-0.634198,0.213408,0.052987,0.55596,-0.511097,-0.672471,0.146957,0.456642,-0.030759,0.099712,-0.665296,-0.261083,-0.130082,0.128473,-0.28155,-0.440152,-0.309375,-0.20104,-0.586657,0.743019,1.016837,-0.008252,-0.047804,0.206148
fonction,-0.772589,-0.734761,-0.334943,-0.069959,-1.0281,0.121634,-0.070272,0.605885,0.210447,-0.79612,0.817401,-1.208823,-1.539353,1.130277,0.751896,0.143495,-0.163897,-0.717248,-0.270376,-1.635316,0.644388,1.431573,-0.208481,-0.138828,0.747626
premier,-2.379737,-0.346463,-0.296395,0.259081,0.206291,-0.628448,0.318144,0.094097,0.225963,-0.184097,0.4268,-0.002998,0.09249,-0.678144,-0.052322,0.282741,-0.269981,-0.406219,0.233075,-0.257525,0.57847,1.264887,-0.070968,-0.031106,-0.115025
ensemble,-1.807776,-1.072683,-0.284819,-0.437228,0.210832,0.027622,-0.297262,0.468531,0.120056,-0.508095,0.158797,-0.864621,-0.499337,1.194121,0.543334,0.041093,-0.448956,0.042821,0.056195,-0.579194,0.244581,0.78957,0.192645,-0.436274,-0.32217
point,-2.399683,-0.256822,0.352923,0.317632,0.993127,0.396737,0.718347,0.189043,-0.628343,0.172822,-0.602326,-0.519336,-1.208625,0.088939,0.045788,-0.752281,-0.598535,-0.626111,-0.192601,-0.707067,-0.052044,0.658449,-0.19865,-0.452582,0.278415
théorie,-0.144837,-0.018794,0.062618,-0.393127,-0.551781,0.839652,0.157173,0.147154,-1.553297,-0.755761,0.511641,-0.413387,-1.51927,0.929649,0.02954,1.172014,-2.357504,0.297517,0.842218,-1.563728,-0.330181,1.270673,-0.411237,-0.577153,-0.340256
exemple,-0.954439,-0.339989,-0.288534,-0.728559,-0.040484,-0.358827,-0.33264,0.220064,0.14143,-0.701648,-0.230394,-0.871227,-0.889823,1.338109,0.36423,0.081806,-1.170123,-0.411647,0.460579,-0.443425,0.454684,1.064877,-0.183836,-0.4371,0.675525
espace,-1.397653,-0.413713,-0.023963,-0.564204,0.520136,0.271561,-0.418282,-0.013973,-0.11209,0.402334,0.355794,-1.365483,-1.289869,2.085289,0.78639,-0.028506,-0.705954,0.244249,-0.172969,-0.458139,-0.179513,0.495922,0.481872,-0.949225,-1.135266
théorème,-0.043056,-0.428956,0.796104,0.007686,-0.394259,0.979276,0.15593,-1.101929,-2.128038,-1.479421,0.095791,-0.507351,-1.531123,1.465156,0.277393,1.349891,-0.360081,0.654989,-0.338325,-3.150061,0.148826,-0.187837,0.35023,-1.175994,0.487298
problème,-0.797764,0.254783,0.131827,-0.196002,-0.00557,0.109851,0.473117,0.653548,-0.50647,-0.133127,0.345066,-0.473907,-1.891218,0.709686,0.582723,0.688684,-1.573638,-0.353245,0.298337,-0.33254,0.044574,0.95649,-0.124097,0.311968,0.847852
valeur,-0.714339,-0.678069,-0.504049,-0.567916,-0.34993,0.291279,0.833975,0.246743,-0.383784,-0.141903,-0.576881,-1.368395,-1.48923,0.947455,0.953037,-0.427267,-0.974147,-0.516667,0.96724,-0.883336,0.670819,1.190311,0.567185,-0.720591,0.353359
groupe,-2.06531,-0.500416,0.217172,-0.535333,-0.062314,-0.362102,0.363823,0.730027,0.765623,-0.352142,0.45358,-0.146206,-0.104249,-0.160825,0.087873,0.268317,-0.061306,-0.033099,0.990426,-0.162177,-0.599787,0.584218,-0.933045,-1.090283,0.060254
graphe,0.414848,-0.606175,1.117311,0.560345,0.643359,0.997726,-0.4401,-1.301528,-0.487938,-1.053742,-0.59179,-0.148935,-0.699983,1.895012,0.68302,-0.476841,-0.258451,-0.558299,-0.03592,-2.922559,-0.094538,-0.547599,0.639347,-0.722871,0.447499
forme,-1.293466,-0.486908,-0.21878,-0.661777,0.414628,-0.310544,-0.923943,0.551904,0.042448,-0.792284,-0.683832,-1.261911,-0.09218,1.346701,-0.107047,-0.201179,-0.961765,-0.182084,0.350807,-0.492772,0.524312,1.299474,-0.188721,-0.679896,0.446879
entier,-1.163796,-0.608038,0.31905,-0.471563,-0.205524,-0.174321,-0.105349,-0.422055,0.161661,-0.649168,-0.944125,-0.735396,-0.694669,0.722827,1.001116,-0.149175,-0.603252,-0.351563,0.554378,-0.745026,0.740523,0.835602,-0.054038,-0.577273,0.179004
système,-0.939145,0.420018,-0.792918,-0.40615,-0.149922,-0.754419,-0.287299,0.937807,0.415032,-0.368499,0.418408,-0.819988,-1.816816,1.365554,-0.230156,0.299321,-1.012974,-1.383151,0.253175,-0.829916,-0.569122,1.054573,0.39843,-0.983114,0.753169
équation,-0.19337,0.288834,0.139435,-0.143592,-0.907531,0.579225,-0.330906,-0.622592,-2.06818,-0.667996,0.109546,-0.280694,-2.167193,1.540886,-0.230542,0.997903,-1.036365,0.087846,-0.264477,-2.76006,0.426041,-0.091971,-0.19811,-1.082982,1.45156
suite,-1.75585,-0.301391,-0.269258,0.230925,0.068821,-0.580783,0.004974,0.633129,0.027893,-0.217116,0.42789,-0.073656,-0.754296,-0.682526,0.390494,0.518626,-0.090697,-0.026945,0.152219,0.244182,0.369483,1.098255,-0.30176,0.399849,0.360589
algorithme,0.162047,0.293077,-0.113627,-0.137503,0.435344,0.155844,0.445805,-0.538125,-0.887898,-1.699328,0.167989,-0.170133,-1.734831,1.421897,-0.137577,1.262101,-1.250534,-0.778013,-0.984605,-1.374086,-0.269408,-0.273009,0.489297,-1.195586,1.503456
calcul,-0.163094,-0.141725,-0.760585,0.108608,-0.262727,0.312557,0.753794,-0.28586,-0.836586,-0.40929,-0.166012,-0.38068,-2.10765,1.655108,-0.238383,0.671522,-1.464146,-1.118504,-0.171404,-1.498335,0.780467,0.66966,0.658696,-0.898689,0.777984
application,-0.127792,-0.494311,-1.241382,-0.430603,-0.625017,-0.533304,0.331167,0.498122,0.115369,-0.315148,0.568403,-0.578198,-1.800665,1.709411,0.557239,1.104511,-0.735387,-1.666895,-0.354297,-0.550739,-0.522107,1.04993,-0.194243,-1.018612,0.670277
élément,-0.832375,-0.747724,-0.533549,-0.670457,0.350253,0.010603,-1.045632,0.519976,-0.173436,-0.468935,-0.514302,-1.237694,-0.832486,1.148526,-0.111021,-0.049655,-1.483038,-0.406781,0.521598,-0.793014,0.454454,1.356064,-0.314327,-0.711775,-0.036942
