word,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
un,1.232181,-0.388893,0.279845,-0.080572,-0.572056,1.29228,0.440934,-0.239466,0.880383,-0.153148,4.110221,-0.015268,-1.001609,0.347811,1.115605,-0.228646,-0.095536,0.583737,0.11679,-0.162757,0.474649,-1.675431,-0.085904,-1.916838,0.141536
nombre,1.421537,0.106737,1.260419,1.050346,0.804237,1.158356,0.695492,-1.501679,-0.076156,0.381133,3.526645,-0.322004,-0.026213,-1.494389,0.832274,0.33579,0.686961,-0.363645,1.176471,1.055671,-0.073605,-2.897312,-0.537037,-1.381852,-0.522916
$\mathbb{N}$,0.659189,0.259123,1.275746,-0.360211,0.621971,0.698051,0.545209,-1.187357,0.457703,-0.307558,3.1801,0.034719,-1.36826,-0.81158,-0.338078,-0.44693,0.773002,0.014526,0.09872,-0.391219,0.678117,-2.030449,0.731276,-1.430034,0.476739
deux,1.81114,0.317862,0.846987,0.398837,-0.125667,0.905473,0.197535,0.621182,0.518717,-0.092234,3.258756,0.024126,-1.447206,-0.472579,0.968229,-0.649002,-0.567084,-0.31428,0.764757,-0.357812,0.061555,-1.858513,0.599625,-1.72939,0.314104
fonction,-0.17289,-1.362484,0.271111,0.362851,0.392081,1.140544,0.49804,-0.449818,1.427967,0.367162,3.730275,0.496922,-0.98827,-0.635667,-0.007112,-0.928087,0.279244,-0.766651,0.931502,-0.09794,1.854651,-0.629756,-0.827746,-1.388318,1.222328
premier,0.86458,0.222835,1.055574,0.491145,-0.104757,0.477541,0.763824,-0.338554,0.09129,0.230813,3.279005,-0.109272,-0.017703,-0.280768,0.861969,0.367676,0.441164,-0.558958,1.381034,1.131917,0.035212,-2.563252,-0.196711,-1.748065,-0.793827
ensemble,1.068013,-0.737751,0.840813,-0.550258,-0.047611,2.369671,0.996873,0.10402,-0.670547,-0.685209,3.616581,0.445865,-1.606992,-0.681845,-0.324092,-0.360096,-0.527276,-0.367775,-0.704272,-0.534679,0.570495,-0.930836,0.490482,-0.988248,0.151568
point,0.372801,-0.456758,0.005041,0.124968,0.651878,1.350304,0.093533,0.783537,0.988184,0.479296,2.731616,0.216674,-2.014862,-1.02438,1.170756,-0.214411,-0.916627,-0.249174,0.65217,-0.761677,-0.086045,-1.000228,1.798482,-1.680858,2.068595
théorie,0.163265,-0.203197,1.323504,-0.932268,0.081706,1.751155,0.694367,0.386827,0.427915,-0.606458,3.316257,-0.262084,0.02329,0.701334,0.364793,1.33685,-0.212247,0.876496,-0.24007,1.076467,0.298772,-0.480233,-1.453018,-1.909569,0.712987
exemple,0.498617,-0.320557,0.953745,0.070551,0.33193,0.991453,-0.265174,-0.442607,0.37447,-0.149591,3.163122,-0.282932,-1.723264,-0.412869,0.569277,-0.02366,0.399749,0.422526,-0.02425,-0.033892,0.367324,-1.38418,-0.372092,-1.418828,0.29562
espace,1.337518,-2.089122,0.861641,-0.732973,1.1126,1.255031,-0.169326,1.297535,-0.027534,-0.31241,3.323506,0.663418,-1.882653,0.090081,-1.008746,-0.293055,-0.0863,1.612246,-0.039135,-1.208136,0.260988,-0.728557,-0.54617,-0.601765,1.969302
théorème,-0.039403,-0.652723,1.475928,-0.348139,1.142151,1.589548,1.674451,1.622592,0.15851,-0.734265,2.86552,0.256857,-0.575391,-0.673142,1.346515,0.194832,1.926803,0.159571,0.515027,0.497348,0.815745,-0.28481,-0.998367,-1.319286,1.538403
problème,0.14862,-0.862108,2.090299,-0.612293,0.55478,1.076789,0.799323,-0.79921,0.28264,0.432374,3.057369,0.237103,-0.475008,-0.292005,1.778006,1.478225,-0.363569,0.666347,-0.936753,0.833998,0.143036,-0.969992,0.409095,-0.735197,0.935514
