word,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
un,0.193833,-0.573549,0.653404,-0.197832,0.288995,-0.012999,0.086017,-0.853791,-0.295342,-0.244638,0.213908,-0.712589,0.580218,0.481398,0.658368,-0.285364,2.196657,0.163846,-0.097128,1.070305,-0.107629,0.22687,0.887681,-0.122527,0.459368
nombre,0.05349,0.112712,0.158313,-0.23486,-0.513539,-0.025997,0.788005,-0.54328,0.070736,-0.586688,-0.223436,-0.444809,0.774325,0.384499,0.604503,-0.861467,2.178606,-0.7238,1.131529,0.972698,-0.132755,0.832423,0.24812,-0.256878,0.19386
$\mathbb{N}$,-0.228482,0.043901,0.362793,-0.594653,0.404321,-0.06588,-0.279306,-0.510507,0.166608,-0.416624,-0.0516,-0.692178,-0.162565,0.762579,0.449862,-0.37438,2.099783,-0.402734,0.508919,1.18568,-0.314757,0.398744,0.395237,0.085518,0.271963
deux,0.107551,-0.904816,0.803419,-0.577748,0.264103,0.075785,0.510635,-0.888809,-0.397647,-0.439538,-0.262809,-0.591293,-0.269113,0.527669,0.783071,0.377711,1.901294,0.094543,0.526815,1.016959,0.203946,0.285042,0.681914,-0.336722,0.58943
fonction,-0.923429,-0.430594,0.558873,-0.470941,-0.100009,1.104738,-0.03424,-0.548985,0.002914,-0.585001,-0.927539,-0.811744,1.330282,0.631207,0.365163,-0.200409,1.881428,-0.121062,-0.035068,1.212791,-0.507501,-0.343497,-0.669988,0.307281,-0.417217
premier,0.089356,-0.44214,0.320248,-0.344935,0.515745,-0.199777,0.037511,-1.578505,-0.487872,-0.649855,-0.505393,-0.242984,-0.512522,0.163764,0.38745,-0.21333,1.500808,0.464693,0.50063,0.50057,0.355852,0.560334,0.1232,0.140226,0.779288
ensemble,0.428796,-0.351261,0.683459,-1.101471,0.343196,0.264886,0.001302,-1.166267,0.042063,0.220527,0.150214,-0.318377,1.15753,0.263113,0.279978,0.208917,1.189394,0.20921,0.268718,0.91074,-0.1887,0.090464,0.387163,-0.22407,0.548648
point,0.514294,-0.131253,0.635513,-0.578301,-0.128806,0.204514,0.735753,-0.238992,0.038521,0.095588,-0.611754,0.174755,-0.050571,0.800299,-0.220438,0.088447,2.118086,-0.839842,1.241969,0.244234,0.779006,0.663741,0.338551,-0.220827,0.841324
théorie,0.788663,1.351192,-0.474954,-0.604798,-0.164095,-0.05947,-1.286085,0.748171,0.068172,0.140405,-1.114016,0.220681,2.074453,0.343455,-0.813055,0.030244,1.551035,0.232061,0.035806,1.741189,-0.293166,0.011171,-0.471414,1.595524,0.525122
exemple,0.331176,-0.282287,-0.037131,-0.372311,-0.330608,0.348491,-0.775952,-0.280876,-0.104184,0.071565,-0.047665,-1.066548,1.035778,0.905133,0.384469,-0.710809,1.453475,-0.287338,0.090122,1.232868,-0.508452,0.02073,0.415468,-0.1425,0.206165
espace,0.496042,-0.452802,0.839269,-0.815345,-0.010518,0.238293,0.000663,-0.673952,-0.421013,1.367316,0.787069,-0.164745,1.795192,0.27742,-0.003491,0.423386,1.612832,-0.355896,-0.323842,0.810682,0.367051,0.332266,0.228335,0.126699,-0.07345
théorème,0.105187,0.647096,0.271401,-1.420084,-1.337292,0.026847,-1.09538,1.353444,0.269576,-0.543695,-1.212052,0.565147,1.336246,0.660798,-1.063895,1.265255,-0.278304,-0.85313,0.129469,0.989451,-0.736732,-0.144874,-1.048283,1.280396,-0.315836
problème,-0.127411,0.319653,-0.193363,-0.086031,0.339921,0.190836,-0.548464,0.134699,0.461789,0.233277,-0.609785,-0.153667,0.723258,0.507154,-0.642769,-0.71334,2.642456,-0.222183,-0.35238,0.564201,-0.614588,0.259531,0.100149,0.415894,0.392374
valeur,0.273775,0.786438,-0.133412,-1.021793,-0.877029,0.592447,0.197792,-0.404291,-0.448551,-0.514646,0.329856,-0.457954,1.61611,0.816387,-0.501369,-0.659901,2.040957,-0.64149,0.692951,1.048775,-0.490092,0.308123,-0.234677,-0.075468,-0.294628
groupe,-0.201875,0.017175,0.148615,-0.634612,0.656157,-0.578891,-1.084667,-1.033871,-0.355897,-0.019939,-0.311033,-0.041431,0.377291,0.535595,1.067741,-0.703152,1.41516,0.511038,0.523082,-0.281435,0.438158,-0.254785,-0.108215,-0.931147,1.1724
graphe,0.539985,0.115101,1.129264,-0.429051,-1.674205,0.330742,-0.786955,0.857981,0.000323,0.655631,-0.030084,-0.15068,1.841536,-0.007332,-0.218701,0.472118,-0.330424,-1.231001,0.672792,0.350878,-0.390986,0.005547,-0.187327,0.234914,-0.688851
