word,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
un,0.62662,-0.403919,0.522676,-0.64995,-0.088815,-1.268479,-0.711507,0.761011,-0.237367,0.510158,-0.793969,-1.114441,0.19571,1.045999,0.900603,-0.647412,-0.058855,0.035843,-0.239687,0.074426,-0.219494,0.212164,-0.392091,-0.39202,-1.149025,0.783131
nombre,0.426792,1.03502,0.302803,0.324222,0.307693,-0.600403,-0.764121,1.294937,-0.846224,1.287841,-1.084031,-0.536213,0.366883,1.452252,0.512854,-0.439918,-0.253656,0.903078,0.293984,0.104567,-0.821237,0.838443,-0.52215,-0.108225,-0.627649,0.198639
$\mathbb{N}$,-0.034119,0.171995,-0.128239,-0.544013,0.296871,-0.831155,-0.479409,0.57288,-1.014266,0.582206,-0.696127,-0.980398,0.182946,0.908021,0.710089,-0.36535,-0.136189,0.376329,-0.357601,0.248272,-0.709431,0.116138,-0.226115,0.406981,-1.309801,0.674619
deux,0.685956,-0.083936,1.02338,-0.349738,0.266397,-0.579594,-0.510822,0.791871,-0.333787,0.08557,-1.025504,-0.841208,0.344825,0.561646,0.866379,-0.669937,0.113432,-0.040077,-0.136658,-0.12688,-0.53389,0.025484,-0.656715,-0.036204,-1.629428,0.502686
fonction,0.189226,0.36305,-0.976739,-0.345054,0.907994,-0.93084,-0.780756,1.326792,-0.570461,-0.891218,-0.893052,-0.861793,0.045624,1.312662,-0.171461,-0.132733,0.539595,0.737207,0.407022,-0.278945,-0.030961,0.852297,-1.083492,-0.066724,-0.479224,1.563418
premier,0.88096,0.069886,0.59532,0.158141,0.655876,-0.710731,-0.501128,-0.351641,-0.425039,-0.094507,-1.01335,-0.9108,0.084975,0.511223,0.987751,-0.651226,0.321117,0.028593,-0.493923,-0.293337,-0.160681,0.250243,-0.336932,0.001877,-1.435579,-0.444186
ensemble,0.743488,0.057537,0.086593,-0.488382,-0.185296,-0.669218,-1.023011,1.255512,0.062275,-0.172919,-0.787456,-1.081602,0.133645,0.422037,0.239953,-0.683109,-0.282131,0.146799,0.24694,-0.575693,-0.040792,0.341746,0.062451,0.426525,-0.959159,0.762913
point,0.639032,0.283504,0.552439,0.543876,0.765754,-0.549331,0.208091,1.630058,-1.103222,0.693763,-0.913023,-0.583123,-0.285736,0.498657,0.321616,-1.07435,-0.528174,0.307279,0.263898,-0.550392,-1.023167,0.26773,-0.078016,0.151082,-0.977397,0.043979
théorie,-0.337675,0.958221,-1.737327,-0.498637,0.908488,-1.18876,-1.331566,1.006039,-0.604407,-0.278903,1.093585,-1.909215,-0.032521,0.804433,-0.657125,-0.904828,-1.025074,-0.656454,-0.015705,-0.38663,-0.757341,1.610233,0.150626,-0.342753,0.307234,0.254846
exemple,-0.338177,0.388062,-0.61578,-0.698956,-0.185334,-1.023802,-0.703636,1.61968,-0.138157,0.539206,-0.450426,-1.002851,0.373924,0.946126,0.662009,0.017233,-0.30092,0.284527,-0.409724,-0.11877,0.168035,0.662331,-0.159664,0.14086,-0.648075,0.912808
