word,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
un,-0.462308,-0.350285,-1.013829,-0.612058,0.992504,0.306327,-0.757288,-3.473085,-1.585448,0.839661,0.755865,0.829818,0.335003,0.063053,1.116641,0.686396,1.282457,0.563581,-0.351925,-1.061166,-0.077675,-0.253715,-2.247776,-0.280058,-0.268386,-0.441477
nombre,-1.192233,-2.397103,-1.330546,-1.396903,3.004226,-0.214707,-0.346561,-3.161225,-1.184586,0.079482,0.429088,-0.244285,-0.401457,-0.524876,-0.093068,1.125038,0.908687,0.214929,0.4073,-0.597762,-0.560317,-0.075262,-0.875509,0.585367,-0.897972,0.082185
$\mathbb{N}$,-1.186774,-0.313782,-1.092398,-0.012122,1.485872,1.424316,0.111114,-2.618538,-1.464891,0.300934,1.160942,-0.08937,0.072477,-0.6999,0.512405,0.666198,0.655796,1.586873,0.173807,-0.876712,-0.843698,0.600283,-1.351481,0.47764,-1.166978,0.130143
deux,-0.468746,-1.105075,-1.014964,-0.933768,0.802208,0.718866,-0.681654,-2.347175,-1.888004,0.646884,1.390355,-0.517798,-0.113573,-0.214511,0.424174,-0.048346,1.356714,0.900338,-0.142555,-1.076282,0.159426,-0.825081,-2.027803,-0.295232,-0.446042,-0.40813
fonction,-1.685617,-0.066058,-0.704003,-0.560232,1.177002,1.30935,-0.148029,-3.469371,-1.600129,1.489348,-0.083751,-0.155188,-0.43503,-0.450864,-1.039818,0.04141,-0.202832,0.394072,-0.755159,-0.840471,-0.008422,1.261864,-1.174586,-1.360258,0.338044,-0.354796
premier,-0.364121,-1.813662,-1.539265,-0.527171,2.161868,0.004853,0.194951,-2.956466,-0.97157,0.33929,0.234785,-0.219952,-0.885242,0.137465,0.341477,0.638366,0.606558,0.183488,0.928442,-1.237295,-0.967986,-0.143441,-1.635841,0.12429,-0.274885,-0.407973
ensemble,-0.531016,-0.248713,-0.271768,-0.588428,1.514947,0.426195,-0.499324,-1.64777,-2.731188,1.295602,1.056045,0.829445,-0.324699,-0.845478,0.35446,1.198298,0.256109,2.276141,-0.842096,-1.314364,0.188971,0.415702,-1.528216,-0.111805,0.397053,0.225078
point,-0.295462,-0.714859,-1.18713,-0.344422,0.292243,1.597421,0.128004,-2.049714,-1.691996,1.918007,2.310213,-0.03038,0.328201,-0.080404,-0.410139,-1.03081,1.545703,1.196184,-1.014706,-0.656119,1.239608,0.112906,-1.220479,0.03503,-0.660445,-0.124027
théorie,0.566464,0.24521,-0.202323,-0.726217,1.398702,0.254042,-0.213134,-2.485091,-1.502861,0.756503,-0.066231,2.034733,0.108497,1.280511,0.146031,1.388162,1.224823,0.32542,0.302302,-1.630128,-0.399558,1.230466,-0.859625,-0.535333,-0.052299,-1.235953
exemple,-0.64655,-0.164441,-0.174301,-0.244526,1.534529,0.81445,-0.712382,-2.59248,-1.274795,0.660874,0.88227,0.181461,-0.120343,-0.318635,-0.074103,0.546338,1.061462,0.892355,-0.039843,-0.491667,-0.360902,0.758518,-1.847267,0.090253,-0.922879,-0.179522
espace,0.189359,0.157708,-0.260691,-1.68859,1.200146,1.549991,-0.753987,-1.28849,-1.950976,0.505225,1.190187,0.79275,1.641326,-0.333407,-0.448729,-0.526551,0.101874,1.834065,-1.04092,-1.091173,0.492117,1.691919,-2.68751,-0.535234,0.172224,-1.22749
théorème,0.803096,-0.494433,0.06292,-0.716452,2.079149,0.336972,1.170253,-2.979543,-0.87867,-0.265546,0.564376,0.854812,-0.345154,0.096882,-1.005858,0.543876,1.119243,1.75833,0.079721,-1.202625,0.26063,1.725643,-0.692003,-1.378815,0.139436,-0.925293
problème,-0.100556,-0.392654,0.529679,-0.232238,1.311956,0.248819,0.740918,-3.119656,-1.18872,1.890257,1.211868,1.264845,0.583946,0.636423,0.271479,1.289919,1.71718,0.261365,0.536368,-0.350769,-0.458781,0.243376,-0.030834,0.093733,-0.481119,-0.376233
valeur,-1.668261,-0.105376,-1.295182,-0.192171,1.204409,0.891276,-0.966099,-2.704022,-1.644232,1.12198,1.443609,-0.557979,-0.523438,-0.402651,-0.608036,0.301366,0.715286,0.597874,-0.673394,0.364212,-0.461396,0.63832,-1.027033,-0.035317,-0.306339,0.452593
groupe,-0.027442,-1.347019,-0.329731,-0.421368,1.926664,1.552991,-1.063411,-1.124242,-1.706645,-0.271535,-0.11691,0.90166,1.417013,-0.287939,1.007118,0.014191,1.308975,0.464592,-0.53726,-2.068714,-0.164175,0.467112,-1.540252,-0.160421,0.313261,-1.233084
graphe,-0.04295,-1.392505,1.465553,-1.702024,0.654813,0.531176,-0.647742,-3.058511,-1.664462,-1.387655,1.395904,2.360122,0.699977,-0.538405,0.469785,1.297935,1.21203,1.48731,-0.594541,-0.444268,-0.337161,-1.199324,-0.576334,0.050235,-0.075977,-0.542228
forme,-0.983043,-0.40652,-0.005632,-0.899353,1.282327,1.443212,-0.803043,-2.261614,-1.010337,1.098769,0.015438,-0.044366,0.283399,0.232482,-0.013031,0.150708,0.952394,0.846319,0.029752,-0.575988,0.006547,0.62981,-1.490548,-0.600977,-0.955963,-0.661034
entier,-1.510185,-1.902131,-1.123717,-0.362607,2.326848,0.80191,0.022429,-2.155847,-1.563071,0.751875,-0.286691,-0.658515,-0.342332,-1.172099,-0.446951,1.027166,0.683965,0.950473,-0.10032,-0.956344,-0.368953,0.68662,-1.060553,0.236893,-0.365136,0.025978
système,-0.079205,0.596192,0.475533,0.648971,1.533983,0.96586,-0.940126,-2.517916,-1.528456,1.755326,0.395859,0.616283,0.300729,0.239169,0.829328,0.265779,0.765495,-0.045249,0.126899,-0.057101,-1.176866,0.193262,-1.346101,-0.334022,-0.559243,-1.163514
équation,-0.536558,-0.301867,-0.149485,-0.767672,1.371049,2.046077,0.495391,-2.61004,-1.284677,1.9834,0.176863,-0.141794,0.345543,0.40343,-0.084819,-0.648365,2.112213,-0.288031,0.536056,-0.207196,-0.218085,1.048983,0.209868,-1.012531,0.125187,-1.197532
suite,-1.087557,-0.727671,-1.155628,-1.027742,1.739727,0.057659,-0.133173,-2.570005,-1.282421,0.6095,-0.204472,0.053953,-0.654493,-1.292144,-0.575321,0.551994,-0.579058,1.235114,-0.019031,-0.576493,-0.005409,0.646823,-1.563885,0.023535,0.50886,0.07063
algorithme,-1.074226,-0.076787,0.372598,0.642106,1.124339,-0.287274,0.345034,-3.405177,-1.207569,1.301431,-0.302369,2.320186,0.053799,0.128686,-1.012758,0.029559,1.399746,0.770524,0.148679,0.948542,0.071533,-0.121008,-1.243771,0.834734,-0.043502,0.876326
calcul,-0.68383,0.035193,-0.154449,0.163527,0.911218,0.340502,-0.30539,-2.98391,-0.755166,2.03888,-0.602616,0.122739,-0.60264,0.437477,-0.347758,0.697458,1.302136,0.019488,0.380092,0.387465,-0.821221,0.656034,-1.394357,-0.166676,-0.335908,-0.813274
application,-0.690973,0.502931,-0.153326,0.155464,1.121951,1.803116,-0.25603,-1.486184,-1.555022,1.389793,0.606571,0.926016,0.480517,0.132906,-1.082355,0.262403,0.401246,-0.37442,-0.444078,-1.683029,0.208083,0.747422,-2.178539,-0.00523,0.323452,-1.083244
élément,-0.271818,-1.132253,-0.743779,-0.544711,0.985454,1.042862,-1.082716,-1.254757,-1.709257,0.923816,-0.010106,0.133805,-0.422263,-1.295326,0.287724,0.445119,1.138776,1.303856,-0.131987,-1.120558,0.027118,0.679374,-1.90177,0.301947,-0.464451,0.687362
grand,-0.306472,-0.783837,-1.471843,-0.269354,0.458831,-0.491765,0.001031,-2.891957,-0.826154,-0.097264,0.83904,0.081001,-0.501066,0.029495,1.31717,0.71397,0.945089,0.33065,-0.339089,-0.482462,0.136631,1.012255,-1.302253,0.836928,-0.217831,-0.283293
propriété,-0.375461,-0.583286,-0.008015,-0.08784,1.165907,0.680869,-0.788529,-2.191315,-1.0006,0.183095,1.258447,0.237779,0.152995,-0.159442,-0.515053,1.056627,1.340555,1.648012,-0.567331,-1.268855,-0.254662,0.853172,-1.13195,-0.801665,0.044645,-0.751718
ordre,-0.585845,-1.217682,-0.387935,-0.805462,1.41942,1.547163,-0.698453,-1.949178,-0.922885,-0.152235,0.662496,-0.095527,-0.877709,0.033352,0.915749,1.071219,0.676847,0.712022,-0.755363,-0.043085,-1.218216,0.939348,-1.776149,-0.690056,0.686878,0.917615
variable,-2.052412,0.684648,-0.626139,-1.023483,0.961634,0.664927,-1.784051,-2.030818,-2.515404,1.411491,0.975373,-0.528434,-0.744326,0.626455,-0.895612,-0.43681,0.275311,0.206903,0.241702,-0.6565,-0.563696,0.266365,-0.566383,-0.810578,-0.035133,0.257061
base,-0.582422,-0.654921,-0.139275,-0.220143,2.180497,0.839843,-0.930509,-1.75405,-1.327671,0.754859,0.115506,0.028116,0.145693,-0.183845,0.014568,-0.188602,0.427966,0.724771,-0.516832,-0.124927,-0.051141,0.027339,-2.312002,0.21186,-1.07955,-1.177208
géométrie,0.632672,-1.012384,-0.008335,-1.501625,0.231426,0.571192,0.64117,-1.843091,-0.768233,0.870976,-0.145902,0.536065,0.735949,1.771012,-0.103604,0.18832,1.161581,0.255471,-0.17118,-1.449588,0.476517,1.229594,-1.725553,-0.567169,-0.915242,-1.745162
analyse,-0.354099,-0.114485,-0.349851,-0.112943,0.528035,-0.02107,-0.601604,-2.481751,-1.176662,1.507455,-0.385576,1.195897,0.081523,1.541245,-0.918725,-0.076842,0.381636,-0.74988,-0.030779,-0.869698,-0.156772,1.690142,-1.522314,-0.278382,0.223658,-0.944084
loi,-0.747545,1.062145,-1.009929,-0.473187,1.660327,0.283543,-1.640629,-2.914766,-0.699112,-0.027023,1.206331,-0.295009,-1.681978,0.212517,-0.24325,-0.394996,-0.277189,0.889804,0.057858,-0.157175,0.38855,0.371091,-0.257405,-1.071679,0.11184,-1.546055
définition,-0.516666,-0.181427,-0.116173,-0.692931,0.963514,0.405793,-0.745194,-1.84301,-1.468766,1.112488,0.498065,0.255104,-0.051951,0.266165,-0.591941,0.679669,0.639158,1.770165,-0.277994,-0.842294,-0.105523,0.920756,-1.404995,-0.577457,0.091566,-0.474447
réel,-1.578401,-0.362159,-1.151768,-0.917531,0.728443,1.147234,-0.701249,-2.082878,-1.599401,0.954656,-0.107402,-0.311544,0.398971,-0.115481,-0.621932,0.17294,0.180698,0.961403,-0.667156,-1.117715,0.161624,1.824762,-1.083533,-0.550275,-0.544801,-0.126839
dimension,-0.414601,-0.599244,-0.536462,-1.629322,1.232294,1.673994,-0.563663,-1.31437,-1.006697,0.453575,1.215185,0.579557,1.205412,0.524318,-0.481031,0.272111,1.094477,0.925863,-0.426452,-0.655711,0.20678,0.773127,-1.768322,0.205323,-0.902854,-0.276534
statistique,-0.23803,0.380357,-0.859323,1.17717,0.416611,-0.522179,-0.690978,-2.466188,-1.302248,0.553703,0.932074,0.940628,-1.30587,1.945145,-0.200667,-0.709247,-0.709042,-1.022772,-1.006332,-0.213683,-0.941481,0.938484,-1.646966,0.30661,0.390847,-1.238637
sommet,-0.127426,-1.596916,-0.064212,-1.574875,-0.082824,1.179484,-0.50423,-1.896797,-1.688769,-0.321227,2.369942,0.9783,0.275363,-0.692408,0.337493,0.587449,1.359839,1.782436,-0.203235,-0.270326,0.003748,-1.983766,-1.192597,1.021769,-0.951927,0.300871
logique,0.132402,0.698236,0.391426,0.177701,-0.022425,0.360908,-0.795579,-1.636792,-1.04828,1.017051,-0.461246,0.688231,-1.747958,1.782285,-0.002039,2.045624,0.285121,1.630797,0.907261,-1.356917,-1.594844,0.527017,-1.215842,-0.251735,-1.335175,-1.049928
terme,-1.414158,-0.385097,-0.812871,-0.611269,1.035516,0.325457,-1.205433,-1.961533,-1.251838,1.420737,0.405234,-0.689521,-0.487887,0.22354,0.029472,0.688647,0.603518,1.1028,0.184458,-0.361919,-0.446877,0.388754,-0.926705,-0.120528,-0.386163,-0.186626
trois,0.073254,-1.497178,-0.685545,-0.738179,0.874596,0.184014,-0.107325,-1.879598,-1.463089,0.595733,1.324124,-0.691029,-0.177726,0.018463,0.667316,-0.183233,1.499827,0.687805,0.165143,-0.953155,-0.005277,-0.866567,-1.526169,-0.05326,-0.720675,-0.588666
plan,0.47382,-1.171736,-0.585992,-0.445516,-0.132794,1.703031,-0.221809,-1.453019,-0.561647,1.333732,1.086096,0.084825,0.969239,0.380128,-0.125219,-1.351642,0.903238,1.295944,-0.923167,-1.214736,1.398445,0.15456,-2.190248,-0.51827,-1.207143,-0.833862
formule,-0.842918,0.2802,0.530335,-0.309595,0.974539,1.138943,-0.260234,-2.454605,-0.813947,0.75666,0.213258,-0.950248,-1.39814,-0.04434,-1.04912,0.59928,1.23194,1.58165,0.646211,-0.190018,-0.624993,0.439028,-0.94814,-1.341411,-0.649023,-0.753025
droite,-0.159505,-1.413717,-1.059894,-0.188593,-0.401008,1.751943,0.305238,-1.197643,-1.000862,1.20826,0.887356,-0.630651,-0.244889,-0.270874,-0.643192,-1.530602,1.059712,2.126525,-1.10838,-0.500659,1.088946,-0.136864,-2.103005,-0.067485,-0.735708,-0.131177
$\mathbb{C}$,-0.847284,-0.570842,-0.423262,0.621336,0.603068,2.029493,0.046459,-1.113436,-1.698021,0.646035,0.806624,0.162623,-0.41067,-1.031013,-0.112904,0.016372,1.002629,1.161299,-0.660059,-0.724678,0.094652,0.045918,-1.135959,1.210064,-0.851522,-0.577442
solution,-1.302502,-0.108341,-0.412891,0.062021,1.564835,1.24132,0.982027,-2.324169,-1.100054,1.825373,1.222646,0.448064,0.821919,0.403251,-0.499263,0.329282,1.516924,0.462253,0.538501,-0.581578,0.145881,0.466795,-0.1263,-0.24358,-0.12865,0.41146
modèle,-0.128644,1.02687,0.000107,0.553246,1.191237,-0.11631,-1.344633,-2.390056,-1.487073,0.56403,0.921989,1.383856,0.029856,0.7212,-0.179009,0.035556,0.916218,0.481369,0.17203,-0.146912,-0.619646,0.319278,-0.62767,0.023487,-0.278881,-1.111056
linéaire,-1.395187,0.47673,-0.066787,-0.167751,1.355828,1.658316,-0.838781,-2.039899,-1.275867,1.221998,-0.12856,1.153163,0.882115,0.537694,-0.611044,-0.214909,0.731127,0.167245,-0.487963,-0.29045,-0.452659,0.698261,-1.228856,-0.658529,0.488021,-0.600492
probabilité,-0.637851,0.912305,-1.127428,-0.620494,0.595957,-0.416246,-1.113297,-2.80255,-1.694468,0.309339,1.616293,0.08272,-0.900496,0.064313,-0.54046,-0.046863,-0.347875,0.499541,0.224546,-0.386554,-0.605708,0.482716,-0.716532,-0.041856,0.166758,-0.5246
série,-0.658552,-0.323676,-1.11954,-0.684899,1.10803,0.416599,-0.272676,-2.60609,-0.377231,0.892743,-0.018984,-0.34705,-1.039886,0.183055,-1.376628,0.264508,-0.412003,-0.366872,0.090069,-0.880388,0.228249,0.993045,-1.459612,-0.605619,-0.190545,-0.70372
somme,-1.07779,-1.508414,-1.47555,-0.955554,2.187834,0.653958,-0.875876,-2.383574,-0.413822,0.079579,0.647224,-0.698151,-0.414617,-0.633063,-0.877464,0.60484,0.420985,0.814074,-0.481035,-0.327991,-0.290735,0.031795,-0.974586,-0.322563,-0.180025,-0.522643
mesure,-0.412027,0.666775,-0.480088,-0.451537,0.224046,0.033977,-0.912806,-2.305872,-1.202164,0.526279,1.365796,-0.512569,-0.34769,-0.170233,-0.123791,0.795041,0.929616,0.443026,-1.31824,0.187612,0.28825,1.234233,-1.536503,-0.211953,0.215845,-1.176031
carré,-1.234773,-1.664326,-0.712839,-0.926594,1.197382,1.312951,0.067088,-2.729139,0.325051,-0.167382,0.623125,-0.77722,-0.620526,0.195399,-0.012471,0.64507,0.914762,0.657391,-0.677395,0.454513,0.349813,-0.748099,-1.287014,-0.306609,-1.623989,0.017289
vecteur,-1.135486,-0.097859,-1.007941,-1.352956,0.100783,2.100599,-2.077406,-1.311415,-1.708048,0.595903,0.116457,-0.134843,0.473951,0.148779,-0.119312,-2.097812,1.049375,1.456984,-0.545056,0.203292,0.167568,0.201598,-1.494656,-0.556546,-0.377925,-0.510169
connexe,0.120578,-0.288827,0.913488,-1.082159,0.974784,1.222731,-0.329012,-2.402075,-1.006683,-0.142947,0.811466,1.492475,-0.836197,0.830942,0.20012,0.883857,-0.292446,-0.050824,-0.655438,-0.790172,0.666003,1.096385,-1.545864,-0.019187,-0.867513,-0.367787
classe,-0.648292,-0.712223,0.537858,-0.389197,0.871661,0.730503,-0.404933,-1.25757,-2.182496,1.056283,1.03904,0.548901,0.007463,0.169026,0.380993,1.513363,0.600025,0.78047,-0.683945,-1.356909,-0.585679,0.257473,-0.404216,-0.342188,1.377053,-0.559657
produit,-0.556243,-0.615368,-0.515489,-0.269538,1.726989,1.295561,-1.552094,-1.360805,-0.937375,0.046875,-0.297477,-0.316167,0.188859,-0.475768,-0.284275,-0.111819,0.43919,1.068454,-0.987314,-0.310975,-0.475246,0.411513,-2.655294,-0.785204,-0.102564,-0.438202
égal,-1.39428,-1.227376,-1.110101,-0.811359,0.843103,1.451784,-0.07437,-1.921272,-0.954932,-0.158602,1.380877,-0.888052,-0.414464,-0.950898,-0.407234,0.794628,1.195322,1.128974,-1.519372,-0.056268,0.218108,0.201008,-1.03889,0.187739,-0.354046,-0.243712
cercle,0.660232,-1.441674,-0.548053,-0.178504,-0.212266,1.12936,1.253545,-2.076319,-0.467235,0.995077,1.384666,-0.255556,-0.4315,-0.13054,0.430492,-0.854029,1.697702,1.591033,-1.433278,-0.12875,1.791582,-0.392127,-0.795326,-0.304554,-1.126468,-1.277387
partie,-0.346894,-0.662328,-1.113033,-0.478061,0.640972,0.28463,0.150518,-1.70605,-1.095023,0.919162,0.4998,-0.191217,-0.131094,-0.415054,0.550663,0.635496,-0.089579,0.384628,-0.277442,-1.564798,0.244768,0.883095,-1.882335,0.018257,-0.275698,-0.075122
relation,-0.669698,0.093964,0.026531,-0.006727,0.92517,1.124164,-1.061876,-1.330322,-1.644576,0.339253,0.638055,-0.258213,-0.687993,0.194175,-0.166504,0.662228,1.362354,1.24974,-0.458068,-1.118053,-0.32751,0.559526,-1.313145,-0.82979,0.176681,-0.70812
