word,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
un,2.160823,-0.24734,0.146492,0.246589,0.006696,0.418887,-0.131696,0.193323,0.345659,-0.361685,-0.313367,0.097102,-0.966468,0.327617,-0.404677,0.548058,-0.247197,0.863554,-0.071255,-0.177183,-0.505757,0.230624,1.137466,1.148369,-0.246746,-0.165398
nombre,2.125001,-0.302871,0.122906,0.348992,0.136818,0.835738,0.022213,-0.556331,-0.344808,-0.137183,0.176346,-0.488449,-0.335806,0.293274,-0.049867,0.471708,-1.045549,1.021923,-0.931713,-0.567484,-0.887491,0.452054,-0.155476,1.129304,0.200228,-0.562293
$\mathbb{N}$,2.177002,0.163128,0.609115,0.636546,-0.218472,-0.289298,-0.128512,0.095174,-0.320955,0.196008,0.345436,-0.165035,-0.449233,0.105968,-0.001716,0.411302,-0.151194,0.889834,-0.470552,-0.371568,-0.136659,0.534343,0.57015,1.054257,0.125478,-0.356328
deux,2.052285,-0.030698,0.518513,0.184296,-0.369202,0.402721,0.0085,0.206803,0.376256,-0.319919,-0.019055,0.319521,-0.713391,-0.148997,0.158142,0.055907,-0.177471,0.389706,-0.273968,0.352024,-1.117881,0.297706,0.723263,1.39699,-0.591894,-0.366832
fonction,0.968947,0.239009,-0.016609,-0.869293,-0.890866,0.021523,0.080477,-0.152219,-0.749941,-0.634422,0.001094,-0.131157,0.210396,0.281356,-0.093896,0.913961,-0.866654,1.141974,-1.036026,0.140725,0.301278,-0.024,1.272269,1.981552,0.066008,0.147137
premier,1.480706,-0.000275,0.845872,-0.212935,0.134805,-0.031089,0.493364,0.25491,0.956794,-0.04911,-0.288514,-0.259526,-0.16325,-0.409454,0.353704,-0.053203,-0.185733,0.716492,0.270687,0.112815,-0.578976,0.556345,0.23497,1.432743,-0.436204,-0.549692
ensemble,1.519977,-0.258485,-0.238885,0.341827,-0.317686,0.416988,-0.043998,-0.22844,0.437145,0.392771,-0.817572,-0.100986,-0.126849,0.079216,0.227574,0.816555,-0.057042,0.087524,-0.37523,0.086658,-0.324753,0.152634,1.377204,1.316245,-0.169137,0.092185
point,1.742408,-0.193679,0.909802,0.133737,-0.055542,0.779152,0.018541,0.393284,-0.158935,0.669566,0.425218,-0.579363,-0.342962,-0.2704,0.289698,0.450013,-1.318958,-0.185154,-0.922952,-0.322486,-1.452241,0.103545,0.199497,0.53137,-0.377457,-0.796681
théorie,1.48476,0.254848,-0.805026,-0.072815,-0.072897,-0.276347,-1.036843,1.657054,0.264352,0.392591,-0.574363,-0.066234,1.498688,-0.506765,0.11887,1.169401,-1.503807,0.9705,-0.735785,-1.249504,1.066813,-0.593671,0.768098,0.158443,0.855252,0.187509
exemple,1.720216,-0.010795,-0.147972,0.996862,-0.291074,0.476133,0.099006,-0.235192,-0.194718,-0.240604,-0.154444,-0.010356,-0.233661,0.222196,-0.111165,1.014897,-0.409627,1.052426,-0.790185,-0.447716,0.435781,-0.054147,1.193424,0.611393,-0.032601,0.178016
espace,1.183656,0.327773,-0.778084,0.143794,0.283912,0.569299,-0.49451,0.244266,0.051232,0.447531,-1.412795,0.307905,-0.874325,0.772643,0.188895,1.18169,-0.648783,-0.353843,-0.72393,-0.458374,-0.443282,0.183054,1.509466,0.660783,-0.854435,0.297166
théorème,-0.521651,0.28525,-1.018711,0.126713,-1.170226,-0.275597,-0.787806,0.826014,-0.767511,0.926447,-0.017517,0.544079,1.370323,-1.086736,0.422255,0.009231,-1.838861,0.346687,-2.005839,0.099771,0.40426,0.065039,0.837118,-0.136222,0.986251,0.939593
problème,1.608282,-0.045206,0.508387,0.193087,-0.121086,-0.355968,-0.250798,0.760607,-0.379968,0.200866,0.063564,-0.347527,-0.397725,0.621706,-0.458125,0.762258,-1.627847,0.505863,-0.106097,-0.901256,0.874261,-0.108075,0.541262,0.657469,0.3432,-0.03623
valeur,1.378208,-0.068067,-1.044494,0.417449,-0.208238,0.59525,0.280818,-0.119119,-0.543772,-0.11947,-0.012109,-0.57491,0.107953,0.174956,0.042819,1.298218,-1.285888,0.744366,-1.216298,-0.88418,-0.108917,0.77528,1.239956,0.769485,0.774549,-0.682136
groupe,1.212626,-0.187337,0.759898,-0.041614,0.40369,-0.273849,0.00777,-0.32461,1.822917,0.492383,0.224088,-0.826043,-0.752306,-0.361057,0.300635,0.599153,0.185048,0.618611,-0.536629,0.108207,0.207606,-0.597506,0.519567,1.033368,-0.643469,-0.470431
graphe,-0.453829,0.167826,-1.185927,0.563711,-0.012223,1.21285,-0.267936,0.168127,-1.164073,0.666598,-0.369057,0.000434,0.204532,-0.386021,0.328003,0.614823,-0.765927,0.152139,-2.028906,0.266453,0.156996,-0.491976,0.457286,-0.379035,0.286503,1.418611
