word,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
un,-1.259369,-1.030417,0.141622,-0.217654,-0.339262,0.134122,-0.295535,-0.498698,0.709915,-0.427404,0.169129,0.795967,-0.45994,0.035225,0.231227,-1.512951,0.113459,0.25639,-0.01573,1.284742,-0.288716,-0.001908,1.07666,-0.264558,-0.424011,0.67173,0.004358
nombre,-1.2705,-0.842973,1.061348,0.62595,-0.080532,-1.240551,0.084863,-0.067604,0.578949,0.293016,0.577155,0.840312,-0.646828,-0.10465,0.6531,-0.770005,0.527201,0.440653,-0.708936,0.594066,-0.239844,0.818936,1.118883,-0.568081,-0.904593,0.359488,0.226792
$\mathbb{N}$,-0.823508,-0.988989,0.576405,0.054929,-0.03054,-0.529699,0.292622,-0.509202,0.127387,-0.025804,-0.159447,0.931618,-0.334922,0.155057,0.321633,-1.400775,0.866168,0.377858,0.271729,0.931282,0.21252,0.064941,1.382158,-0.173119,-0.57609,0.158718,-0.019264
deux,-0.420889,-0.961007,-0.053326,0.309292,-0.237588,-0.463381,0.088449,-0.48417,0.74182,-0.333116,-0.279657,0.48063,-0.818217,0.039891,0.117784,-1.205411,-0.063548,0.234673,0.012694,1.73559,-0.35184,-0.103115,1.045117,-0.624171,-0.140472,0.920326,0.031492
fonction,-1.200907,-0.958557,1.069827,0.753791,0.257526,0.11644,0.752404,-1.241992,0.470078,-0.44371,0.710587,0.258934,-0.506226,0.583271,0.583066,-1.244054,0.01594,-1.210348,-0.160552,-0.301565,0.256299,0.485224,1.7332,-0.428011,0.404914,0.690135,0.020081
premier,-0.55721,-0.954687,-0.461894,0.363436,0.224809,-0.751575,0.095341,-0.22765,0.529894,-0.229093,0.21658,0.025705,-0.305304,0.612861,-0.34958,-0.493205,0.704709,0.307645,0.019585,1.824829,-0.419912,0.086349,0.809345,-0.237622,0.248155,0.904643,-0.17163
ensemble,-0.801029,-0.194086,0.498479,0.47261,-0.189976,0.297676,-0.041378,0.006799,0.604703,-0.102226,0.154155,0.897877,-0.615672,0.954528,0.233451,-1.511807,-0.374856,-0.444506,-0.342,1.063576,0.195229,0.14626,0.835598,-0.307547,-0.229836,0.620263,-0.347083
point,-0.622581,-0.832266,0.504152,1.10229,0.233759,-1.178982,0.825047,0.694723,0.4788,0.619885,-0.148497,0.833861,-0.270804,-0.491333,0.47832,-1.03944,-0.291258,0.399254,-0.583592,1.476111,0.159719,-0.185073,0.874633,-0.029818,-0.338753,0.64819,0.37195
théorie,-1.830963,-0.301392,0.354829,0.376038,0.756555,-0.11791,0.428669,0.176238,-0.092397,0.319964,1.570206,0.69289,0.492001,0.206813,-0.737181,-2.029831,0.078112,-1.236498,0.446415,-0.089725,1.86936,0.852698,0.118257,0.474111,-0.636098,0.075934,1.527727
exemple,-1.522456,-0.749889,0.675382,-0.201502,-0.045972,-0.069907,0.212225,-0.242157,0.150973,-0.322446,0.526871,1.004514,-0.213661,0.525624,0.476822,-1.621403,-0.083471,0.037191,0.303769,-0.031552,0.120912,-0.022359,0.849338,-0.530359,-0.85718,0.231081,-0.087276
espace,-0.669106,-0.196654,0.99818,0.169103,-0.483205,0.534905,-0.664312,0.228908,0.449797,-0.457257,0.119323,1.121281,0.387506,0.889427,0.687857,-1.919622,-1.500023,-0.522336,-0.810924,0.811647,0.536955,-0.030206,1.008997,0.204744,-0.317413,0.520007,0.761256
théorème,0.301653,-0.241974,1.014918,2.21906,0.489126,-0.210589,0.940833,0.577908,-1.232421,-0.148563,1.108537,1.254008,-0.766166,0.505513,-0.589901,-1.730614,-1.327723,-1.620849,0.420447,-0.882845,1.965913,1.250647,0.78878,-0.251181,-0.225042,-0.440517,1.416044
problème,-1.79486,-0.707718,0.439088,0.367943,0.138971,0.002859,0.818043,-0.362828,-0.422717,-0.170294,0.469246,0.998619,0.523277,-0.230983,0.300349,-1.232372,0.229563,-0.066064,0.156555,0.151424,0.762845,0.448642,1.122428,1.256065,-0.66298,0.300772,0.503179
valeur,-1.910164,-0.748331,1.469272,1.282133,0.527827,-0.311442,-0.184356,-0.168069,0.256531,-0.200021,0.403582,0.943597,0.231703,0.349027,1.014227,-1.603976,0.261631,-0.305554,-0.611947,0.157498,0.320076,0.464507,0.789089,-0.614619,-0.587457,-0.37133,0.279762
groupe,-1.103121,-0.234567,-0.637818,-0.387079,0.303318,0.24472,0.461833,0.729095,1.042667,0.585218,0.545527,1.032491,-0.09811,0.870317,0.205368,-0.53242,0.328627,0.25838,0.687095,1.381884,-0.414082,-0.225014,0.99318,-0.553965,0.565532,0.345062,-0.056279
