word,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
un,0.261546,-0.162207,-0.464315,-0.117689,0.590293,2.70545,1.180184,1.068414,-2.249336,0.048024,-0.682636,-0.990176,0.589046,0.455661,0.696077,0.457812,2.486509,0.604318,0.492336,-1.289559,-0.024807,-0.436828,0.360678,1.158647,1.245187,-0.808641,0.356517
nombre,-0.099388,-0.678798,0.101842,1.012447,-0.281748,3.309956,-0.088268,0.407265,-2.570959,0.777727,0.027452,-1.519641,-0.681069,-0.036456,0.939827,0.887798,1.674544,1.096686,1.60769,1.108059,0.616528,-2.114927,0.838711,0.551338,0.63125,-0.817275,-0.488536
$\mathbb{N}$,0.293052,-0.293357,1.085197,0.107871,-0.149019,2.74426,1.014206,-0.067242,-1.147723,-0.562483,0.29322,-0.597496,0.178462,0.553561,-0.050578,0.55599,2.165815,0.989009,0.767957,-0.049486,0.494407,-0.501241,1.425048,1.004522,1.846845,-0.58401,0.105726
deux,0.369427,-0.44111,0.459044,0.006288,0.130205,2.651001,0.758974,0.219409,-2.77883,0.657942,-0.216097,-0.806807,1.428036,0.274182,0.38758,0.184222,2.32557,0.552021,0.418051,0.011978,-0.733932,-0.327551,0.719863,0.652981,0.737217,-0.571726,0.634827
fonction,0.243801,-0.584863,-0.622657,-0.348684,-0.479414,3.304969,-0.381179,-0.389365,-1.759375,-0.463548,-0.66923,0.589413,0.739558,0.082729,-0.444826,2.050755,2.722369,0.72508,-0.644518,-0.51674,1.125967,-0.135762,0.810995,0.982398,-0.197883,-0.551126,-0.292783
premier,-0.918998,-0.055571,-0.19494,0.809379,0.221358,2.871286,-0.119736,0.015904,-2.11151,0.499475,0.133672,-1.326417,-0.051552,-0.366774,1.195935,0.315846,2.572459,0.359892,1.288802,0.609806,0.00492,-0.879895,0.343311,0.916359,0.738264,-0.367992,-0.40738
ensemble,0.278459,-0.674158,-0.129895,0.263494,0.398711,2.910552,0.644197,0.512677,-0.933329,-0.992881,-0.589734,-0.174796,0.571628,1.831496,0.27605,0.965584,1.8819,0.095516,0.449345,0.053116,0.150677,-0.447693,1.789351,0.193752,0.941849,-1.845631,1.324902
point,0.478363,-0.67631,-0.151022,-0.032161,-0.69391,2.536104,1.897028,0.798538,-2.457096,-0.30942,0.506667,0.372892,2.097716,-0.529347,-0.502397,-0.321548,1.437405,-0.127006,0.414321,-0.4066,0.877228,-0.005984,1.654745,-0.044668,0.826176,-1.21818,0.528876
théorie,0.297494,-0.108395,-1.067113,1.668822,0.202761,2.295678,0.769927,0.061478,-0.722455,-1.149845,-2.322133,-0.565829,-0.428947,-0.484205,1.034061,0.827562,2.037118,-0.258073,0.482358,-1.223515,-0.178398,-0.727106,0.343922,0.506693,0.94435,-1.002376,-0.02934
exemple,-0.170475,-1.05041,0.087171,0.15247,0.211261,2.725854,0.769138,-0.01324,-1.77458,-0.390049,-0.411395,-0.539178,0.539764,0.478699,0.181857,0.552772,1.288273,0.968806,0.457214,-0.915982,0.063418,-0.716998,0.909211,0.784449,1.197529,-0.488593,0.195284
