word,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
un,0.876739,0.07305,-0.641886,-0.115759,-0.15607,-0.185929,0.197383,0.274861,-0.240172,-1.390263,0.371099,-0.37511,0.464997,0.19806,-1.638595,-0.835221,0.418446,-0.063658,0.174758,-0.120646,0.616684,-0.286295,0.362858,-0.237482,0.561358,0.995732,-0.724673
nombre,0.887824,0.235798,-1.215774,-0.045242,-0.754537,-0.267508,0.174938,-0.067802,0.774546,-0.927547,0.409902,-0.361069,0.124961,-0.468012,-2.082152,0.105605,0.386665,-0.417807,-0.176759,-0.608917,0.419432,0.336799,-0.537293,-0.531545,-0.054643,0.770877,-1.192739
$\mathbb{N}$,0.90588,0.36454,-0.570785,-0.390074,-0.447253,-0.3274,-0.31896,-0.064586,0.076134,-1.043812,0.47943,-0.429033,0.281774,0.200351,-1.765668,-0.445311,0.9547,0.095191,-0.249159,0.188983,0.208413,-0.310902,-0.059196,0.136276,-0.307433,0.453767,-0.850864
deux,0.584638,0.044635,-0.165046,-0.032589,-0.070044,0.53309,-0.384967,0.014611,-0.283689,-1.325105,0.767886,-0.183571,0.544272,0.465542,-1.849176,-0.733142,0.273195,0.037443,-0.608588,-0.411131,0.885027,0.131818,0.307007,-0.437044,0.557554,0.480782,-0.631156
fonction,-0.212482,0.336779,-1.354664,0.591583,-0.819545,-0.290578,0.191209,0.532132,-0.344663,-0.852427,1.304271,-0.087595,-0.15518,0.892991,-1.467555,-0.354468,-0.075966,0.572748,0.711669,-0.058494,-0.047293,-0.592789,0.043875,-1.213616,-0.473873,0.682954,-0.933828
premier,0.343132,-0.023744,-0.520853,0.105712,0.484908,0.282271,-0.959085,0.400333,0.334748,-1.773183,0.624313,-0.000893,0.036089,0.504919,-0.884599,-0.4453,0.208868,-0.487189,-0.627101,-0.210576,0.450598,0.222552,0.287252,-0.185423,0.407764,0.63809,-0.724357
ensemble,0.639618,-0.269946,-0.429871,0.610125,-0.376336,-0.12235,0.410547,0.640663,-0.293149,-0.742871,0.54325,-0.73747,-0.065884,0.355619,-1.514135,-0.619786,0.145254,0.143483,-0.436346,-0.078161,0.029526,0.06306,0.606282,-0.303978,0.370947,1.285019,0.079105
point,0.862861,-0.469512,-0.475016,-0.021338,-0.575596,0.23165,-0.823663,-0.245762,0.875395,-0.64127,0.79443,-0.517182,0.352308,0.215304,-2.020245,0.33311,1.035182,-0.287256,-0.375234,-0.677042,0.230595,0.195112,-0.875213,-0.321639,0.836614,0.129942,0.20503
théorie,0.236867,-0.632598,-1.541094,0.327363,-0.259006,-2.204603,0.526081,0.224807,1.063841,-0.172258,1.279196,-0.243172,0.094863,0.297224,-0.132831,-0.784642,1.89901,0.635588,0.249246,0.505785,-0.496329,-1.243654,0.250061,-0.801612,-0.138006,-0.039071,0.299013
exemple,0.833896,0.035725,-0.802546,0.052648,-0.724809,-0.88536,0.972821,0.026647,0.200509,-0.44952,0.494902,-0.571673,-0.021153,0.61318,-1.574429,-0.688686,0.249953,0.108587,0.083559,0.369356,0.319298,-0.706404,0.13898,-0.024836,-0.025115,0.645347,-0.804343
