word,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
un,0.808092,-2.357918,-0.206423,-0.17732,-1.068993,-1.596633,-0.562971,0.957104,-1.470078,-0.123988,-0.506166,-0.180481,0.3299,1.884482,-0.116947,-1.138943,-0.339476,1.134494,-0.085947,0.320292,-0.365117,0.335144,1.43302,-0.19186,0.369346,-0.346227,1.300505,-2.549148
nombre,-0.834985,-2.26858,-0.472859,-0.567454,-0.313826,0.427573,-0.245268,-0.618805,-1.256028,0.328341,-0.526695,0.221743,1.496175,0.874391,-0.081364,-1.351999,-0.55108,2.32092,0.980547,0.33808,-0.477784,1.436828,1.684015,0.127943,2.424625,-0.802442,0.727889,-2.577965
$\mathbb{N}$,0.837768,-2.077818,-1.069766,-0.373387,-1.068171,-0.861964,-0.328933,-0.597643,-1.160065,0.388138,0.093109,-0.381663,0.942452,0.958039,0.269727,0.038413,0.181468,0.997883,0.729591,0.047031,-1.690745,0.615034,1.825597,0.543028,1.400156,-1.15021,1.03505,-1.442099
deux,0.908862,-1.765392,-0.596892,-1.102298,-0.763028,-0.946444,-1.115453,0.404151,-1.574673,-0.145824,-0.196931,-0.057026,0.558474,1.998524,0.816488,-0.53605,-0.621568,0.484488,0.98043,0.698306,-0.332681,-0.080112,1.427259,-0.070911,0.368526,-0.578584,1.226898,-2.4851
fonction,0.138619,-2.627601,-0.455911,0.147893,-0.203715,-1.74407,-0.184472,0.15493,-2.825314,-0.001425,0.289607,0.930528,-0.197237,0.685932,-0.394048,0.892474,-0.402574,1.150764,-0.201693,-0.229733,-1.016982,1.147395,0.404841,0.579583,1.661028,-1.044224,1.450598,-1.24878
premier,-0.301701,-1.882655,-0.256139,-0.737866,-0.716801,0.269327,-0.884388,0.598216,-0.917005,0.657645,-1.266239,0.635904,1.232788,0.983686,0.172711,-0.554653,-0.715435,2.011935,0.653634,0.580375,-0.579557,0.94953,0.877544,0.077531,1.003169,-0.786817,1.113052,-2.630087
ensemble,0.834129,-1.349927,-0.521832,-0.498399,-0.503394,-2.061775,-0.343721,-0.075185,-2.039467,-0.838209,-0.862988,-1.709732,1.04363,1.509939,0.092488,-0.470135,-0.482139,0.155852,-0.261174,0.278476,-1.792545,0.583313,0.733644,-0.639862,1.555497,-1.15246,1.075081,-1.336077
point,0.166232,-1.678444,-1.123039,-0.145293,-0.907246,-1.739052,-0.249868,0.296408,-1.361715,-1.36803,0.744615,0.554849,0.277861,1.24998,1.489541,0.335357,-0.489658,-0.091207,0.259638,0.636086,-0.907973,-1.129843,1.135193,1.188266,1.099784,-0.676234,1.600795,-2.507958
théorie,0.621765,-1.041367,0.798489,1.175994,-1.177114,-0.521692,-0.494035,1.393232,-1.323036,-1.617809,-1.349855,-0.485595,0.770709,0.873746,-1.403288,-0.259461,-0.756664,1.60327,-0.773355,0.36559,-1.019998,0.783793,1.049654,-0.34306,0.530104,-0.442582,1.482739,-1.423709
exemple,0.601887,-1.443904,-0.177771,0.050148,-0.88578,-1.137104,-0.353513,0.416174,-1.395717,-0.232125,-0.02621,0.073426,0.639658,1.21113,0.272398,-0.658926,0.020821,1.143116,0.727828,-0.171523,-0.626115,-0.138243,1.711585,-0.333897,1.157083,-0.926244,1.700814,-1.267432
espace,0.45378,-1.113898,-0.485761,0.483341,-1.275474,-1.82913,-0.129013,0.293825,-2.78235,-1.689084,0.979285,0.022774,1.036091,2.905334,-0.351145,1.038806,-0.397676,-0.096639,-0.577859,0.442501,-0.851299,0.344893,1.572777,-0.690281,0.343931,-1.29243,0.790584,-0.315371
théorème,0.352399,-0.810437,-0.455833,0.358987,-0.000482,-0.019126,-1.227693,0.655458,-1.549545,-2.275553,-1.172297,1.061448,0.706961,1.100939,0.486617,0.419749,0.052097,1.416709,-0.95109,-0.636785,-1.593562,1.287612,1.49919,-0.906347,0.732114,-0.499158,2.094159,-1.242345
problème,-0.431443,-1.548392,-0.063795,1.130459,-0.815395,-0.744719,-1.019594,0.317594,0.015223,-1.306854,-1.041352,-0.148382,-0.756498,1.355099,-0.314689,-0.419369,0.31496,1.845573,-0.032233,0.904407,-0.406502,-0.627201,1.062907,-0.210818,0.957869,-0.794842,2.313198,-1.924427
valeur,0.477803,-1.534572,-1.218872,-0.731423,-0.18494,-1.929261,0.321662,-0.163172,-1.782852,0.365418,0.461724,-0.102219,0.091902,0.385842,-0.114776,-0.374964,0.136516,0.89882,0.406779,0.773211,-0.279157,0.395759,1.3277,0.11874,1.346901,-1.080687,2.325851,-1.518099
groupe,1.137605,-1.641093,0.565776,0.276021,-1.234823,-0.151191,-1.89762,0.777215,-1.852518,-0.671231,0.999678,-0.416311,1.653752,2.052274,0.032521,-0.922701,-0.546133,0.86519,-0.53477,1.29306,-0.728875,1.168664,0.664375,-0.471997,0.559064,-0.802567,-0.209975,-0.476118
graphe,-0.814616,-1.438753,-0.979148,1.064793,-0.629655,-0.413233,-1.550221,-0.788978,-0.19542,-2.06545,0.071642,-1.625779,0.84593,2.430999,0.191103,-0.874887,-0.06707,0.57989,-0.38373,-0.684049,-0.48994,0.707492,2.546778,-1.163835,1.652802,1.439598,0.570116,-1.911308
forme,0.643027,-1.654249,0.165649,0.398351,-0.417169,-0.576844,-0.571569,-0.269118,-2.14727,-0.074028,0.495454,-0.03045,0.320815,1.643354,-0.043235,-0.121387,-0.222502,1.482697,0.483263,-0.304015,-0.222083,-0.090034,0.86034,0.346205,0.389201,-1.038545,1.422009,-1.17633
entier,-0.379591,-1.656362,-0.805747,-0.780208,-0.449294,0.095612,-0.42462,-0.696532,-2.155602,0.482925,-0.016724,-0.118462,1.342648,0.681793,0.381719,-0.561819,-0.230182,1.453781,0.645381,0.356694,-1.454189,1.16034,0.466446,0.172089,1.708131,-1.7228,1.169466,-1.536588
système,0.066507,-1.697832,0.085682,0.68179,-1.585117,-1.24924,-0.621126,0.980385,-0.526905,0.717677,0.084928,-0.024609,0.051627,1.498024,-0.994553,-0.193113,-0.918851,1.446681,0.040397,-0.605946,-0.369209,-0.394125,0.325075,0.487482,1.283711,-0.037762,1.946543,-1.210649
équation,0.577365,-1.339176,-0.72974,1.464366,-0.323551,-0.265063,-1.075359,0.291502,-2.027397,-0.691418,0.087803,0.891961,-1.232336,1.202931,-0.11791,0.946215,-1.004371,2.044359,0.871348,0.57057,-0.273783,-0.277967,0.17379,1.17185,0.77946,-0.859447,1.891363,-1.445807
